drinking water source,total,geo_code,geo_level,geo_version
Tubewell/HandPump,5,25001,local,2016
Uncovered Well/Kuwa,55,25001,local,2016
CoveredWell/Kuwa,3,25003,local,2016
Not Stated Source of Water,13,25003,local,2016
Other Source of water,1,25003,local,2016
River/Stream,11,25003,local,2016
Sprout Water,15,25003,local,2016
Tap/Piped,1939,25003,local,2016
Tubewell/HandPump,0,25003,local,2016
Uncovered Well/Kuwa,19,25003,local,2016
CoveredWell/Kuwa,0,25006,local,2016
Not Stated Source of Water,14,25006,local,2016
Other Source of water,11,25006,local,2016
River/Stream,5,25006,local,2016
Sprout Water,41,25006,local,2016
Tap/Piped,1855,25006,local,2016
Tubewell/HandPump,3,25006,local,2016
Uncovered Well/Kuwa,13,25006,local,2016
CoveredWell/Kuwa,6727,25004,local,2016
Not Stated Source of Water,515,25004,local,2016
Other Source of water,10882,25004,local,2016
River/Stream,155,25004,local,2016
Sprout Water,3669,25004,local,2016
Tap/Piped,46319,25004,local,2016
Tubewell/HandPump,830,25004,local,2016
Uncovered Well/Kuwa,1159,25004,local,2016
CoveredWell/Kuwa,4775,10,district,2016
Not Stated Source of Water,410,10,district,2016
Other Source of water,2081,10,district,2016
River/Stream,42,10,district,2016
Sprout Water,3342,10,district,2016
Tap/Piped,53438,10,district,2016
Tubewell/HandPump,2607,10,district,2016
Uncovered Well/Kuwa,1862,10,district,2016
CoveredWell/Kuwa,984,26004,local,2016
Not Stated Source of Water,107,26004,local,2016
Other Source of water,250,26004,local,2016
River/Stream,14,26004,local,2016
Sprout Water,727,26004,local,2016
Tap/Piped,15411,26004,local,2016
Tubewell/HandPump,638,26004,local,2016
Uncovered Well/Kuwa,315,26004,local,2016
CoveredWell/Kuwa,1262,26002,local,2016
Not Stated Source of Water,91,26002,local,2016
Other Source of water,143,26002,local,2016
River/Stream,22,26002,local,2016
Sprout Water,876,26002,local,2016
Tap/Piped,8598,26002,local,2016
Tubewell/HandPump,450,26002,local,2016
Uncovered Well/Kuwa,728,26002,local,2016
CoveredWell/Kuwa,2085,26003,local,2016
Not Stated Source of Water,118,26003,local,2016
Other Source of water,1263,26003,local,2016
River/Stream,2,26003,local,2016
Sprout Water,1389,26003,local,2016
Tap/Piped,13431,26003,local,2016
Tubewell/HandPump,1412,26003,local,2016
Uncovered Well/Kuwa,602,26003,local,2016
CoveredWell/Kuwa,444,26001,local,2016
Not Stated Source of Water,94,26001,local,2016
Other Source of water,425,26001,local,2016
River/Stream,4,26001,local,2016
Sprout Water,350,26001,local,2016
Tap/Piped,15998,26001,local,2016
Tubewell/HandPump,107,26001,local,2016
Uncovered Well/Kuwa,217,26001,local,2016
CoveredWell/Kuwa,194,20,district,2016
Not Stated Source of Water,136,20,district,2016
Other Source of water,109,20,district,2016
River/Stream,537,20,district,2016
Sprout Water,7640,20,district,2016
Tap/Piped,35547,20,district,2016
Tubewell/HandPump,0,20,district,2016
Uncovered Well/Kuwa,1495,20,district,2016
CoveredWell/Kuwa,25,22003,local,2016
Not Stated Source of Water,16,22003,local,2016
Other Source of water,8,22003,local,2016
River/Stream,73,22003,local,2016
Sprout Water,441,22003,local,2016
Tap/Piped,3669,22003,local,2016
Tubewell/HandPump,0,22003,local,2016
Uncovered Well/Kuwa,186,22003,local,2016
CoveredWell/Kuwa,8,22008,local,2016
Not Stated Source of Water,15,22008,local,2016
Other Source of water,3,22008,local,2016
River/Stream,81,22008,local,2016
Sprout Water,675,22008,local,2016
Tap/Piped,3940,22008,local,2016
Tubewell/HandPump,0,22008,local,2016
Uncovered Well/Kuwa,236,22008,local,2016
CoveredWell/Kuwa,39,22009,local,2016
Not Stated Source of Water,10,22009,local,2016
Other Source of water,2,22009,local,2016
River/Stream,11,22009,local,2016
Sprout Water,1602,22009,local,2016
Tap/Piped,2561,22009,local,2016
Tubewell/HandPump,0,22009,local,2016
Uncovered Well/Kuwa,120,22009,local,2016
CoveredWell/Kuwa,4,22002,local,2016
Not Stated Source of Water,22,22002,local,2016
Other Source of water,50,22002,local,2016
River/Stream,38,22002,local,2016
Sprout Water,909,22002,local,2016
Tap/Piped,7549,22002,local,2016
Tubewell/HandPump,0,22002,local,2016
Uncovered Well/Kuwa,67,22002,local,2016
CoveredWell/Kuwa,20,22004,local,2016
Not Stated Source of Water,26,22004,local,2016
Other Source of water,1,22004,local,2016
River/Stream,79,22004,local,2016
Sprout Water,275,22004,local,2016
Tap/Piped,3539,22004,local,2016
Tubewell/HandPump,0,22004,local,2016
Uncovered Well/Kuwa,127,22004,local,2016
CoveredWell/Kuwa,20,22006,local,2016
Not Stated Source of Water,14,22006,local,2016
Other Source of water,2,22006,local,2016
River/Stream,116,22006,local,2016
Sprout Water,752,22006,local,2016
Tap/Piped,4443,22006,local,2016
Tubewell/HandPump,0,22006,local,2016
Uncovered Well/Kuwa,110,22006,local,2016
CoveredWell/Kuwa,35,22005,local,2016
Not Stated Source of Water,7,22005,local,2016
Other Source of water,16,22005,local,2016
River/Stream,23,22005,local,2016
Sprout Water,914,22005,local,2016
Tap/Piped,2740,22005,local,2016
Tubewell/HandPump,0,22005,local,2016
Uncovered Well/Kuwa,119,22005,local,2016
CoveredWell/Kuwa,34,22007,local,2016
Not Stated Source of Water,19,22007,local,2016
Other Source of water,14,22007,local,2016
River/Stream,49,22007,local,2016
Sprout Water,917,22007,local,2016
Tap/Piped,3387,22007,local,2016
Tubewell/HandPump,0,22007,local,2016
Uncovered Well/Kuwa,421,22007,local,2016
CoveredWell/Kuwa,9,22001,local,2016
Not Stated Source of Water,7,22001,local,2016
Other Source of water,13,22001,local,2016
River/Stream,67,22001,local,2016
Sprout Water,1155,22001,local,2016
Tap/Piped,3719,22001,local,2016
Tubewell/HandPump,0,22001,local,2016
Uncovered Well/Kuwa,109,22001,local,2016
CoveredWell/Kuwa,2106,41,district,2016
Not Stated Source of Water,216,41,district,2016
Other Source of water,444,41,district,2016
River/Stream,791,41,district,2016
Sprout Water,3539,41,district,2016
Tap/Piped,63206,41,district,2016
Tubewell/HandPump,4300,41,district,2016
Uncovered Well/Kuwa,11443,41,district,2016
CoveredWell/Kuwa,27,31010,local,2016
Not Stated Source of Water,16,31010,local,2016
Other Source of water,25,31010,local,2016
River/Stream,41,31010,local,2016
Sprout Water,253,31010,local,2016
Tap/Piped,8240,31010,local,2016
Tubewell/HandPump,6,31010,local,2016
Uncovered Well/Kuwa,320,31010,local,2016
CoveredWell/Kuwa,12,31006,local,2016
Not Stated Source of Water,15,31006,local,2016
Other Source of water,3,31006,local,2016
River/Stream,40,31006,local,2016
Sprout Water,21,31006,local,2016
Tap/Piped,3829,31006,local,2016
Tubewell/HandPump,3,31006,local,2016
Uncovered Well/Kuwa,340,31006,local,2016
CoveredWell/Kuwa,17,31003,local,2016
Not Stated Source of Water,12,31003,local,2016
Other Source of water,12,31003,local,2016
River/Stream,87,31003,local,2016
Sprout Water,303,31003,local,2016
Tap/Piped,4261,31003,local,2016
Tubewell/HandPump,4,31003,local,2016
Uncovered Well/Kuwa,114,31003,local,2016
CoveredWell/Kuwa,85,31001,local,2016
Not Stated Source of Water,10,31001,local,2016
Other Source of water,7,31001,local,2016
River/Stream,147,31001,local,2016
Sprout Water,299,31001,local,2016
Tap/Piped,2825,31001,local,2016
Tubewell/HandPump,72,31001,local,2016
Uncovered Well/Kuwa,2286,31001,local,2016
CoveredWell/Kuwa,53,31005,local,2016
Not Stated Source of Water,7,31005,local,2016
Other Source of water,61,31005,local,2016
River/Stream,41,31005,local,2016
Sprout Water,178,31005,local,2016
Tap/Piped,2405,31005,local,2016
Tubewell/HandPump,2,31005,local,2016
Uncovered Well/Kuwa,307,31005,local,2016
CoveredWell/Kuwa,180,31002,local,2016
Not Stated Source of Water,7,31002,local,2016
Other Source of water,20,31002,local,2016
River/Stream,60,31002,local,2016
Sprout Water,480,31002,local,2016
Tap/Piped,3469,31002,local,2016
Tubewell/HandPump,528,31002,local,2016
Uncovered Well/Kuwa,2794,31002,local,2016
CoveredWell/Kuwa,152,31008,local,2016
Not Stated Source of Water,9,31008,local,2016
Other Source of water,14,31008,local,2016
River/Stream,73,31008,local,2016
Sprout Water,230,31008,local,2016
Tap/Piped,4855,31008,local,2016
Tubewell/HandPump,1693,31008,local,2016
Uncovered Well/Kuwa,865,31008,local,2016
CoveredWell/Kuwa,16,31009,local,2016
Not Stated Source of Water,4,31009,local,2016
Other Source of water,2,31009,local,2016
River/Stream,76,31009,local,2016
Sprout Water,76,31009,local,2016
Tap/Piped,3518,31009,local,2016
Tubewell/HandPump,15,31009,local,2016
Uncovered Well/Kuwa,850,31009,local,2016
CoveredWell/Kuwa,11,31007,local,2016
Not Stated Source of Water,21,31007,local,2016
Other Source of water,44,31007,local,2016
River/Stream,94,31007,local,2016
Sprout Water,112,31007,local,2016
Tap/Piped,4175,31007,local,2016
Tubewell/HandPump,14,31007,local,2016
Uncovered Well/Kuwa,532,31007,local,2016
CoveredWell/Kuwa,1553,31004,local,2016
Not Stated Source of Water,115,31004,local,2016
Other Source of water,256,31004,local,2016
River/Stream,132,31004,local,2016
Sprout Water,1587,31004,local,2016
Tap/Piped,25629,31004,local,2016
Tubewell/HandPump,1963,31004,local,2016
Uncovered Well/Kuwa,3035,31004,local,2016
CoveredWell/Kuwa,4983,36,district,2016
Not Stated Source of Water,697,36,district,2016
Other Source of water,417,36,district,2016
River/Stream,540,36,district,2016
Sprout Water,4760,36,district,2016
Tap/Piped,63832,36,district,2016
Tubewell/HandPump,217,36,district,2016
Uncovered Well/Kuwa,5205,36,district,2016
CoveredWell/Kuwa,760,24001,local,2016
Not Stated Source of Water,141,24001,local,2016
Other Source of water,218,24001,local,2016
River/Stream,29,24001,local,2016
Sprout Water,1113,24001,local,2016
Tap/Piped,9488,24001,local,2016
Tubewell/HandPump,141,24001,local,2016
Uncovered Well/Kuwa,216,24001,local,2016
CoveredWell/Kuwa,1490,24011,local,2016
Not Stated Source of Water,40,24011,local,2016
Other Source of water,90,24011,local,2016
River/Stream,30,24011,local,2016
Sprout Water,392,24011,local,2016
Tap/Piped,5559,24011,local,2016
Tubewell/HandPump,19,24011,local,2016
