drinking water source,total,geo_code,geo_level,geo_version
Tap/Piped,16014,56005,local,2016
Tubewell/HandPump,814,56005,local,2016
Uncovered Well/Kuwa,8190,56005,local,2016
CoveredWell/Kuwa,5572,56010,local,2016
Not Stated Source of Water,168,56010,local,2016
Other Source of water,473,56010,local,2016
River/Stream,799,56010,local,2016
Sprout Water,1622,56010,local,2016
Tap/Piped,14890,56010,local,2016
Tubewell/HandPump,1985,56010,local,2016
Uncovered Well/Kuwa,5734,56010,local,2016
CoveredWell/Kuwa,440,56003,local,2016
Not Stated Source of Water,15,56003,local,2016
Other Source of water,101,56003,local,2016
River/Stream,190,56003,local,2016
Sprout Water,436,56003,local,2016
Tap/Piped,395,56003,local,2016
Tubewell/HandPump,283,56003,local,2016
Uncovered Well/Kuwa,2595,56003,local,2016
CoveredWell/Kuwa,45,56007,local,2016
Not Stated Source of Water,19,56007,local,2016
Other Source of water,83,56007,local,2016
River/Stream,1038,56007,local,2016
Sprout Water,127,56007,local,2016
Tap/Piped,158,56007,local,2016
Tubewell/HandPump,1891,56007,local,2016
Uncovered Well/Kuwa,1112,56007,local,2016
CoveredWell/Kuwa,1335,56006,local,2016
Not Stated Source of Water,49,56006,local,2016
Other Source of water,182,56006,local,2016
River/Stream,36,56006,local,2016
Sprout Water,217,56006,local,2016
Tap/Piped,1419,56006,local,2016
Tubewell/HandPump,4072,56006,local,2016
Uncovered Well/Kuwa,2122,56006,local,2016
CoveredWell/Kuwa,274,56009,local,2016
Not Stated Source of Water,12,56009,local,2016
Other Source of water,153,56009,local,2016
River/Stream,148,56009,local,2016
Sprout Water,355,56009,local,2016
Tap/Piped,3290,56009,local,2016
Tubewell/HandPump,118,56009,local,2016
Uncovered Well/Kuwa,978,56009,local,2016
CoveredWell/Kuwa,206,56001,local,2016
Not Stated Source of Water,25,56001,local,2016
Other Source of water,1,56001,local,2016
River/Stream,493,56001,local,2016
Sprout Water,654,56001,local,2016
Tap/Piped,4354,56001,local,2016
Tubewell/HandPump,33,56001,local,2016
Uncovered Well/Kuwa,179,56001,local,2016
CoveredWell/Kuwa,448,56008,local,2016
Not Stated Source of Water,77,56008,local,2016
Other Source of water,41,56008,local,2016
River/Stream,62,56008,local,2016
Sprout Water,121,56008,local,2016
Tap/Piped,2277,56008,local,2016
Tubewell/HandPump,4097,56008,local,2016
Uncovered Well/Kuwa,932,56008,local,2016
CoveredWell/Kuwa,85,56002,local,2016
Not Stated Source of Water,21,56002,local,2016
Other Source of water,22,56002,local,2016
River/Stream,183,56002,local,2016
Sprout Water,419,56002,local,2016
Tap/Piped,2902,56002,local,2016
Tubewell/HandPump,2,56002,local,2016
Uncovered Well/Kuwa,1096,56002,local,2016
CoveredWell/Kuwa,184,56004,local,2016
Not Stated Source of Water,39,56004,local,2016
Other Source of water,28,56004,local,2016
River/Stream,169,56004,local,2016
Sprout Water,53,56004,local,2016
Tap/Piped,1871,56004,local,2016
Tubewell/HandPump,3446,56004,local,2016
Uncovered Well/Kuwa,1477,56004,local,2016
CoveredWell/Kuwa,1807,02,district,2016
Not Stated Source of Water,152,02,district,2016
Other Source of water,114,02,district,2016
River/Stream,906,02,district,2016
Sprout Water,4084,02,district,2016
Tap/Piped,35342,02,district,2016
Tubewell/HandPump,490,02,district,2016
Uncovered Well/Kuwa,3931,02,district,2016
CoveredWell/Kuwa,1030,51002,local,2016
Not Stated Source of Water,14,51002,local,2016
Other Source of water,3,51002,local,2016
River/Stream,54,51002,local,2016
Sprout Water,679,51002,local,2016
Tap/Piped,3856,51002,local,2016
Tubewell/HandPump,4,51002,local,2016
Uncovered Well/Kuwa,701,51002,local,2016
CoveredWell/Kuwa,239,51003,local,2016
Not Stated Source of Water,5,51003,local,2016
Other Source of water,5,51003,local,2016
River/Stream,68,51003,local,2016
Sprout Water,516,51003,local,2016
Tap/Piped,5684,51003,local,2016
Tubewell/HandPump,6,51003,local,2016
Uncovered Well/Kuwa,301,51003,local,2016
CoveredWell/Kuwa,303,51005,local,2016
Not Stated Source of Water,55,51005,local,2016
Other Source of water,12,51005,local,2016
River/Stream,68,51005,local,2016
Sprout Water,498,51005,local,2016
Tap/Piped,8646,51005,local,2016
Tubewell/HandPump,398,51005,local,2016
Uncovered Well/Kuwa,601,51005,local,2016
CoveredWell/Kuwa,21,51001,local,2016
Not Stated Source of Water,16,51001,local,2016
Other Source of water,81,51001,local,2016
River/Stream,118,51001,local,2016
Sprout Water,647,51001,local,2016
Tap/Piped,6608,51001,local,2016
Tubewell/HandPump,4,51001,local,2016
Uncovered Well/Kuwa,232,51001,local,2016
CoveredWell/Kuwa,125,51006,local,2016
Not Stated Source of Water,39,51006,local,2016
Other Source of water,10,51006,local,2016
River/Stream,560,51006,local,2016
Sprout Water,925,51006,local,2016
Tap/Piped,5671,51006,local,2016
Tubewell/HandPump,72,51006,local,2016
Uncovered Well/Kuwa,1799,51006,local,2016
CoveredWell/Kuwa,89,51004,local,2016
Not Stated Source of Water,23,51004,local,2016
Other Source of water,3,51004,local,2016
River/Stream,38,51004,local,2016
Sprout Water,819,51004,local,2016
Tap/Piped,4877,51004,local,2016
Tubewell/HandPump,6,51004,local,2016
Uncovered Well/Kuwa,297,51004,local,2016
CoveredWell/Kuwa,190,09,district,2016
Not Stated Source of Water,174,09,district,2016
Other Source of water,798,09,district,2016
River/Stream,103,09,district,2016
Sprout Water,284,09,district,2016
Tap/Piped,6184,09,district,2016
Tubewell/HandPump,75187,09,district,2016
Uncovered Well/Kuwa,227,09,district,2016
CoveredWell/Kuwa,10,58007,local,2016
Not Stated Source of Water,16,58007,local,2016
Other Source of water,60,58007,local,2016
River/Stream,1,58007,local,2016
Sprout Water,8,58007,local,2016
Tap/Piped,334,58007,local,2016
Tubewell/HandPump,10465,58007,local,2016
Uncovered Well/Kuwa,22,58007,local,2016
CoveredWell/Kuwa,15,58001,local,2016
Not Stated Source of Water,16,58001,local,2016
Other Source of water,21,58001,local,2016
River/Stream,1,58001,local,2016
Sprout Water,6,58001,local,2016
Tap/Piped,582,58001,local,2016
Tubewell/HandPump,9685,58001,local,2016
Uncovered Well/Kuwa,7,58001,local,2016
CoveredWell/Kuwa,19,58008,local,2016
Not Stated Source of Water,26,58008,local,2016
Other Source of water,75,58008,local,2016
River/Stream,4,58008,local,2016
Sprout Water,3,58008,local,2016
Tap/Piped,292,58008,local,2016
Tubewell/HandPump,8215,58008,local,2016
Uncovered Well/Kuwa,18,58008,local,2016
CoveredWell/Kuwa,10,58004,local,2016
Not Stated Source of Water,5,58004,local,2016
Other Source of water,84,58004,local,2016
River/Stream,18,58004,local,2016
Sprout Water,7,58004,local,2016
Tap/Piped,119,58004,local,2016
Tubewell/HandPump,5886,58004,local,2016
Uncovered Well/Kuwa,6,58004,local,2016
CoveredWell/Kuwa,78,58002,local,2016
Not Stated Source of Water,35,58002,local,2016
Other Source of water,220,58002,local,2016
River/Stream,61,58002,local,2016
Sprout Water,249,58002,local,2016
Tap/Piped,931,58002,local,2016
Tubewell/HandPump,9609,58002,local,2016
Uncovered Well/Kuwa,27,58002,local,2016
CoveredWell/Kuwa,35,58005,local,2016
Not Stated Source of Water,15,58005,local,2016
Other Source of water,85,58005,local,2016
River/Stream,2,58005,local,2016
Sprout Water,2,58005,local,2016
Tap/Piped,2283,58005,local,2016
Tubewell/HandPump,10639,58005,local,2016
Uncovered Well/Kuwa,3,58005,local,2016
CoveredWell/Kuwa,6,58006,local,2016
Not Stated Source of Water,25,58006,local,2016
Other Source of water,112,58006,local,2016
River/Stream,15,58006,local,2016
Sprout Water,2,58006,local,2016
Tap/Piped,1476,58006,local,2016
Tubewell/HandPump,7826,58006,local,2016
Uncovered Well/Kuwa,107,58006,local,2016
CoveredWell/Kuwa,17,58003,local,2016
Not Stated Source of Water,36,58003,local,2016
Other Source of water,141,58003,local,2016
River/Stream,1,58003,local,2016
Sprout Water,7,58003,local,2016
Tap/Piped,167,58003,local,2016
Tubewell/HandPump,12862,58003,local,2016
Uncovered Well/Kuwa,37,58003,local,2016
CoveredWell/Kuwa,378,33,district,2016
Not Stated Source of Water,759,33,district,2016
Other Source of water,1322,33,district,2016
River/Stream,145,33,district,2016
Sprout Water,571,33,district,2016
Tap/Piped,9334,33,district,2016
Tubewell/HandPump,77535,33,district,2016
Uncovered Well/Kuwa,1220,33,district,2016
CoveredWell/Kuwa,15,50009,local,2016
Not Stated Source of Water,129,50009,local,2016
Other Source of water,128,50009,local,2016
River/Stream,2,50009,local,2016
Sprout Water,12,50009,local,2016
Tap/Piped,88,50009,local,2016
Tubewell/HandPump,5951,50009,local,2016
Uncovered Well/Kuwa,21,50009,local,2016
CoveredWell/Kuwa,26,50001,local,2016
Not Stated Source of Water,85,50001,local,2016
Other Source of water,434,50001,local,2016
River/Stream,6,50001,local,2016
Sprout Water,142,50001,local,2016
Tap/Piped,3100,50001,local,2016
Tubewell/HandPump,12161,50001,local,2016
Uncovered Well/Kuwa,11,50001,local,2016
CoveredWell/Kuwa,73,50002,local,2016
Not Stated Source of Water,44,50002,local,2016
Other Source of water,49,50002,local,2016
River/Stream,59,50002,local,2016
Sprout Water,10,50002,local,2016
Tap/Piped,470,50002,local,2016
Tubewell/HandPump,4655,50002,local,2016
Uncovered Well/Kuwa,310,50002,local,2016
CoveredWell/Kuwa,12,50007,local,2016
Not Stated Source of Water,74,50007,local,2016
Other Source of water,55,50007,local,2016
River/Stream,0,50007,local,2016
Sprout Water,94,50007,local,2016
Tap/Piped,109,50007,local,2016
Tubewell/HandPump,6153,50007,local,2016
Uncovered Well/Kuwa,10,50007,local,2016
CoveredWell/Kuwa,22,50010,local,2016
Not Stated Source of Water,67,50010,local,2016
Other Source of water,74,50010,local,2016
River/Stream,0,50010,local,2016
Sprout Water,4,50010,local,2016
Tap/Piped,720,50010,local,2016
Tubewell/HandPump,4500,50010,local,2016
Uncovered Well/Kuwa,26,50010,local,2016
CoveredWell/Kuwa,36,50005,local,2016
Not Stated Source of Water,141,50005,local,2016
Other Source of water,53,50005,local,2016
River/Stream,0,50005,local,2016
Sprout Water,20,50005,local,2016
Tap/Piped,1124,50005,local,2016
Tubewell/HandPump,6756,50005,local,2016
Uncovered Well/Kuwa,391,50005,local,2016
CoveredWell/Kuwa,66,50003,local,2016
Not Stated Source of Water,49,50003,local,2016
Other Source of water,43,50003,local,2016
River/Stream,12,50003,local,2016
Sprout Water,111,50003,local,2016
Tap/Piped,479,50003,local,2016
Tubewell/HandPump,10599,50003,local,2016
Uncovered Well/Kuwa,162,50003,local,2016
CoveredWell/Kuwa,20,50004,local,2016
Not Stated Source of Water,103,50004,local,2016
Other Source of water,261,50004,local,2016
River/Stream,0,50004,local,2016
Sprout Water,44,50004,local,2016
Tap/Piped,2212,50004,local,2016
Tubewell/HandPump,9389,50004,local,2016
Uncovered Well/Kuwa,65,50004,local,2016
CoveredWell/Kuwa,28,50008,local,2016
Not Stated Source of Water,42,50008,local,2016
Other Source of water,208,50008,local,2016
River/Stream,64,50008,local,2016
Sprout Water,124,50008,local,2016
Tap/Piped,934,50008,local,2016
Tubewell/HandPump,9754,50008,local,2016
Uncovered Well/Kuwa,96,50008,local,2016
CoveredWell/Kuwa,80,50006,local,2016
Not Stated Source of Water,25,50006,local,2016
Other Source of water,17,50006,local,2016
River/Stream,2,50006,local,2016
Sprout Water,10,50006,local,2016
Tap/Piped,98,50006,local,2016
Tubewell/HandPump,7617,50006,local,2016
Uncovered Well/Kuwa,128,50006,local,2016
CoveredWell/Kuwa,17081,4,province,2016
Not Stated Source of Water,2215,4,province,2016
Other Source of water,2988,4,province,2016
River/Stream,4272,4,province,2016
Sprout Water,46786,4,province,2016
Tap/Piped,462277,4,province,2016
Tubewell/HandPump,13104,4,province,2016
Uncovered Well/Kuwa,28959,4,province,2016
CoveredWell/Kuwa,1547,23,district,2016
Not Stated Source of Water,253,23,district,2016
Other Source of water,33,23,district,2016
River/Stream,807,23,district,2016
Sprout Water,18640,23,district,2016
Tap/Piped,41743,23,district,2016
Tubewell/HandPump,20,23,district,2016
Uncovered Well/Kuwa,3415,23,district,2016
CoveredWell/Kuwa,133,36011,local,2016
Not Stated Source of Water,20,36011,local,2016
Other Source of water,5,36011,local,2016
River/Stream,88,36011,local,2016
Sprout Water,1520,36011,local,2016
Tap/Piped,3641,36011,local,2016
Tubewell/HandPump,0,36011,local,2016
Uncovered Well/Kuwa,422,36011,local,2016
CoveredWell/Kuwa,947,36008,local,2016
Not Stated Source of Water,11,36008,local,2016
Other Source of water,4,36008,local,2016
River/Stream,135,36008,local,2016
Sprout Water,1707,36008,local,2016
Tap/Piped,5780,36008,local,2016
Tubewell/HandPump,9,36008,local,2016
Uncovered Well/Kuwa,1331,36008,local,2016
CoveredWell/Kuwa,44,36001,local,2016
Not Stated Source of Water,13,36001,local,2016
Other Source of water,0,36001,local,2016
River/Stream,22,36001,local,2016
Sprout Water,993,36001,local,2016
Tap/Piped,4216,36001,local,2016
Tubewell/HandPump,0,36001,local,2016
Uncovered Well/Kuwa,326,36001,local,2016
CoveredWell/Kuwa,181,36003,local,2016
Not Stated Source of Water,14,36003,local,2016
Other Source of water,0,36003,local,2016
River/Stream,43,36003,local,2016
Sprout Water,3062,36003,local,2016
Tap/Piped,1835,36003,local,2016
Tubewell/HandPump,0,36003,local,2016
Uncovered Well/Kuwa,303,36003,local,2016
CoveredWell/Kuwa,4,36006,local,2016
Not Stated Source of Water,19,36006,local,2016
Other Source of water,0,36006,local,2016
River/Stream,73,36006,local,2016
Sprout Water,1076,36006,local,2016
Tap/Piped,3999,36006,local,2016
Tubewell/HandPump,1,36006,local,2016
Uncovered Well/Kuwa,81,36006,local,2016
CoveredWell/Kuwa,37,36010,local,2016
Not Stated Source of Water,21,36010,local,2016
Other Source of water,1,36010,local,2016
River/Stream,16,36010,local,2016
Sprout Water,898,36010,local,2016
Tap/Piped,4794,36010,local,2016
Tubewell/HandPump,0,36010,local,2016
Uncovered Well/Kuwa,129,36010,local,2016
CoveredWell/Kuwa,4,36002,local,2016
Not Stated Source of Water,15,36002,local,2016
Other Source of water,0,36002,local,2016
River/Stream,18,36002,local,2016
Sprout Water,250,36002,local,2016
Tap/Piped,3312,36002,local,2016
Tubewell/HandPump,0,36002,local,2016
Uncovered Well/Kuwa,19,36002,local,2016
CoveredWell/Kuwa,128,36007,local,2016
Not Stated Source of Water,56,36007,local,2016
Other Source of water,7,36007,local,2016
River/Stream,22,36007,local,2016
Sprout Water,6772,36007,local,2016
Tap/Piped,5614,36007,local,2016
Tubewell/HandPump,10,36007,local,2016
Uncovered Well/Kuwa,518,36007,local,2016
CoveredWell/Kuwa,1,36004,local,2016
Not Stated Source of Water,18,36004,local,2016
Other Source of water,2,36004,local,2016
River/Stream,234,36004,local,2016
Sprout Water,87,36004,local,2016
Tap/Piped,1525,36004,local,2016
Tubewell/HandPump,0,36004,local,2016
Uncovered Well/Kuwa,82,36004,local,2016
CoveredWell/Kuwa,0,36005,local,2016
Not Stated Source of Water,16,36005,local,2016
Other Source of water,0,36005,local,2016
River/Stream,114,36005,local,2016
Sprout Water,163,36005,local,2016
Tap/Piped,2830,36005,local,2016
Tubewell/HandPump,0,36005,local,2016
Uncovered Well/Kuwa,5,36005,local,2016
CoveredWell/Kuwa,68,36009,local,2016
Not Stated Source of Water,50,36009,local,2016
Other Source of water,14,36009,local,2016
River/Stream,42,36009,local,2016
Sprout Water,2112,36009,local,2016
Tap/Piped,4197,36009,local,2016
Tubewell/HandPump,0,36009,local,2016
Uncovered Well/Kuwa,199,36009,local,2016
CoveredWell/Kuwa,272,03,district,2016
Not Stated Source of Water,292,03,district,2016
Other Source of water,189,03,district,2016
River/Stream,927,03,district,2016
Sprout Water,3098,03,district,2016
Tap/Piped,54616,03,district,2016
Tubewell/HandPump,31,03,district,2016
Uncovered Well/Kuwa,2057,03,district,2016
CoveredWell/Kuwa,23,45008,local,2016
Not Stated Source of Water,35,45008,local,2016
Other Source of water,1,45008,local,2016
River/Stream,294,45008,local,2016
Sprout Water,478,45008,local,2016
Tap/Piped,3594,45008,local,2016
Tubewell/HandPump,3,45008,local,2016
Uncovered Well/Kuwa,465,45008,local,2016
CoveredWell/Kuwa,11,45007,local,2016
Not Stated Source of Water,26,45007,local,2016
Other Source of water,6,45007,local,2016
River/Stream,24,45007,local,2016
Sprout Water,104,45007,local,2016
Tap/Piped,5933,45007,local,2016
Tubewell/HandPump,3,45007,local,2016
Uncovered Well/Kuwa,21,45007,local,2016
CoveredWell/Kuwa,8,45005,local,2016
Not Stated Source of Water,32,45005,local,2016
Other Source of water,105,45005,local,2016
River/Stream,12,45005,local,2016
Sprout Water,285,45005,local,2016
Tap/Piped,7079,45005,local,2016
Tubewell/HandPump,2,45005,local,2016
Uncovered Well/Kuwa,188,45005,local,2016
CoveredWell/Kuwa,39,45001,local,2016
Not Stated Source of Water,65,45001,local,2016
Other Source of water,48,45001,local,2016
River/Stream,156,45001,local,2016
Sprout Water,347,45001,local,2016
Tap/Piped,5295,45001,local,2016
Tubewell/HandPump,4,45001,local,2016
Uncovered Well/Kuwa,274,45001,local,2016
CoveredWell/Kuwa,98,45002,local,2016
Not Stated Source of Water,32,45002,local,2016
Other Source of water,8,45002,local,2016
River/Stream,29,45002,local,2016
Sprout Water,627,45002,local,2016
Tap/Piped,14206,45002,local,2016
Tubewell/HandPump,11,45002,local,2016
Uncovered Well/Kuwa,171,45002,local,2016
CoveredWell/Kuwa,9,45003,local,2016
Not Stated Source of Water,11,45003,local,2016
Other Source of water,0,45003,local,2016
River/Stream,9,45003,local,2016
Sprout Water,102,45003,local,2016
Tap/Piped,3074,45003,local,2016
Tubewell/HandPump,1,45003,local,2016
Uncovered Well/Kuwa,34,45003,local,2016
CoveredWell/Kuwa,17,45009,local,2016
Not Stated Source of Water,16,45009,local,2016
Other Source of water,0,45009,local,2016
River/Stream,46,45009,local,2016
Sprout Water,166,45009,local,2016
Tap/Piped,2062,45009,local,2016
Tubewell/HandPump,1,45009,local,2016
Uncovered Well/Kuwa,114,45009,local,2016
CoveredWell/Kuwa,16,45004,local,2016
Not Stated Source of Water,36,45004,local,2016
Other Source of water,19,45004,local,2016
River/Stream,298,45004,local,2016
Sprout Water,365,45004,local,2016
Tap/Piped,4411,45004,local,2016
Tubewell/HandPump,2,45004,local,2016
Uncovered Well/Kuwa,559,45004,local,2016
CoveredWell/Kuwa,3,45010,local,2016
Not Stated Source of Water,6,45010,local,2016
Other Source of water,0,45010,local,2016
River/Stream,4,45010,local,2016
Sprout Water,97,45010,local,2016
Tap/Piped,2366,45010,local,2016
Tubewell/HandPump,1,45010,local,2016
Uncovered Well/Kuwa,18,45010,local,2016
CoveredWell/Kuwa,48,45006,local,2016
Not Stated Source of Water,33,45006,local,2016
Other Source of water,2,45006,local,2016
River/Stream,55,45006,local,2016
Sprout Water,527,45006,local,2016
Tap/Piped,6596,45006,local,2016
Tubewell/HandPump,3,45006,local,2016
Uncovered Well/Kuwa,213,45006,local,2016
CoveredWell/Kuwa,2695,71,district,2016
Not Stated Source of Water,170,71,district,2016
Other Source of water,66,71,district,2016
River/Stream,405,71,district,2016
Sprout Water,4592,71,district,2016
Tap/Piped,56927,71,district,2016
Tubewell/HandPump,84,71,district,2016
Uncovered Well/Kuwa,3917,71,district,2016
CoveredWell/Kuwa,608,39008,local,2016
Not Stated Source of Water,7,39008,local,2016
Other Source of water,0,39008,local,2016
River/Stream,58,39008,local,2016
Sprout Water,371,39008,local,2016
Tap/Piped,3309,39008,local,2016
Tubewell/HandPump,7,39008,local,2016
Uncovered Well/Kuwa,612,39008,local,2016
CoveredWell/Kuwa,169,39005,local,2016
Not Stated Source of Water,14,39005,local,2016
Other Source of water,10,39005,local,2016
River/Stream,36,39005,local,2016
Sprout Water,683,39005,local,2016
Tap/Piped,4463,39005,local,2016
Tubewell/HandPump,29,39005,local,2016
Uncovered Well/Kuwa,530,39005,local,2016
CoveredWell/Kuwa,77,39009,local,2016
Not Stated Source of Water,3,39009,local,2016
Other Source of water,2,39009,local,2016
River/Stream,12,39009,local,2016
Sprout Water,10,39009,local,2016
Tap/Piped,2919,39009,local,2016
Tubewell/HandPump,1,39009,local,2016
Uncovered Well/Kuwa,230,39009,local,2016
CoveredWell/Kuwa,38,39001,local,2016
Not Stated Source of Water,4,39001,local,2016
Other Source of water,1,39001,local,2016
River/Stream,10,39001,local,2016
Sprout Water,265,39001,local,2016
Tap/Piped,3681,39001,local,2016
Tubewell/HandPump,3,39001,local,2016
Uncovered Well/Kuwa,123,39001,local,2016
CoveredWell/Kuwa,70,39004,local,2016
Not Stated Source of Water,16,39004,local,2016
Other Source of water,0,39004,local,2016
River/Stream,81,39004,local,2016
Sprout Water,495,39004,local,2016
Tap/Piped,3530,39004,local,2016
Tubewell/HandPump,2,39004,local,2016
Uncovered Well/Kuwa,111,39004,local,2016
CoveredWell/Kuwa,121,39003,local,2016
Not Stated Source of Water,14,39003,local,2016
Other Source of water,4,39003,local,2016
River/Stream,10,39003,local,2016
Sprout Water,385,39003,local,2016
Tap/Piped,5337,39003,local,2016
Tubewell/HandPump,5,39003,local,2016
Uncovered Well/Kuwa,207,39003,local,2016
CoveredWell/Kuwa,1070,39011,local,2016
Not Stated Source of Water,51,39011,local,2016
Other Source of water,2,39011,local,2016
River/Stream,74,39011,local,2016
Sprout Water,1165,39011,local,2016
Tap/Piped,9366,39011,local,2016
Tubewell/HandPump,8,39011,local,2016
Uncovered Well/Kuwa,446,39011,local,2016
CoveredWell/Kuwa,236,39006,local,2016
Not Stated Source of Water,13,39006,local,2016
Other Source of water,28,39006,local,2016
River/Stream,54,39006,local,2016
Sprout Water,447,39006,local,2016
Tap/Piped,6761,39006,local,2016
Tubewell/HandPump,5,39006,local,2016
Uncovered Well/Kuwa,731,39006,local,2016
CoveredWell/Kuwa,24,39002,local,2016
Not Stated Source of Water,11,39002,local,2016
Other Source of water,5,39002,local,2016
River/Stream,16,39002,local,2016
Sprout Water,173,39002,local,2016
Tap/Piped,3585,39002,local,2016
Tubewell/HandPump,5,39002,local,2016
Uncovered Well/Kuwa,119,39002,local,2016
CoveredWell/Kuwa,101,39010,local,2016
Not Stated Source of Water,17,39010,local,2016
Other Source of water,14,39010,local,2016
River/Stream,42,39010,local,2016
Sprout Water,352,39010,local,2016
Tap/Piped,11019,39010,local,2016
Tubewell/HandPump,10,39010,local,2016
Uncovered Well/Kuwa,327,39010,local,2016
CoveredWell/Kuwa,181,39007,local,2016
Not Stated Source of Water,20,39007,local,2016
Other Source of water,0,39007,local,2016
River/Stream,12,39007,local,2016
Sprout Water,246,39007,local,2016
Tap/Piped,2957,39007,local,2016
Tubewell/HandPump,9,39007,local,2016
Uncovered Well/Kuwa,481,39007,local,2016
CoveredWell/Kuwa,6221,47,district,2016
Not Stated Source of Water,327,47,district,2016
Other Source of water,483,47,district,2016
River/Stream,251,47,district,2016
Sprout Water,1632,47,district,2016
Tap/Piped,39335,47,district,2016
Tubewell/HandPump,12451,47,district,2016
Uncovered Well/Kuwa,6215,47,district,2016
CoveredWell/Kuwa,845,76004,local,2016
Not Stated Source of Water,54,76004,local,2016
Other Source of water,22,76004,local,2016
River/Stream,16,76004,local,2016
Sprout Water,408,76004,local,2016
Tap/Piped,6796,76004,local,2016
Tubewell/HandPump,411,76004,local,2016
Uncovered Well/Kuwa,704,76004,local,2016
CoveredWell/Kuwa,69,76002,local,2016
Not Stated Source of Water,9,76002,local,2016
Other Source of water,2,76002,local,2016
River/Stream,21,76002,local,2016
Sprout Water,217,76002,local,2016
Tap/Piped,2943,76002,local,2016
Tubewell/HandPump,0,76002,local,2016
Uncovered Well/Kuwa,226,76002,local,2016
CoveredWell/Kuwa,1106,76007,local,2016
Not Stated Source of Water,75,76007,local,2016
Other Source of water,96,76007,local,2016
River/Stream,3,76007,local,2016
Sprout Water,316,76007,local,2016
Tap/Piped,7462,76007,local,2016
Tubewell/HandPump,3689,76007,local,2016
Uncovered Well/Kuwa,1357,76007,local,2016
CoveredWell/Kuwa,1742,76008,local,2016
Not Stated Source of Water,49,76008,local,2016
Other Source of water,209,76008,local,2016
River/Stream,56,76008,local,2016
Sprout Water,152,76008,local,2016
Tap/Piped,4452,76008,local,2016
Tubewell/HandPump,3124,76008,local,2016
Uncovered Well/Kuwa,2159,76008,local,2016
CoveredWell/Kuwa,342,76001,local,2016
Not Stated Source of Water,37,76001,local,2016
Other Source of water,28,76001,local,2016
River/Stream,69,76001,local,2016
Sprout Water,263,76001,local,2016
Tap/Piped,2311,76001,local,2016
Tubewell/HandPump,3274,76001,local,2016
Uncovered Well/Kuwa,592,76001,local,2016
CoveredWell/Kuwa,2072,76005,local,2016
Not Stated Source of Water,63,76005,local,2016
Other Source of water,116,76005,local,2016
River/Stream,22,76005,local,2016
Sprout Water,43,76005,local,2016
Tap/Piped,8674,76005,local,2016
Tubewell/HandPump,1953,76005,local,2016
Uncovered Well/Kuwa,680,76005,local,2016
CoveredWell/Kuwa,22,76006,local,2016
Not Stated Source of Water,35,76006,local,2016
Other Source of water,10,76006,local,2016
River/Stream,18,76006,local,2016
Sprout Water,41,76006,local,2016
Tap/Piped,4137,76006,local,2016
Tubewell/HandPump,0,76006,local,2016
Uncovered Well/Kuwa,325,76006,local,2016
CoveredWell/Kuwa,23,76003,local,2016
Not Stated Source of Water,5,76003,local,2016
Other Source of water,0,76003,local,2016
River/Stream,46,76003,local,2016
Sprout Water,192,76003,local,2016
Tap/Piped,2560,76003,local,2016
Tubewell/HandPump,0,76003,local,2016
Uncovered Well/Kuwa,172,76003,local,2016
CoveredWell/Kuwa,136,46,district,2016
Not Stated Source of Water,70,46,district,2016
Other Source of water,76,46,district,2016
River/Stream,410,46,district,2016
Sprout Water,2264,46,district,2016
Tap/Piped,24238,46,district,2016
Tubewell/HandPump,6,46,district,2016
Uncovered Well/Kuwa,527,46,district,2016
CoveredWell/Kuwa,9,43003,local,2016
Not Stated Source of Water,11,43003,local,2016
Other Source of water,1,43003,local,2016
River/Stream,229,43003,local,2016
Sprout Water,531,43003,local,2016
Tap/Piped,2353,43003,local,2016
Tubewell/HandPump,2,43003,local,2016
Uncovered Well/Kuwa,93,43003,local,2016
CoveredWell/Kuwa,29,43002,local,2016
Not Stated Source of Water,10,43002,local,2016
Other Source of water,29,43002,local,2016
River/Stream,11,43002,local,2016
Sprout Water,556,43002,local,2016
Tap/Piped,7957,43002,local,2016
Tubewell/HandPump,3,43002,local,2016
Uncovered Well/Kuwa,57,43002,local,2016
CoveredWell/Kuwa,17,43004,local,2016
Not Stated Source of Water,15,43004,local,2016
Other Source of water,19,43004,local,2016
River/Stream,25,43004,local,2016
Sprout Water,519,43004,local,2016
Tap/Piped,3404,43004,local,2016
Tubewell/HandPump,1,43004,local,2016
Uncovered Well/Kuwa,223,43004,local,2016
CoveredWell/Kuwa,6,43001,local,2016
Not Stated Source of Water,22,43001,local,2016
Other Source of water,6,43001,local,2016
River/Stream,41,43001,local,2016
Sprout Water,102,43001,local,2016
Tap/Piped,3498,43001,local,2016
Tubewell/HandPump,0,43001,local,2016
Uncovered Well/Kuwa,25,43001,local,2016
CoveredWell/Kuwa,58,43005,local,2016
Not Stated Source of Water,2,43005,local,2016
Other Source of water,20,43005,local,2016
River/Stream,29,43005,local,2016
Sprout Water,161,43005,local,2016
Tap/Piped,3517,43005,local,2016
Tubewell/HandPump,0,43005,local,2016
Uncovered Well/Kuwa,38,43005,local,2016
CoveredWell/Kuwa,17,43006,local,2016
Not Stated Source of Water,10,43006,local,2016
Other Source of water,1,43006,local,2016
River/Stream,75,43006,local,2016
Sprout Water,395,43006,local,2016
Tap/Piped,3509,43006,local,2016
Tubewell/HandPump,0,43006,local,2016
Uncovered Well/Kuwa,91,43006,local,2016
