caste or ethnic group,total,geo_code,geo_level,geo_version
Pattharkatta/ Kushwadiya,2657,NP,country,2016
Punjabi/Sikh,6687,NP,country,2016
Rai,613246,NP,country,2016
Rajbansi,114337,NP,country,2016
Rajbhar,9360,NP,country,2016
Rajdhob,13243,NP,country,2016
Raji,4140,NP,country,2016
Rajput,41101,NP,country,2016
Raute,538,NP,country,2016
Samgpang,1484,NP,country,2016
Sanyasi/Dasnami,225615,NP,country,2016
Sarbaria,4874,NP,country,2016
Sarki,372714,NP,country,2016
Satar/ Santhal,51165,NP,country,2016
Sherpa,108943,NP,country,2016
Sonar,63629,NP,country,2016
Sudhi,92455,NP,country,2016
Sunuwar,54519,NP,country,2016
Tajpuriya,18996,NP,country,2016
Tamang,1520781,NP,country,2016
Tatma/Tatwa,104494,NP,country,2016
Teli,367773,NP,country,2016
Terai Others,100739,NP,country,2016
Thakali,12239,NP,country,2016
Thakuri,418399,NP,country,2016
Thami,28282,NP,country,2016
Tharu,1724706,NP,country,2016
Thulung,3334,NP,country,2016
Topkegola,1487,NP,country,2016
Undefined Others,14175,NP,country,2016
Walung,1153,NP,country,2016
Yadav,1050051,NP,country,2016
Yakkha,23858,NP,country,2016
Yamphu,6841,NP,country,2016
Aathpariya,14,3,province,2016
Amat,15,3,province,2016
Badhaee,559,3,province,2016
Badi,4420,3,province,2016
Bahing,46,3,province,2016
Bangali,3689,3,province,2016
Bantaba,241,3,province,2016
Bantar/Sardar,202,3,province,2016
Baraee,795,3,province,2016
Bhote,2372,3,province,2016
Bin,157,3,province,2016
Bote,3059,3,province,2016
Brahman - Hill,995289,3,province,2016
Brahman - Tarai,4572,3,province,2016
Brahmu/ Baramo,778,3,province,2016
Byasi/Sauka,35,3,province,2016
Chamar/ Harijan/ Ram,1362,3,province,2016
Chamling,516,3,province,2016
Chepang /Praja,62915,3,province,2016
Chhantyal/Chhantel,837,3,province,2016
Chhetri,930763,3,province,2016
Dalit Others,13057,3,province,2016
Damai/Dholi,73726,3,province,2016
Danuwar,33663,3,province,2016
Darai,8962,3,province,2016
Dev,200,3,province,2016
Dhanuk,2626,3,province,2016
Dhimal,943,3,province,2016
Dhobi,887,3,province,2016
Dhunia,22,3,province,2016
Dom,76,3,province,2016
Dura,806,3,province,2016
Dusadh/ Pasawan/ Pasi,899,3,province,2016
Foreigner,2632,3,province,2016
Gaderi/Bhedihar,78,3,province,2016
Gaine,854,3,province,2016
Ghale,13946,3,province,2016
Gharti/Bhujel,33229,3,province,2016
Gurung,120469,3,province,2016
Hajam/Thakur,5711,3,province,2016
Halkhor,19,3,province,2016
Halwai,3295,3,province,2016
Hayu,2544,3,province,2016
Hyolmo,8204,3,province,2016
Janajati Others,195,3,province,2016
Jhangad/ Dhagar,129,3,province,2016
Jirel,5336,3,province,2016
Kahar,127,3,province,2016
Kalar,16,3,province,2016
Kalwar,8718,3,province,2016
Kamar,480,3,province,2016
Kami,136665,3,province,2016
Kanu,2617,3,province,2016
Kathabaniyan,8541,3,province,2016
Kayastha,3212,3,province,2016
Kewat,310,3,province,2016
Khaling,86,3,province,2016
Khatwe,150,3,province,2016
Khawas,130,3,province,2016
Koche,60,3,province,2016
Koiri/Kushwaha,4201,3,province,2016
Kulung,251,3,province,2016
Kumal,17967,3,province,2016
Kumhar,496,3,province,2016
Kurmi,1645,3,province,2016
Lepcha,100,3,province,2016
Lhomi,95,3,province,2016
Limbu,16989,3,province,2016
Lodh,90,3,province,2016
Lohar,1483,3,province,2016
Loharung,18,3,province,2016
Magar,264709,3,province,2016
Majhi,36367,3,province,2016
Mali,394,3,province,2016
Mallaha,1010,3,province,2016
Marwadi,14717,3,province,2016
Meche,28,3,province,2016
Munda,70,3,province,2016
Musahar,2457,3,province,2016
Musalman,35564,3,province,2016
Nachhiring,41,3,province,2016
Natuwa,16,3,province,2016
Newar,927732,3,province,2016
Nuniya,405,3,province,2016
Nurang,15,3,province,2016
Others,9357,3,province,2016
Pahari,12494,3,province,2016
Punjabi/Sikh,730,3,province,2016
Rai,82437,3,province,2016
Rajbansi,1088,3,province,2016
Rajbhar,23,3,province,2016
Rajdhob,65,3,province,2016
Raji,20,3,province,2016
Rajput,2417,3,province,2016
Samgpang,59,3,province,2016
Sanyasi/Dasnami,45470,3,province,2016
Sarki,72254,3,province,2016
Satar/ Santhal,183,3,province,2016
Sherpa,43537,3,province,2016
Sonar,1347,3,province,2016
Sudhi,2773,3,province,2016
Sunuwar,25096,3,province,2016
Tajpuriya,174,3,province,2016
Tamang,1116103,3,province,2016
Tatma/Tatwa,464,3,province,2016
Teli,10915,3,province,2016
Terai Others,7070,3,province,2016
Thakali,3456,3,province,2016
Thakuri,36745,3,province,2016
Thami,25613,3,province,2016
Tharu,88738,3,province,2016
