foundation type,total,geo_code,geo_level
Mud Bonded Bricks/Stone,63985,30013,local
Not Stated about House,445,30013,local
Others,114,30013,local
Rcc with Pillar,3958,30013,local
Wooden Pillar,1924,30013,local
Cement Bonded Bricks/Stone,3416,30002,local
Mud Bonded Bricks/Stone,63985,30002,local
Not Stated about House,445,30002,local
Others,114,30002,local
Rcc with Pillar,3958,30002,local
Wooden Pillar,1924,30002,local
Cement Bonded Bricks/Stone,3416,30012,local
Mud Bonded Bricks/Stone,63985,30012,local
Not Stated about House,445,30012,local
Others,114,30012,local
Rcc with Pillar,3958,30012,local
Wooden Pillar,1924,30012,local
Cement Bonded Bricks/Stone,3416,30001,local
Mud Bonded Bricks/Stone,63985,30001,local
Not Stated about House,445,30001,local
Others,114,30001,local
Rcc with Pillar,3958,30001,local
Wooden Pillar,1924,30001,local
Cement Bonded Bricks/Stone,155997,5,province
Mud Bonded Bricks/Stone,483067,5,province
Not Stated about House,7267,5,province
Others,34370,5,province
Rcc with Pillar,62090,5,province
Wooden Pillar,141966,5,province
Cement Bonded Bricks/Stone,2133,24,district
Mud Bonded Bricks/Stone,59067,24,district
Not Stated about House,205,24,district
Others,29,24,district
Rcc with Pillar,2014,24,district
Wooden Pillar,1439,24,district
Cement Bonded Bricks/Stone,2133,46006,local
Mud Bonded Bricks/Stone,59067,46006,local
Not Stated about House,205,46006,local
Others,29,46006,local
Rcc with Pillar,2014,46006,local
Wooden Pillar,1439,46006,local
Cement Bonded Bricks/Stone,2133,46001,local
Mud Bonded Bricks/Stone,59067,46001,local
Not Stated about House,205,46001,local
Others,29,46001,local
Rcc with Pillar,2014,46001,local
Wooden Pillar,1439,46001,local
Cement Bonded Bricks/Stone,2133,46010,local
Mud Bonded Bricks/Stone,59067,46010,local
Not Stated about House,205,46010,local
Others,29,46010,local
Rcc with Pillar,2014,46010,local
Wooden Pillar,1439,46010,local
Cement Bonded Bricks/Stone,2133,46008,local
Mud Bonded Bricks/Stone,59067,46008,local
Not Stated about House,205,46008,local
Others,29,46008,local
Rcc with Pillar,2014,46008,local
Wooden Pillar,1439,46008,local
Cement Bonded Bricks/Stone,2133,46011,local
Mud Bonded Bricks/Stone,59067,46011,local
Not Stated about House,205,46011,local
Others,29,46011,local
Rcc with Pillar,2014,46011,local
Wooden Pillar,1439,46011,local
Cement Bonded Bricks/Stone,2133,46012,local
Mud Bonded Bricks/Stone,59067,46012,local
Not Stated about House,205,46012,local
Others,29,46012,local
Rcc with Pillar,2014,46012,local
Wooden Pillar,1439,46012,local
Cement Bonded Bricks/Stone,2133,46003,local
Mud Bonded Bricks/Stone,59067,46003,local
Not Stated about House,205,46003,local
Others,29,46003,local
Rcc with Pillar,2014,46003,local
Wooden Pillar,1439,46003,local
Cement Bonded Bricks/Stone,2133,46002,local
Mud Bonded Bricks/Stone,59067,46002,local
Not Stated about House,205,46002,local
Others,29,46002,local
Rcc with Pillar,2014,46002,local
Wooden Pillar,1439,46002,local
Cement Bonded Bricks/Stone,2133,46004,local
Mud Bonded Bricks/Stone,59067,46004,local
Not Stated about House,205,46004,local
Others,29,46004,local
Rcc with Pillar,2014,46004,local
Wooden Pillar,1439,46004,local
Cement Bonded Bricks/Stone,2133,46007,local
Mud Bonded Bricks/Stone,59067,46007,local
Not Stated about House,205,46007,local
Others,29,46007,local
Rcc with Pillar,2014,46007,local
Wooden Pillar,1439,46007,local
Cement Bonded Bricks/Stone,2133,46009,local
Mud Bonded Bricks/Stone,59067,46009,local
Not Stated about House,205,46009,local
Others,29,46009,local
Rcc with Pillar,2014,46009,local
Wooden Pillar,1439,46009,local
Cement Bonded Bricks/Stone,2133,46005,local
Mud Bonded Bricks/Stone,59067,46005,local
Not Stated about House,205,46005,local
Others,29,46005,local
Rcc with Pillar,2014,46005,local
Wooden Pillar,1439,46005,local
Cement Bonded Bricks/Stone,13,59,district
Mud Bonded Bricks/Stone,10885,59,district
Not Stated about House,69,59,district
Others,3,59,district
Rcc with Pillar,4,59,district
Wooden Pillar,228,59,district
Cement Bonded Bricks/Stone,13,77001,local
Mud Bonded Bricks/Stone,10885,77001,local
Not Stated about House,69,77001,local
Others,3,77001,local
Rcc with Pillar,4,77001,local
Wooden Pillar,228,77001,local
Cement Bonded Bricks/Stone,13,77002,local
Mud Bonded Bricks/Stone,10885,77002,local
Not Stated about House,69,77002,local
Others,3,77002,local
Rcc with Pillar,4,77002,local
Wooden Pillar,228,77002,local
Cement Bonded Bricks/Stone,13,77003,local
Mud Bonded Bricks/Stone,10885,77003,local
Not Stated about House,69,77003,local
Others,3,77003,local
Rcc with Pillar,4,77003,local
Wooden Pillar,228,77003,local
Cement Bonded Bricks/Stone,876,54,district
Mud Bonded Bricks/Stone,44312,54,district
Not Stated about House,232,54,district
Others,52,54,district
Rcc with Pillar,963,54,district
Wooden Pillar,1281,54,district
Cement Bonded Bricks/Stone,876,52001,local
Mud Bonded Bricks/Stone,44312,52001,local
Not Stated about House,232,52001,local
Others,52,52001,local
Rcc with Pillar,963,52001,local
Wooden Pillar,1281,52001,local
Cement Bonded Bricks/Stone,876,52004,local
Mud Bonded Bricks/Stone,44312,52004,local
Not Stated about House,232,52004,local
Others,52,52004,local
Rcc with Pillar,963,52004,local
Wooden Pillar,1281,52004,local
Cement Bonded Bricks/Stone,876,52003,local
Mud Bonded Bricks/Stone,44312,52003,local
Not Stated about House,232,52003,local
Others,52,52003,local
Rcc with Pillar,963,52003,local
Wooden Pillar,1281,52003,local
Cement Bonded Bricks/Stone,876,52005,local
Mud Bonded Bricks/Stone,44312,52005,local
Not Stated about House,232,52005,local
Others,52,52005,local
Rcc with Pillar,963,52005,local
Wooden Pillar,1281,52005,local
Cement Bonded Bricks/Stone,876,52008,local
Mud Bonded Bricks/Stone,44312,52008,local
Not Stated about House,232,52008,local
Others,52,52008,local
Rcc with Pillar,963,52008,local
Wooden Pillar,1281,52008,local
Cement Bonded Bricks/Stone,876,52002,local
Mud Bonded Bricks/Stone,44312,52002,local
Not Stated about House,232,52002,local
Others,52,52002,local
Rcc with Pillar,963,52002,local
Wooden Pillar,1281,52002,local
Cement Bonded Bricks/Stone,876,52009,local
Mud Bonded Bricks/Stone,44312,52009,local
Not Stated about House,232,52009,local
Others,52,52009,local
Rcc with Pillar,963,52009,local
Wooden Pillar,1281,52009,local
Cement Bonded Bricks/Stone,876,52007,local
Mud Bonded Bricks/Stone,44312,52007,local
Not Stated about House,232,52007,local
Others,52,52007,local
Rcc with Pillar,963,52007,local
Wooden Pillar,1281,52007,local
Cement Bonded Bricks/Stone,876,52006,local
Mud Bonded Bricks/Stone,44312,52006,local
Not Stated about House,232,52006,local
Others,52,52006,local
Rcc with Pillar,963,52006,local
Wooden Pillar,1281,52006,local
Cement Bonded Bricks/Stone,67756,60,district
Mud Bonded Bricks/Stone,44772,60,district
Not Stated about House,2124,60,district
Others,6493,60,district
Rcc with Pillar,24537,60,district
Wooden Pillar,18153,60,district
Cement Bonded Bricks/Stone,67756,49010,local
Mud Bonded Bricks/Stone,44772,49010,local
Not Stated about House,2124,49010,local
Others,6493,49010,local
Rcc with Pillar,24537,49010,local
Wooden Pillar,18153,49010,local
Cement Bonded Bricks/Stone,67756,49004,local
Mud Bonded Bricks/Stone,44772,49004,local
Not Stated about House,2124,49004,local
Others,6493,49004,local
Rcc with Pillar,24537,49004,local
Wooden Pillar,18153,49004,local
Cement Bonded Bricks/Stone,67756,49012,local
Mud Bonded Bricks/Stone,44772,49012,local
Not Stated about House,2124,49012,local
Others,6493,49012,local
Rcc with Pillar,24537,49012,local
Wooden Pillar,18153,49012,local
Cement Bonded Bricks/Stone,67756,49001,local
Mud Bonded Bricks/Stone,44772,49001,local
Not Stated about House,2124,49001,local
Others,6493,49001,local
Rcc with Pillar,24537,49001,local
Wooden Pillar,18153,49001,local
Cement Bonded Bricks/Stone,67756,49015,local
Mud Bonded Bricks/Stone,44772,49015,local
Not Stated about House,2124,49015,local
Others,6493,49015,local
Rcc with Pillar,24537,49015,local
Wooden Pillar,18153,49015,local
Cement Bonded Bricks/Stone,67756,49009,local
Mud Bonded Bricks/Stone,44772,49009,local
Not Stated about House,2124,49009,local
Others,6493,49009,local
Rcc with Pillar,24537,49009,local
Wooden Pillar,18153,49009,local
Cement Bonded Bricks/Stone,67756,49011,local
Mud Bonded Bricks/Stone,44772,49011,local
Not Stated about House,2124,49011,local
Others,6493,49011,local
Rcc with Pillar,24537,49011,local
Wooden Pillar,18153,49011,local
Cement Bonded Bricks/Stone,67756,49016,local
Mud Bonded Bricks/Stone,44772,49016,local
Not Stated about House,2124,49016,local
Others,6493,49016,local
Rcc with Pillar,24537,49016,local
Wooden Pillar,18153,49016,local
Cement Bonded Bricks/Stone,67756,49014,local
Mud Bonded Bricks/Stone,44772,49014,local
Not Stated about House,2124,49014,local
Others,6493,49014,local
Rcc with Pillar,24537,49014,local
Wooden Pillar,18153,49014,local
Cement Bonded Bricks/Stone,67756,49008,local
Mud Bonded Bricks/Stone,44772,49008,local
Not Stated about House,2124,49008,local
Others,6493,49008,local
Rcc with Pillar,24537,49008,local
Wooden Pillar,18153,49008,local
Cement Bonded Bricks/Stone,67756,49003,local
Mud Bonded Bricks/Stone,44772,49003,local
Not Stated about House,2124,49003,local
Others,6493,49003,local
Rcc with Pillar,24537,49003,local
Wooden Pillar,18153,49003,local
Cement Bonded Bricks/Stone,67756,49006,local
Mud Bonded Bricks/Stone,44772,49006,local
Not Stated about House,2124,49006,local
Others,6493,49006,local
Rcc with Pillar,24537,49006,local
Wooden Pillar,18153,49006,local
Cement Bonded Bricks/Stone,67756,49005,local
Mud Bonded Bricks/Stone,44772,49005,local
Not Stated about House,2124,49005,local
Others,6493,49005,local
Rcc with Pillar,24537,49005,local
Wooden Pillar,18153,49005,local
Cement Bonded Bricks/Stone,67756,49007,local
Mud Bonded Bricks/Stone,44772,49007,local
Not Stated about House,2124,49007,local
Others,6493,49007,local
Rcc with Pillar,24537,49007,local
Wooden Pillar,18153,49007,local
Cement Bonded Bricks/Stone,67756,49002,local
Mud Bonded Bricks/Stone,44772,49002,local
Not Stated about House,2124,49002,local
Others,6493,49002,local
Rcc with Pillar,24537,49002,local
Wooden Pillar,18153,49002,local
Cement Bonded Bricks/Stone,67756,49013,local
Mud Bonded Bricks/Stone,44772,49013,local
Not Stated about House,2124,49013,local
Others,6493,49013,local
Rcc with Pillar,24537,49013,local
Wooden Pillar,18153,49013,local
Cement Bonded Bricks/Stone,22176,76,district
Mud Bonded Bricks/Stone,11459,76,district
Not Stated about House,491,76,district
Others,1583,76,district
Rcc with Pillar,5377,76,district
Wooden Pillar,20759,76,district
Cement Bonded Bricks/Stone,22176,48004,local
Mud Bonded Bricks/Stone,11459,48004,local
Not Stated about House,491,48004,local
Others,1583,48004,local
Rcc with Pillar,5377,48004,local
Wooden Pillar,20759,48004,local
Cement Bonded Bricks/Stone,22176,48002,local
Mud Bonded Bricks/Stone,11459,48002,local
Not Stated about House,491,48002,local
Others,1583,48002,local
Rcc with Pillar,5377,48002,local
Wooden Pillar,20759,48002,local
Cement Bonded Bricks/Stone,22176,48005,local
Mud Bonded Bricks/Stone,11459,48005,local
Not Stated about House,491,48005,local
Others,1583,48005,local
Rcc with Pillar,5377,48005,local
Wooden Pillar,20759,48005,local
Cement Bonded Bricks/Stone,22176,48001,local
Mud Bonded Bricks/Stone,11459,48001,local
Not Stated about House,491,48001,local
Others,1583,48001,local
Rcc with Pillar,5377,48001,local
Wooden Pillar,20759,48001,local
Cement Bonded Bricks/Stone,22176,48006,local
Mud Bonded Bricks/Stone,11459,48006,local
Not Stated about House,491,48006,local
Others,1583,48006,local
Rcc with Pillar,5377,48006,local
Wooden Pillar,20759,48006,local
Cement Bonded Bricks/Stone,22176,48007,local
Mud Bonded Bricks/Stone,11459,48007,local
Not Stated about House,491,48007,local
Others,1583,48007,local
Rcc with Pillar,5377,48007,local
Wooden Pillar,20759,48007,local
Cement Bonded Bricks/Stone,22176,48003,local
Mud Bonded Bricks/Stone,11459,48003,local
Not Stated about House,491,48003,local
Others,1583,48003,local
Rcc with Pillar,5377,48003,local
Wooden Pillar,20759,48003,local
Cement Bonded Bricks/Stone,19037,07,district
Mud Bonded Bricks/Stone,37078,07,district
Not Stated about House,950,07,district
Others,13026,07,district
Rcc with Pillar,6988,07,district
Wooden Pillar,17614,07,district
Cement Bonded Bricks/Stone,19037,57002,local
Mud Bonded Bricks/Stone,37078,57002,local
Not Stated about House,950,57002,local
Others,13026,57002,local
Rcc with Pillar,6988,57002,local
Wooden Pillar,17614,57002,local
Cement Bonded Bricks/Stone,19037,57006,local
Mud Bonded Bricks/Stone,37078,57006,local
Not Stated about House,950,57006,local
Others,13026,57006,local
Rcc with Pillar,6988,57006,local
Wooden Pillar,17614,57006,local
Cement Bonded Bricks/Stone,19037,57008,local
Mud Bonded Bricks/Stone,37078,57008,local
Not Stated about House,950,57008,local
Others,13026,57008,local
Rcc with Pillar,6988,57008,local
Wooden Pillar,17614,57008,local
Cement Bonded Bricks/Stone,19037,57001,local
Mud Bonded Bricks/Stone,37078,57001,local
Not Stated about House,950,57001,local
Others,13026,57001,local
Rcc with Pillar,6988,57001,local
Wooden Pillar,17614,57001,local
Cement Bonded Bricks/Stone,19037,57004,local
Mud Bonded Bricks/Stone,37078,57004,local
Not Stated about House,950,57004,local
Others,13026,57004,local
Rcc with Pillar,6988,57004,local
Wooden Pillar,17614,57004,local
Cement Bonded Bricks/Stone,19037,57005,local
Mud Bonded Bricks/Stone,37078,57005,local
Not Stated about House,950,57005,local
Others,13026,57005,local
Rcc with Pillar,6988,57005,local
Wooden Pillar,17614,57005,local
Cement Bonded Bricks/Stone,19037,57007,local
Mud Bonded Bricks/Stone,37078,57007,local
Not Stated about House,950,57007,local
Others,13026,57007,local
Rcc with Pillar,6988,57007,local
Wooden Pillar,17614,57007,local
Cement Bonded Bricks/Stone,19037,57003,local
Mud Bonded Bricks/Stone,37078,57003,local
Not Stated about House,950,57003,local
Others,13026,57003,local
Rcc with Pillar,6988,57003,local
Wooden Pillar,17614,57003,local
Cement Bonded Bricks/Stone,3499,50,district
Mud Bonded Bricks/Stone,47964,50,district
Not Stated about House,274,50,district
Others,82,50,district
Rcc with Pillar,4450,50,district
Wooden Pillar,2991,50,district
Cement Bonded Bricks/Stone,3499,47007,local
Mud Bonded Bricks/Stone,47964,47007,local
Not Stated about House,274,47007,local
Others,82,47007,local
Rcc with Pillar,4450,47007,local
Wooden Pillar,2991,47007,local
Cement Bonded Bricks/Stone,3499,47005,local
Mud Bonded Bricks/Stone,47964,47005,local
Not Stated about House,274,47005,local
Others,82,47005,local
Rcc with Pillar,4450,47005,local
Wooden Pillar,2991,47005,local
Cement Bonded Bricks/Stone,3499,47010,local
Mud Bonded Bricks/Stone,47964,47010,local
Not Stated about House,274,47010,local
Others,82,47010,local
Rcc with Pillar,4450,47010,local
Wooden Pillar,2991,47010,local
Cement Bonded Bricks/Stone,3499,47003,local
Mud Bonded Bricks/Stone,47964,47003,local
Not Stated about House,274,47003,local
Others,82,47003,local
Rcc with Pillar,4450,47003,local
Wooden Pillar,2991,47003,local
Cement Bonded Bricks/Stone,3499,47008,local
Mud Bonded Bricks/Stone,47964,47008,local
Not Stated about House,274,47008,local
Others,82,47008,local
Rcc with Pillar,4450,47008,local
Wooden Pillar,2991,47008,local
Cement Bonded Bricks/Stone,3499,47006,local
Mud Bonded Bricks/Stone,47964,47006,local
Not Stated about House,274,47006,local
Others,82,47006,local
Rcc with Pillar,4450,47006,local
Wooden Pillar,2991,47006,local
Cement Bonded Bricks/Stone,3499,47001,local
Mud Bonded Bricks/Stone,47964,47001,local
Not Stated about House,274,47001,local
Others,82,47001,local
Rcc with Pillar,4450,47001,local
Wooden Pillar,2991,47001,local
Cement Bonded Bricks/Stone,3499,47009,local
Mud Bonded Bricks/Stone,47964,47009,local
Not Stated about House,274,47009,local
Others,82,47009,local
Rcc with Pillar,4450,47009,local
Wooden Pillar,2991,47009,local
Cement Bonded Bricks/Stone,3499,47002,local
Mud Bonded Bricks/Stone,47964,47002,local
Not Stated about House,274,47002,local
Others,82,47002,local
Rcc with Pillar,4450,47002,local
Wooden Pillar,2991,47002,local
Cement Bonded Bricks/Stone,3499,47004,local
Mud Bonded Bricks/Stone,47964,47004,local
Not Stated about House,274,47004,local
Others,82,47004,local
Rcc with Pillar,4450,47004,local
Wooden Pillar,2991,47004,local
Cement Bonded Bricks/Stone,626,58,district
Mud Bonded Bricks/Stone,41733,58,district
Not Stated about House,262,58,district
Others,45,58,district
Rcc with Pillar,355,58,district
Wooden Pillar,714,58,district
Cement Bonded Bricks/Stone,626,53008,local
Mud Bonded Bricks/Stone,41733,53008,local
Not Stated about House,262,53008,local
Others,45,53008,local
Rcc with Pillar,355,53008,local
Wooden Pillar,714,53008,local
Cement Bonded Bricks/Stone,626,53001,local
Mud Bonded Bricks/Stone,41733,53001,local
Not Stated about House,262,53001,local
Others,45,53001,local
Rcc with Pillar,355,53001,local
Wooden Pillar,714,53001,local
Cement Bonded Bricks/Stone,626,53003,local
Mud Bonded Bricks/Stone,41733,53003,local
Not Stated about House,262,53003,local
Others,45,53003,local
Rcc with Pillar,355,53003,local
Wooden Pillar,714,53003,local
Cement Bonded Bricks/Stone,626,53004,local
Mud Bonded Bricks/Stone,41733,53004,local
Not Stated about House,262,53004,local
Others,45,53004,local
Rcc with Pillar,355,53004,local
Wooden Pillar,714,53004,local
Cement Bonded Bricks/Stone,626,53010,local
Mud Bonded Bricks/Stone,41733,53010,local
Not Stated about House,262,53010,local
Others,45,53010,local
Rcc with Pillar,355,53010,local
Wooden Pillar,714,53010,local
Cement Bonded Bricks/Stone,626,53006,local
Mud Bonded Bricks/Stone,41733,53006,local
Not Stated about House,262,53006,local
Others,45,53006,local
Rcc with Pillar,355,53006,local
Wooden Pillar,714,53006,local
Cement Bonded Bricks/Stone,626,53009,local
Mud Bonded Bricks/Stone,41733,53009,local
Not Stated about House,262,53009,local
Others,45,53009,local
Rcc with Pillar,355,53009,local
Wooden Pillar,714,53009,local
Cement Bonded Bricks/Stone,626,53005,local
Mud Bonded Bricks/Stone,41733,53005,local
Not Stated about House,262,53005,local
Others,45,53005,local
Rcc with Pillar,355,53005,local
Wooden Pillar,714,53005,local
Cement Bonded Bricks/Stone,626,53002,local
Mud Bonded Bricks/Stone,41733,53002,local
Not Stated about House,262,53002,local
Others,45,53002,local
Rcc with Pillar,355,53002,local
Wooden Pillar,714,53002,local
Cement Bonded Bricks/Stone,626,53007,local
Mud Bonded Bricks/Stone,41733,53007,local
Not Stated about House,262,53007,local
Others,45,53007,local
Rcc with Pillar,355,53007,local
Wooden Pillar,714,53007,local
Cement Bonded Bricks/Stone,10202,15,district
Mud Bonded Bricks/Stone,76279,15,district
Not Stated about House,829,15,district
Others,3504,15,district
Rcc with Pillar,9574,15,district
Wooden Pillar,15959,15,district
Cement Bonded Bricks/Stone,10202,56005,local
Mud Bonded Bricks/Stone,76279,56005,local
Not Stated about House,829,56005,local
Others,3504,56005,local
Rcc with Pillar,9574,56005,local
Wooden Pillar,15959,56005,local
Cement Bonded Bricks/Stone,10202,56010,local
Mud Bonded Bricks/Stone,76279,56010,local
Not Stated about House,829,56010,local
Others,3504,56010,local
Rcc with Pillar,9574,56010,local
Wooden Pillar,15959,56010,local
Cement Bonded Bricks/Stone,10202,56003,local
Mud Bonded Bricks/Stone,76279,56003,local
Not Stated about House,829,56003,local
Others,3504,56003,local
Rcc with Pillar,9574,56003,local
Wooden Pillar,15959,56003,local
Cement Bonded Bricks/Stone,10202,56007,local
Mud Bonded Bricks/Stone,76279,56007,local
Not Stated about House,829,56007,local
Others,3504,56007,local
Rcc with Pillar,9574,56007,local
Wooden Pillar,15959,56007,local
Cement Bonded Bricks/Stone,10202,56006,local
Mud Bonded Bricks/Stone,76279,56006,local
Not Stated about House,829,56006,local
Others,3504,56006,local
Rcc with Pillar,9574,56006,local
Wooden Pillar,15959,56006,local
Cement Bonded Bricks/Stone,10202,56009,local
Mud Bonded Bricks/Stone,76279,56009,local
Not Stated about House,829,56009,local
Others,3504,56009,local
Rcc with Pillar,9574,56009,local
Wooden Pillar,15959,56009,local
Cement Bonded Bricks/Stone,10202,56001,local
Mud Bonded Bricks/Stone,76279,56001,local
Not Stated about House,829,56001,local
Others,3504,56001,local
Rcc with Pillar,9574,56001,local
Wooden Pillar,15959,56001,local
Cement Bonded Bricks/Stone,10202,56008,local
Mud Bonded Bricks/Stone,76279,56008,local
Not Stated about House,829,56008,local
Others,3504,56008,local
Rcc with Pillar,9574,56008,local
Wooden Pillar,15959,56008,local
Cement Bonded Bricks/Stone,10202,56002,local
Mud Bonded Bricks/Stone,76279,56002,local
Not Stated about House,829,56002,local
Others,3504,56002,local
Rcc with Pillar,9574,56002,local
Wooden Pillar,15959,56002,local
Cement Bonded Bricks/Stone,10202,56004,local
Mud Bonded Bricks/Stone,76279,56004,local
Not Stated about House,829,56004,local
Others,3504,56004,local
Rcc with Pillar,9574,56004,local
Wooden Pillar,15959,56004,local
Cement Bonded Bricks/Stone,1234,02,district
Mud Bonded Bricks/Stone,40618,02,district
Not Stated about House,188,02,district
Others,27,02,district
Rcc with Pillar,1340,02,district
Wooden Pillar,3419,02,district
Cement Bonded Bricks/Stone,1234,51002,local
Mud Bonded Bricks/Stone,40618,51002,local
Not Stated about House,188,51002,local
Others,27,51002,local
Rcc with Pillar,1340,51002,local
Wooden Pillar,3419,51002,local
Cement Bonded Bricks/Stone,1234,51003,local
Mud Bonded Bricks/Stone,40618,51003,local
Not Stated about House,188,51003,local
Others,27,51003,local
Rcc with Pillar,1340,51003,local
Wooden Pillar,3419,51003,local
Cement Bonded Bricks/Stone,1234,51005,local
Mud Bonded Bricks/Stone,40618,51005,local
Not Stated about House,188,51005,local
Others,27,51005,local
Rcc with Pillar,1340,51005,local
Wooden Pillar,3419,51005,local
Cement Bonded Bricks/Stone,1234,51001,local
Mud Bonded Bricks/Stone,40618,51001,local
Not Stated about House,188,51001,local
Others,27,51001,local
Rcc with Pillar,1340,51001,local
Wooden Pillar,3419,51001,local
Cement Bonded Bricks/Stone,1234,51006,local
Mud Bonded Bricks/Stone,40618,51006,local
Not Stated about House,188,51006,local
Others,27,51006,local
Rcc with Pillar,1340,51006,local
Wooden Pillar,3419,51006,local
Cement Bonded Bricks/Stone,1234,51004,local
Mud Bonded Bricks/Stone,40618,51004,local
Not Stated about House,188,51004,local
Others,27,51004,local
Rcc with Pillar,1340,51004,local
Wooden Pillar,3419,51004,local
Cement Bonded Bricks/Stone,8193,09,district
Mud Bonded Bricks/Stone,26947,09,district
Not Stated about House,269,09,district
Others,6155,09,district
Rcc with Pillar,1652,09,district
Wooden Pillar,39931,09,district
Cement Bonded Bricks/Stone,8193,58007,local
Mud Bonded Bricks/Stone,26947,58007,local
Not Stated about House,269,58007,local
Others,6155,58007,local
Rcc with Pillar,1652,58007,local
Wooden Pillar,39931,58007,local
Cement Bonded Bricks/Stone,8193,58001,local
Mud Bonded Bricks/Stone,26947,58001,local
Not Stated about House,269,58001,local
Others,6155,58001,local
Rcc with Pillar,1652,58001,local
Wooden Pillar,39931,58001,local
Cement Bonded Bricks/Stone,8193,58008,local
Mud Bonded Bricks/Stone,26947,58008,local
Not Stated about House,269,58008,local
Others,6155,58008,local
Rcc with Pillar,1652,58008,local
Wooden Pillar,39931,58008,local
Cement Bonded Bricks/Stone,8193,58004,local
Mud Bonded Bricks/Stone,26947,58004,local
Not Stated about House,269,58004,local
Others,6155,58004,local
Rcc with Pillar,1652,58004,local
Wooden Pillar,39931,58004,local
Cement Bonded Bricks/Stone,8193,58002,local
Mud Bonded Bricks/Stone,26947,58002,local
Not Stated about House,269,58002,local
Others,6155,58002,local
Rcc with Pillar,1652,58002,local
Wooden Pillar,39931,58002,local
Cement Bonded Bricks/Stone,8193,58005,local
Mud Bonded Bricks/Stone,26947,58005,local
Not Stated about House,269,58005,local
Others,6155,58005,local
Rcc with Pillar,1652,58005,local
Wooden Pillar,39931,58005,local
Cement Bonded Bricks/Stone,8193,58006,local
Mud Bonded Bricks/Stone,26947,58006,local
Not Stated about House,269,58006,local
Others,6155,58006,local
Rcc with Pillar,1652,58006,local
Wooden Pillar,39931,58006,local
Cement Bonded Bricks/Stone,8193,58003,local
Mud Bonded Bricks/Stone,26947,58003,local
Not Stated about House,269,58003,local
Others,6155,58003,local
Rcc with Pillar,1652,58003,local
Wooden Pillar,39931,58003,local
Cement Bonded Bricks/Stone,20252,33,district
Mud Bonded Bricks/Stone,41953,33,district
Not Stated about House,1374,33,district
Others,3371,33,district
Rcc with Pillar,4836,33,district
Wooden Pillar,19478,33,district
Cement Bonded Bricks/Stone,20252,50009,local
Mud Bonded Bricks/Stone,41953,50009,local
Not Stated about House,1374,50009,local
Others,3371,50009,local
Rcc with Pillar,4836,50009,local
Wooden Pillar,19478,50009,local
Cement Bonded Bricks/Stone,20252,50001,local
Mud Bonded Bricks/Stone,41953,50001,local
Not Stated about House,1374,50001,local
Others,3371,50001,local
Rcc with Pillar,4836,50001,local
Wooden Pillar,19478,50001,local
Cement Bonded Bricks/Stone,20252,50002,local
Mud Bonded Bricks/Stone,41953,50002,local
Not Stated about House,1374,50002,local
Others,3371,50002,local
Rcc with Pillar,4836,50002,local
Wooden Pillar,19478,50002,local
Cement Bonded Bricks/Stone,20252,50007,local
Mud Bonded Bricks/Stone,41953,50007,local
Not Stated about House,1374,50007,local
Others,3371,50007,local
Rcc with Pillar,4836,50007,local
Wooden Pillar,19478,50007,local
Cement Bonded Bricks/Stone,20252,50010,local
Mud Bonded Bricks/Stone,41953,50010,local
Not Stated about House,1374,50010,local
Others,3371,50010,local
Rcc with Pillar,4836,50010,local
Wooden Pillar,19478,50010,local
Cement Bonded Bricks/Stone,20252,50005,local
Mud Bonded Bricks/Stone,41953,50005,local
Not Stated about House,1374,50005,local
Others,3371,50005,local
Rcc with Pillar,4836,50005,local
Wooden Pillar,19478,50005,local
Cement Bonded Bricks/Stone,20252,50003,local
Mud Bonded Bricks/Stone,41953,50003,local
Not Stated about House,1374,50003,local
Others,3371,50003,local
Rcc with Pillar,4836,50003,local
Wooden Pillar,19478,50003,local
Cement Bonded Bricks/Stone,20252,50004,local
Mud Bonded Bricks/Stone,41953,50004,local
Not Stated about House,1374,50004,local
Others,3371,50004,local
Rcc with Pillar,4836,50004,local
Wooden Pillar,19478,50004,local
Cement Bonded Bricks/Stone,20252,50008,local
Mud Bonded Bricks/Stone,41953,50008,local
Not Stated about House,1374,50008,local
Others,3371,50008,local
Rcc with Pillar,4836,50008,local
Wooden Pillar,19478,50008,local
Cement Bonded Bricks/Stone,20252,50006,local
Mud Bonded Bricks/Stone,41953,50006,local
Not Stated about House,1374,50006,local
Others,3371,50006,local
Rcc with Pillar,4836,50006,local
Wooden Pillar,19478,50006,local
Cement Bonded Bricks/Stone,87648,4,province
Mud Bonded Bricks/Stone,387311,4,province
Not Stated about House,3378,4,province
Others,1384,4,province
Rcc with Pillar,69259,4,province
Wooden Pillar,28702,4,province
Cement Bonded Bricks/Stone,2284,23,district
Mud Bonded Bricks/Stone,58275,23,district
Not Stated about House,350,23,district
Others,187,23,district
Rcc with Pillar,3660,23,district
Wooden Pillar,1702,23,district
Cement Bonded Bricks/Stone,2284,36011,local
Mud Bonded Bricks/Stone,58275,36011,local
Not Stated about House,350,36011,local
Others,187,36011,local
Rcc with Pillar,3660,36011,local
Wooden Pillar,1702,36011,local
Cement Bonded Bricks/Stone,2284,36008,local
Mud Bonded Bricks/Stone,58275,36008,local
Not Stated about House,350,36008,local
Others,187,36008,local
Rcc with Pillar,3660,36008,local
Wooden Pillar,1702,36008,local
Cement Bonded Bricks/Stone,2284,36001,local
