foundation type,total,geo_code,geo_level
Not Stated about House,543,23007,local
Others,34,23007,local
Rcc with Pillar,1322,23007,local
Wooden Pillar,651,23007,local
Cement Bonded Bricks/Stone,2708,23006,local
Mud Bonded Bricks/Stone,61377,23006,local
Not Stated about House,543,23006,local
Others,34,23006,local
Rcc with Pillar,1322,23006,local
Wooden Pillar,651,23006,local
Cement Bonded Bricks/Stone,2708,23004,local
Mud Bonded Bricks/Stone,61377,23004,local
Not Stated about House,543,23004,local
Others,34,23004,local
Rcc with Pillar,1322,23004,local
Wooden Pillar,651,23004,local
Cement Bonded Bricks/Stone,2708,23003,local
Mud Bonded Bricks/Stone,61377,23003,local
Not Stated about House,543,23003,local
Others,34,23003,local
Rcc with Pillar,1322,23003,local
Wooden Pillar,651,23003,local
Cement Bonded Bricks/Stone,2708,23005,local
Mud Bonded Bricks/Stone,61377,23005,local
Not Stated about House,543,23005,local
Others,34,23005,local
Rcc with Pillar,1322,23005,local
Wooden Pillar,651,23005,local
Cement Bonded Bricks/Stone,2708,23001,local
Mud Bonded Bricks/Stone,61377,23001,local
Not Stated about House,543,23001,local
Others,34,23001,local
Rcc with Pillar,1322,23001,local
Wooden Pillar,651,23001,local
Cement Bonded Bricks/Stone,2708,23009,local
Mud Bonded Bricks/Stone,61377,23009,local
Not Stated about House,543,23009,local
Others,34,23009,local
Rcc with Pillar,1322,23009,local
Wooden Pillar,651,23009,local
Cement Bonded Bricks/Stone,2708,23012,local
Mud Bonded Bricks/Stone,61377,23012,local
Not Stated about House,543,23012,local
Others,34,23012,local
Rcc with Pillar,1322,23012,local
Wooden Pillar,651,23012,local
Cement Bonded Bricks/Stone,2708,23002,local
Mud Bonded Bricks/Stone,61377,23002,local
Not Stated about House,543,23002,local
Others,34,23002,local
Rcc with Pillar,1322,23002,local
Wooden Pillar,651,23002,local
Cement Bonded Bricks/Stone,2708,23010,local
Mud Bonded Bricks/Stone,61377,23010,local
Not Stated about House,543,23010,local
Others,34,23010,local
Rcc with Pillar,1322,23010,local
Wooden Pillar,651,23010,local
Cement Bonded Bricks/Stone,44360,12,district
Mud Bonded Bricks/Stone,33729,12,district
Not Stated about House,1104,12,district
Others,1376,12,district
Rcc with Pillar,22126,12,district
Wooden Pillar,29650,12,district
Cement Bonded Bricks/Stone,44360,35002,local
Mud Bonded Bricks/Stone,33729,35002,local
Not Stated about House,1104,35002,local
Others,1376,35002,local
Rcc with Pillar,22126,35002,local
Wooden Pillar,29650,35002,local
Cement Bonded Bricks/Stone,44360,35006,local
Mud Bonded Bricks/Stone,33729,35006,local
Not Stated about House,1104,35006,local
Others,1376,35006,local
Rcc with Pillar,22126,35006,local
Wooden Pillar,29650,35006,local
Cement Bonded Bricks/Stone,44360,35004,local
Mud Bonded Bricks/Stone,33729,35004,local
Not Stated about House,1104,35004,local
Others,1376,35004,local
Rcc with Pillar,22126,35004,local
Wooden Pillar,29650,35004,local
Cement Bonded Bricks/Stone,44360,35007,local
Mud Bonded Bricks/Stone,33729,35007,local
Not Stated about House,1104,35007,local
Others,1376,35007,local
Rcc with Pillar,22126,35007,local
Wooden Pillar,29650,35007,local
Cement Bonded Bricks/Stone,44360,35003,local
Mud Bonded Bricks/Stone,33729,35003,local
Not Stated about House,1104,35003,local
Others,1376,35003,local
Rcc with Pillar,22126,35003,local
Wooden Pillar,29650,35003,local
Cement Bonded Bricks/Stone,44360,35001,local
Mud Bonded Bricks/Stone,33729,35001,local
Not Stated about House,1104,35001,local
Others,1376,35001,local
Rcc with Pillar,22126,35001,local
Wooden Pillar,29650,35001,local
Cement Bonded Bricks/Stone,44360,35005,local
Mud Bonded Bricks/Stone,33729,35005,local
Not Stated about House,1104,35005,local
Others,1376,35005,local
Rcc with Pillar,22126,35005,local
Wooden Pillar,29650,35005,local
Cement Bonded Bricks/Stone,34151,38,district
Mud Bonded Bricks/Stone,36858,38,district
Not Stated about House,3725,38,district
Others,275,38,district
Rcc with Pillar,33934,38,district
Wooden Pillar,562,38,district
Cement Bonded Bricks/Stone,34151,25005,local
Mud Bonded Bricks/Stone,36858,25005,local
Not Stated about House,3725,25005,local
Others,275,25005,local
Rcc with Pillar,33934,25005,local
Wooden Pillar,562,25005,local
Cement Bonded Bricks/Stone,34151,25002,local
Mud Bonded Bricks/Stone,36858,25002,local
Not Stated about House,3725,25002,local
Others,275,25002,local
Rcc with Pillar,33934,25002,local
Wooden Pillar,562,25002,local
Cement Bonded Bricks/Stone,34151,25001,local
Mud Bonded Bricks/Stone,36858,25001,local
Not Stated about House,3725,25001,local
Others,275,25001,local
Rcc with Pillar,33934,25001,local
Wooden Pillar,562,25001,local
Cement Bonded Bricks/Stone,34151,25003,local
Mud Bonded Bricks/Stone,36858,25003,local
Not Stated about House,3725,25003,local
Others,275,25003,local
Rcc with Pillar,33934,25003,local
Wooden Pillar,562,25003,local
Cement Bonded Bricks/Stone,34151,25006,local
Mud Bonded Bricks/Stone,36858,25006,local
Not Stated about House,3725,25006,local
Others,275,25006,local
Rcc with Pillar,33934,25006,local
Wooden Pillar,562,25006,local
Cement Bonded Bricks/Stone,34151,25004,local
Mud Bonded Bricks/Stone,36858,25004,local
Not Stated about House,3725,25004,local
Others,275,25004,local
Rcc with Pillar,33934,25004,local
Wooden Pillar,562,25004,local
Cement Bonded Bricks/Stone,17894,10,district
Mud Bonded Bricks/Stone,28269,10,district
Not Stated about House,963,10,district
Others,273,10,district
Rcc with Pillar,20868,10,district
Wooden Pillar,290,10,district
Cement Bonded Bricks/Stone,17894,26004,local
Mud Bonded Bricks/Stone,28269,26004,local
Not Stated about House,963,26004,local
