roof type,total,geo_code,geo_level,geo_version
Other Type of Roof,27,20005,local,2016
RCC Roof,1343,20005,local,2016
Thatch/Straw Roof,1469,20005,local,2016
Tile/Slate Roof,9933,20005,local,2016
Wood/Planks Roof,52,20005,local,2016
Galvanized Iron Plate,35594,66,district,2016
Mud Roof,23,66,district,2016
Not Stated Roof,675,66,district,2016
Other Type of Roof,98,66,district,2016
RCC Roof,3034,66,district,2016
Thatch/Straw Roof,2174,66,district,2016
Tile/Slate Roof,22748,66,district,2016
Wood/Planks Roof,2289,66,district,2016
Galvanized Iron Plate,3405,23011,local,2016
Mud Roof,0,23011,local,2016
Not Stated Roof,60,23011,local,2016
Other Type of Roof,1,23011,local,2016
RCC Roof,131,23011,local,2016
Thatch/Straw Roof,185,23011,local,2016
Tile/Slate Roof,575,23011,local,2016
Wood/Planks Roof,2,23011,local,2016
Galvanized Iron Plate,2396,23008,local,2016
Mud Roof,0,23008,local,2016
Not Stated Roof,39,23008,local,2016
Other Type of Roof,3,23008,local,2016
RCC Roof,108,23008,local,2016
Thatch/Straw Roof,384,23008,local,2016
Tile/Slate Roof,748,23008,local,2016
Wood/Planks Roof,2,23008,local,2016
Galvanized Iron Plate,72,23007,local,2016
Mud Roof,17,23007,local,2016
Not Stated Roof,44,23007,local,2016
Other Type of Roof,1,23007,local,2016
RCC Roof,18,23007,local,2016
Thatch/Straw Roof,112,23007,local,2016
Tile/Slate Roof,2971,23007,local,2016
Wood/Planks Roof,706,23007,local,2016
Galvanized Iron Plate,2876,23006,local,2016
Mud Roof,0,23006,local,2016
Not Stated Roof,48,23006,local,2016
Other Type of Roof,4,23006,local,2016
RCC Roof,44,23006,local,2016
Thatch/Straw Roof,115,23006,local,2016
Tile/Slate Roof,3122,23006,local,2016
Wood/Planks Roof,2,23006,local,2016
Galvanized Iron Plate,4421,23004,local,2016
Mud Roof,0,23004,local,2016
Not Stated Roof,169,23004,local,2016
Other Type of Roof,6,23004,local,2016
RCC Roof,906,23004,local,2016
Thatch/Straw Roof,160,23004,local,2016
Tile/Slate Roof,5242,23004,local,2016
Wood/Planks Roof,2,23004,local,2016
Galvanized Iron Plate,2976,23003,local,2016
Mud Roof,1,23003,local,2016
Not Stated Roof,48,23003,local,2016
Other Type of Roof,16,23003,local,2016
RCC Roof,411,23003,local,2016
Thatch/Straw Roof,86,23003,local,2016
Tile/Slate Roof,211,23003,local,2016
Wood/Planks Roof,434,23003,local,2016
Galvanized Iron Plate,3760,23005,local,2016
Mud Roof,1,23005,local,2016
Not Stated Roof,30,23005,local,2016
Other Type of Roof,52,23005,local,2016
RCC Roof,58,23005,local,2016
Thatch/Straw Roof,126,23005,local,2016
Tile/Slate Roof,164,23005,local,2016
Wood/Planks Roof,12,23005,local,2016
Galvanized Iron Plate,1609,23001,local,2016
Mud Roof,0,23001,local,2016
Not Stated Roof,42,23001,local,2016
Other Type of Roof,6,23001,local,2016
RCC Roof,375,23001,local,2016
Thatch/Straw Roof,78,23001,local,2016
Tile/Slate Roof,2302,23001,local,2016
Wood/Planks Roof,17,23001,local,2016
Galvanized Iron Plate,7525,23009,local,2016
Mud Roof,2,23009,local,2016
Not Stated Roof,77,23009,local,2016
Other Type of Roof,1,23009,local,2016
RCC Roof,269,23009,local,2016
Thatch/Straw Roof,440,23009,local,2016
Tile/Slate Roof,1782,23009,local,2016
Wood/Planks Roof,1,23009,local,2016
Galvanized Iron Plate,1735,23012,local,2016
Mud Roof,2,23012,local,2016
Not Stated Roof,11,23012,local,2016
Other Type of Roof,1,23012,local,2016
RCC Roof,27,23012,local,2016
Thatch/Straw Roof,246,23012,local,2016
Tile/Slate Roof,1337,23012,local,2016
Wood/Planks Roof,35,23012,local,2016
Galvanized Iron Plate,2922,23002,local,2016
Mud Roof,0,23002,local,2016
Not Stated Roof,44,23002,local,2016
Other Type of Roof,5,23002,local,2016
RCC Roof,650,23002,local,2016
Thatch/Straw Roof,146,23002,local,2016
Tile/Slate Roof,2095,23002,local,2016
Wood/Planks Roof,363,23002,local,2016
Galvanized Iron Plate,1897,23010,local,2016
Mud Roof,0,23010,local,2016
Not Stated Roof,63,23010,local,2016
Other Type of Roof,2,23010,local,2016
RCC Roof,37,23010,local,2016
Thatch/Straw Roof,96,23010,local,2016
Tile/Slate Roof,2199,23010,local,2016
Wood/Planks Roof,713,23010,local,2016
Galvanized Iron Plate,67555,12,district,2016
Mud Roof,0,12,district,2016
Not Stated Roof,1252,12,district,2016
Other Type of Roof,566,12,district,2016
RCC Roof,40966,12,district,2016
Thatch/Straw Roof,15739,12,district,2016
Tile/Slate Roof,5938,12,district,2016
Wood/Planks Roof,329,12,district,2016
Galvanized Iron Plate,2026,35002,local,2016
Mud Roof,0,35002,local,2016
Not Stated Roof,22,35002,local,2016
Other Type of Roof,1,35002,local,2016
RCC Roof,547,35002,local,2016
Thatch/Straw Roof,1814,35002,local,2016
Tile/Slate Roof,359,35002,local,2016
Wood/Planks Roof,9,35002,local,2016
Galvanized Iron Plate,7101,35006,local,2016
Mud Roof,0,35006,local,2016
Not Stated Roof,53,35006,local,2016
Other Type of Roof,77,35006,local,2016
RCC Roof,1538,35006,local,2016
Thatch/Straw Roof,2422,35006,local,2016
Tile/Slate Roof,819,35006,local,2016
Wood/Planks Roof,45,35006,local,2016
Galvanized Iron Plate,6855,35004,local,2016
Mud Roof,0,35004,local,2016
Not Stated Roof,103,35004,local,2016
Other Type of Roof,61,35004,local,2016
RCC Roof,3537,35004,local,2016
Thatch/Straw Roof,1179,35004,local,2016
Tile/Slate Roof,556,35004,local,2016
Wood/Planks Roof,40,35004,local,2016
Galvanized Iron Plate,8532,35007,local,2016
Mud Roof,0,35007,local,2016
Not Stated Roof,259,35007,local,2016
Other Type of Roof,78,35007,local,2016
RCC Roof,5322,35007,local,2016
Thatch/Straw Roof,1446,35007,local,2016
Tile/Slate Roof,411,35007,local,2016
Wood/Planks Roof,22,35007,local,2016
Galvanized Iron Plate,6332,35003,local,2016
Mud Roof,0,35003,local,2016
Not Stated Roof,60,35003,local,2016
Other Type of Roof,99,35003,local,2016
RCC Roof,923,35003,local,2016
Thatch/Straw Roof,1308,35003,local,2016
Tile/Slate Roof,367,35003,local,2016
Wood/Planks Roof,27,35003,local,2016
Galvanized Iron Plate,33337,35001,local,2016
Mud Roof,0,35001,local,2016
Not Stated Roof,717,35001,local,2016
Other Type of Roof,233,35001,local,2016
RCC Roof,28696,35001,local,2016
Thatch/Straw Roof,5395,35001,local,2016
Tile/Slate Roof,490,35001,local,2016
Wood/Planks Roof,167,35001,local,2016
Galvanized Iron Plate,3372,35005,local,2016
Mud Roof,0,35005,local,2016
Not Stated Roof,38,35005,local,2016
Other Type of Roof,17,35005,local,2016
RCC Roof,403,35005,local,2016
Thatch/Straw Roof,2175,35005,local,2016
Tile/Slate Roof,2936,35005,local,2016
Wood/Planks Roof,19,35005,local,2016
Galvanized Iron Plate,24862,38,district,2016
Mud Roof,28,38,district,2016
Not Stated Roof,3940,38,district,2016
Other Type of Roof,213,38,district,2016
RCC Roof,72083,38,district,2016
Thatch/Straw Roof,1622,38,district,2016
Tile/Slate Roof,6550,38,district,2016
Wood/Planks Roof,207,38,district,2016
Galvanized Iron Plate,2315,25005,local,2016
Mud Roof,3,25005,local,2016
Not Stated Roof,535,25005,local,2016
Other Type of Roof,20,25005,local,2016
RCC Roof,10339,25005,local,2016
Thatch/Straw Roof,196,25005,local,2016
Tile/Slate Roof,1510,25005,local,2016
Wood/Planks Roof,12,25005,local,2016
Galvanized Iron Plate,6511,25002,local,2016
Mud Roof,1,25002,local,2016
Not Stated Roof,440,25002,local,2016
Other Type of Roof,6,25002,local,2016
RCC Roof,7999,25002,local,2016
Thatch/Straw Roof,367,25002,local,2016
Tile/Slate Roof,2421,25002,local,2016
Wood/Planks Roof,17,25002,local,2016
Galvanized Iron Plate,2049,25001,local,2016
Mud Roof,0,25001,local,2016
Not Stated Roof,33,25001,local,2016
Other Type of Roof,0,25001,local,2016
RCC Roof,1,25001,local,2016
Thatch/Straw Roof,520,25001,local,2016
Tile/Slate Roof,11,25001,local,2016
Wood/Planks Roof,0,25001,local,2016
Galvanized Iron Plate,1832,25003,local,2016
Mud Roof,1,25003,local,2016
Not Stated Roof,20,25003,local,2016
Other Type of Roof,4,25003,local,2016
RCC Roof,10,25003,local,2016
Thatch/Straw Roof,69,25003,local,2016
Tile/Slate Roof,64,25003,local,2016
Wood/Planks Roof,1,25003,local,2016
Galvanized Iron Plate,1789,25006,local,2016
Mud Roof,0,25006,local,2016
Not Stated Roof,19,25006,local,2016
Other Type of Roof,0,25006,local,2016
RCC Roof,1,25006,local,2016
Thatch/Straw Roof,124,25006,local,2016
Tile/Slate Roof,8,25006,local,2016
Wood/Planks Roof,1,25006,local,2016
Galvanized Iron Plate,10366,25004,local,2016
Mud Roof,23,25004,local,2016
Not Stated Roof,2893,25004,local,2016
Other Type of Roof,183,25004,local,2016
RCC Roof,53733,25004,local,2016
Thatch/Straw Roof,346,25004,local,2016
Tile/Slate Roof,2536,25004,local,2016
Wood/Planks Roof,176,25004,local,2016
Galvanized Iron Plate,21042,10,district,2016
Mud Roof,16,10,district,2016
Not Stated Roof,1088,10,district,2016
Other Type of Roof,93,10,district,2016
RCC Roof,38641,10,district,2016
Thatch/Straw Roof,868,10,district,2016
Tile/Slate Roof,6630,10,district,2016
Wood/Planks Roof,179,10,district,2016
Galvanized Iron Plate,4384,26004,local,2016
Mud Roof,0,26004,local,2016
Not Stated Roof,234,26004,local,2016
Other Type of Roof,13,26004,local,2016
RCC Roof,11632,26004,local,2016
Thatch/Straw Roof,254,26004,local,2016
Tile/Slate Roof,1891,26004,local,2016
Wood/Planks Roof,38,26004,local,2016
Galvanized Iron Plate,5238,26002,local,2016
Mud Roof,4,26002,local,2016
