roof type,total,geo_code,geo_level,geo_version
Tile/Slate Roof,2510,49011,local,2016
Wood/Planks Roof,30,49011,local,2016
Galvanized Iron Plate,2920,49016,local,2016
Mud Roof,0,49016,local,2016
Not Stated Roof,397,49016,local,2016
Other Type of Roof,53,49016,local,2016
RCC Roof,15597,49016,local,2016
Thatch/Straw Roof,1527,49016,local,2016
Tile/Slate Roof,1415,49016,local,2016
Wood/Planks Roof,48,49016,local,2016
Galvanized Iron Plate,684,49014,local,2016
Mud Roof,0,49014,local,2016
Not Stated Roof,31,49014,local,2016
Other Type of Roof,45,49014,local,2016
RCC Roof,4248,49014,local,2016
Thatch/Straw Roof,566,49014,local,2016
Tile/Slate Roof,1208,49014,local,2016
Wood/Planks Roof,10,49014,local,2016
Galvanized Iron Plate,169,49008,local,2016
Mud Roof,0,49008,local,2016
Not Stated Roof,64,49008,local,2016
Other Type of Roof,26,49008,local,2016
RCC Roof,4765,49008,local,2016
Thatch/Straw Roof,710,49008,local,2016
Tile/Slate Roof,1045,49008,local,2016
Wood/Planks Roof,31,49008,local,2016
Galvanized Iron Plate,390,49003,local,2016
Mud Roof,0,49003,local,2016
Not Stated Roof,76,49003,local,2016
Other Type of Roof,40,49003,local,2016
RCC Roof,3332,49003,local,2016
Thatch/Straw Roof,1300,49003,local,2016
Tile/Slate Roof,2135,49003,local,2016
Wood/Planks Roof,12,49003,local,2016
Galvanized Iron Plate,288,49006,local,2016
Mud Roof,0,49006,local,2016
Not Stated Roof,153,49006,local,2016
Other Type of Roof,33,49006,local,2016
RCC Roof,6952,49006,local,2016
Thatch/Straw Roof,1298,49006,local,2016
Tile/Slate Roof,1201,49006,local,2016
Wood/Planks Roof,21,49006,local,2016
Galvanized Iron Plate,68,49005,local,2016
Mud Roof,0,49005,local,2016
Not Stated Roof,49,49005,local,2016
Other Type of Roof,38,49005,local,2016
RCC Roof,4089,49005,local,2016
Thatch/Straw Roof,851,49005,local,2016
Tile/Slate Roof,479,49005,local,2016
Wood/Planks Roof,19,49005,local,2016
Galvanized Iron Plate,128,49007,local,2016
Mud Roof,0,49007,local,2016
Not Stated Roof,85,49007,local,2016
Other Type of Roof,12,49007,local,2016
RCC Roof,2869,49007,local,2016
Thatch/Straw Roof,1482,49007,local,2016
Tile/Slate Roof,663,49007,local,2016
Wood/Planks Roof,24,49007,local,2016
Galvanized Iron Plate,4222,49002,local,2016
Mud Roof,0,49002,local,2016
Not Stated Roof,130,49002,local,2016
Other Type of Roof,33,49002,local,2016
RCC Roof,4177,49002,local,2016
Thatch/Straw Roof,1345,49002,local,2016
Tile/Slate Roof,1453,49002,local,2016
Wood/Planks Roof,50,49002,local,2016
Galvanized Iron Plate,663,49013,local,2016
Mud Roof,0,49013,local,2016
Not Stated Roof,484,49013,local,2016
Other Type of Roof,27,49013,local,2016
RCC Roof,10486,49013,local,2016
Thatch/Straw Roof,446,49013,local,2016
Tile/Slate Roof,361,49013,local,2016
Wood/Planks Roof,30,49013,local,2016
Galvanized Iron Plate,8531,76,district,2016
Mud Roof,0,76,district,2016
Not Stated Roof,595,76,district,2016
Other Type of Roof,471,76,district,2016
RCC Roof,22565,76,district,2016
Thatch/Straw Roof,6413,76,district,2016
Tile/Slate Roof,22856,76,district,2016
Wood/Planks Roof,414,76,district,2016
Galvanized Iron Plate,651,48004,local,2016
Mud Roof,0,48004,local,2016
Not Stated Roof,90,48004,local,2016
Other Type of Roof,88,48004,local,2016
RCC Roof,5076,48004,local,2016
Thatch/Straw Roof,1000,48004,local,2016
Tile/Slate Roof,3320,48004,local,2016
Wood/Planks Roof,57,48004,local,2016
Galvanized Iron Plate,232,48002,local,2016
Mud Roof,0,48002,local,2016
Not Stated Roof,48,48002,local,2016
Other Type of Roof,146,48002,local,2016
RCC Roof,3027,48002,local,2016
Thatch/Straw Roof,625,48002,local,2016
Tile/Slate Roof,1747,48002,local,2016
Wood/Planks Roof,56,48002,local,2016
Galvanized Iron Plate,381,48005,local,2016
Mud Roof,0,48005,local,2016
Not Stated Roof,77,48005,local,2016
Other Type of Roof,40,48005,local,2016
RCC Roof,2179,48005,local,2016
Thatch/Straw Roof,774,48005,local,2016
Tile/Slate Roof,3134,48005,local,2016
Wood/Planks Roof,48,48005,local,2016
Galvanized Iron Plate,2759,48001,local,2016
Mud Roof,0,48001,local,2016
Not Stated Roof,99,48001,local,2016
Other Type of Roof,50,48001,local,2016
RCC Roof,4450,48001,local,2016
Thatch/Straw Roof,829,48001,local,2016
Tile/Slate Roof,5177,48001,local,2016
Wood/Planks Roof,51,48001,local,2016
Galvanized Iron Plate,3565,48006,local,2016
Mud Roof,0,48006,local,2016
Not Stated Roof,122,48006,local,2016
Other Type of Roof,27,48006,local,2016
RCC Roof,5210,48006,local,2016
Thatch/Straw Roof,1082,48006,local,2016
Tile/Slate Roof,1956,48006,local,2016
Wood/Planks Roof,56,48006,local,2016
Galvanized Iron Plate,517,48007,local,2016
Mud Roof,0,48007,local,2016
Not Stated Roof,70,48007,local,2016
Other Type of Roof,74,48007,local,2016
RCC Roof,937,48007,local,2016
Thatch/Straw Roof,1172,48007,local,2016
Tile/Slate Roof,3440,48007,local,2016
Wood/Planks Roof,20,48007,local,2016
Galvanized Iron Plate,426,48003,local,2016
Mud Roof,0,48003,local,2016
Not Stated Roof,89,48003,local,2016
Other Type of Roof,46,48003,local,2016
RCC Roof,1686,48003,local,2016
Thatch/Straw Roof,931,48003,local,2016
Tile/Slate Roof,4082,48003,local,2016
Wood/Planks Roof,126,48003,local,2016
Galvanized Iron Plate,8288,07,district,2016
Mud Roof,0,07,district,2016
Not Stated Roof,1030,07,district,2016
Other Type of Roof,348,07,district,2016
RCC Roof,35225,07,district,2016
Thatch/Straw Roof,18023,07,district,2016
Tile/Slate Roof,31290,07,district,2016
Wood/Planks Roof,489,07,district,2016
Galvanized Iron Plate,517,57002,local,2016
Mud Roof,0,57002,local,2016
Not Stated Roof,52,57002,local,2016
Other Type of Roof,9,57002,local,2016
RCC Roof,1161,57002,local,2016
Thatch/Straw Roof,2624,57002,local,2016
Tile/Slate Roof,2167,57002,local,2016
Wood/Planks Roof,60,57002,local,2016
Galvanized Iron Plate,53,57006,local,2016
Mud Roof,0,57006,local,2016
Not Stated Roof,47,57006,local,2016
Other Type of Roof,3,57006,local,2016
RCC Roof,1912,57006,local,2016
Thatch/Straw Roof,3529,57006,local,2016
Tile/Slate Roof,312,57006,local,2016
Wood/Planks Roof,52,57006,local,2016
Galvanized Iron Plate,755,57008,local,2016
Mud Roof,0,57008,local,2016
Not Stated Roof,49,57008,local,2016
Other Type of Roof,22,57008,local,2016
RCC Roof,843,57008,local,2016
Thatch/Straw Roof,4236,57008,local,2016
Tile/Slate Roof,4788,57008,local,2016
Wood/Planks Roof,49,57008,local,2016
Galvanized Iron Plate,1122,57001,local,2016
Mud Roof,0,57001,local,2016
Not Stated Roof,47,57001,local,2016
Other Type of Roof,31,57001,local,2016
RCC Roof,1945,57001,local,2016
Thatch/Straw Roof,885,57001,local,2016
Tile/Slate Roof,7013,57001,local,2016
Wood/Planks Roof,23,57001,local,2016
Galvanized Iron Plate,1494,57004,local,2016
Mud Roof,0,57004,local,2016
Not Stated Roof,72,57004,local,2016
Other Type of Roof,35,57004,local,2016
RCC Roof,2803,57004,local,2016
Thatch/Straw Roof,1616,57004,local,2016
Tile/Slate Roof,4254,57004,local,2016
Wood/Planks Roof,14,57004,local,2016
Galvanized Iron Plate,1659,57005,local,2016
Mud Roof,0,57005,local,2016
Not Stated Roof,139,57005,local,2016
Other Type of Roof,144,57005,local,2016
RCC Roof,6064,57005,local,2016
Thatch/Straw Roof,1066,57005,local,2016
Tile/Slate Roof,6364,57005,local,2016
Wood/Planks Roof,47,57005,local,2016
Galvanized Iron Plate,2175,57007,local,2016
Mud Roof,0,57007,local,2016
Not Stated Roof,505,57007,local,2016
Other Type of Roof,85,57007,local,2016
RCC Roof,18168,57007,local,2016
Thatch/Straw Roof,2415,57007,local,2016
Tile/Slate Roof,4332,57007,local,2016
Wood/Planks Roof,212,57007,local,2016
Galvanized Iron Plate,513,57003,local,2016
Mud Roof,0,57003,local,2016
Not Stated Roof,119,57003,local,2016
Other Type of Roof,19,57003,local,2016
RCC Roof,2329,57003,local,2016
Thatch/Straw Roof,1652,57003,local,2016
Tile/Slate Roof,2060,57003,local,2016
Wood/Planks Roof,32,57003,local,2016
Galvanized Iron Plate,39067,50,district,2016
Mud Roof,0,50,district,2016
Not Stated Roof,327,50,district,2016
Other Type of Roof,21,50,district,2016
RCC Roof,6946,50,district,2016
Thatch/Straw Roof,12623,50,district,2016
Tile/Slate Roof,242,50,district,2016
Wood/Planks Roof,34,50,district,2016
Galvanized Iron Plate,5381,47007,local,2016
Mud Roof,0,47007,local,2016
Not Stated Roof,57,47007,local,2016
Other Type of Roof,2,47007,local,2016
RCC Roof,1092,47007,local,2016
Thatch/Straw Roof,1535,47007,local,2016
Tile/Slate Roof,61,47007,local,2016
Wood/Planks Roof,4,47007,local,2016
Galvanized Iron Plate,3867,47005,local,2016
Mud Roof,0,47005,local,2016
Not Stated Roof,30,47005,local,2016
Other Type of Roof,0,47005,local,2016
RCC Roof,68,47005,local,2016
Thatch/Straw Roof,2032,47005,local,2016
Tile/Slate Roof,11,47005,local,2016
Wood/Planks Roof,1,47005,local,2016
Galvanized Iron Plate,2230,47010,local,2016
Mud Roof,0,47010,local,2016
Not Stated Roof,19,47010,local,2016
Other Type of Roof,2,47010,local,2016
RCC Roof,119,47010,local,2016
Thatch/Straw Roof,1495,47010,local,2016
Tile/Slate Roof,15,47010,local,2016
Wood/Planks Roof,8,47010,local,2016
Galvanized Iron Plate,2291,47003,local,2016
Mud Roof,0,47003,local,2016
Not Stated Roof,25,47003,local,2016
Other Type of Roof,7,47003,local,2016
RCC Roof,11,47003,local,2016
Thatch/Straw Roof,1529,47003,local,2016
Tile/Slate Roof,25,47003,local,2016
Wood/Planks Roof,3,47003,local,2016
Galvanized Iron Plate,3344,47008,local,2016
Mud Roof,0,47008,local,2016
Not Stated Roof,19,47008,local,2016
Other Type of Roof,0,47008,local,2016
RCC Roof,110,47008,local,2016
Thatch/Straw Roof,1132,47008,local,2016
Tile/Slate Roof,38,47008,local,2016
Wood/Planks Roof,4,47008,local,2016
Galvanized Iron Plate,3342,47006,local,2016
Mud Roof,0,47006,local,2016
Not Stated Roof,10,47006,local,2016
Other Type of Roof,0,47006,local,2016
RCC Roof,154,47006,local,2016
Thatch/Straw Roof,1104,47006,local,2016
Tile/Slate Roof,15,47006,local,2016
Wood/Planks Roof,1,47006,local,2016
Galvanized Iron Plate,4504,47001,local,2016
Mud Roof,0,47001,local,2016
Not Stated Roof,19,47001,local,2016
Other Type of Roof,0,47001,local,2016
RCC Roof,206,47001,local,2016
Thatch/Straw Roof,530,47001,local,2016
Tile/Slate Roof,9,47001,local,2016
Wood/Planks Roof,2,47001,local,2016
Galvanized Iron Plate,8218,47009,local,2016
Mud Roof,0,47009,local,2016
Not Stated Roof,120,47009,local,2016
Other Type of Roof,8,47009,local,2016
RCC Roof,4719,47009,local,2016
Thatch/Straw Roof,534,47009,local,2016
Tile/Slate Roof,40,47009,local,2016
Wood/Planks Roof,7,47009,local,2016
Galvanized Iron Plate,3232,47002,local,2016
Mud Roof,0,47002,local,2016
Not Stated Roof,15,47002,local,2016
Other Type of Roof,2,47002,local,2016
RCC Roof,373,47002,local,2016
Thatch/Straw Roof,1416,47002,local,2016
Tile/Slate Roof,25,47002,local,2016
Wood/Planks Roof,3,47002,local,2016
Galvanized Iron Plate,2658,47004,local,2016
Mud Roof,0,47004,local,2016
Not Stated Roof,13,47004,local,2016
Other Type of Roof,0,47004,local,2016
RCC Roof,94,47004,local,2016
Thatch/Straw Roof,1316,47004,local,2016
Tile/Slate Roof,3,47004,local,2016
Wood/Planks Roof,1,47004,local,2016
Galvanized Iron Plate,1888,58,district,2016
Mud Roof,2,58,district,2016
Not Stated Roof,296,58,district,2016
Other Type of Roof,7,58,district,2016
RCC Roof,724,58,district,2016
Thatch/Straw Roof,19866,58,district,2016
Tile/Slate Roof,19682,58,district,2016
Wood/Planks Roof,1270,58,district,2016
Galvanized Iron Plate,418,53008,local,2016
Mud Roof,0,53008,local,2016
Not Stated Roof,37,53008,local,2016
Other Type of Roof,0,53008,local,2016
RCC Roof,247,53008,local,2016
Thatch/Straw Roof,2944,53008,local,2016
Tile/Slate Roof,2004,53008,local,2016
Wood/Planks Roof,7,53008,local,2016
Galvanized Iron Plate,65,53001,local,2016
Mud Roof,0,53001,local,2016
Not Stated Roof,22,53001,local,2016
Other Type of Roof,0,53001,local,2016
RCC Roof,4,53001,local,2016
Thatch/Straw Roof,1575,53001,local,2016
Tile/Slate Roof,2317,53001,local,2016
Wood/Planks Roof,35,53001,local,2016
Galvanized Iron Plate,34,53003,local,2016
Mud Roof,0,53003,local,2016
Not Stated Roof,18,53003,local,2016
Other Type of Roof,4,53003,local,2016
RCC Roof,3,53003,local,2016
Thatch/Straw Roof,1140,53003,local,2016
Tile/Slate Roof,2458,53003,local,2016
Wood/Planks Roof,1,53003,local,2016
Galvanized Iron Plate,294,53004,local,2016
Mud Roof,1,53004,local,2016
Not Stated Roof,86,53004,local,2016
Other Type of Roof,0,53004,local,2016
RCC Roof,407,53004,local,2016
Thatch/Straw Roof,2725,53004,local,2016
Tile/Slate Roof,3612,53004,local,2016
Wood/Planks Roof,8,53004,local,2016
Galvanized Iron Plate,327,53010,local,2016
Mud Roof,0,53010,local,2016
Not Stated Roof,26,53010,local,2016
Other Type of Roof,0,53010,local,2016
RCC Roof,8,53010,local,2016
Thatch/Straw Roof,3554,53010,local,2016
Tile/Slate Roof,623,53010,local,2016
Wood/Planks Roof,2,53010,local,2016
Galvanized Iron Plate,92,53006,local,2016
Mud Roof,0,53006,local,2016
Not Stated Roof,12,53006,local,2016
Other Type of Roof,0,53006,local,2016
RCC Roof,1,53006,local,2016
Thatch/Straw Roof,432,53006,local,2016
Tile/Slate Roof,2917,53006,local,2016
Wood/Planks Roof,1,53006,local,2016
Galvanized Iron Plate,44,53009,local,2016
Mud Roof,0,53009,local,2016
Not Stated Roof,16,53009,local,2016
Other Type of Roof,2,53009,local,2016
RCC Roof,5,53009,local,2016
Thatch/Straw Roof,364,53009,local,2016
Tile/Slate Roof,863,53009,local,2016
Wood/Planks Roof,878,53009,local,2016
Galvanized Iron Plate,410,53005,local,2016
Mud Roof,1,53005,local,2016
Not Stated Roof,31,53005,local,2016
Other Type of Roof,1,53005,local,2016
RCC Roof,39,53005,local,2016
Thatch/Straw Roof,5179,53005,local,2016
Tile/Slate Roof,21,53005,local,2016
Wood/Planks Roof,2,53005,local,2016
Galvanized Iron Plate,69,53002,local,2016
Mud Roof,0,53002,local,2016
Not Stated Roof,33,53002,local,2016
Other Type of Roof,0,53002,local,2016
RCC Roof,4,53002,local,2016
Thatch/Straw Roof,1055,53002,local,2016
Tile/Slate Roof,3240,53002,local,2016
Wood/Planks Roof,1,53002,local,2016
Galvanized Iron Plate,135,53007,local,2016
Mud Roof,0,53007,local,2016
Not Stated Roof,15,53007,local,2016
Other Type of Roof,0,53007,local,2016
RCC Roof,6,53007,local,2016
Thatch/Straw Roof,898,53007,local,2016
Tile/Slate Roof,1627,53007,local,2016
Wood/Planks Roof,335,53007,local,2016
Galvanized Iron Plate,39167,15,district,2016
Mud Roof,0,15,district,2016
Not Stated Roof,974,15,district,2016
Other Type of Roof,108,15,district,2016
RCC Roof,19406,15,district,2016
Thatch/Straw Roof,41306,15,district,2016
Tile/Slate Roof,14995,15,district,2016
Wood/Planks Roof,391,15,district,2016
Galvanized Iron Plate,16467,56005,local,2016
Mud Roof,0,56005,local,2016
Not Stated Roof,252,56005,local,2016
Other Type of Roof,27,56005,local,2016
RCC Roof,7814,56005,local,2016
Thatch/Straw Roof,9204,56005,local,2016
Tile/Slate Roof,1551,56005,local,2016
Wood/Planks Roof,104,56005,local,2016
Galvanized Iron Plate,14086,56010,local,2016
Mud Roof,0,56010,local,2016
Not Stated Roof,287,56010,local,2016
Other Type of Roof,15,56010,local,2016
RCC Roof,5826,56010,local,2016
Thatch/Straw Roof,7132,56010,local,2016
Tile/Slate Roof,3773,56010,local,2016
Wood/Planks Roof,124,56010,local,2016
Galvanized Iron Plate,862,56003,local,2016
Mud Roof,0,56003,local,2016
Not Stated Roof,35,56003,local,2016
Other Type of Roof,0,56003,local,2016
RCC Roof,25,56003,local,2016
Thatch/Straw Roof,1481,56003,local,2016
Tile/Slate Roof,2033,56003,local,2016
Wood/Planks Roof,19,56003,local,2016
Galvanized Iron Plate,182,56007,local,2016
Mud Roof,0,56007,local,2016
Not Stated Roof,28,56007,local,2016
Other Type of Roof,3,56007,local,2016
RCC Roof,183,56007,local,2016
Thatch/Straw Roof,4047,56007,local,2016
Tile/Slate Roof,25,56007,local,2016
Wood/Planks Roof,5,56007,local,2016
Galvanized Iron Plate,2377,56006,local,2016
Mud Roof,0,56006,local,2016
Not Stated Roof,80,56006,local,2016
Other Type of Roof,8,56006,local,2016
RCC Roof,2346,56006,local,2016
Thatch/Straw Roof,4352,56006,local,2016
Tile/Slate Roof,233,56006,local,2016
Wood/Planks Roof,36,56006,local,2016
Galvanized Iron Plate,1040,56009,local,2016
Mud Roof,0,56009,local,2016
Not Stated Roof,24,56009,local,2016
Other Type of Roof,42,56009,local,2016
RCC Roof,26,56009,local,2016
Thatch/Straw Roof,1110,56009,local,2016
Tile/Slate Roof,3075,56009,local,2016
Wood/Planks Roof,11,56009,local,2016
Galvanized Iron Plate,1104,56001,local,2016
Mud Roof,0,56001,local,2016
Not Stated Roof,48,56001,local,2016
Other Type of Roof,5,56001,local,2016
RCC Roof,50,56001,local,2016
Thatch/Straw Roof,2045,56001,local,2016
Tile/Slate Roof,2680,56001,local,2016
Wood/Planks Roof,13,56001,local,2016
Galvanized Iron Plate,1768,56008,local,2016
Mud Roof,0,56008,local,2016
Not Stated Roof,111,56008,local,2016
Other Type of Roof,1,56008,local,2016
RCC Roof,2149,56008,local,2016
Thatch/Straw Roof,2567,56008,local,2016
Tile/Slate Roof,1408,56008,local,2016
Wood/Planks Roof,51,56008,local,2016
Galvanized Iron Plate,535,56002,local,2016
Mud Roof,0,56002,local,2016
Not Stated Roof,40,56002,local,2016
Other Type of Roof,0,56002,local,2016
RCC Roof,11,56002,local,2016
Thatch/Straw Roof,4125,56002,local,2016
Tile/Slate Roof,10,56002,local,2016
Wood/Planks Roof,9,56002,local,2016
Galvanized Iron Plate,746,56004,local,2016
Mud Roof,0,56004,local,2016
Not Stated Roof,69,56004,local,2016
Other Type of Roof,7,56004,local,2016
RCC Roof,976,56004,local,2016
Thatch/Straw Roof,5243,56004,local,2016
Tile/Slate Roof,207,56004,local,2016
Wood/Planks Roof,19,56004,local,2016
Galvanized Iron Plate,21016,02,district,2016
Mud Roof,2,02,district,2016
Not Stated Roof,215,02,district,2016
Other Type of Roof,31,02,district,2016
RCC Roof,2375,02,district,2016
Thatch/Straw Roof,11585,02,district,2016
Tile/Slate Roof,11495,02,district,2016
Wood/Planks Roof,107,02,district,2016
Galvanized Iron Plate,4474,51002,local,2016
Mud Roof,1,51002,local,2016
Not Stated Roof,19,51002,local,2016
Other Type of Roof,15,51002,local,2016
RCC Roof,30,51002,local,2016
Thatch/Straw Roof,709,51002,local,2016
Tile/Slate Roof,1092,51002,local,2016
Wood/Planks Roof,1,51002,local,2016
Galvanized Iron Plate,2535,51003,local,2016
Mud Roof,1,51003,local,2016
Not Stated Roof,15,51003,local,2016
Other Type of Roof,2,51003,local,2016
RCC Roof,54,51003,local,2016
Thatch/Straw Roof,1169,51003,local,2016
Tile/Slate Roof,3045,51003,local,2016
Wood/Planks Roof,3,51003,local,2016
Galvanized Iron Plate,3313,51005,local,2016
Mud Roof,0,51005,local,2016
Not Stated Roof,79,51005,local,2016
Other Type of Roof,4,51005,local,2016
RCC Roof,2052,51005,local,2016
Thatch/Straw Roof,660,51005,local,2016
Tile/Slate Roof,4419,51005,local,2016
Wood/Planks Roof,54,51005,local,2016
Galvanized Iron Plate,2847,51001,local,2016
Mud Roof,0,51001,local,2016
Not Stated Roof,20,51001,local,2016
Other Type of Roof,2,51001,local,2016
RCC Roof,24,51001,local,2016
Thatch/Straw Roof,2129,51001,local,2016
Tile/Slate Roof,2700,51001,local,2016
Wood/Planks Roof,5,51001,local,2016
Galvanized Iron Plate,3436,51006,local,2016
Mud Roof,0,51006,local,2016
Not Stated Roof,52,51006,local,2016
Other Type of Roof,4,51006,local,2016
RCC Roof,181,51006,local,2016
Thatch/Straw Roof,5358,51006,local,2016
Tile/Slate Roof,129,51006,local,2016
Wood/Planks Roof,41,51006,local,2016
Galvanized Iron Plate,4411,51004,local,2016
Mud Roof,0,51004,local,2016
Not Stated Roof,30,51004,local,2016
Other Type of Roof,4,51004,local,2016
RCC Roof,34,51004,local,2016
Thatch/Straw Roof,1560,51004,local,2016
Tile/Slate Roof,110,51004,local,2016
Wood/Planks Roof,3,51004,local,2016
Galvanized Iron Plate,14356,09,district,2016
Mud Roof,0,09,district,2016
Not Stated Roof,353,09,district,2016
Other Type of Roof,1009,09,district,2016
RCC Roof,8431,09,district,2016
Thatch/Straw Roof,20688,09,district,2016
Tile/Slate Roof,38171,09,district,2016
Wood/Planks Roof,139,09,district,2016
Galvanized Iron Plate,5592,58007,local,2016
Mud Roof,0,58007,local,2016
Not Stated Roof,28,58007,local,2016
Other Type of Roof,11,58007,local,2016
RCC Roof,428,58007,local,2016
Thatch/Straw Roof,3571,58007,local,2016
Tile/Slate Roof,1265,58007,local,2016
Wood/Planks Roof,21,58007,local,2016
Galvanized Iron Plate,1704,58001,local,2016
Mud Roof,0,58001,local,2016
Not Stated Roof,61,58001,local,2016
Other Type of Roof,129,58001,local,2016
RCC Roof,1116,58001,local,2016
Thatch/Straw Roof,2548,58001,local,2016
Tile/Slate Roof,4756,58001,local,2016
Wood/Planks Roof,19,58001,local,2016
Galvanized Iron Plate,920,58008,local,2016
Mud Roof,0,58008,local,2016
Not Stated Roof,31,58008,local,2016
Other Type of Roof,234,58008,local,2016
RCC Roof,859,58008,local,2016
Thatch/Straw Roof,1719,58008,local,2016
Tile/Slate Roof,4882,58008,local,2016
Wood/Planks Roof,7,58008,local,2016
Galvanized Iron Plate,2111,58004,local,2016
Mud Roof,0,58004,local,2016
Not Stated Roof,14,58004,local,2016
Other Type of Roof,4,58004,local,2016
RCC Roof,160,58004,local,2016
Thatch/Straw Roof,2241,58004,local,2016
Tile/Slate Roof,1600,58004,local,2016
Wood/Planks Roof,5,58004,local,2016
Galvanized Iron Plate,1787,58002,local,2016
Mud Roof,0,58002,local,2016
Not Stated Roof,72,58002,local,2016
Other Type of Roof,112,58002,local,2016
RCC Roof,1062,58002,local,2016
Thatch/Straw Roof,2530,58002,local,2016
Tile/Slate Roof,5619,58002,local,2016
Wood/Planks Roof,28,58002,local,2016
Galvanized Iron Plate,731,58005,local,2016
Mud Roof,0,58005,local,2016
Not Stated Roof,41,58005,local,2016
Other Type of Roof,20,58005,local,2016
RCC Roof,2762,58005,local,2016
Thatch/Straw Roof,2741,58005,local,2016
Tile/Slate Roof,6743,58005,local,2016
Wood/Planks Roof,26,58005,local,2016
Galvanized Iron Plate,796,58006,local,2016
Mud Roof,0,58006,local,2016
Not Stated Roof,48,58006,local,2016
Other Type of Roof,11,58006,local,2016
RCC Roof,953,58006,local,2016
Thatch/Straw Roof,1621,58006,local,2016
Tile/Slate Roof,6126,58006,local,2016
Wood/Planks Roof,14,58006,local,2016
Galvanized Iron Plate,715,58003,local,2016
Mud Roof,0,58003,local,2016
Not Stated Roof,58,58003,local,2016
Other Type of Roof,488,58003,local,2016
RCC Roof,1091,58003,local,2016
Thatch/Straw Roof,3717,58003,local,2016
Tile/Slate Roof,7180,58003,local,2016
Wood/Planks Roof,19,58003,local,2016
Galvanized Iron Plate,5566,33,district,2016
Mud Roof,0,33,district,2016
Not Stated Roof,1482,33,district,2016
Other Type of Roof,448,33,district,2016
RCC Roof,53326,33,district,2016
Thatch/Straw Roof,21423,33,district,2016
Tile/Slate Roof,8216,33,district,2016
Wood/Planks Roof,803,33,district,2016
Galvanized Iron Plate,144,50009,local,2016
Mud Roof,0,50009,local,2016
Not Stated Roof,156,50009,local,2016
Other Type of Roof,19,50009,local,2016
RCC Roof,3611,50009,local,2016
Thatch/Straw Roof,1533,50009,local,2016
Tile/Slate Roof,853,50009,local,2016
Wood/Planks Roof,30,50009,local,2016
Galvanized Iron Plate,2890,50001,local,2016
Mud Roof,0,50001,local,2016
Not Stated Roof,162,50001,local,2016
Other Type of Roof,90,50001,local,2016
RCC Roof,7690,50001,local,2016
Thatch/Straw Roof,1932,50001,local,2016
Tile/Slate Roof,3149,50001,local,2016
Wood/Planks Roof,52,50001,local,2016
Galvanized Iron Plate,174,50002,local,2016
Mud Roof,0,50002,local,2016
Not Stated Roof,64,50002,local,2016
Other Type of Roof,38,50002,local,2016
RCC Roof,2300,50002,local,2016
Thatch/Straw Roof,2790,50002,local,2016
Tile/Slate Roof,254,50002,local,2016
Wood/Planks Roof,50,50002,local,2016
Galvanized Iron Plate,72,50007,local,2016
Mud Roof,0,50007,local,2016
Not Stated Roof,120,50007,local,2016
Other Type of Roof,43,50007,local,2016
RCC Roof,4637,50007,local,2016
Thatch/Straw Roof,1197,50007,local,2016
Tile/Slate Roof,419,50007,local,2016
Wood/Planks Roof,19,50007,local,2016
Galvanized Iron Plate,81,50010,local,2016
Mud Roof,0,50010,local,2016
Not Stated Roof,176,50010,local,2016
Other Type of Roof,14,50010,local,2016
RCC Roof,3827,50010,local,2016
Thatch/Straw Roof,1034,50010,local,2016
Tile/Slate Roof,242,50010,local,2016
Wood/Planks Roof,39,50010,local,2016
Galvanized Iron Plate,96,50005,local,2016
Mud Roof,0,50005,local,2016
Not Stated Roof,317,50005,local,2016
Other Type of Roof,11,50005,local,2016
RCC Roof,5937,50005,local,2016
Thatch/Straw Roof,1885,50005,local,2016
Tile/Slate Roof,169,50005,local,2016
Wood/Planks Roof,106,50005,local,2016
Galvanized Iron Plate,982,50003,local,2016
Mud Roof,0,50003,local,2016
Not Stated Roof,154,50003,local,2016
Other Type of Roof,34,50003,local,2016
RCC Roof,5614,50003,local,2016
Thatch/Straw Roof,3235,50003,local,2016
Tile/Slate Roof,1412,50003,local,2016
Wood/Planks Roof,90,50003,local,2016
Galvanized Iron Plate,336,50004,local,2016
Mud Roof,0,50004,local,2016
Not Stated Roof,198,50004,local,2016
Other Type of Roof,40,50004,local,2016
RCC Roof,8365,50004,local,2016
Thatch/Straw Roof,2348,50004,local,2016
Tile/Slate Roof,715,50004,local,2016
Wood/Planks Roof,92,50004,local,2016
Galvanized Iron Plate,734,50008,local,2016
Mud Roof,0,50008,local,2016
Not Stated Roof,84,50008,local,2016
Other Type of Roof,42,50008,local,2016
RCC Roof,6044,50008,local,2016
Thatch/Straw Roof,3603,50008,local,2016
Tile/Slate Roof,689,50008,local,2016
Wood/Planks Roof,54,50008,local,2016
Galvanized Iron Plate,57,50006,local,2016
Mud Roof,0,50006,local,2016
Not Stated Roof,51,50006,local,2016
Other Type of Roof,117,50006,local,2016
RCC Roof,5301,50006,local,2016
Thatch/Straw Roof,1866,50006,local,2016
Tile/Slate Roof,314,50006,local,2016
Wood/Planks Roof,271,50006,local,2016
Galvanized Iron Plate,271119,4,province,2016
Mud Roof,3619,4,province,2016
Not Stated Roof,3949,4,province,2016
Other Type of Roof,1065,4,province,2016
RCC Roof,112899,4,province,2016
Thatch/Straw Roof,64176,4,province,2016
Tile/Slate Roof,116642,4,province,2016
Wood/Planks Roof,4213,4,province,2016
Galvanized Iron Plate,34174,23,district,2016
