main type of cooking fuel,total,geo_code,geo_level,geo_version
OthersFuel,0,53006,local,2016
Wood/FireWood,3420,53006,local,2016
Bio-Gas Fuel,0,53009,local,2016
Cow Dung,0,53009,local,2016
Electricity Fuel,0,53009,local,2016
KeroseneFuel,0,53009,local,2016
LP Gas,1,53009,local,2016
Not Stated about Fuel,10,53009,local,2016
OthersFuel,8,53009,local,2016
Wood/FireWood,2153,53009,local,2016
Bio-Gas Fuel,4,53005,local,2016
Cow Dung,6,53005,local,2016
Electricity Fuel,0,53005,local,2016
KeroseneFuel,11,53005,local,2016
LP Gas,31,53005,local,2016
Not Stated about Fuel,14,53005,local,2016
OthersFuel,0,53005,local,2016
Wood/FireWood,5618,53005,local,2016
Bio-Gas Fuel,3,53002,local,2016
Cow Dung,0,53002,local,2016
Electricity Fuel,2,53002,local,2016
KeroseneFuel,15,53002,local,2016
LP Gas,7,53002,local,2016
Not Stated about Fuel,16,53002,local,2016
OthersFuel,0,53002,local,2016
Wood/FireWood,4359,53002,local,2016
Bio-Gas Fuel,5,53007,local,2016
Cow Dung,6,53007,local,2016
Electricity Fuel,0,53007,local,2016
KeroseneFuel,3,53007,local,2016
LP Gas,0,53007,local,2016
Not Stated about Fuel,11,53007,local,2016
OthersFuel,2,53007,local,2016
Wood/FireWood,2989,53007,local,2016
Bio-Gas Fuel,5288,15,district,2016
Cow Dung,4473,15,district,2016
Electricity Fuel,43,15,district,2016
KeroseneFuel,546,15,district,2016
LP Gas,16356,15,district,2016
Not Stated about Fuel,554,15,district,2016
OthersFuel,260,15,district,2016
Wood/FireWood,88827,15,district,2016
Bio-Gas Fuel,1475,56005,local,2016
Cow Dung,2976,56005,local,2016
Electricity Fuel,17,56005,local,2016
KeroseneFuel,221,56005,local,2016
LP Gas,8906,56005,local,2016
Not Stated about Fuel,131,56005,local,2016
OthersFuel,141,56005,local,2016
Wood/FireWood,21552,56005,local,2016
Bio-Gas Fuel,791,56010,local,2016
Cow Dung,1239,56010,local,2016
Electricity Fuel,12,56010,local,2016
KeroseneFuel,172,56010,local,2016
LP Gas,5232,56010,local,2016
Not Stated about Fuel,171,56010,local,2016
OthersFuel,102,56010,local,2016
Wood/FireWood,23524,56010,local,2016
Bio-Gas Fuel,52,56003,local,2016
Cow Dung,128,56003,local,2016
Electricity Fuel,1,56003,local,2016
KeroseneFuel,21,56003,local,2016
LP Gas,48,56003,local,2016
Not Stated about Fuel,16,56003,local,2016
OthersFuel,0,56003,local,2016
Wood/FireWood,4189,56003,local,2016
Bio-Gas Fuel,40,56007,local,2016
Cow Dung,5,56007,local,2016
Electricity Fuel,0,56007,local,2016
KeroseneFuel,5,56007,local,2016
LP Gas,13,56007,local,2016
Not Stated about Fuel,19,56007,local,2016
OthersFuel,0,56007,local,2016
Wood/FireWood,4391,56007,local,2016
Bio-Gas Fuel,1046,56006,local,2016
Cow Dung,28,56006,local,2016
Electricity Fuel,5,56006,local,2016
KeroseneFuel,14,56006,local,2016
LP Gas,1190,56006,local,2016
Not Stated about Fuel,43,56006,local,2016
OthersFuel,5,56006,local,2016
Wood/FireWood,7101,56006,local,2016
Bio-Gas Fuel,36,56009,local,2016
Cow Dung,8,56009,local,2016
Electricity Fuel,1,56009,local,2016
KeroseneFuel,16,56009,local,2016
LP Gas,23,56009,local,2016
Not Stated about Fuel,13,56009,local,2016
OthersFuel,1,56009,local,2016
Wood/FireWood,5230,56009,local,2016
Bio-Gas Fuel,12,56001,local,2016
Cow Dung,7,56001,local,2016
Electricity Fuel,1,56001,local,2016
KeroseneFuel,31,56001,local,2016
LP Gas,26,56001,local,2016
Not Stated about Fuel,25,56001,local,2016
OthersFuel,0,56001,local,2016
Wood/FireWood,5843,56001,local,2016
Bio-Gas Fuel,1450,56008,local,2016
Cow Dung,10,56008,local,2016
Electricity Fuel,5,56008,local,2016
KeroseneFuel,32,56008,local,2016
LP Gas,765,56008,local,2016
Not Stated about Fuel,76,56008,local,2016
OthersFuel,7,56008,local,2016
Wood/FireWood,5710,56008,local,2016
Bio-Gas Fuel,3,56002,local,2016
Cow Dung,7,56002,local,2016
Electricity Fuel,0,56002,local,2016
KeroseneFuel,15,56002,local,2016
LP Gas,28,56002,local,2016
Not Stated about Fuel,21,56002,local,2016
OthersFuel,0,56002,local,2016
Wood/FireWood,4656,56002,local,2016
Bio-Gas Fuel,383,56004,local,2016
Cow Dung,65,56004,local,2016
Electricity Fuel,1,56004,local,2016
KeroseneFuel,19,56004,local,2016
LP Gas,125,56004,local,2016
Not Stated about Fuel,39,56004,local,2016
OthersFuel,4,56004,local,2016
Wood/FireWood,6631,56004,local,2016
Bio-Gas Fuel,89,02,district,2016
Cow Dung,45,02,district,2016
Electricity Fuel,3,02,district,2016
KeroseneFuel,147,02,district,2016
LP Gas,2601,02,district,2016
Not Stated about Fuel,160,02,district,2016
OthersFuel,21,02,district,2016
Wood/FireWood,43760,02,district,2016
Bio-Gas Fuel,17,51002,local,2016
Cow Dung,5,51002,local,2016
Electricity Fuel,0,51002,local,2016
KeroseneFuel,6,51002,local,2016
LP Gas,31,51002,local,2016
Not Stated about Fuel,16,51002,local,2016
OthersFuel,2,51002,local,2016
Wood/FireWood,6264,51002,local,2016
Bio-Gas Fuel,6,51003,local,2016
Cow Dung,13,51003,local,2016
Electricity Fuel,0,51003,local,2016
KeroseneFuel,27,51003,local,2016
LP Gas,64,51003,local,2016
Not Stated about Fuel,5,51003,local,2016
OthersFuel,0,51003,local,2016
Wood/FireWood,6709,51003,local,2016
Bio-Gas Fuel,43,51005,local,2016
Cow Dung,9,51005,local,2016
Electricity Fuel,2,51005,local,2016
KeroseneFuel,49,51005,local,2016
LP Gas,2278,51005,local,2016
Not Stated about Fuel,58,51005,local,2016
OthersFuel,16,51005,local,2016
Wood/FireWood,8126,51005,local,2016
Bio-Gas Fuel,10,51001,local,2016
Cow Dung,4,51001,local,2016
Electricity Fuel,0,51001,local,2016
KeroseneFuel,22,51001,local,2016
LP Gas,60,51001,local,2016
Not Stated about Fuel,18,51001,local,2016
OthersFuel,0,51001,local,2016
Wood/FireWood,7613,51001,local,2016
Bio-Gas Fuel,5,51006,local,2016
Cow Dung,13,51006,local,2016
Electricity Fuel,1,51006,local,2016
KeroseneFuel,30,51006,local,2016
LP Gas,105,51006,local,2016
Not Stated about Fuel,40,51006,local,2016
OthersFuel,3,51006,local,2016
Wood/FireWood,9004,51006,local,2016
Bio-Gas Fuel,8,51004,local,2016
Cow Dung,1,51004,local,2016
Electricity Fuel,0,51004,local,2016
KeroseneFuel,13,51004,local,2016
LP Gas,63,51004,local,2016
Not Stated about Fuel,23,51004,local,2016
OthersFuel,0,51004,local,2016
Wood/FireWood,6044,51004,local,2016
Bio-Gas Fuel,5125,09,district,2016
Cow Dung,841,09,district,2016
Electricity Fuel,18,09,district,2016
KeroseneFuel,370,09,district,2016
LP Gas,3652,09,district,2016
Not Stated about Fuel,180,09,district,2016
OthersFuel,88,09,district,2016
Wood/FireWood,72873,09,district,2016
Bio-Gas Fuel,674,58007,local,2016
Cow Dung,114,58007,local,2016
Electricity Fuel,1,58007,local,2016
KeroseneFuel,49,58007,local,2016
LP Gas,261,58007,local,2016
Not Stated about Fuel,16,58007,local,2016
OthersFuel,6,58007,local,2016
Wood/FireWood,9795,58007,local,2016
Bio-Gas Fuel,874,58001,local,2016
Cow Dung,196,58001,local,2016
Electricity Fuel,1,58001,local,2016
KeroseneFuel,53,58001,local,2016
LP Gas,547,58001,local,2016
Not Stated about Fuel,17,58001,local,2016
OthersFuel,15,58001,local,2016
Wood/FireWood,8630,58001,local,2016
Bio-Gas Fuel,540,58008,local,2016
Cow Dung,13,58008,local,2016
Electricity Fuel,1,58008,local,2016
KeroseneFuel,27,58008,local,2016
LP Gas,300,58008,local,2016
Not Stated about Fuel,26,58008,local,2016
OthersFuel,9,58008,local,2016
Wood/FireWood,7736,58008,local,2016
Bio-Gas Fuel,633,58004,local,2016
Cow Dung,31,58004,local,2016
Electricity Fuel,2,58004,local,2016
KeroseneFuel,20,58004,local,2016
LP Gas,39,58004,local,2016
Not Stated about Fuel,6,58004,local,2016
OthersFuel,0,58004,local,2016
Wood/FireWood,5404,58004,local,2016
Bio-Gas Fuel,656,58002,local,2016
Cow Dung,18,58002,local,2016
Electricity Fuel,0,58002,local,2016
KeroseneFuel,32,58002,local,2016
LP Gas,424,58002,local,2016
Not Stated about Fuel,35,58002,local,2016
OthersFuel,11,58002,local,2016
Wood/FireWood,10034,58002,local,2016
Bio-Gas Fuel,378,58005,local,2016
Cow Dung,425,58005,local,2016
Electricity Fuel,10,58005,local,2016
KeroseneFuel,125,58005,local,2016
LP Gas,1455,58005,local,2016
Not Stated about Fuel,17,58005,local,2016
OthersFuel,30,58005,local,2016
Wood/FireWood,10624,58005,local,2016
Bio-Gas Fuel,582,58006,local,2016
Cow Dung,17,58006,local,2016
Electricity Fuel,2,58006,local,2016
KeroseneFuel,22,58006,local,2016
LP Gas,450,58006,local,2016
Not Stated about Fuel,26,58006,local,2016
OthersFuel,5,58006,local,2016
Wood/FireWood,8465,58006,local,2016
Bio-Gas Fuel,788,58003,local,2016
Cow Dung,27,58003,local,2016
Electricity Fuel,1,58003,local,2016
KeroseneFuel,42,58003,local,2016
LP Gas,176,58003,local,2016
Not Stated about Fuel,37,58003,local,2016
OthersFuel,12,58003,local,2016
Wood/FireWood,12185,58003,local,2016
Bio-Gas Fuel,3106,33,district,2016
Cow Dung,29890,33,district,2016
Electricity Fuel,17,33,district,2016
KeroseneFuel,1089,33,district,2016
LP Gas,6654,33,district,2016
Not Stated about Fuel,779,33,district,2016
OthersFuel,168,33,district,2016
Wood/FireWood,49561,33,district,2016
Bio-Gas Fuel,64,50009,local,2016
Cow Dung,5557,50009,local,2016
Electricity Fuel,1,50009,local,2016
KeroseneFuel,106,50009,local,2016
LP Gas,85,50009,local,2016
Not Stated about Fuel,135,50009,local,2016
OthersFuel,11,50009,local,2016
Wood/FireWood,387,50009,local,2016
Bio-Gas Fuel,1716,50001,local,2016
Cow Dung,294,50001,local,2016
Electricity Fuel,5,50001,local,2016
KeroseneFuel,64,50001,local,2016
LP Gas,2200,50001,local,2016
Not Stated about Fuel,86,50001,local,2016
OthersFuel,41,50001,local,2016
Wood/FireWood,11559,50001,local,2016
Bio-Gas Fuel,39,50002,local,2016
Cow Dung,755,50002,local,2016
Electricity Fuel,0,50002,local,2016
KeroseneFuel,86,50002,local,2016
LP Gas,47,50002,local,2016
Not Stated about Fuel,45,50002,local,2016
OthersFuel,0,50002,local,2016
Wood/FireWood,4698,50002,local,2016
Bio-Gas Fuel,7,50007,local,2016
Cow Dung,5009,50007,local,2016
Electricity Fuel,2,50007,local,2016
KeroseneFuel,89,50007,local,2016
LP Gas,225,50007,local,2016
Not Stated about Fuel,75,50007,local,2016
OthersFuel,37,50007,local,2016
Wood/FireWood,1063,50007,local,2016
Bio-Gas Fuel,31,50010,local,2016
Cow Dung,4740,50010,local,2016
Electricity Fuel,0,50010,local,2016
KeroseneFuel,70,50010,local,2016
LP Gas,96,50010,local,2016
Not Stated about Fuel,69,50010,local,2016
OthersFuel,9,50010,local,2016
Wood/FireWood,398,50010,local,2016
Bio-Gas Fuel,7,50005,local,2016
Cow Dung,2721,50005,local,2016
Electricity Fuel,4,50005,local,2016
KeroseneFuel,190,50005,local,2016
LP Gas,742,50005,local,2016
Not Stated about Fuel,145,50005,local,2016
OthersFuel,5,50005,local,2016
Wood/FireWood,4707,50005,local,2016
Bio-Gas Fuel,372,50003,local,2016
Cow Dung,725,50003,local,2016
Electricity Fuel,1,50003,local,2016
KeroseneFuel,88,50003,local,2016
LP Gas,711,50003,local,2016
Not Stated about Fuel,51,50003,local,2016
OthersFuel,10,50003,local,2016
Wood/FireWood,9563,50003,local,2016
Bio-Gas Fuel,371,50004,local,2016
Cow Dung,4051,50004,local,2016
Electricity Fuel,4,50004,local,2016
KeroseneFuel,148,50004,local,2016
LP Gas,1594,50004,local,2016
Not Stated about Fuel,103,50004,local,2016
OthersFuel,41,50004,local,2016
Wood/FireWood,5782,50004,local,2016
Bio-Gas Fuel,291,50008,local,2016
Cow Dung,1397,50008,local,2016
Electricity Fuel,0,50008,local,2016
KeroseneFuel,102,50008,local,2016
LP Gas,855,50008,local,2016
Not Stated about Fuel,43,50008,local,2016
OthersFuel,10,50008,local,2016
Wood/FireWood,8552,50008,local,2016
Bio-Gas Fuel,208,50006,local,2016
Cow Dung,4641,50006,local,2016
Electricity Fuel,0,50006,local,2016
KeroseneFuel,146,50006,local,2016
LP Gas,99,50006,local,2016
Not Stated about Fuel,27,50006,local,2016
OthersFuel,4,50006,local,2016
Wood/FireWood,2852,50006,local,2016
Bio-Gas Fuel,25981,4,province,2016
Cow Dung,1194,4,province,2016
Electricity Fuel,691,4,province,2016
KeroseneFuel,3421,4,province,2016
LP Gas,148008,4,province,2016
Not Stated about Fuel,2295,4,province,2016
OthersFuel,570,4,province,2016
Wood/FireWood,395522,4,province,2016
Bio-Gas Fuel,2558,23,district,2016
Cow Dung,20,23,district,2016
Electricity Fuel,37,23,district,2016
KeroseneFuel,268,23,district,2016
LP Gas,7214,23,district,2016
Not Stated about Fuel,259,23,district,2016
OthersFuel,53,23,district,2016
Wood/FireWood,56049,23,district,2016
Bio-Gas Fuel,20,36011,local,2016
Cow Dung,1,36011,local,2016
Electricity Fuel,1,36011,local,2016
KeroseneFuel,37,36011,local,2016
LP Gas,65,36011,local,2016
Not Stated about Fuel,22,36011,local,2016
OthersFuel,1,36011,local,2016
Wood/FireWood,5682,36011,local,2016
Bio-Gas Fuel,679,36008,local,2016
Cow Dung,5,36008,local,2016
Electricity Fuel,9,36008,local,2016
KeroseneFuel,18,36008,local,2016
LP Gas,617,36008,local,2016
Not Stated about Fuel,12,36008,local,2016
OthersFuel,2,36008,local,2016
Wood/FireWood,8582,36008,local,2016
Bio-Gas Fuel,111,36001,local,2016
Cow Dung,3,36001,local,2016
Electricity Fuel,1,36001,local,2016
KeroseneFuel,43,36001,local,2016
LP Gas,536,36001,local,2016
Not Stated about Fuel,14,36001,local,2016
OthersFuel,3,36001,local,2016
Wood/FireWood,4903,36001,local,2016
Bio-Gas Fuel,163,36003,local,2016
Cow Dung,0,36003,local,2016
Electricity Fuel,1,36003,local,2016
KeroseneFuel,9,36003,local,2016
LP Gas,229,36003,local,2016
Not Stated about Fuel,14,36003,local,2016
OthersFuel,2,36003,local,2016
Wood/FireWood,5020,36003,local,2016
Bio-Gas Fuel,289,36006,local,2016
Cow Dung,1,36006,local,2016
Electricity Fuel,15,36006,local,2016
KeroseneFuel,18,36006,local,2016
LP Gas,195,36006,local,2016
Not Stated about Fuel,20,36006,local,2016
OthersFuel,2,36006,local,2016
Wood/FireWood,4713,36006,local,2016
Bio-Gas Fuel,354,36010,local,2016
Cow Dung,0,36010,local,2016
Electricity Fuel,1,36010,local,2016
KeroseneFuel,13,36010,local,2016
LP Gas,155,36010,local,2016
Not Stated about Fuel,22,36010,local,2016
OthersFuel,0,36010,local,2016
Wood/FireWood,5351,36010,local,2016
Bio-Gas Fuel,14,36002,local,2016
Cow Dung,0,36002,local,2016
Electricity Fuel,1,36002,local,2016
KeroseneFuel,39,36002,local,2016
LP Gas,59,36002,local,2016
Not Stated about Fuel,15,36002,local,2016
OthersFuel,1,36002,local,2016
Wood/FireWood,3489,36002,local,2016
Bio-Gas Fuel,722,36007,local,2016
Cow Dung,7,36007,local,2016
Electricity Fuel,3,36007,local,2016
KeroseneFuel,65,36007,local,2016
LP Gas,4834,36007,local,2016
Not Stated about Fuel,57,36007,local,2016
OthersFuel,35,36007,local,2016
Wood/FireWood,7404,36007,local,2016
Bio-Gas Fuel,0,36004,local,2016
Cow Dung,3,36004,local,2016
Electricity Fuel,1,36004,local,2016
KeroseneFuel,10,36004,local,2016
LP Gas,2,36004,local,2016
Not Stated about Fuel,18,36004,local,2016
OthersFuel,1,36004,local,2016
Wood/FireWood,1914,36004,local,2016
Bio-Gas Fuel,0,36005,local,2016
Cow Dung,0,36005,local,2016
Electricity Fuel,0,36005,local,2016
KeroseneFuel,2,36005,local,2016
LP Gas,5,36005,local,2016
Not Stated about Fuel,16,36005,local,2016
OthersFuel,3,36005,local,2016
Wood/FireWood,3102,36005,local,2016
Bio-Gas Fuel,206,36009,local,2016
Cow Dung,0,36009,local,2016
Electricity Fuel,4,36009,local,2016
KeroseneFuel,14,36009,local,2016
LP Gas,517,36009,local,2016
Not Stated about Fuel,49,36009,local,2016
OthersFuel,3,36009,local,2016
Wood/FireWood,5889,36009,local,2016
Bio-Gas Fuel,109,03,district,2016
Cow Dung,19,03,district,2016
Electricity Fuel,2,03,district,2016
KeroseneFuel,183,03,district,2016
LP Gas,6425,03,district,2016
Not Stated about Fuel,299,03,district,2016
OthersFuel,11,03,district,2016
Wood/FireWood,54434,03,district,2016
Bio-Gas Fuel,0,45008,local,2016
Cow Dung,5,45008,local,2016
Electricity Fuel,0,45008,local,2016
KeroseneFuel,22,45008,local,2016
LP Gas,12,45008,local,2016
Not Stated about Fuel,36,45008,local,2016
OthersFuel,0,45008,local,2016
Wood/FireWood,4818,45008,local,2016
Bio-Gas Fuel,1,45007,local,2016
Cow Dung,0,45007,local,2016
Electricity Fuel,0,45007,local,2016
KeroseneFuel,6,45007,local,2016
LP Gas,76,45007,local,2016
Not Stated about Fuel,26,45007,local,2016
OthersFuel,1,45007,local,2016
Wood/FireWood,6018,45007,local,2016
Bio-Gas Fuel,7,45005,local,2016
Cow Dung,0,45005,local,2016
Electricity Fuel,1,45005,local,2016
KeroseneFuel,21,45005,local,2016
LP Gas,308,45005,local,2016
Not Stated about Fuel,32,45005,local,2016
OthersFuel,3,45005,local,2016
Wood/FireWood,7339,45005,local,2016
Bio-Gas Fuel,16,45001,local,2016
Cow Dung,4,45001,local,2016
Electricity Fuel,0,45001,local,2016
KeroseneFuel,10,45001,local,2016
LP Gas,108,45001,local,2016
Not Stated about Fuel,65,45001,local,2016
OthersFuel,0,45001,local,2016
Wood/FireWood,6025,45001,local,2016
Bio-Gas Fuel,63,45002,local,2016
Cow Dung,4,45002,local,2016
Electricity Fuel,1,45002,local,2016
KeroseneFuel,69,45002,local,2016
LP Gas,5292,45002,local,2016
Not Stated about Fuel,36,45002,local,2016
OthersFuel,7,45002,local,2016
Wood/FireWood,9710,45002,local,2016
Bio-Gas Fuel,1,45003,local,2016
Cow Dung,1,45003,local,2016
Electricity Fuel,0,45003,local,2016
KeroseneFuel,8,45003,local,2016
LP Gas,24,45003,local,2016
Not Stated about Fuel,11,45003,local,2016
OthersFuel,0,45003,local,2016
Wood/FireWood,3195,45003,local,2016
Bio-Gas Fuel,1,45009,local,2016
Cow Dung,1,45009,local,2016
Electricity Fuel,0,45009,local,2016
KeroseneFuel,3,45009,local,2016
LP Gas,2,45009,local,2016
Not Stated about Fuel,16,45009,local,2016
OthersFuel,0,45009,local,2016
Wood/FireWood,2399,45009,local,2016
Bio-Gas Fuel,11,45004,local,2016
Cow Dung,2,45004,local,2016
Electricity Fuel,0,45004,local,2016
KeroseneFuel,28,45004,local,2016
LP Gas,417,45004,local,2016
Not Stated about Fuel,37,45004,local,2016
OthersFuel,0,45004,local,2016
Wood/FireWood,5211,45004,local,2016
Bio-Gas Fuel,1,45010,local,2016
Cow Dung,2,45010,local,2016
Electricity Fuel,0,45010,local,2016
KeroseneFuel,2,45010,local,2016
LP Gas,14,45010,local,2016
Not Stated about Fuel,6,45010,local,2016
OthersFuel,0,45010,local,2016
Wood/FireWood,2470,45010,local,2016
Bio-Gas Fuel,8,45006,local,2016
Cow Dung,0,45006,local,2016
Electricity Fuel,0,45006,local,2016
KeroseneFuel,14,45006,local,2016
LP Gas,172,45006,local,2016
Not Stated about Fuel,34,45006,local,2016
OthersFuel,0,45006,local,2016
Wood/FireWood,7249,45006,local,2016
Bio-Gas Fuel,1839,71,district,2016
Cow Dung,29,71,district,2016
Electricity Fuel,229,71,district,2016
KeroseneFuel,261,71,district,2016
LP Gas,9758,71,district,2016
Not Stated about Fuel,177,71,district,2016
OthersFuel,36,71,district,2016
Wood/FireWood,56527,71,district,2016
Bio-Gas Fuel,62,39008,local,2016
Cow Dung,4,39008,local,2016
Electricity Fuel,82,39008,local,2016
KeroseneFuel,8,39008,local,2016
LP Gas,209,39008,local,2016
Not Stated about Fuel,6,39008,local,2016
OthersFuel,0,39008,local,2016
Wood/FireWood,4601,39008,local,2016
Bio-Gas Fuel,411,39005,local,2016
Cow Dung,5,39005,local,2016
Electricity Fuel,7,39005,local,2016
KeroseneFuel,21,39005,local,2016
LP Gas,258,39005,local,2016
Not Stated about Fuel,16,39005,local,2016
OthersFuel,0,39005,local,2016
Wood/FireWood,5216,39005,local,2016
Bio-Gas Fuel,34,39009,local,2016
Cow Dung,1,39009,local,2016
Electricity Fuel,0,39009,local,2016
KeroseneFuel,5,39009,local,2016
LP Gas,370,39009,local,2016
Not Stated about Fuel,4,39009,local,2016
OthersFuel,1,39009,local,2016
Wood/FireWood,2839,39009,local,2016
Bio-Gas Fuel,44,39001,local,2016
Cow Dung,0,39001,local,2016
Electricity Fuel,0,39001,local,2016
KeroseneFuel,3,39001,local,2016
LP Gas,128,39001,local,2016
Not Stated about Fuel,5,39001,local,2016
OthersFuel,1,39001,local,2016
Wood/FireWood,3944,39001,local,2016
Bio-Gas Fuel,59,39004,local,2016
Cow Dung,0,39004,local,2016
Electricity Fuel,4,39004,local,2016
KeroseneFuel,26,39004,local,2016
LP Gas,126,39004,local,2016
Not Stated about Fuel,16,39004,local,2016
OthersFuel,0,39004,local,2016
Wood/FireWood,4074,39004,local,2016
Bio-Gas Fuel,208,39003,local,2016
Cow Dung,2,39003,local,2016
Electricity Fuel,44,39003,local,2016
KeroseneFuel,34,39003,local,2016
LP Gas,914,39003,local,2016
Not Stated about Fuel,14,39003,local,2016
OthersFuel,1,39003,local,2016
Wood/FireWood,4866,39003,local,2016
Bio-Gas Fuel,486,39011,local,2016
Cow Dung,7,39011,local,2016
Electricity Fuel,68,39011,local,2016
KeroseneFuel,74,39011,local,2016
LP Gas,3386,39011,local,2016
Not Stated about Fuel,52,39011,local,2016
OthersFuel,8,39011,local,2016
Wood/FireWood,8101,39011,local,2016
Bio-Gas Fuel,132,39006,local,2016
Cow Dung,4,39006,local,2016
Electricity Fuel,19,39006,local,2016
KeroseneFuel,20,39006,local,2016
LP Gas,1016,39006,local,2016
Not Stated about Fuel,13,39006,local,2016
OthersFuel,1,39006,local,2016
Wood/FireWood,7070,39006,local,2016
Bio-Gas Fuel,66,39002,local,2016
Cow Dung,2,39002,local,2016
Electricity Fuel,3,39002,local,2016
KeroseneFuel,6,39002,local,2016
LP Gas,150,39002,local,2016
Not Stated about Fuel,11,39002,local,2016
OthersFuel,0,39002,local,2016
Wood/FireWood,3700,39002,local,2016
Bio-Gas Fuel,248,39010,local,2016
Cow Dung,3,39010,local,2016
Electricity Fuel,0,39010,local,2016
KeroseneFuel,57,39010,local,2016
LP Gas,3108,39010,local,2016
Not Stated about Fuel,19,39010,local,2016
OthersFuel,24,39010,local,2016
Wood/FireWood,8423,39010,local,2016
Bio-Gas Fuel,89,39007,local,2016
Cow Dung,1,39007,local,2016
Electricity Fuel,2,39007,local,2016
KeroseneFuel,7,39007,local,2016
LP Gas,93,39007,local,2016
Not Stated about Fuel,21,39007,local,2016
OthersFuel,0,39007,local,2016
Wood/FireWood,3693,39007,local,2016
Bio-Gas Fuel,4755,47,district,2016
Cow Dung,52,47,district,2016
Electricity Fuel,68,47,district,2016
KeroseneFuel,272,47,district,2016
LP Gas,13998,47,district,2016
Not Stated about Fuel,340,47,district,2016
OthersFuel,82,47,district,2016
Wood/FireWood,47348,47,district,2016
Bio-Gas Fuel,921,76004,local,2016
Cow Dung,9,76004,local,2016
Electricity Fuel,11,76004,local,2016
KeroseneFuel,34,76004,local,2016
LP Gas,2258,76004,local,2016
Not Stated about Fuel,55,76004,local,2016
OthersFuel,12,76004,local,2016
Wood/FireWood,5956,76004,local,2016
Bio-Gas Fuel,66,76002,local,2016
Cow Dung,1,76002,local,2016
Electricity Fuel,0,76002,local,2016
KeroseneFuel,0,76002,local,2016
LP Gas,48,76002,local,2016
Not Stated about Fuel,9,76002,local,2016
OthersFuel,0,76002,local,2016
Wood/FireWood,3363,76002,local,2016
Bio-Gas Fuel,1220,76007,local,2016
Cow Dung,13,76007,local,2016
Electricity Fuel,27,76007,local,2016
KeroseneFuel,61,76007,local,2016
LP Gas,3908,76007,local,2016
Not Stated about Fuel,74,76007,local,2016
OthersFuel,21,76007,local,2016
Wood/FireWood,8780,76007,local,2016
Bio-Gas Fuel,681,76008,local,2016
Cow Dung,7,76008,local,2016
Electricity Fuel,8,76008,local,2016
KeroseneFuel,26,76008,local,2016
LP Gas,1037,76008,local,2016
Not Stated about Fuel,50,76008,local,2016
OthersFuel,24,76008,local,2016
Wood/FireWood,10110,76008,local,2016
Bio-Gas Fuel,394,76001,local,2016
Cow Dung,5,76001,local,2016
Electricity Fuel,4,76001,local,2016
KeroseneFuel,28,76001,local,2016
LP Gas,528,76001,local,2016
Not Stated about Fuel,37,76001,local,2016
OthersFuel,6,76001,local,2016
Wood/FireWood,5914,76001,local,2016
Bio-Gas Fuel,1043,76005,local,2016
Cow Dung,11,76005,local,2016
Electricity Fuel,16,76005,local,2016
KeroseneFuel,107,76005,local,2016
LP Gas,6037,76005,local,2016
Not Stated about Fuel,67,76005,local,2016
OthersFuel,17,76005,local,2016
Wood/FireWood,6325,76005,local,2016
Bio-Gas Fuel,221,76006,local,2016
Cow Dung,2,76006,local,2016
Electricity Fuel,2,76006,local,2016
KeroseneFuel,6,76006,local,2016
LP Gas,126,76006,local,2016
Not Stated about Fuel,42,76006,local,2016
OthersFuel,0,76006,local,2016
Wood/FireWood,4189,76006,local,2016
Bio-Gas Fuel,209,76003,local,2016
Cow Dung,4,76003,local,2016
Electricity Fuel,0,76003,local,2016
KeroseneFuel,10,76003,local,2016
LP Gas,56,76003,local,2016
Not Stated about Fuel,6,76003,local,2016
OthersFuel,2,76003,local,2016
Wood/FireWood,2711,76003,local,2016
Bio-Gas Fuel,190,46,district,2016
Cow Dung,12,46,district,2016
Electricity Fuel,8,46,district,2016
KeroseneFuel,81,46,district,2016
LP Gas,3360,46,district,2016
Not Stated about Fuel,72,46,district,2016
OthersFuel,5,46,district,2016
Wood/FireWood,23999,46,district,2016
Bio-Gas Fuel,0,43003,local,2016
Cow Dung,1,43003,local,2016
Electricity Fuel,2,43003,local,2016
KeroseneFuel,4,43003,local,2016
LP Gas,4,43003,local,2016
Not Stated about Fuel,11,43003,local,2016
OthersFuel,0,43003,local,2016
Wood/FireWood,3207,43003,local,2016
Bio-Gas Fuel,87,43002,local,2016
Cow Dung,3,43002,local,2016
Electricity Fuel,2,43002,local,2016
KeroseneFuel,45,43002,local,2016
LP Gas,2787,43002,local,2016
Not Stated about Fuel,11,43002,local,2016
OthersFuel,3,43002,local,2016
Wood/FireWood,5714,43002,local,2016
Bio-Gas Fuel,15,43004,local,2016
Cow Dung,4,43004,local,2016
Electricity Fuel,0,43004,local,2016
KeroseneFuel,8,43004,local,2016
LP Gas,179,43004,local,2016
Not Stated about Fuel,16,43004,local,2016
OthersFuel,1,43004,local,2016
Wood/FireWood,4000,43004,local,2016
Bio-Gas Fuel,12,43001,local,2016
Cow Dung,2,43001,local,2016
Electricity Fuel,4,43001,local,2016
KeroseneFuel,14,43001,local,2016
LP Gas,160,43001,local,2016
Not Stated about Fuel,23,43001,local,2016
OthersFuel,0,43001,local,2016
Wood/FireWood,3485,43001,local,2016
Bio-Gas Fuel,68,43005,local,2016
Cow Dung,1,43005,local,2016
Electricity Fuel,0,43005,local,2016
