main type of cooking fuel,total,geo_code,geo_level,geo_version
Electricity Fuel,234,12,district,2016
KeroseneFuel,997,12,district,2016
LP Gas,52545,12,district,2016
Not Stated about Fuel,518,12,district,2016
OthersFuel,669,12,district,2016
Wood/FireWood,64933,12,district,2016
Bio-Gas Fuel,23,35002,local,2016
Cow Dung,4,35002,local,2016
Electricity Fuel,2,35002,local,2016
KeroseneFuel,20,35002,local,2016
LP Gas,765,35002,local,2016
Not Stated about Fuel,14,35002,local,2016
OthersFuel,13,35002,local,2016
Wood/FireWood,3937,35002,local,2016
Bio-Gas Fuel,851,35006,local,2016
Cow Dung,22,35006,local,2016
Electricity Fuel,14,35006,local,2016
KeroseneFuel,37,35006,local,2016
LP Gas,2353,35006,local,2016
Not Stated about Fuel,23,35006,local,2016
OthersFuel,16,35006,local,2016
Wood/FireWood,8739,35006,local,2016
Bio-Gas Fuel,1455,35004,local,2016
Cow Dung,32,35004,local,2016
Electricity Fuel,35,35004,local,2016
KeroseneFuel,69,35004,local,2016
LP Gas,3960,35004,local,2016
Not Stated about Fuel,47,35004,local,2016
OthersFuel,260,35004,local,2016
Wood/FireWood,6473,35004,local,2016
Bio-Gas Fuel,2153,35007,local,2016
Cow Dung,18,35007,local,2016
Electricity Fuel,38,35007,local,2016
KeroseneFuel,134,35007,local,2016
LP Gas,7014,35007,local,2016
Not Stated about Fuel,106,35007,local,2016
OthersFuel,87,35007,local,2016
Wood/FireWood,6520,35007,local,2016
Bio-Gas Fuel,609,35003,local,2016
Cow Dung,9,35003,local,2016
Electricity Fuel,5,35003,local,2016
KeroseneFuel,32,35003,local,2016
LP Gas,1653,35003,local,2016
Not Stated about Fuel,26,35003,local,2016
OthersFuel,17,35003,local,2016
Wood/FireWood,6765,35003,local,2016
Bio-Gas Fuel,5881,35001,local,2016
Cow Dung,88,35001,local,2016
Electricity Fuel,140,35001,local,2016
KeroseneFuel,666,35001,local,2016
LP Gas,36412,35001,local,2016
Not Stated about Fuel,284,35001,local,2016
OthersFuel,269,35001,local,2016
Wood/FireWood,25295,35001,local,2016
Bio-Gas Fuel,1266,35005,local,2016
Cow Dung,38,35005,local,2016
Electricity Fuel,0,35005,local,2016
KeroseneFuel,39,35005,local,2016
LP Gas,388,35005,local,2016
Not Stated about Fuel,18,35005,local,2016
OthersFuel,7,35005,local,2016
Wood/FireWood,7204,35005,local,2016
Bio-Gas Fuel,323,38,district,2016
Cow Dung,139,38,district,2016
Electricity Fuel,261,38,district,2016
KeroseneFuel,3309,38,district,2016
LP Gas,84511,38,district,2016
Not Stated about Fuel,1096,38,district,2016
OthersFuel,312,38,district,2016
Wood/FireWood,19554,38,district,2016
Bio-Gas Fuel,9,25005,local,2016
Cow Dung,5,25005,local,2016
Electricity Fuel,65,25005,local,2016
KeroseneFuel,422,25005,local,2016
LP Gas,11902,25005,local,2016
Not Stated about Fuel,316,25005,local,2016
OthersFuel,63,25005,local,2016
Wood/FireWood,2148,25005,local,2016
Bio-Gas Fuel,35,25002,local,2016
Cow Dung,88,25002,local,2016
Electricity Fuel,13,25002,local,2016
KeroseneFuel,468,25002,local,2016
LP Gas,8864,25002,local,2016
Not Stated about Fuel,185,25002,local,2016
OthersFuel,58,25002,local,2016
Wood/FireWood,8051,25002,local,2016
Bio-Gas Fuel,120,25001,local,2016
Cow Dung,2,25001,local,2016
Electricity Fuel,0,25001,local,2016
KeroseneFuel,11,25001,local,2016
LP Gas,33,25001,local,2016
