Agricultural land use area,total,geo_code,geo_level,geo_version
Meadows And Pasture,81,29002,local,2016
Permanent Crops,61,29002,local,2016
Temporary Crops,3998,29002,local,2016
Temporary Fallow,115,29002,local,2016
Temporary Meadows,8,29002,local,2016
Other Land,163,29002,local,2016
Ponds,0,29002,local,2016
Woodland And Forest,131,29002,local,2016
Arable Land,4122,29004,local,2016
Meadows And Pasture,81,29004,local,2016
Permanent Crops,61,29004,local,2016
Temporary Crops,3998,29004,local,2016
Temporary Fallow,115,29004,local,2016
Temporary Meadows,8,29004,local,2016
Other Land,163,29004,local,2016
Ponds,0,29004,local,2016
Woodland And Forest,131,29004,local,2016
Arable Land,22551,65,district,2016
Meadows And Pasture,80,65,district,2016
Permanent Crops,1521,65,district,2016
Temporary Crops,21912,65,district,2016
Temporary Fallow,557,65,district,2016
Temporary Meadows,82,65,district,2016
Other Land,1479,65,district,2016
Ponds,16,65,district,2016
Woodland And Forest,979,65,district,2016
Arable Land,22551,20008,local,2016
Meadows And Pasture,80,20008,local,2016
Permanent Crops,1521,20008,local,2016
Temporary Crops,21912,20008,local,2016
Temporary Fallow,557,20008,local,2016
Temporary Meadows,82,20008,local,2016
Other Land,1479,20008,local,2016
Ponds,16,20008,local,2016
Woodland And Forest,979,20008,local,2016
Arable Land,22551,20007,local,2016
Meadows And Pasture,80,20007,local,2016
Permanent Crops,1521,20007,local,2016
Temporary Crops,21912,20007,local,2016
Temporary Fallow,557,20007,local,2016
Temporary Meadows,82,20007,local,2016
Other Land,1479,20007,local,2016
Ponds,16,20007,local,2016
Woodland And Forest,979,20007,local,2016
Arable Land,22551,20004,local,2016
Meadows And Pasture,80,20004,local,2016
Permanent Crops,1521,20004,local,2016
Temporary Crops,21912,20004,local,2016
Temporary Fallow,557,20004,local,2016
Temporary Meadows,82,20004,local,2016
Other Land,1479,20004,local,2016
Ponds,16,20004,local,2016
Woodland And Forest,979,20004,local,2016
Arable Land,22551,20006,local,2016
Meadows And Pasture,80,20006,local,2016
Permanent Crops,1521,20006,local,2016
Temporary Crops,21912,20006,local,2016
Temporary Fallow,557,20006,local,2016
Temporary Meadows,82,20006,local,2016
Other Land,1479,20006,local,2016
Ponds,16,20006,local,2016
Woodland And Forest,979,20006,local,2016
Arable Land,22551,20001,local,2016
Meadows And Pasture,80,20001,local,2016
Permanent Crops,1521,20001,local,2016
Temporary Crops,21912,20001,local,2016
Temporary Fallow,557,20001,local,2016
Temporary Meadows,82,20001,local,2016
Other Land,1479,20001,local,2016
Ponds,16,20001,local,2016
Woodland And Forest,979,20001,local,2016
Arable Land,22551,20002,local,2016
Meadows And Pasture,80,20002,local,2016
Permanent Crops,1521,20002,local,2016
Temporary Crops,21912,20002,local,2016
Temporary Fallow,557,20002,local,2016
Temporary Meadows,82,20002,local,2016
Other Land,1479,20002,local,2016
Ponds,16,20002,local,2016
Woodland And Forest,979,20002,local,2016
Arable Land,22551,20009,local,2016
Meadows And Pasture,80,20009,local,2016
Permanent Crops,1521,20009,local,2016
Temporary Crops,21912,20009,local,2016
Temporary Fallow,557,20009,local,2016
Temporary Meadows,82,20009,local,2016
Other Land,1479,20009,local,2016
Ponds,16,20009,local,2016
Woodland And Forest,979,20009,local,2016
Arable Land,22551,20003,local,2016
Meadows And Pasture,80,20003,local,2016
Permanent Crops,1521,20003,local,2016
Temporary Crops,21912,20003,local,2016
Temporary Fallow,557,20003,local,2016
Temporary Meadows,82,20003,local,2016
Other Land,1479,20003,local,2016
Ponds,16,20003,local,2016
Woodland And Forest,979,20003,local,2016
Arable Land,22551,20005,local,2016
Meadows And Pasture,80,20005,local,2016
Permanent Crops,1521,20005,local,2016
Temporary Crops,21912,20005,local,2016
Temporary Fallow,557,20005,local,2016
Temporary Meadows,82,20005,local,2016
Other Land,1479,20005,local,2016
Ponds,16,20005,local,2016
Woodland And Forest,979,20005,local,2016
Arable Land,30906,66,district,2016
Meadows And Pasture,490,66,district,2016
Permanent Crops,1022,66,district,2016
Temporary Crops,29781,66,district,2016
Temporary Fallow,841,66,district,2016
Temporary Meadows,284,66,district,2016
Other Land,1351,66,district,2016
Ponds,11,66,district,2016
Woodland And Forest,1002,66,district,2016
Arable Land,30906,23011,local,2016
Meadows And Pasture,490,23011,local,2016
Permanent Crops,1022,23011,local,2016
Temporary Crops,29781,23011,local,2016
Temporary Fallow,841,23011,local,2016
Temporary Meadows,284,23011,local,2016
Other Land,1351,23011,local,2016
Ponds,11,23011,local,2016
Woodland And Forest,1002,23011,local,2016
Arable Land,30906,23008,local,2016
Meadows And Pasture,490,23008,local,2016
Permanent Crops,1022,23008,local,2016
Temporary Crops,29781,23008,local,2016
Temporary Fallow,841,23008,local,2016
Temporary Meadows,284,23008,local,2016
Other Land,1351,23008,local,2016
Ponds,11,23008,local,2016
Woodland And Forest,1002,23008,local,2016
Arable Land,30906,23007,local,2016
Meadows And Pasture,490,23007,local,2016
Permanent Crops,1022,23007,local,2016
Temporary Crops,29781,23007,local,2016
Temporary Fallow,841,23007,local,2016
Temporary Meadows,284,23007,local,2016
Other Land,1351,23007,local,2016
Ponds,11,23007,local,2016
Woodland And Forest,1002,23007,local,2016
Arable Land,30906,23006,local,2016
Meadows And Pasture,490,23006,local,2016
Permanent Crops,1022,23006,local,2016
Temporary Crops,29781,23006,local,2016
Temporary Fallow,841,23006,local,2016
Temporary Meadows,284,23006,local,2016
Other Land,1351,23006,local,2016
Ponds,11,23006,local,2016
Woodland And Forest,1002,23006,local,2016
Arable Land,30906,23004,local,2016
Meadows And Pasture,490,23004,local,2016
Permanent Crops,1022,23004,local,2016
Temporary Crops,29781,23004,local,2016
Temporary Fallow,841,23004,local,2016
Temporary Meadows,284,23004,local,2016
Other Land,1351,23004,local,2016
Ponds,11,23004,local,2016
Woodland And Forest,1002,23004,local,2016
Arable Land,30906,23003,local,2016
Meadows And Pasture,490,23003,local,2016
Permanent Crops,1022,23003,local,2016
Temporary Crops,29781,23003,local,2016
Temporary Fallow,841,23003,local,2016
Temporary Meadows,284,23003,local,2016
Other Land,1351,23003,local,2016
Ponds,11,23003,local,2016
Woodland And Forest,1002,23003,local,2016
Arable Land,30906,23005,local,2016
Meadows And Pasture,490,23005,local,2016
Permanent Crops,1022,23005,local,2016
Temporary Crops,29781,23005,local,2016
Temporary Fallow,841,23005,local,2016
Temporary Meadows,284,23005,local,2016
Other Land,1351,23005,local,2016
Ponds,11,23005,local,2016
Woodland And Forest,1002,23005,local,2016
Arable Land,30906,23001,local,2016
Meadows And Pasture,490,23001,local,2016
Permanent Crops,1022,23001,local,2016
Temporary Crops,29781,23001,local,2016
Temporary Fallow,841,23001,local,2016
Temporary Meadows,284,23001,local,2016
Other Land,1351,23001,local,2016
Ponds,11,23001,local,2016
Woodland And Forest,1002,23001,local,2016
Arable Land,30906,23009,local,2016
Meadows And Pasture,490,23009,local,2016
Permanent Crops,1022,23009,local,2016
Temporary Crops,29781,23009,local,2016
Temporary Fallow,841,23009,local,2016
Temporary Meadows,284,23009,local,2016
Other Land,1351,23009,local,2016
Ponds,11,23009,local,2016
Woodland And Forest,1002,23009,local,2016
Arable Land,30906,23012,local,2016
Meadows And Pasture,490,23012,local,2016
Permanent Crops,1022,23012,local,2016
Temporary Crops,29781,23012,local,2016
Temporary Fallow,841,23012,local,2016
Temporary Meadows,284,23012,local,2016
Other Land,1351,23012,local,2016
Ponds,11,23012,local,2016
Woodland And Forest,1002,23012,local,2016
Arable Land,30906,23002,local,2016
Meadows And Pasture,490,23002,local,2016
Permanent Crops,1022,23002,local,2016
Temporary Crops,29781,23002,local,2016
Temporary Fallow,841,23002,local,2016
Temporary Meadows,284,23002,local,2016
Other Land,1351,23002,local,2016
Ponds,11,23002,local,2016
Woodland And Forest,1002,23002,local,2016
Arable Land,30906,23010,local,2016
Meadows And Pasture,490,23010,local,2016
Permanent Crops,1022,23010,local,2016
Temporary Crops,29781,23010,local,2016
Temporary Fallow,841,23010,local,2016
Temporary Meadows,284,23010,local,2016
Other Land,1351,23010,local,2016
Ponds,11,23010,local,2016
Woodland And Forest,1002,23010,local,2016
Arable Land,35745,12,district,2016
Meadows And Pasture,216,12,district,2016
Permanent Crops,1377,12,district,2016
Temporary Crops,35396,12,district,2016
Temporary Fallow,301,12,district,2016
Temporary Meadows,48,12,district,2016
Other Land,2721,12,district,2016
Ponds,183,12,district,2016
Woodland And Forest,389,12,district,2016
Arable Land,35745,35002,local,2016
Meadows And Pasture,216,35002,local,2016
Permanent Crops,1377,35002,local,2016
Temporary Crops,35396,35002,local,2016
Temporary Fallow,301,35002,local,2016
Temporary Meadows,48,35002,local,2016
Other Land,2721,35002,local,2016
Ponds,183,35002,local,2016
Woodland And Forest,389,35002,local,2016
Arable Land,35745,35006,local,2016
Meadows And Pasture,216,35006,local,2016
Permanent Crops,1377,35006,local,2016
Temporary Crops,35396,35006,local,2016
Temporary Fallow,301,35006,local,2016
Temporary Meadows,48,35006,local,2016
Other Land,2721,35006,local,2016
Ponds,183,35006,local,2016
Woodland And Forest,389,35006,local,2016
Arable Land,35745,35004,local,2016
Meadows And Pasture,216,35004,local,2016
Permanent Crops,1377,35004,local,2016
Temporary Crops,35396,35004,local,2016
Temporary Fallow,301,35004,local,2016
Temporary Meadows,48,35004,local,2016
Other Land,2721,35004,local,2016
Ponds,183,35004,local,2016
Woodland And Forest,389,35004,local,2016
Arable Land,35745,35007,local,2016
Meadows And Pasture,216,35007,local,2016
Permanent Crops,1377,35007,local,2016
Temporary Crops,35396,35007,local,2016
Temporary Fallow,301,35007,local,2016
Temporary Meadows,48,35007,local,2016
Other Land,2721,35007,local,2016
Ponds,183,35007,local,2016
Woodland And Forest,389,35007,local,2016
Arable Land,35745,35003,local,2016
