toilet type,total,geo_code,geo_level
Flush Toilet Septic Tank,639,77003,local
Not Stated about Toilet,4,77003,local
Ordinary Toilet,1051,77003,local
Without Tiolet,1767,77003,local
Flush toilet (sewerage),370,54,district
Flush Toilet Septic Tank,19719,54,district
Not Stated about Toilet,140,54,district
Ordinary Toilet,13723,54,district
Without Tiolet,13764,54,district
Flush toilet (sewerage),19,52001,local
Flush Toilet Septic Tank,1954,52001,local
Not Stated about Toilet,4,52001,local
Ordinary Toilet,1678,52001,local
Without Tiolet,995,52001,local
Flush toilet (sewerage),51,52004,local
Flush Toilet Septic Tank,2517,52004,local
Not Stated about Toilet,9,52004,local
Ordinary Toilet,989,52004,local
Without Tiolet,554,52004,local
Flush toilet (sewerage),49,52003,local
Flush Toilet Septic Tank,2388,52003,local
Not Stated about Toilet,7,52003,local
Ordinary Toilet,1641,52003,local
Without Tiolet,1783,52003,local
Flush toilet (sewerage),25,52005,local
Flush Toilet Septic Tank,873,52005,local
Not Stated about Toilet,19,52005,local
Ordinary Toilet,474,52005,local
Without Tiolet,1677,52005,local
Flush toilet (sewerage),28,52008,local
Flush Toilet Septic Tank,739,52008,local
Not Stated about Toilet,9,52008,local
Ordinary Toilet,1477,52008,local
Without Tiolet,1231,52008,local
Flush toilet (sewerage),27,52002,local
Flush Toilet Septic Tank,2122,52002,local
Not Stated about Toilet,18,52002,local
Ordinary Toilet,1623,52002,local
Without Tiolet,995,52002,local
Flush toilet (sewerage),44,52009,local
Flush Toilet Septic Tank,2407,52009,local
Not Stated about Toilet,20,52009,local
Ordinary Toilet,1931,52009,local
Without Tiolet,2566,52009,local
Flush toilet (sewerage),74,52007,local
Flush Toilet Septic Tank,4766,52007,local
Not Stated about Toilet,41,52007,local
Ordinary Toilet,1749,52007,local
Without Tiolet,2334,52007,local
Flush toilet (sewerage),53,52006,local
Flush Toilet Septic Tank,1953,52006,local
Not Stated about Toilet,13,52006,local
Ordinary Toilet,2161,52006,local
Without Tiolet,1629,52006,local
Flush toilet (sewerage),1827,60,district
Flush Toilet Septic Tank,70261,60,district
Not Stated about Toilet,1268,60,district
Ordinary Toilet,22527,60,district
Without Tiolet,67952,60,district
Flush toilet (sewerage),16,49010,local
Flush Toilet Septic Tank,435,49010,local
Not Stated about Toilet,40,49010,local
Ordinary Toilet,199,49010,local
Without Tiolet,4967,49010,local
Flush toilet (sewerage),32,49004,local
Flush Toilet Septic Tank,4113,49004,local
Not Stated about Toilet,15,49004,local
Ordinary Toilet,550,49004,local
Without Tiolet,2374,49004,local
Flush toilet (sewerage),21,49012,local
Flush Toilet Septic Tank,188,49012,local
Not Stated about Toilet,72,49012,local
Ordinary Toilet,103,49012,local
Without Tiolet,4736,49012,local
Flush toilet (sewerage),324,49001,local
Flush Toilet Septic Tank,25046,49001,local
Not Stated about Toilet,396,49001,local
Ordinary Toilet,5666,49001,local
Without Tiolet,2665,49001,local
Flush toilet (sewerage),33,49015,local
Flush Toilet Septic Tank,1528,49015,local
Not Stated about Toilet,22,49015,local
Ordinary Toilet,1147,49015,local
Without Tiolet,3415,49015,local
Flush toilet (sewerage),17,49009,local
Flush Toilet Septic Tank,1766,49009,local
Not Stated about Toilet,24,49009,local
Ordinary Toilet,413,49009,local
Without Tiolet,3567,49009,local
Flush toilet (sewerage),74,49011,local
Flush Toilet Septic Tank,7056,49011,local
Not Stated about Toilet,22,49011,local
Ordinary Toilet,2179,49011,local
Without Tiolet,3061,49011,local
Flush toilet (sewerage),502,49016,local
Flush Toilet Septic Tank,13326,49016,local
Not Stated about Toilet,97,49016,local
Ordinary Toilet,4802,49016,local
Without Tiolet,3230,49016,local
Flush toilet (sewerage),50,49014,local
Flush Toilet Septic Tank,2069,49014,local
Not Stated about Toilet,29,49014,local
Ordinary Toilet,850,49014,local
Without Tiolet,3794,49014,local
Flush toilet (sewerage),19,49008,local
Flush Toilet Septic Tank,585,49008,local
Not Stated about Toilet,48,49008,local
Ordinary Toilet,272,49008,local
Without Tiolet,5886,49008,local
Flush toilet (sewerage),101,49003,local
Flush Toilet Septic Tank,440,49003,local
Not Stated about Toilet,66,49003,local
Ordinary Toilet,287,49003,local
Without Tiolet,6391,49003,local
Flush toilet (sewerage),62,49006,local
Flush Toilet Septic Tank,933,49006,local
Not Stated about Toilet,111,49006,local
Ordinary Toilet,1002,49006,local
Without Tiolet,7838,49006,local
Flush toilet (sewerage),17,49005,local
Flush Toilet Septic Tank,165,49005,local
Not Stated about Toilet,46,49005,local
Ordinary Toilet,101,49005,local
Without Tiolet,5264,49005,local
Flush toilet (sewerage),30,49007,local
Flush Toilet Septic Tank,99,49007,local
Not Stated about Toilet,78,49007,local
Ordinary Toilet,54,49007,local
Without Tiolet,5002,49007,local
Flush toilet (sewerage),337,49002,local
Flush Toilet Septic Tank,3544,49002,local
Not Stated about Toilet,84,49002,local
Ordinary Toilet,3852,49002,local
Without Tiolet,3593,49002,local
Flush toilet (sewerage),192,49013,local
Flush Toilet Septic Tank,8968,49013,local
Not Stated about Toilet,118,49013,local
Ordinary Toilet,1050,49013,local
Without Tiolet,2169,49013,local
Flush toilet (sewerage),505,76,district
Flush Toilet Septic Tank,18790,76,district
Not Stated about Toilet,413,76,district
Ordinary Toilet,7780,76,district
Without Tiolet,34357,76,district
Flush toilet (sewerage),53,48004,local
Flush Toilet Septic Tank,2231,48004,local
Not Stated about Toilet,68,48004,local
Ordinary Toilet,345,48004,local
Without Tiolet,7585,48004,local
Flush toilet (sewerage),32,48002,local
Flush Toilet Septic Tank,638,48002,local
Not Stated about Toilet,26,48002,local
Ordinary Toilet,255,48002,local
Without Tiolet,4930,48002,local
Flush toilet (sewerage),54,48005,local
Flush Toilet Septic Tank,1398,48005,local
Not Stated about Toilet,62,48005,local
Ordinary Toilet,552,48005,local
Without Tiolet,4567,48005,local
Flush toilet (sewerage),191,48001,local
Flush Toilet Septic Tank,5621,48001,local
Not Stated about Toilet,63,48001,local
Ordinary Toilet,3758,48001,local
Without Tiolet,3782,48001,local
Flush toilet (sewerage),98,48006,local
Flush Toilet Septic Tank,6836,48006,local
Not Stated about Toilet,91,48006,local
Ordinary Toilet,1619,48006,local
Without Tiolet,3374,48006,local
Flush toilet (sewerage),36,48007,local
Flush Toilet Septic Tank,837,48007,local
Not Stated about Toilet,39,48007,local
Ordinary Toilet,896,48007,local
Without Tiolet,4422,48007,local
Flush toilet (sewerage),41,48003,local
Flush Toilet Septic Tank,1229,48003,local
Not Stated about Toilet,64,48003,local
Ordinary Toilet,355,48003,local
Without Tiolet,5697,48003,local
Flush toilet (sewerage),1578,07,district
Flush Toilet Septic Tank,28762,07,district
Not Stated about Toilet,542,07,district
Ordinary Toilet,14815,07,district
Without Tiolet,48996,07,district
Flush toilet (sewerage),60,57002,local
Flush Toilet Septic Tank,362,57002,local
Not Stated about Toilet,20,57002,local
Ordinary Toilet,684,57002,local
Without Tiolet,5464,57002,local
Flush toilet (sewerage),62,57006,local
Flush Toilet Septic Tank,83,57006,local
Not Stated about Toilet,39,57006,local
Ordinary Toilet,130,57006,local
Without Tiolet,5594,57006,local
Flush toilet (sewerage),81,57008,local
Flush Toilet Septic Tank,1047,57008,local
Not Stated about Toilet,35,57008,local
Ordinary Toilet,1028,57008,local
Without Tiolet,8551,57008,local
Flush toilet (sewerage),153,57001,local
Flush Toilet Septic Tank,2716,57001,local
Not Stated about Toilet,25,57001,local
Ordinary Toilet,2704,57001,local
Without Tiolet,5468,57001,local
Flush toilet (sewerage),174,57004,local
Flush Toilet Septic Tank,2711,57004,local
Not Stated about Toilet,52,57004,local
Ordinary Toilet,2401,57004,local
Without Tiolet,4950,57004,local
Flush toilet (sewerage),262,57005,local
Flush Toilet Septic Tank,6354,57005,local
Not Stated about Toilet,56,57005,local
Ordinary Toilet,3989,57005,local
Without Tiolet,4822,57005,local
Flush toilet (sewerage),699,57007,local
Flush Toilet Septic Tank,14852,57007,local
Not Stated about Toilet,251,57007,local
Ordinary Toilet,3329,57007,local
Without Tiolet,8761,57007,local
Flush toilet (sewerage),87,57003,local
Flush Toilet Septic Tank,637,57003,local
Not Stated about Toilet,64,57003,local
Ordinary Toilet,550,57003,local
Without Tiolet,5386,57003,local
Flush toilet (sewerage),4897,50,district
Flush Toilet Septic Tank,27680,50,district
Not Stated about Toilet,179,50,district
Ordinary Toilet,12454,50,district
Without Tiolet,14050,50,district
Flush toilet (sewerage),121,47007,local
Flush Toilet Septic Tank,3500,47007,local
Not Stated about Toilet,34,47007,local
Ordinary Toilet,2102,47007,local
Without Tiolet,2375,47007,local
Flush toilet (sewerage),22,47005,local
Flush Toilet Septic Tank,2866,47005,local
Not Stated about Toilet,25,47005,local
Ordinary Toilet,1349,47005,local
Without Tiolet,1747,47005,local
Flush toilet (sewerage),58,47010,local
Flush Toilet Septic Tank,1532,47010,local
Not Stated about Toilet,15,47010,local
Ordinary Toilet,597,47010,local
Without Tiolet,1686,47010,local
Flush toilet (sewerage),50,47003,local
Flush Toilet Septic Tank,1208,47003,local
Not Stated about Toilet,19,47003,local
Ordinary Toilet,497,47003,local
Without Tiolet,2117,47003,local
Flush toilet (sewerage),53,47008,local
Flush Toilet Septic Tank,2970,47008,local
Not Stated about Toilet,13,47008,local
Ordinary Toilet,855,47008,local
Without Tiolet,756,47008,local
Flush toilet (sewerage),50,47006,local
Flush Toilet Septic Tank,1992,47006,local
Not Stated about Toilet,4,47006,local
Ordinary Toilet,1624,47006,local
Without Tiolet,956,47006,local
Flush toilet (sewerage),36,47001,local
Flush Toilet Septic Tank,3567,47001,local
Not Stated about Toilet,8,47001,local
Ordinary Toilet,1023,47001,local
Without Tiolet,636,47001,local
Flush toilet (sewerage),4417,47009,local
Flush Toilet Septic Tank,7043,47009,local
Not Stated about Toilet,47,47009,local
Ordinary Toilet,1175,47009,local
Without Tiolet,964,47009,local
Flush toilet (sewerage),61,47002,local
Flush Toilet Septic Tank,1758,47002,local
Not Stated about Toilet,6,47002,local
Ordinary Toilet,2018,47002,local
Without Tiolet,1223,47002,local
Flush toilet (sewerage),29,47004,local
Flush Toilet Septic Tank,1244,47004,local
Not Stated about Toilet,8,47004,local
Ordinary Toilet,1214,47004,local
Without Tiolet,1590,47004,local
Flush toilet (sewerage),349,58,district
Flush Toilet Septic Tank,5981,58,district
Not Stated about Toilet,185,58,district
Ordinary Toilet,2953,58,district
Without Tiolet,34267,58,district
Flush toilet (sewerage),61,53008,local
Flush Toilet Septic Tank,898,53008,local
Not Stated about Toilet,21,53008,local
Ordinary Toilet,473,53008,local
Without Tiolet,4204,53008,local
Flush toilet (sewerage),43,53001,local
Flush Toilet Septic Tank,397,53001,local
Not Stated about Toilet,12,53001,local
Ordinary Toilet,386,53001,local
Without Tiolet,3180,53001,local
Flush toilet (sewerage),23,53003,local
Flush Toilet Septic Tank,308,53003,local
Not Stated about Toilet,17,53003,local
Ordinary Toilet,193,53003,local
Without Tiolet,3117,53003,local
Flush toilet (sewerage),32,53004,local
Flush Toilet Septic Tank,2362,53004,local
Not Stated about Toilet,51,53004,local
Ordinary Toilet,796,53004,local
Without Tiolet,3892,53004,local
Flush toilet (sewerage),48,53010,local
Flush Toilet Septic Tank,560,53010,local
Not Stated about Toilet,19,53010,local
Ordinary Toilet,94,53010,local
Without Tiolet,3819,53010,local
Flush toilet (sewerage),61,53006,local
Flush Toilet Septic Tank,443,53006,local
Not Stated about Toilet,13,53006,local
Ordinary Toilet,127,53006,local
Without Tiolet,2811,53006,local
Flush toilet (sewerage),8,53009,local
Flush Toilet Septic Tank,169,53009,local
Not Stated about Toilet,11,53009,local
Ordinary Toilet,121,53009,local
Without Tiolet,1863,53009,local
Flush toilet (sewerage),20,53005,local
Flush Toilet Septic Tank,254,53005,local
Not Stated about Toilet,14,53005,local
Ordinary Toilet,175,53005,local
Without Tiolet,5221,53005,local
Flush toilet (sewerage),12,53002,local
Flush Toilet Septic Tank,326,53002,local
Not Stated about Toilet,16,53002,local
Ordinary Toilet,343,53002,local
Without Tiolet,3705,53002,local
Flush toilet (sewerage),41,53007,local
Flush Toilet Septic Tank,264,53007,local
Not Stated about Toilet,11,53007,local
Ordinary Toilet,245,53007,local
Without Tiolet,2455,53007,local
Flush toilet (sewerage),1389,15,district
Flush Toilet Septic Tank,51511,15,district
Not Stated about Toilet,571,15,district
Ordinary Toilet,17342,15,district
Without Tiolet,45534,15,district
Flush toilet (sewerage),303,56005,local
Flush Toilet Septic Tank,21950,56005,local
Not Stated about Toilet,136,56005,local
Ordinary Toilet,4758,56005,local
Without Tiolet,8272,56005,local
Flush toilet (sewerage),417,56010,local
Flush Toilet Septic Tank,15142,56010,local
Not Stated about Toilet,173,56010,local
Ordinary Toilet,4931,56010,local
Without Tiolet,10580,56010,local
Flush toilet (sewerage),35,56003,local
Flush Toilet Septic Tank,1724,56003,local
Not Stated about Toilet,14,56003,local
Ordinary Toilet,534,56003,local
Without Tiolet,2148,56003,local
Flush toilet (sewerage),10,56007,local
Flush Toilet Septic Tank,429,56007,local
Not Stated about Toilet,19,56007,local
Ordinary Toilet,210,56007,local
Without Tiolet,3805,56007,local
Flush toilet (sewerage),179,56006,local
Flush Toilet Septic Tank,3387,56006,local
Not Stated about Toilet,50,56006,local
Ordinary Toilet,1052,56006,local
Without Tiolet,4764,56006,local
Flush toilet (sewerage),27,56009,local
Flush Toilet Septic Tank,1928,56009,local
Not Stated about Toilet,13,56009,local
Ordinary Toilet,1026,56009,local
Without Tiolet,2334,56009,local
Flush toilet (sewerage),55,56001,local
Flush Toilet Septic Tank,1546,56001,local
Not Stated about Toilet,25,56001,local
Ordinary Toilet,1502,56001,local
Without Tiolet,2817,56001,local
Flush toilet (sewerage),205,56008,local
Flush Toilet Septic Tank,3081,56008,local
Not Stated about Toilet,81,56008,local
Ordinary Toilet,1464,56008,local
Without Tiolet,3224,56008,local
Flush toilet (sewerage),44,56002,local
Flush Toilet Septic Tank,1000,56002,local
Not Stated about Toilet,21,56002,local
Ordinary Toilet,703,56002,local
Without Tiolet,2962,56002,local
Flush toilet (sewerage),114,56004,local
Flush Toilet Septic Tank,1324,56004,local
Not Stated about Toilet,39,56004,local
Ordinary Toilet,1162,56004,local
Without Tiolet,4628,56004,local
Flush toilet (sewerage),429,02,district
Flush Toilet Septic Tank,15953,02,district
Not Stated about Toilet,157,02,district
Ordinary Toilet,17000,02,district
Without Tiolet,13287,02,district
Flush toilet (sewerage),76,51002,local
Flush Toilet Septic Tank,1991,51002,local
Not Stated about Toilet,15,51002,local
Ordinary Toilet,3326,51002,local
Without Tiolet,933,51002,local
Flush toilet (sewerage),59,51003,local
Flush Toilet Septic Tank,2556,51003,local
Not Stated about Toilet,5,51003,local
Ordinary Toilet,2453,51003,local
Without Tiolet,1751,51003,local
Flush toilet (sewerage),129,51005,local
Flush Toilet Septic Tank,4969,51005,local
Not Stated about Toilet,58,51005,local
Ordinary Toilet,3424,51005,local
Without Tiolet,2001,51005,local
Flush toilet (sewerage),47,51001,local
Flush Toilet Septic Tank,2707,51001,local
Not Stated about Toilet,18,51001,local
Ordinary Toilet,2438,51001,local
Without Tiolet,2517,51001,local
Flush toilet (sewerage),48,51006,local
Flush Toilet Septic Tank,1980,51006,local
Not Stated about Toilet,39,51006,local
Ordinary Toilet,2615,51006,local
Without Tiolet,4519,51006,local
Flush toilet (sewerage),70,51004,local
Flush Toilet Septic Tank,1750,51004,local
Not Stated about Toilet,22,51004,local
Ordinary Toilet,2744,51004,local
Without Tiolet,1566,51004,local
Flush toilet (sewerage),1001,09,district
Flush Toilet Septic Tank,15458,09,district
Not Stated about Toilet,176,09,district
Ordinary Toilet,23829,09,district
Without Tiolet,42683,09,district
Flush toilet (sewerage),173,58007,local
Flush Toilet Septic Tank,1267,58007,local
Not Stated about Toilet,16,58007,local
Ordinary Toilet,2396,58007,local
Without Tiolet,7064,58007,local
Flush toilet (sewerage),134,58001,local
Flush Toilet Septic Tank,1893,58001,local
Not Stated about Toilet,16,58001,local
Ordinary Toilet,2943,58001,local
Without Tiolet,5347,58001,local
Flush toilet (sewerage),45,58008,local
Flush Toilet Septic Tank,2261,58008,local
Not Stated about Toilet,25,58008,local
Ordinary Toilet,2499,58008,local
Without Tiolet,3822,58008,local
Flush toilet (sewerage),55,58004,local
Flush Toilet Septic Tank,845,58004,local
Not Stated about Toilet,6,58004,local
Ordinary Toilet,1475,58004,local
Without Tiolet,3754,58004,local
Flush toilet (sewerage),178,58002,local
Flush Toilet Septic Tank,1508,58002,local
Not Stated about Toilet,35,58002,local
Ordinary Toilet,2727,58002,local
Without Tiolet,6762,58002,local
Flush toilet (sewerage),133,58005,local
Flush Toilet Septic Tank,2628,58005,local
Not Stated about Toilet,17,58005,local
Ordinary Toilet,3159,58005,local
Without Tiolet,7127,58005,local
Flush toilet (sewerage),118,58006,local
Flush Toilet Septic Tank,2250,58006,local
Not Stated about Toilet,25,58006,local
Ordinary Toilet,4609,58006,local
Without Tiolet,2567,58006,local
Flush toilet (sewerage),165,58003,local
Flush Toilet Septic Tank,2806,58003,local
Not Stated about Toilet,36,58003,local
Ordinary Toilet,4021,58003,local
Without Tiolet,6240,58003,local
Flush toilet (sewerage),687,33,district
Flush Toilet Septic Tank,20916,33,district
Not Stated about Toilet,774,33,district
Ordinary Toilet,6420,33,district
Without Tiolet,62467,33,district
Flush toilet (sewerage),38,50009,local
Flush Toilet Septic Tank,235,50009,local
Not Stated about Toilet,134,50009,local
Ordinary Toilet,301,50009,local
Without Tiolet,5638,50009,local
Flush toilet (sewerage),117,50001,local
Flush Toilet Septic Tank,8495,50001,local
Not Stated about Toilet,84,50001,local
Ordinary Toilet,3028,50001,local
Without Tiolet,4241,50001,local
Flush toilet (sewerage),36,50002,local
Flush Toilet Septic Tank,316,50002,local
Not Stated about Toilet,44,50002,local
Ordinary Toilet,512,50002,local
Without Tiolet,4762,50002,local
Flush toilet (sewerage),36,50007,local
Flush Toilet Septic Tank,583,50007,local
Not Stated about Toilet,74,50007,local
Ordinary Toilet,81,50007,local
Without Tiolet,5733,50007,local
Flush toilet (sewerage),84,50010,local
Flush Toilet Septic Tank,280,50010,local
Not Stated about Toilet,69,50010,local
Ordinary Toilet,179,50010,local
Without Tiolet,4801,50010,local
Flush toilet (sewerage),73,50005,local
Flush Toilet Septic Tank,1081,50005,local
Not Stated about Toilet,145,50005,local
Ordinary Toilet,441,50005,local
Without Tiolet,6781,50005,local
Flush toilet (sewerage),88,50003,local
Flush Toilet Septic Tank,4182,50003,local
Not Stated about Toilet,51,50003,local
Ordinary Toilet,491,50003,local
Without Tiolet,6709,50003,local
Flush toilet (sewerage),116,50004,local
Flush Toilet Septic Tank,2586,50004,local
Not Stated about Toilet,104,50004,local
Ordinary Toilet,825,50004,local
Without Tiolet,8463,50004,local
Flush toilet (sewerage),38,50008,local
Flush Toilet Septic Tank,2719,50008,local
Not Stated about Toilet,42,50008,local
Ordinary Toilet,458,50008,local
Without Tiolet,7993,50008,local
Flush toilet (sewerage),61,50006,local
Flush Toilet Septic Tank,439,50006,local
Not Stated about Toilet,27,50006,local
Ordinary Toilet,104,50006,local
Without Tiolet,7346,50006,local
Flush toilet (sewerage),6173,4,province
Flush Toilet Septic Tank,363534,4,province
Not Stated about Toilet,2260,4,province
Ordinary Toilet,121873,4,province
Without Tiolet,83842,4,province
Flush toilet (sewerage),450,23,district
Flush Toilet Septic Tank,26932,23,district
Not Stated about Toilet,252,23,district
Ordinary Toilet,20908,23,district
Without Tiolet,17916,23,district
Flush toilet (sewerage),40,36011,local
Flush Toilet Septic Tank,1155,36011,local
Not Stated about Toilet,19,36011,local
Ordinary Toilet,1834,36011,local
Without Tiolet,2781,36011,local
Flush toilet (sewerage),40,36008,local
Flush Toilet Septic Tank,3471,36008,local
Not Stated about Toilet,11,36008,local
Ordinary Toilet,3920,36008,local
Without Tiolet,2482,36008,local
Flush toilet (sewerage),4,36001,local
Flush Toilet Septic Tank,1539,36001,local
Not Stated about Toilet,15,36001,local
Ordinary Toilet,1742,36001,local
Without Tiolet,2314,36001,local
Flush toilet (sewerage),3,36003,local
Flush Toilet Septic Tank,2775,36003,local
Not Stated about Toilet,14,36003,local
Ordinary Toilet,1653,36003,local
Without Tiolet,993,36003,local
Flush toilet (sewerage),2,36006,local
Flush Toilet Septic Tank,2070,36006,local
Not Stated about Toilet,20,36006,local
Ordinary Toilet,1897,36006,local
Without Tiolet,1264,36006,local
Flush toilet (sewerage),2,36010,local
Flush Toilet Septic Tank,2388,36010,local
Not Stated about Toilet,22,36010,local
Ordinary Toilet,1881,36010,local
Without Tiolet,1603,36010,local
Flush toilet (sewerage),3,36002,local
Flush Toilet Septic Tank,1622,36002,local
Not Stated about Toilet,14,36002,local
Ordinary Toilet,1276,36002,local
Without Tiolet,703,36002,local
Flush toilet (sewerage),63,36007,local
Flush Toilet Septic Tank,8649,36007,local
Not Stated about Toilet,58,36007,local
Ordinary Toilet,3073,36007,local
Without Tiolet,1284,36007,local
Flush toilet (sewerage),10,36004,local
Flush Toilet Septic Tank,201,36004,local
Not Stated about Toilet,18,36004,local
Ordinary Toilet,436,36004,local
Without Tiolet,1284,36004,local
Flush toilet (sewerage),186,36005,local
Flush Toilet Septic Tank,329,36005,local
Not Stated about Toilet,15,36005,local
Ordinary Toilet,945,36005,local
Without Tiolet,1653,36005,local
Flush toilet (sewerage),97,36009,local
Flush Toilet Septic Tank,2733,36009,local
Not Stated about Toilet,46,36009,local
Ordinary Toilet,2251,36009,local
Without Tiolet,1555,36009,local
Flush toilet (sewerage),781,03,district
Flush Toilet Septic Tank,33189,03,district
Not Stated about Toilet,279,03,district
Ordinary Toilet,15083,03,district
Without Tiolet,12150,03,district
Flush toilet (sewerage),27,45008,local
Flush Toilet Septic Tank,667,45008,local
Not Stated about Toilet,35,45008,local
Ordinary Toilet,1469,45008,local
Without Tiolet,2695,45008,local
Flush toilet (sewerage),223,45007,local
Flush Toilet Septic Tank,4507,45007,local
Not Stated about Toilet,22,45007,local
Ordinary Toilet,924,45007,local
Without Tiolet,452,45007,local
Flush toilet (sewerage),42,45005,local
Flush Toilet Septic Tank,4852,45005,local
Not Stated about Toilet,29,45005,local
Ordinary Toilet,2141,45005,local
Without Tiolet,647,45005,local
Flush toilet (sewerage),35,45001,local
Flush Toilet Septic Tank,2463,45001,local
Not Stated about Toilet,64,45001,local
Ordinary Toilet,2004,45001,local
Without Tiolet,1662,45001,local
Flush toilet (sewerage),242,45002,local
Flush Toilet Septic Tank,11604,45002,local
Not Stated about Toilet,37,45002,local
Ordinary Toilet,2510,45002,local
Without Tiolet,789,45002,local
Flush toilet (sewerage),67,45003,local
Flush Toilet Septic Tank,1299,45003,local
Not Stated about Toilet,11,45003,local
Ordinary Toilet,1523,45003,local
Without Tiolet,340,45003,local
Flush toilet (sewerage),13,45009,local
Flush Toilet Septic Tank,292,45009,local
Not Stated about Toilet,15,45009,local
Ordinary Toilet,604,45009,local
Without Tiolet,1498,45009,local
Flush toilet (sewerage),50,45004,local
Flush Toilet Septic Tank,1344,45004,local
Not Stated about Toilet,37,45004,local
Ordinary Toilet,1153,45004,local
Without Tiolet,3122,45004,local
Flush toilet (sewerage),24,45010,local
Flush Toilet Septic Tank,849,45010,local
Not Stated about Toilet,5,45010,local
Ordinary Toilet,1402,45010,local
Without Tiolet,215,45010,local
Flush toilet (sewerage),58,45006,local
Flush Toilet Septic Tank,5312,45006,local
Not Stated about Toilet,24,45006,local
Ordinary Toilet,1353,45006,local
Without Tiolet,730,45006,local
Flush toilet (sewerage),752,71,district
Flush Toilet Septic Tank,36477,71,district
Not Stated about Toilet,171,71,district
Ordinary Toilet,24304,71,district
Without Tiolet,7152,71,district
Flush toilet (sewerage),19,39008,local
Flush Toilet Septic Tank,2616,39008,local
Not Stated about Toilet,7,39008,local
Ordinary Toilet,2059,39008,local
Without Tiolet,271,39008,local
Flush toilet (sewerage),60,39005,local
Flush Toilet Septic Tank,2503,39005,local
Not Stated about Toilet,16,39005,local
Ordinary Toilet,2527,39005,local
Without Tiolet,828,39005,local
Flush toilet (sewerage),17,39009,local
Flush Toilet Septic Tank,2394,39009,local
Not Stated about Toilet,3,39009,local
Ordinary Toilet,498,39009,local
Without Tiolet,342,39009,local
Flush toilet (sewerage),22,39001,local
Flush Toilet Septic Tank,2388,39001,local
Not Stated about Toilet,4,39001,local
Ordinary Toilet,1236,39001,local
Without Tiolet,475,39001,local
Flush toilet (sewerage),36,39004,local
Flush Toilet Septic Tank,2003,39004,local
Not Stated about Toilet,16,39004,local
Ordinary Toilet,1522,39004,local
Without Tiolet,728,39004,local
Flush toilet (sewerage),43,39003,local
Flush Toilet Septic Tank,2757,39003,local
Not Stated about Toilet,14,39003,local
Ordinary Toilet,2817,39003,local
Without Tiolet,452,39003,local
Flush toilet (sewerage),136,39011,local
Flush Toilet Septic Tank,6204,39011,local
Not Stated about Toilet,52,39011,local
Ordinary Toilet,4937,39011,local
Without Tiolet,853,39011,local
Flush toilet (sewerage),120,39006,local
Flush Toilet Septic Tank,3800,39006,local
Not Stated about Toilet,11,39006,local
Ordinary Toilet,3459,39006,local
Without Tiolet,885,39006,local
Flush toilet (sewerage),29,39002,local
Flush Toilet Septic Tank,2248,39002,local
Not Stated about Toilet,10,39002,local
Ordinary Toilet,1036,39002,local
Without Tiolet,615,39002,local
Flush toilet (sewerage),207,39010,local
Flush Toilet Septic Tank,8258,39010,local
Not Stated about Toilet,17,39010,local
Ordinary Toilet,2265,39010,local
Without Tiolet,1135,39010,local
Flush toilet (sewerage),63,39007,local
Flush Toilet Septic Tank,1306,39007,local
Not Stated about Toilet,21,39007,local
Ordinary Toilet,1948,39007,local
Without Tiolet,568,39007,local
Flush toilet (sewerage),824,47,district
Flush Toilet Septic Tank,39859,47,district
Not Stated about Toilet,337,47,district
Ordinary Toilet,11318,47,district
Without Tiolet,14577,47,district
Flush toilet (sewerage),143,76004,local
Flush Toilet Septic Tank,6601,76004,local
Not Stated about Toilet,54,76004,local
Ordinary Toilet,1846,76004,local
Without Tiolet,612,76004,local
Flush toilet (sewerage),9,76002,local
Flush Toilet Septic Tank,1288,76002,local
Not Stated about Toilet,8,76002,local
Ordinary Toilet,422,76002,local
Without Tiolet,1760,76002,local
Flush toilet (sewerage),154,76007,local
Flush Toilet Septic Tank,9780,76007,local
Not Stated about Toilet,76,76007,local
Ordinary Toilet,1870,76007,local
Without Tiolet,2224,76007,local
Flush toilet (sewerage),154,76008,local
Flush Toilet Septic Tank,6251,76008,local
Not Stated about Toilet,51,76008,local
Ordinary Toilet,2003,76008,local
Without Tiolet,3484,76008,local
Flush toilet (sewerage),45,76001,local
Flush Toilet Septic Tank,3224,76001,local
Not Stated about Toilet,31,76001,local
Ordinary Toilet,1287,76001,local
Without Tiolet,2329,76001,local
Flush toilet (sewerage),280,76005,local
Flush Toilet Septic Tank,9481,76005,local
Not Stated about Toilet,69,76005,local
Ordinary Toilet,2724,76005,local
Without Tiolet,1069,76005,local
Flush toilet (sewerage),23,76006,local
Flush Toilet Septic Tank,2464,76006,local
Not Stated about Toilet,42,76006,local
Ordinary Toilet,645,76006,local
Without Tiolet,1414,76006,local
Flush toilet (sewerage),16,76003,local
Flush Toilet Septic Tank,770,76003,local
Not Stated about Toilet,6,76003,local
Ordinary Toilet,521,76003,local
Without Tiolet,1685,76003,local
Flush toilet (sewerage),187,46,district
Flush Toilet Septic Tank,14323,46,district
Not Stated about Toilet,67,46,district
Ordinary Toilet,8001,46,district
Without Tiolet,5149,46,district
Flush toilet (sewerage),14,43003,local
Flush Toilet Septic Tank,715,43003,local
Not Stated about Toilet,10,43003,local
Ordinary Toilet,1090,43003,local
Without Tiolet,1400,43003,local
Flush toilet (sewerage),40,43002,local
Flush Toilet Septic Tank,6183,43002,local
