outer wall type,total,geo_code,geo_level
Other Type Wall,17,53004,local
Unbaked Bricks,1,53004,local
Wood/Planks,246,53004,local
BambooWall,611,53010,local
Cement Bonded Bricks/Stone Wall,1165,53010,local
Mud Bonded Bricks/Stone Wall,41423,53010,local
Not Stated about Wall,272,53010,local
Other Type Wall,17,53010,local
Unbaked Bricks,1,53010,local
Wood/Planks,246,53010,local
BambooWall,611,53006,local
Cement Bonded Bricks/Stone Wall,1165,53006,local
Mud Bonded Bricks/Stone Wall,41423,53006,local
Not Stated about Wall,272,53006,local
Other Type Wall,17,53006,local
Unbaked Bricks,1,53006,local
Wood/Planks,246,53006,local
BambooWall,611,53009,local
Cement Bonded Bricks/Stone Wall,1165,53009,local
Mud Bonded Bricks/Stone Wall,41423,53009,local
Not Stated about Wall,272,53009,local
Other Type Wall,17,53009,local
Unbaked Bricks,1,53009,local
Wood/Planks,246,53009,local
BambooWall,611,53005,local
Cement Bonded Bricks/Stone Wall,1165,53005,local
Mud Bonded Bricks/Stone Wall,41423,53005,local
Not Stated about Wall,272,53005,local
Other Type Wall,17,53005,local
Unbaked Bricks,1,53005,local
Wood/Planks,246,53005,local
BambooWall,611,53002,local
Cement Bonded Bricks/Stone Wall,1165,53002,local
Mud Bonded Bricks/Stone Wall,41423,53002,local
Not Stated about Wall,272,53002,local
Other Type Wall,17,53002,local
Unbaked Bricks,1,53002,local
Wood/Planks,246,53002,local
BambooWall,611,53007,local
Cement Bonded Bricks/Stone Wall,1165,53007,local
Mud Bonded Bricks/Stone Wall,41423,53007,local
Not Stated about Wall,272,53007,local
Other Type Wall,17,53007,local
Unbaked Bricks,1,53007,local
Wood/Planks,246,53007,local
BambooWall,8977,15,district
Cement Bonded Bricks/Stone Wall,21606,15,district
Mud Bonded Bricks/Stone Wall,52361,15,district
Not Stated about Wall,885,15,district
Other Type Wall,4310,15,district
Unbaked Bricks,23294,15,district
Wood/Planks,4914,15,district
BambooWall,8977,56005,local
Cement Bonded Bricks/Stone Wall,21606,56005,local
Mud Bonded Bricks/Stone Wall,52361,56005,local
Not Stated about Wall,885,56005,local
Other Type Wall,4310,56005,local
Unbaked Bricks,23294,56005,local
Wood/Planks,4914,56005,local
BambooWall,8977,56010,local
Cement Bonded Bricks/Stone Wall,21606,56010,local
Mud Bonded Bricks/Stone Wall,52361,56010,local
Not Stated about Wall,885,56010,local
Other Type Wall,4310,56010,local
Unbaked Bricks,23294,56010,local
Wood/Planks,4914,56010,local
BambooWall,8977,56003,local
Cement Bonded Bricks/Stone Wall,21606,56003,local
Mud Bonded Bricks/Stone Wall,52361,56003,local
Not Stated about Wall,885,56003,local
Other Type Wall,4310,56003,local
Unbaked Bricks,23294,56003,local
Wood/Planks,4914,56003,local
BambooWall,8977,56007,local
Cement Bonded Bricks/Stone Wall,21606,56007,local
Mud Bonded Bricks/Stone Wall,52361,56007,local
Not Stated about Wall,885,56007,local
Other Type Wall,4310,56007,local
Unbaked Bricks,23294,56007,local
Wood/Planks,4914,56007,local
BambooWall,8977,56006,local
Cement Bonded Bricks/Stone Wall,21606,56006,local
Mud Bonded Bricks/Stone Wall,52361,56006,local
Not Stated about Wall,885,56006,local
Other Type Wall,4310,56006,local
Unbaked Bricks,23294,56006,local
Wood/Planks,4914,56006,local
BambooWall,8977,56009,local
Cement Bonded Bricks/Stone Wall,21606,56009,local
Mud Bonded Bricks/Stone Wall,52361,56009,local
Not Stated about Wall,885,56009,local
Other Type Wall,4310,56009,local
Unbaked Bricks,23294,56009,local
Wood/Planks,4914,56009,local
BambooWall,8977,56001,local
Cement Bonded Bricks/Stone Wall,21606,56001,local
Mud Bonded Bricks/Stone Wall,52361,56001,local
Not Stated about Wall,885,56001,local
Other Type Wall,4310,56001,local
Unbaked Bricks,23294,56001,local
Wood/Planks,4914,56001,local
BambooWall,8977,56008,local
Cement Bonded Bricks/Stone Wall,21606,56008,local
Mud Bonded Bricks/Stone Wall,52361,56008,local
Not Stated about Wall,885,56008,local
Other Type Wall,4310,56008,local
Unbaked Bricks,23294,56008,local
Wood/Planks,4914,56008,local
BambooWall,8977,56002,local
Cement Bonded Bricks/Stone Wall,21606,56002,local
Mud Bonded Bricks/Stone Wall,52361,56002,local
Not Stated about Wall,885,56002,local
Other Type Wall,4310,56002,local
Unbaked Bricks,23294,56002,local
Wood/Planks,4914,56002,local
BambooWall,8977,56004,local
Cement Bonded Bricks/Stone Wall,21606,56004,local
Mud Bonded Bricks/Stone Wall,52361,56004,local
Not Stated about Wall,885,56004,local
Other Type Wall,4310,56004,local
Unbaked Bricks,23294,56004,local
Wood/Planks,4914,56004,local
BambooWall,939,02,district
Cement Bonded Bricks/Stone Wall,2754,02,district
Mud Bonded Bricks/Stone Wall,41159,02,district
Not Stated about Wall,208,02,district
Other Type Wall,46,02,district
Unbaked Bricks,149,02,district
Wood/Planks,1571,02,district
BambooWall,939,51002,local
Cement Bonded Bricks/Stone Wall,2754,51002,local
Mud Bonded Bricks/Stone Wall,41159,51002,local
Not Stated about Wall,208,51002,local
Other Type Wall,46,51002,local
Unbaked Bricks,149,51002,local
Wood/Planks,1571,51002,local
BambooWall,939,51003,local
Cement Bonded Bricks/Stone Wall,2754,51003,local
Mud Bonded Bricks/Stone Wall,41159,51003,local
Not Stated about Wall,208,51003,local
Other Type Wall,46,51003,local
Unbaked Bricks,149,51003,local
Wood/Planks,1571,51003,local
BambooWall,939,51005,local
Cement Bonded Bricks/Stone Wall,2754,51005,local
Mud Bonded Bricks/Stone Wall,41159,51005,local
Not Stated about Wall,208,51005,local
Other Type Wall,46,51005,local
Unbaked Bricks,149,51005,local
Wood/Planks,1571,51005,local
BambooWall,939,51001,local
Cement Bonded Bricks/Stone Wall,2754,51001,local
Mud Bonded Bricks/Stone Wall,41159,51001,local
Not Stated about Wall,208,51001,local
Other Type Wall,46,51001,local
Unbaked Bricks,149,51001,local
Wood/Planks,1571,51001,local
BambooWall,939,51006,local
Cement Bonded Bricks/Stone Wall,2754,51006,local
Mud Bonded Bricks/Stone Wall,41159,51006,local
Not Stated about Wall,208,51006,local
Other Type Wall,46,51006,local
Unbaked Bricks,149,51006,local
Wood/Planks,1571,51006,local
BambooWall,939,51004,local
Cement Bonded Bricks/Stone Wall,2754,51004,local
Mud Bonded Bricks/Stone Wall,41159,51004,local
Not Stated about Wall,208,51004,local
Other Type Wall,46,51004,local
Unbaked Bricks,149,51004,local
Wood/Planks,1571,51004,local
BambooWall,18276,09,district
Cement Bonded Bricks/Stone Wall,10827,09,district
Mud Bonded Bricks/Stone Wall,23960,09,district
Not Stated about Wall,297,09,district
Other Type Wall,19358,09,district
Unbaked Bricks,8366,09,district
Wood/Planks,2063,09,district
BambooWall,18276,58007,local
Cement Bonded Bricks/Stone Wall,10827,58007,local
Mud Bonded Bricks/Stone Wall,23960,58007,local
Not Stated about Wall,297,58007,local
Other Type Wall,19358,58007,local
Unbaked Bricks,8366,58007,local
Wood/Planks,2063,58007,local
BambooWall,18276,58001,local
Cement Bonded Bricks/Stone Wall,10827,58001,local
Mud Bonded Bricks/Stone Wall,23960,58001,local
Not Stated about Wall,297,58001,local
Other Type Wall,19358,58001,local
Unbaked Bricks,8366,58001,local
Wood/Planks,2063,58001,local
BambooWall,18276,58008,local
Cement Bonded Bricks/Stone Wall,10827,58008,local
Mud Bonded Bricks/Stone Wall,23960,58008,local
Not Stated about Wall,297,58008,local
Other Type Wall,19358,58008,local
Unbaked Bricks,8366,58008,local
Wood/Planks,2063,58008,local
BambooWall,18276,58004,local
Cement Bonded Bricks/Stone Wall,10827,58004,local
Mud Bonded Bricks/Stone Wall,23960,58004,local
Not Stated about Wall,297,58004,local
Other Type Wall,19358,58004,local
Unbaked Bricks,8366,58004,local
Wood/Planks,2063,58004,local
BambooWall,18276,58002,local
Cement Bonded Bricks/Stone Wall,10827,58002,local
Mud Bonded Bricks/Stone Wall,23960,58002,local
Not Stated about Wall,297,58002,local
Other Type Wall,19358,58002,local
Unbaked Bricks,8366,58002,local
Wood/Planks,2063,58002,local
BambooWall,18276,58005,local
Cement Bonded Bricks/Stone Wall,10827,58005,local
Mud Bonded Bricks/Stone Wall,23960,58005,local
Not Stated about Wall,297,58005,local
Other Type Wall,19358,58005,local
Unbaked Bricks,8366,58005,local
Wood/Planks,2063,58005,local
BambooWall,18276,58006,local
Cement Bonded Bricks/Stone Wall,10827,58006,local
Mud Bonded Bricks/Stone Wall,23960,58006,local
Not Stated about Wall,297,58006,local
Other Type Wall,19358,58006,local
Unbaked Bricks,8366,58006,local
Wood/Planks,2063,58006,local
BambooWall,18276,58003,local
Cement Bonded Bricks/Stone Wall,10827,58003,local
Mud Bonded Bricks/Stone Wall,23960,58003,local
Not Stated about Wall,297,58003,local
Other Type Wall,19358,58003,local
Unbaked Bricks,8366,58003,local
Wood/Planks,2063,58003,local
BambooWall,9703,33,district
Cement Bonded Bricks/Stone Wall,28556,33,district
Mud Bonded Bricks/Stone Wall,38966,33,district
Not Stated about Wall,1437,33,district
Other Type Wall,7234,33,district
Unbaked Bricks,1341,33,district
Wood/Planks,4027,33,district
BambooWall,9703,50009,local
Cement Bonded Bricks/Stone Wall,28556,50009,local
Mud Bonded Bricks/Stone Wall,38966,50009,local
Not Stated about Wall,1437,50009,local
Other Type Wall,7234,50009,local
Unbaked Bricks,1341,50009,local
Wood/Planks,4027,50009,local
BambooWall,9703,50001,local
Cement Bonded Bricks/Stone Wall,28556,50001,local
Mud Bonded Bricks/Stone Wall,38966,50001,local
Not Stated about Wall,1437,50001,local
Other Type Wall,7234,50001,local
Unbaked Bricks,1341,50001,local
Wood/Planks,4027,50001,local
BambooWall,9703,50002,local
Cement Bonded Bricks/Stone Wall,28556,50002,local
Mud Bonded Bricks/Stone Wall,38966,50002,local
Not Stated about Wall,1437,50002,local
Other Type Wall,7234,50002,local
Unbaked Bricks,1341,50002,local
Wood/Planks,4027,50002,local
BambooWall,9703,50007,local
Cement Bonded Bricks/Stone Wall,28556,50007,local
Mud Bonded Bricks/Stone Wall,38966,50007,local
Not Stated about Wall,1437,50007,local
Other Type Wall,7234,50007,local
Unbaked Bricks,1341,50007,local
Wood/Planks,4027,50007,local
BambooWall,9703,50010,local
Cement Bonded Bricks/Stone Wall,28556,50010,local
Mud Bonded Bricks/Stone Wall,38966,50010,local
Not Stated about Wall,1437,50010,local
Other Type Wall,7234,50010,local
Unbaked Bricks,1341,50010,local
Wood/Planks,4027,50010,local
BambooWall,9703,50005,local
Cement Bonded Bricks/Stone Wall,28556,50005,local
Mud Bonded Bricks/Stone Wall,38966,50005,local
Not Stated about Wall,1437,50005,local
Other Type Wall,7234,50005,local
Unbaked Bricks,1341,50005,local
Wood/Planks,4027,50005,local
BambooWall,9703,50003,local
Cement Bonded Bricks/Stone Wall,28556,50003,local
Mud Bonded Bricks/Stone Wall,38966,50003,local
Not Stated about Wall,1437,50003,local
Other Type Wall,7234,50003,local
Unbaked Bricks,1341,50003,local
Wood/Planks,4027,50003,local
BambooWall,9703,50004,local
Cement Bonded Bricks/Stone Wall,28556,50004,local
Mud Bonded Bricks/Stone Wall,38966,50004,local
Not Stated about Wall,1437,50004,local
Other Type Wall,7234,50004,local
Unbaked Bricks,1341,50004,local
Wood/Planks,4027,50004,local
BambooWall,9703,50008,local
Cement Bonded Bricks/Stone Wall,28556,50008,local
Mud Bonded Bricks/Stone Wall,38966,50008,local
Not Stated about Wall,1437,50008,local
Other Type Wall,7234,50008,local
Unbaked Bricks,1341,50008,local
Wood/Planks,4027,50008,local
BambooWall,9703,50006,local
Cement Bonded Bricks/Stone Wall,28556,50006,local
Mud Bonded Bricks/Stone Wall,38966,50006,local
Not Stated about Wall,1437,50006,local
Other Type Wall,7234,50006,local
Unbaked Bricks,1341,50006,local
Wood/Planks,4027,50006,local
BambooWall,10869,4,province
Cement Bonded Bricks/Stone Wall,174382,4,province
Mud Bonded Bricks/Stone Wall,370513,4,province
Not Stated about Wall,3728,4,province
Other Type Wall,4948,4,province
Unbaked Bricks,1808,4,province
Wood/Planks,11434,4,province
BambooWall,680,23,district
Cement Bonded Bricks/Stone Wall,6698,23,district
Mud Bonded Bricks/Stone Wall,57492,23,district
Not Stated about Wall,389,23,district
Other Type Wall,232,23,district
Unbaked Bricks,31,23,district
Wood/Planks,936,23,district
BambooWall,680,36011,local
Cement Bonded Bricks/Stone Wall,6698,36011,local
Mud Bonded Bricks/Stone Wall,57492,36011,local
Not Stated about Wall,389,36011,local
Other Type Wall,232,36011,local
Unbaked Bricks,31,36011,local
Wood/Planks,936,36011,local
BambooWall,680,36008,local
Cement Bonded Bricks/Stone Wall,6698,36008,local
Mud Bonded Bricks/Stone Wall,57492,36008,local
Not Stated about Wall,389,36008,local
Other Type Wall,232,36008,local
Unbaked Bricks,31,36008,local
Wood/Planks,936,36008,local
BambooWall,680,36001,local
Cement Bonded Bricks/Stone Wall,6698,36001,local
Mud Bonded Bricks/Stone Wall,57492,36001,local
Not Stated about Wall,389,36001,local
Other Type Wall,232,36001,local
Unbaked Bricks,31,36001,local
Wood/Planks,936,36001,local
BambooWall,680,36003,local
Cement Bonded Bricks/Stone Wall,6698,36003,local
Mud Bonded Bricks/Stone Wall,57492,36003,local
Not Stated about Wall,389,36003,local
Other Type Wall,232,36003,local
Unbaked Bricks,31,36003,local
Wood/Planks,936,36003,local
BambooWall,680,36006,local
Cement Bonded Bricks/Stone Wall,6698,36006,local
Mud Bonded Bricks/Stone Wall,57492,36006,local
Not Stated about Wall,389,36006,local
Other Type Wall,232,36006,local
Unbaked Bricks,31,36006,local
Wood/Planks,936,36006,local
BambooWall,680,36010,local
Cement Bonded Bricks/Stone Wall,6698,36010,local
Mud Bonded Bricks/Stone Wall,57492,36010,local
Not Stated about Wall,389,36010,local
Other Type Wall,232,36010,local
Unbaked Bricks,31,36010,local
Wood/Planks,936,36010,local
BambooWall,680,36002,local
Cement Bonded Bricks/Stone Wall,6698,36002,local
Mud Bonded Bricks/Stone Wall,57492,36002,local
Not Stated about Wall,389,36002,local
Other Type Wall,232,36002,local
Unbaked Bricks,31,36002,local
Wood/Planks,936,36002,local
BambooWall,680,36007,local
Cement Bonded Bricks/Stone Wall,6698,36007,local
Mud Bonded Bricks/Stone Wall,57492,36007,local
Not Stated about Wall,389,36007,local
Other Type Wall,232,36007,local
Unbaked Bricks,31,36007,local
Wood/Planks,936,36007,local
BambooWall,680,36004,local
Cement Bonded Bricks/Stone Wall,6698,36004,local
Mud Bonded Bricks/Stone Wall,57492,36004,local
Not Stated about Wall,389,36004,local
Other Type Wall,232,36004,local
Unbaked Bricks,31,36004,local
Wood/Planks,936,36004,local
BambooWall,680,36005,local
Cement Bonded Bricks/Stone Wall,6698,36005,local
Mud Bonded Bricks/Stone Wall,57492,36005,local
Not Stated about Wall,389,36005,local
Other Type Wall,232,36005,local
Unbaked Bricks,31,36005,local
Wood/Planks,936,36005,local
BambooWall,680,36009,local
Cement Bonded Bricks/Stone Wall,6698,36009,local
Mud Bonded Bricks/Stone Wall,57492,36009,local
Not Stated about Wall,389,36009,local
Other Type Wall,232,36009,local
Unbaked Bricks,31,36009,local
Wood/Planks,936,36009,local
BambooWall,333,03,district
Cement Bonded Bricks/Stone Wall,5136,03,district
Mud Bonded Bricks/Stone Wall,54921,03,district
Not Stated about Wall,442,03,district
Other Type Wall,69,03,district
Unbaked Bricks,25,03,district
Wood/Planks,556,03,district
BambooWall,333,45008,local
Cement Bonded Bricks/Stone Wall,5136,45008,local
Mud Bonded Bricks/Stone Wall,54921,45008,local
Not Stated about Wall,442,45008,local
Other Type Wall,69,45008,local
Unbaked Bricks,25,45008,local
Wood/Planks,556,45008,local
BambooWall,333,45007,local
Cement Bonded Bricks/Stone Wall,5136,45007,local
Mud Bonded Bricks/Stone Wall,54921,45007,local
Not Stated about Wall,442,45007,local
Other Type Wall,69,45007,local
Unbaked Bricks,25,45007,local
Wood/Planks,556,45007,local
BambooWall,333,45005,local
Cement Bonded Bricks/Stone Wall,5136,45005,local
Mud Bonded Bricks/Stone Wall,54921,45005,local
Not Stated about Wall,442,45005,local
Other Type Wall,69,45005,local
Unbaked Bricks,25,45005,local
Wood/Planks,556,45005,local
BambooWall,333,45001,local
Cement Bonded Bricks/Stone Wall,5136,45001,local
Mud Bonded Bricks/Stone Wall,54921,45001,local
Not Stated about Wall,442,45001,local
Other Type Wall,69,45001,local
Unbaked Bricks,25,45001,local
Wood/Planks,556,45001,local
BambooWall,333,45002,local
Cement Bonded Bricks/Stone Wall,5136,45002,local
Mud Bonded Bricks/Stone Wall,54921,45002,local
Not Stated about Wall,442,45002,local
Other Type Wall,69,45002,local
Unbaked Bricks,25,45002,local
Wood/Planks,556,45002,local
BambooWall,333,45003,local
Cement Bonded Bricks/Stone Wall,5136,45003,local
Mud Bonded Bricks/Stone Wall,54921,45003,local
Not Stated about Wall,442,45003,local
Other Type Wall,69,45003,local
Unbaked Bricks,25,45003,local
Wood/Planks,556,45003,local
BambooWall,333,45009,local
Cement Bonded Bricks/Stone Wall,5136,45009,local
Mud Bonded Bricks/Stone Wall,54921,45009,local
Not Stated about Wall,442,45009,local
Other Type Wall,69,45009,local
Unbaked Bricks,25,45009,local
Wood/Planks,556,45009,local
BambooWall,333,45004,local
Cement Bonded Bricks/Stone Wall,5136,45004,local
Mud Bonded Bricks/Stone Wall,54921,45004,local
Not Stated about Wall,442,45004,local
Other Type Wall,69,45004,local
Unbaked Bricks,25,45004,local
Wood/Planks,556,45004,local
BambooWall,333,45010,local
Cement Bonded Bricks/Stone Wall,5136,45010,local
Mud Bonded Bricks/Stone Wall,54921,45010,local
Not Stated about Wall,442,45010,local
Other Type Wall,69,45010,local
Unbaked Bricks,25,45010,local
Wood/Planks,556,45010,local
BambooWall,333,45006,local
Cement Bonded Bricks/Stone Wall,5136,45006,local
Mud Bonded Bricks/Stone Wall,54921,45006,local
Not Stated about Wall,442,45006,local
Other Type Wall,69,45006,local
Unbaked Bricks,25,45006,local
Wood/Planks,556,45006,local
BambooWall,673,71,district
Cement Bonded Bricks/Stone Wall,12402,71,district
Mud Bonded Bricks/Stone Wall,55146,71,district
Not Stated about Wall,305,71,district
Other Type Wall,79,71,district
Unbaked Bricks,82,71,district
Wood/Planks,169,71,district
BambooWall,673,39008,local
Cement Bonded Bricks/Stone Wall,12402,39008,local
Mud Bonded Bricks/Stone Wall,55146,39008,local
Not Stated about Wall,305,39008,local
Other Type Wall,79,39008,local
Unbaked Bricks,82,39008,local
Wood/Planks,169,39008,local
BambooWall,673,39005,local
Cement Bonded Bricks/Stone Wall,12402,39005,local
Mud Bonded Bricks/Stone Wall,55146,39005,local
Not Stated about Wall,305,39005,local
Other Type Wall,79,39005,local
Unbaked Bricks,82,39005,local
Wood/Planks,169,39005,local
BambooWall,673,39009,local
Cement Bonded Bricks/Stone Wall,12402,39009,local
Mud Bonded Bricks/Stone Wall,55146,39009,local
Not Stated about Wall,305,39009,local
Other Type Wall,79,39009,local
Unbaked Bricks,82,39009,local
Wood/Planks,169,39009,local
BambooWall,673,39001,local
Cement Bonded Bricks/Stone Wall,12402,39001,local
Mud Bonded Bricks/Stone Wall,55146,39001,local
Not Stated about Wall,305,39001,local
Other Type Wall,79,39001,local
Unbaked Bricks,82,39001,local
Wood/Planks,169,39001,local
BambooWall,673,39004,local
Cement Bonded Bricks/Stone Wall,12402,39004,local
Mud Bonded Bricks/Stone Wall,55146,39004,local
Not Stated about Wall,305,39004,local
Other Type Wall,79,39004,local
Unbaked Bricks,82,39004,local
Wood/Planks,169,39004,local
BambooWall,673,39003,local
Cement Bonded Bricks/Stone Wall,12402,39003,local
Mud Bonded Bricks/Stone Wall,55146,39003,local
Not Stated about Wall,305,39003,local
Other Type Wall,79,39003,local
Unbaked Bricks,82,39003,local
Wood/Planks,169,39003,local
BambooWall,673,39011,local
Cement Bonded Bricks/Stone Wall,12402,39011,local
Mud Bonded Bricks/Stone Wall,55146,39011,local
Not Stated about Wall,305,39011,local
Other Type Wall,79,39011,local
Unbaked Bricks,82,39011,local
Wood/Planks,169,39011,local
BambooWall,673,39006,local
Cement Bonded Bricks/Stone Wall,12402,39006,local
Mud Bonded Bricks/Stone Wall,55146,39006,local
Not Stated about Wall,305,39006,local
Other Type Wall,79,39006,local
Unbaked Bricks,82,39006,local
Wood/Planks,169,39006,local
BambooWall,673,39002,local
Cement Bonded Bricks/Stone Wall,12402,39002,local
Mud Bonded Bricks/Stone Wall,55146,39002,local
Not Stated about Wall,305,39002,local
Other Type Wall,79,39002,local
Unbaked Bricks,82,39002,local
Wood/Planks,169,39002,local
BambooWall,673,39010,local
Cement Bonded Bricks/Stone Wall,12402,39010,local
Mud Bonded Bricks/Stone Wall,55146,39010,local
Not Stated about Wall,305,39010,local
Other Type Wall,79,39010,local
Unbaked Bricks,82,39010,local
Wood/Planks,169,39010,local
BambooWall,673,39007,local
Cement Bonded Bricks/Stone Wall,12402,39007,local
Mud Bonded Bricks/Stone Wall,55146,39007,local
Not Stated about Wall,305,39007,local
Other Type Wall,79,39007,local
Unbaked Bricks,82,39007,local
Wood/Planks,169,39007,local
BambooWall,6089,47,district
Cement Bonded Bricks/Stone Wall,30358,47,district
Mud Bonded Bricks/Stone Wall,20564,47,district
Not Stated about Wall,542,47,district
Other Type Wall,2453,47,district
Unbaked Bricks,881,47,district
Wood/Planks,6028,47,district
BambooWall,6089,76004,local
Cement Bonded Bricks/Stone Wall,30358,76004,local
Mud Bonded Bricks/Stone Wall,20564,76004,local
Not Stated about Wall,542,76004,local
Other Type Wall,2453,76004,local
Unbaked Bricks,881,76004,local
Wood/Planks,6028,76004,local
BambooWall,6089,76002,local
Cement Bonded Bricks/Stone Wall,30358,76002,local
Mud Bonded Bricks/Stone Wall,20564,76002,local
Not Stated about Wall,542,76002,local
Other Type Wall,2453,76002,local
Unbaked Bricks,881,76002,local
Wood/Planks,6028,76002,local
BambooWall,6089,76007,local
Cement Bonded Bricks/Stone Wall,30358,76007,local
Mud Bonded Bricks/Stone Wall,20564,76007,local
Not Stated about Wall,542,76007,local
Other Type Wall,2453,76007,local
Unbaked Bricks,881,76007,local
Wood/Planks,6028,76007,local
BambooWall,6089,76008,local
Cement Bonded Bricks/Stone Wall,30358,76008,local
Mud Bonded Bricks/Stone Wall,20564,76008,local
Not Stated about Wall,542,76008,local
Other Type Wall,2453,76008,local
Unbaked Bricks,881,76008,local
Wood/Planks,6028,76008,local
BambooWall,6089,76001,local
Cement Bonded Bricks/Stone Wall,30358,76001,local
Mud Bonded Bricks/Stone Wall,20564,76001,local
Not Stated about Wall,542,76001,local
Other Type Wall,2453,76001,local
Unbaked Bricks,881,76001,local
Wood/Planks,6028,76001,local
BambooWall,6089,76005,local
Cement Bonded Bricks/Stone Wall,30358,76005,local
Mud Bonded Bricks/Stone Wall,20564,76005,local
Not Stated about Wall,542,76005,local
Other Type Wall,2453,76005,local
Unbaked Bricks,881,76005,local
Wood/Planks,6028,76005,local
BambooWall,6089,76006,local
Cement Bonded Bricks/Stone Wall,30358,76006,local
Mud Bonded Bricks/Stone Wall,20564,76006,local
Not Stated about Wall,542,76006,local
Other Type Wall,2453,76006,local
Unbaked Bricks,881,76006,local
Wood/Planks,6028,76006,local
BambooWall,6089,76003,local
Cement Bonded Bricks/Stone Wall,30358,76003,local
Mud Bonded Bricks/Stone Wall,20564,76003,local
Not Stated about Wall,542,76003,local
Other Type Wall,2453,76003,local
Unbaked Bricks,881,76003,local
Wood/Planks,6028,76003,local
BambooWall,101,46,district
Cement Bonded Bricks/Stone Wall,2552,46,district
Mud Bonded Bricks/Stone Wall,24520,46,district
Not Stated about Wall,148,46,district
Other Type Wall,58,46,district
Unbaked Bricks,4,46,district
Wood/Planks,344,46,district
BambooWall,101,43003,local
Cement Bonded Bricks/Stone Wall,2552,43003,local
Mud Bonded Bricks/Stone Wall,24520,43003,local
Not Stated about Wall,148,43003,local
Other Type Wall,58,43003,local
Unbaked Bricks,4,43003,local
Wood/Planks,344,43003,local
BambooWall,101,43002,local
Cement Bonded Bricks/Stone Wall,2552,43002,local
Mud Bonded Bricks/Stone Wall,24520,43002,local
Not Stated about Wall,148,43002,local
Other Type Wall,58,43002,local
Unbaked Bricks,4,43002,local
Wood/Planks,344,43002,local
BambooWall,101,43004,local
Cement Bonded Bricks/Stone Wall,2552,43004,local
Mud Bonded Bricks/Stone Wall,24520,43004,local
Not Stated about Wall,148,43004,local
Other Type Wall,58,43004,local
Unbaked Bricks,4,43004,local
Wood/Planks,344,43004,local
BambooWall,101,43001,local
Cement Bonded Bricks/Stone Wall,2552,43001,local
Mud Bonded Bricks/Stone Wall,24520,43001,local
Not Stated about Wall,148,43001,local
Other Type Wall,58,43001,local
Unbaked Bricks,4,43001,local
Wood/Planks,344,43001,local
BambooWall,101,43005,local
Cement Bonded Bricks/Stone Wall,2552,43005,local
Mud Bonded Bricks/Stone Wall,24520,43005,local
Not Stated about Wall,148,43005,local
Other Type Wall,58,43005,local
Unbaked Bricks,4,43005,local
Wood/Planks,344,43005,local
BambooWall,101,43006,local
Cement Bonded Bricks/Stone Wall,2552,43006,local
Mud Bonded Bricks/Stone Wall,24520,43006,local
Not Stated about Wall,148,43006,local
Other Type Wall,58,43006,local
Unbaked Bricks,4,43006,local
Wood/Planks,344,43006,local
BambooWall,793,39,district
Cement Bonded Bricks/Stone Wall,8598,39,district
Mud Bonded Bricks/Stone Wall,31793,39,district
Not Stated about Wall,230,39,district
Other Type Wall,97,39,district
Unbaked Bricks,12,39,district
Wood/Planks,525,39,district
BambooWall,793,37005,local
Cement Bonded Bricks/Stone Wall,8598,37005,local
Mud Bonded Bricks/Stone Wall,31793,37005,local
Not Stated about Wall,230,37005,local
Other Type Wall,97,37005,local
Unbaked Bricks,12,37005,local
Wood/Planks,525,37005,local
BambooWall,793,37007,local
Cement Bonded Bricks/Stone Wall,8598,37007,local
Mud Bonded Bricks/Stone Wall,31793,37007,local
Not Stated about Wall,230,37007,local
Other Type Wall,97,37007,local
Unbaked Bricks,12,37007,local
Wood/Planks,525,37007,local
BambooWall,793,37001,local
Cement Bonded Bricks/Stone Wall,8598,37001,local
Mud Bonded Bricks/Stone Wall,31793,37001,local
Not Stated about Wall,230,37001,local
Other Type Wall,97,37001,local
Unbaked Bricks,12,37001,local
Wood/Planks,525,37001,local
BambooWall,793,37006,local
Cement Bonded Bricks/Stone Wall,8598,37006,local
Mud Bonded Bricks/Stone Wall,31793,37006,local
Not Stated about Wall,230,37006,local
Other Type Wall,97,37006,local
Unbaked Bricks,12,37006,local
Wood/Planks,525,37006,local
BambooWall,793,37008,local
Cement Bonded Bricks/Stone Wall,8598,37008,local
Mud Bonded Bricks/Stone Wall,31793,37008,local
Not Stated about Wall,230,37008,local
Other Type Wall,97,37008,local
Unbaked Bricks,12,37008,local
Wood/Planks,525,37008,local
BambooWall,793,37004,local
Cement Bonded Bricks/Stone Wall,8598,37004,local
Mud Bonded Bricks/Stone Wall,31793,37004,local
Not Stated about Wall,230,37004,local
Other Type Wall,97,37004,local
Unbaked Bricks,12,37004,local
Wood/Planks,525,37004,local
BambooWall,793,37003,local
Cement Bonded Bricks/Stone Wall,8598,37003,local
Mud Bonded Bricks/Stone Wall,31793,37003,local
Not Stated about Wall,230,37003,local
Other Type Wall,97,37003,local
Unbaked Bricks,12,37003,local
Wood/Planks,525,37003,local
BambooWall,793,37002,local
Cement Bonded Bricks/Stone Wall,8598,37002,local
Mud Bonded Bricks/Stone Wall,31793,37002,local
Not Stated about Wall,230,37002,local
Other Type Wall,97,37002,local
Unbaked Bricks,12,37002,local
Wood/Planks,525,37002,local
BambooWall,636,34,district
Cement Bonded Bricks/Stone Wall,81226,34,district
Mud Bonded Bricks/Stone Wall,40481,34,district
Not Stated about Wall,871,34,district
