outer wall type,total,geo_code,geo_level
Cement Bonded Bricks/Stone Wall,4907,23007,local
Mud Bonded Bricks/Stone Wall,60276,23007,local
Not Stated about Wall,606,23007,local
Other Type Wall,56,23007,local
Unbaked Bricks,15,23007,local
Wood/Planks,620,23007,local
BambooWall,155,23006,local
Cement Bonded Bricks/Stone Wall,4907,23006,local
Mud Bonded Bricks/Stone Wall,60276,23006,local
Not Stated about Wall,606,23006,local
Other Type Wall,56,23006,local
Unbaked Bricks,15,23006,local
Wood/Planks,620,23006,local
BambooWall,155,23004,local
Cement Bonded Bricks/Stone Wall,4907,23004,local
Mud Bonded Bricks/Stone Wall,60276,23004,local
Not Stated about Wall,606,23004,local
Other Type Wall,56,23004,local
Unbaked Bricks,15,23004,local
Wood/Planks,620,23004,local
BambooWall,155,23003,local
Cement Bonded Bricks/Stone Wall,4907,23003,local
Mud Bonded Bricks/Stone Wall,60276,23003,local
Not Stated about Wall,606,23003,local
Other Type Wall,56,23003,local
Unbaked Bricks,15,23003,local
Wood/Planks,620,23003,local
BambooWall,155,23005,local
Cement Bonded Bricks/Stone Wall,4907,23005,local
Mud Bonded Bricks/Stone Wall,60276,23005,local
Not Stated about Wall,606,23005,local
Other Type Wall,56,23005,local
Unbaked Bricks,15,23005,local
Wood/Planks,620,23005,local
BambooWall,155,23001,local
Cement Bonded Bricks/Stone Wall,4907,23001,local
Mud Bonded Bricks/Stone Wall,60276,23001,local
Not Stated about Wall,606,23001,local
Other Type Wall,56,23001,local
Unbaked Bricks,15,23001,local
Wood/Planks,620,23001,local
BambooWall,155,23009,local
Cement Bonded Bricks/Stone Wall,4907,23009,local
Mud Bonded Bricks/Stone Wall,60276,23009,local
Not Stated about Wall,606,23009,local
Other Type Wall,56,23009,local
Unbaked Bricks,15,23009,local
Wood/Planks,620,23009,local
BambooWall,155,23012,local
Cement Bonded Bricks/Stone Wall,4907,23012,local
Mud Bonded Bricks/Stone Wall,60276,23012,local
Not Stated about Wall,606,23012,local
Other Type Wall,56,23012,local
Unbaked Bricks,15,23012,local
Wood/Planks,620,23012,local
BambooWall,155,23002,local
Cement Bonded Bricks/Stone Wall,4907,23002,local
Mud Bonded Bricks/Stone Wall,60276,23002,local
Not Stated about Wall,606,23002,local
Other Type Wall,56,23002,local
Unbaked Bricks,15,23002,local
Wood/Planks,620,23002,local
BambooWall,155,23010,local
Cement Bonded Bricks/Stone Wall,4907,23010,local
Mud Bonded Bricks/Stone Wall,60276,23010,local
Not Stated about Wall,606,23010,local
Other Type Wall,56,23010,local
Unbaked Bricks,15,23010,local
Wood/Planks,620,23010,local
BambooWall,11252,12,district
Cement Bonded Bricks/Stone Wall,74495,12,district
Mud Bonded Bricks/Stone Wall,27644,12,district
Not Stated about Wall,1174,12,district
Other Type Wall,6333,12,district
Unbaked Bricks,1996,12,district
Wood/Planks,9451,12,district
BambooWall,11252,35002,local
Cement Bonded Bricks/Stone Wall,74495,35002,local
Mud Bonded Bricks/Stone Wall,27644,35002,local
Not Stated about Wall,1174,35002,local
Other Type Wall,6333,35002,local
Unbaked Bricks,1996,35002,local
Wood/Planks,9451,35002,local
BambooWall,11252,35006,local
Cement Bonded Bricks/Stone Wall,74495,35006,local
Mud Bonded Bricks/Stone Wall,27644,35006,local
Not Stated about Wall,1174,35006,local
Other Type Wall,6333,35006,local
Unbaked Bricks,1996,35006,local
Wood/Planks,9451,35006,local
BambooWall,11252,35004,local
Cement Bonded Bricks/Stone Wall,74495,35004,local
Mud Bonded Bricks/Stone Wall,27644,35004,local
Not Stated about Wall,1174,35004,local
Other Type Wall,6333,35004,local
Unbaked Bricks,1996,35004,local
Wood/Planks,9451,35004,local
BambooWall,11252,35007,local
Cement Bonded Bricks/Stone Wall,74495,35007,local
Mud Bonded Bricks/Stone Wall,27644,35007,local
Not Stated about Wall,1174,35007,local
Other Type Wall,6333,35007,local
Unbaked Bricks,1996,35007,local
Wood/Planks,9451,35007,local
BambooWall,11252,35003,local
Cement Bonded Bricks/Stone Wall,74495,35003,local
Mud Bonded Bricks/Stone Wall,27644,35003,local
Not Stated about Wall,1174,35003,local
Other Type Wall,6333,35003,local
Unbaked Bricks,1996,35003,local
Wood/Planks,9451,35003,local
BambooWall,11252,35001,local
Cement Bonded Bricks/Stone Wall,74495,35001,local
Mud Bonded Bricks/Stone Wall,27644,35001,local
Not Stated about Wall,1174,35001,local
Other Type Wall,6333,35001,local
Unbaked Bricks,1996,35001,local
Wood/Planks,9451,35001,local
BambooWall,11252,35005,local
Cement Bonded Bricks/Stone Wall,74495,35005,local
Mud Bonded Bricks/Stone Wall,27644,35005,local
Not Stated about Wall,1174,35005,local
Other Type Wall,6333,35005,local
Unbaked Bricks,1996,35005,local
Wood/Planks,9451,35005,local
BambooWall,606,38,district
Cement Bonded Bricks/Stone Wall,71117,38,district
Mud Bonded Bricks/Stone Wall,32342,38,district
Not Stated about Wall,3806,38,district
Other Type Wall,298,38,district
Unbaked Bricks,751,38,district
Wood/Planks,585,38,district
BambooWall,606,25005,local
Cement Bonded Bricks/Stone Wall,71117,25005,local
Mud Bonded Bricks/Stone Wall,32342,25005,local
Not Stated about Wall,3806,25005,local
Other Type Wall,298,25005,local
Unbaked Bricks,751,25005,local
Wood/Planks,585,25005,local
BambooWall,606,25002,local
Cement Bonded Bricks/Stone Wall,71117,25002,local
Mud Bonded Bricks/Stone Wall,32342,25002,local
Not Stated about Wall,3806,25002,local
Other Type Wall,298,25002,local
Unbaked Bricks,751,25002,local
Wood/Planks,585,25002,local
BambooWall,606,25001,local
Cement Bonded Bricks/Stone Wall,71117,25001,local
Mud Bonded Bricks/Stone Wall,32342,25001,local
Not Stated about Wall,3806,25001,local
Other Type Wall,298,25001,local
Unbaked Bricks,751,25001,local
Wood/Planks,585,25001,local
BambooWall,606,25003,local
Cement Bonded Bricks/Stone Wall,71117,25003,local
Mud Bonded Bricks/Stone Wall,32342,25003,local
Not Stated about Wall,3806,25003,local
Other Type Wall,298,25003,local
Unbaked Bricks,751,25003,local
Wood/Planks,585,25003,local
BambooWall,606,25006,local
Cement Bonded Bricks/Stone Wall,71117,25006,local
Mud Bonded Bricks/Stone Wall,32342,25006,local
Not Stated about Wall,3806,25006,local
Other Type Wall,298,25006,local
Unbaked Bricks,751,25006,local
Wood/Planks,585,25006,local
BambooWall,606,25004,local
Cement Bonded Bricks/Stone Wall,71117,25004,local
Mud Bonded Bricks/Stone Wall,32342,25004,local
Not Stated about Wall,3806,25004,local
Other Type Wall,298,25004,local
Unbaked Bricks,751,25004,local
Wood/Planks,585,25004,local
BambooWall,436,10,district
Cement Bonded Bricks/Stone Wall,39677,10,district
Mud Bonded Bricks/Stone Wall,26044,10,district
Not Stated about Wall,997,10,district
Other Type Wall,345,10,district
Unbaked Bricks,775,10,district
Wood/Planks,283,10,district
BambooWall,436,26004,local
Cement Bonded Bricks/Stone Wall,39677,26004,local
Mud Bonded Bricks/Stone Wall,26044,26004,local
Not Stated about Wall,997,26004,local
Other Type Wall,345,26004,local
Unbaked Bricks,775,26004,local
Wood/Planks,283,26004,local
BambooWall,436,26002,local
Cement Bonded Bricks/Stone Wall,39677,26002,local
Mud Bonded Bricks/Stone Wall,26044,26002,local
Not Stated about Wall,997,26002,local
Other Type Wall,345,26002,local
Unbaked Bricks,775,26002,local
Wood/Planks,283,26002,local
BambooWall,436,26003,local
Cement Bonded Bricks/Stone Wall,39677,26003,local
Mud Bonded Bricks/Stone Wall,26044,26003,local
Not Stated about Wall,997,26003,local
Other Type Wall,345,26003,local
Unbaked Bricks,775,26003,local
Wood/Planks,283,26003,local
BambooWall,436,26001,local
Cement Bonded Bricks/Stone Wall,39677,26001,local
Mud Bonded Bricks/Stone Wall,26044,26001,local
Not Stated about Wall,997,26001,local
Other Type Wall,345,26001,local
Unbaked Bricks,775,26001,local
Wood/Planks,283,26001,local
BambooWall,240,20,district
Cement Bonded Bricks/Stone Wall,2276,20,district
Mud Bonded Bricks/Stone Wall,42107,20,district
Not Stated about Wall,281,20,district
Other Type Wall,60,20,district
Unbaked Bricks,9,20,district
Wood/Planks,685,20,district
BambooWall,240,22003,local
Cement Bonded Bricks/Stone Wall,2276,22003,local
Mud Bonded Bricks/Stone Wall,42107,22003,local
Not Stated about Wall,281,22003,local
Other Type Wall,60,22003,local
Unbaked Bricks,9,22003,local
Wood/Planks,685,22003,local
BambooWall,240,22008,local
Cement Bonded Bricks/Stone Wall,2276,22008,local
Mud Bonded Bricks/Stone Wall,42107,22008,local
Not Stated about Wall,281,22008,local
Other Type Wall,60,22008,local
Unbaked Bricks,9,22008,local
Wood/Planks,685,22008,local
BambooWall,240,22009,local
Cement Bonded Bricks/Stone Wall,2276,22009,local
Mud Bonded Bricks/Stone Wall,42107,22009,local
Not Stated about Wall,281,22009,local
Other Type Wall,60,22009,local
Unbaked Bricks,9,22009,local
Wood/Planks,685,22009,local
BambooWall,240,22002,local
Cement Bonded Bricks/Stone Wall,2276,22002,local
Mud Bonded Bricks/Stone Wall,42107,22002,local
Not Stated about Wall,281,22002,local
Other Type Wall,60,22002,local
Unbaked Bricks,9,22002,local
Wood/Planks,685,22002,local
BambooWall,240,22004,local
Cement Bonded Bricks/Stone Wall,2276,22004,local
Mud Bonded Bricks/Stone Wall,42107,22004,local
Not Stated about Wall,281,22004,local
Other Type Wall,60,22004,local
Unbaked Bricks,9,22004,local
Wood/Planks,685,22004,local
BambooWall,240,22006,local
Cement Bonded Bricks/Stone Wall,2276,22006,local
Mud Bonded Bricks/Stone Wall,42107,22006,local
Not Stated about Wall,281,22006,local
Other Type Wall,60,22006,local
Unbaked Bricks,9,22006,local
Wood/Planks,685,22006,local
BambooWall,240,22005,local
Cement Bonded Bricks/Stone Wall,2276,22005,local
Mud Bonded Bricks/Stone Wall,42107,22005,local
Not Stated about Wall,281,22005,local
Other Type Wall,60,22005,local
Unbaked Bricks,9,22005,local
Wood/Planks,685,22005,local
BambooWall,240,22007,local
Cement Bonded Bricks/Stone Wall,2276,22007,local
Mud Bonded Bricks/Stone Wall,42107,22007,local
Not Stated about Wall,281,22007,local
Other Type Wall,60,22007,local
Unbaked Bricks,9,22007,local
Wood/Planks,685,22007,local
BambooWall,240,22001,local
Cement Bonded Bricks/Stone Wall,2276,22001,local
Mud Bonded Bricks/Stone Wall,42107,22001,local
Not Stated about Wall,281,22001,local
Other Type Wall,60,22001,local
Unbaked Bricks,9,22001,local
Wood/Planks,685,22001,local
BambooWall,1818,41,district
Cement Bonded Bricks/Stone Wall,25439,41,district
Mud Bonded Bricks/Stone Wall,38645,41,district
Not Stated about Wall,417,41,district
Other Type Wall,1427,41,district
Unbaked Bricks,204,41,district
Wood/Planks,18095,41,district
BambooWall,1818,31010,local
Cement Bonded Bricks/Stone Wall,25439,31010,local
Mud Bonded Bricks/Stone Wall,38645,31010,local
Not Stated about Wall,417,31010,local
Other Type Wall,1427,31010,local
Unbaked Bricks,204,31010,local
Wood/Planks,18095,31010,local
BambooWall,1818,31006,local
Cement Bonded Bricks/Stone Wall,25439,31006,local
Mud Bonded Bricks/Stone Wall,38645,31006,local
Not Stated about Wall,417,31006,local
Other Type Wall,1427,31006,local
Unbaked Bricks,204,31006,local
Wood/Planks,18095,31006,local
BambooWall,1818,31003,local
Cement Bonded Bricks/Stone Wall,25439,31003,local
Mud Bonded Bricks/Stone Wall,38645,31003,local
Not Stated about Wall,417,31003,local
Other Type Wall,1427,31003,local
Unbaked Bricks,204,31003,local
Wood/Planks,18095,31003,local
BambooWall,1818,31001,local
Cement Bonded Bricks/Stone Wall,25439,31001,local
Mud Bonded Bricks/Stone Wall,38645,31001,local
Not Stated about Wall,417,31001,local
Other Type Wall,1427,31001,local
Unbaked Bricks,204,31001,local
Wood/Planks,18095,31001,local
BambooWall,1818,31005,local
Cement Bonded Bricks/Stone Wall,25439,31005,local
Mud Bonded Bricks/Stone Wall,38645,31005,local
Not Stated about Wall,417,31005,local
Other Type Wall,1427,31005,local
Unbaked Bricks,204,31005,local
Wood/Planks,18095,31005,local
BambooWall,1818,31002,local
Cement Bonded Bricks/Stone Wall,25439,31002,local
Mud Bonded Bricks/Stone Wall,38645,31002,local
Not Stated about Wall,417,31002,local
Other Type Wall,1427,31002,local
Unbaked Bricks,204,31002,local
Wood/Planks,18095,31002,local
BambooWall,1818,31008,local
Cement Bonded Bricks/Stone Wall,25439,31008,local
Mud Bonded Bricks/Stone Wall,38645,31008,local
Not Stated about Wall,417,31008,local
Other Type Wall,1427,31008,local
Unbaked Bricks,204,31008,local
Wood/Planks,18095,31008,local
BambooWall,1818,31009,local
Cement Bonded Bricks/Stone Wall,25439,31009,local
Mud Bonded Bricks/Stone Wall,38645,31009,local
Not Stated about Wall,417,31009,local
Other Type Wall,1427,31009,local
Unbaked Bricks,204,31009,local
Wood/Planks,18095,31009,local
BambooWall,1818,31007,local
Cement Bonded Bricks/Stone Wall,25439,31007,local
Mud Bonded Bricks/Stone Wall,38645,31007,local
Not Stated about Wall,417,31007,local
Other Type Wall,1427,31007,local
Unbaked Bricks,204,31007,local
Wood/Planks,18095,31007,local
BambooWall,1818,31004,local
Cement Bonded Bricks/Stone Wall,25439,31004,local
Mud Bonded Bricks/Stone Wall,38645,31004,local
