language,total,geo_code,geo_level,geo_version
Kumal,12022,NP,country,2016
Kurmali,214,NP,country,2016
Lapcha,7377,NP,country,2016
Lhomi,689,NP,country,2016
Lhopa,2701,NP,country,2016
Limbu,341119,NP,country,2016
Lingkhim,65,NP,country,2016
Lohorung,3596,NP,country,2016
Magahi,35479,NP,country,2016
Magar,782649,NP,country,2016
Maithili,3082253,NP,country,2016
Majhi,24144,NP,country,2016
Malpande,220,NP,country,2016
Manange,365,NP,country,2016
Meche,4227,NP,country,2016
Mewahang,4574,NP,country,2016
Mizo,20,NP,country,2016
Musalman,1012,NP,country,2016
Nachhiring,9856,NP,country,2016
Nepali,11661348,NP,country,2016
Newar,840118,NP,country,2016
Not Reported,46246,NP,country,2016
Oriya,517,NP,country,2016
Others,45873,NP,country,2016
Pahari,3397,NP,country,2016
Phangduwali,290,NP,country,2016
Puma,6553,NP,country,2016
Punjabi,716,NP,country,2016
Rai,155812,NP,country,2016
Rajbanshi,121597,NP,country,2016
Raji,3705,NP,country,2016
Rajsthani,25109,NP,country,2016
Sadhani,12,NP,country,2016
Sam,375,NP,country,2016
Sampang,18057,NP,country,2016
Sanskrit,1252,NP,country,2016
Santhali,49539,NP,country,2016
Sherpa,111520,NP,country,2016
Sign Language,2239,NP,country,2016
Sindhi,491,NP,country,2016
Sonaha,565,NP,country,2016
Sunuwar,37144,NP,country,2016
Surel,262,NP,country,2016
Tajpuriya,18641,NP,country,2016
Tamang,1341161,NP,country,2016
Thakali,4572,NP,country,2016
Thami,22897,NP,country,2016
Tharu,1521661,NP,country,2016
Thulung,20411,NP,country,2016
Tibetan,3030,NP,country,2016
Tilung,1368,NP,country,2016
Uranw/Urau,33438,NP,country,2016
Urdu,688647,NP,country,2016
Waling/Walung,1102,NP,country,2016
Wambule,13375,NP,country,2016
Yakkha,19168,NP,country,2016
Yamphu/Yamphe,9121,NP,country,2016
Achhami,102,3,province,2016
Assami,28,3,province,2016
Athpariya,13,3,province,2016
Avadhi,715,3,province,2016
Bahing,301,3,province,2016
Baitadeli,146,3,province,2016
Bajhangi,88,3,province,2016
Bajjika,347,3,province,2016
Bangla,3928,3,province,2016
Bankariya,62,3,province,2016
Bantawa,1239,3,province,2016
Belhare,16,3,province,2016
Bhojpuri,40164,3,province,2016
Bhujel,383,3,province,2016
Bote,2028,3,province,2016
Chamling,1385,3,province,2016
Chepang,45939,3,province,2016
Chhantyal,327,3,province,2016
Chinese,86,3,province,2016
Danuwar,27946,3,province,2016
Darai,6676,3,province,2016
Dhimal,406,3,province,2016
Doteli,2814,3,province,2016
Dumi,86,3,province,2016
Dungmali,24,3,province,2016
Dura,90,3,province,2016
English,1338,3,province,2016
French,29,3,province,2016
Ghale,3607,3,province,2016
Gurung,50700,3,province,2016
Hayu/Vayu,1372,3,province,2016
Hindi,26430,3,province,2016
Hyolmo/Yholmo,8047,3,province,2016
Jero/Jerung,48,3,province,2016
Jirel,4578,3,province,2016
Khaling,253,3,province,2016
Kham,622,3,province,2016
Khash,38,3,province,2016
Kulung,399,3,province,2016
Kumal,3146,3,province,2016
Lapcha,3842,3,province,2016
Lhomi,53,3,province,2016
Limbu,9056,3,province,2016
Lohorung,35,3,province,2016
Magahi,17,3,province,2016
Magar,98773,3,province,2016
Maithili,64426,3,province,2016
Majhi,12534,3,province,2016
Manange,365,3,province,2016
Mizo,20,3,province,2016
Nachhiring,116,3,province,2016
Nepali,3109597,3,province,2016
Newar,676076,3,province,2016
Not Reported,5431,3,province,2016
Oriya,379,3,province,2016
Others,9726,3,province,2016
Pahari,3278,3,province,2016
Puma,24,3,province,2016
Punjabi,231,3,province,2016
Rai,27159,3,province,2016
Rajbanshi,579,3,province,2016
Rajsthani,6224,3,province,2016
Sampang,185,3,province,2016
Sanskrit,84,3,province,2016
Santhali,108,3,province,2016
Sherpa,39283,3,province,2016
Sign Language,395,3,province,2016
Sunuwar,16652,3,province,2016
Surel,112,3,province,2016
Tajpuriya,76,3,province,2016
Tamang,1004549,3,province,2016
Thakali,1284,3,province,2016
Thami,21372,3,province,2016
Tharu,72456,3,province,2016
Thulung,494,3,province,2016
Tibetan,2940,3,province,2016
Uranw/Urau,82,3,province,2016
Urdu,8409,3,province,2016
Wambule,1152,3,province,2016
Yakkha,259,3,province,2016
Yamphu/Yamphe,39,3,province,2016
Ghale,83,56,district,2016
Gurung,447,56,district,2016
Hyolmo/Yholmo,72,56,district,2016
Magar,79,56,district,2016
Maithili,114,56,district,2016
Nepali,11149,56,district,2016
Newar,292,56,district,2016
Not Reported,27,56,district,2016
Others,153,56,district,2016
Sherpa,250,56,district,2016
Sign Language,11,56,district,2016
Tamang,28746,56,district,2016
Tibetan,710,56,district,2016
Ghale,13,29005,local,2016
Gurung,232,29005,local,2016
Maithili,18,29005,local,2016
Nepali,4354,29005,local,2016
Newar,14,29005,local,2016
Others,27,29005,local,2016
Tamang,3597,29005,local,2016
Ghale,70,29001,local,2016
Gurung,53,29001,local,2016
Hyolmo/Yholmo,72,29001,local,2016
Magar,60,29001,local,2016
Maithili,45,29001,local,2016
Nepali,746,29001,local,2016
Newar,193,29001,local,2016
Not Reported,11,29001,local,2016
Others,47,29001,local,2016
Sherpa,250,29001,local,2016
Sign Language,11,29001,local,2016
Tamang,4875,29001,local,2016
Tibetan,710,29001,local,2016
Gurung,162,29003,local,2016
Magar,19,29003,local,2016
Maithili,14,29003,local,2016
Nepali,1182,29003,local,2016
Newar,16,29003,local,2016
Others,24,29003,local,2016
Tamang,10407,29003,local,2016
Maithili,17,29002,local,2016
Nepali,4711,29002,local,2016
Newar,15,29002,local,2016
Not Reported,16,29002,local,2016
Others,23,29002,local,2016
Tamang,4639,29002,local,2016
Maithili,20,29004,local,2016
Nepali,156,29004,local,2016
Newar,54,29004,local,2016
Others,32,29004,local,2016
Tamang,5228,29004,local,2016
Bhojpuri,157,65,district,2016
Danuwar,16923,65,district,2016
Doteli,11,65,district,2016
Gurung,189,65,district,2016
Hayu/Vayu,977,65,district,2016
Jero/Jerung,48,65,district,2016
Limbu,14,65,district,2016
Magar,31765,65,district,2016
Maithili,4646,65,district,2016
Majhi,4829,65,district,2016
Nepali,141000,65,district,2016
Newar,6869,65,district,2016
Not Reported,564,65,district,2016
Others,315,65,district,2016
Pahari,83,65,district,2016
Rai,1500,65,district,2016
Sherpa,14,65,district,2016
Sign Language,116,65,district,2016
Sunuwar,4695,65,district,2016
Tamang,76869,65,district,2016
Thami,651,65,district,2016
Tharu,61,65,district,2016
Urdu,74,65,district,2016
Wambule,803,65,district,2016
Hayu/Vayu,113,20008,local,2016
Magar,159,20008,local,2016
Maithili,28,20008,local,2016
Majhi,14,20008,local,2016
Nepali,16732,20008,local,2016
Newar,350,20008,local,2016
Others,29,20008,local,2016
Sunuwar,95,20008,local,2016
Tamang,3953,20008,local,2016
Jero/Jerung,48,20007,local,2016
Magar,2899,20007,local,2016
Maithili,49,20007,local,2016
Majhi,80,20007,local,2016
