education level passed,geo_code,geo_level,sex,total
Graduate and Equivalent,29002,local,Male,234
Intermediate and Equivalent,29002,local,Female,442
Intermediate and Equivalent,29002,local,Male,630
Level not Stated,29002,local,Female,42
Level not Stated,29002,local,Male,56
Lower Secondary (Class 6-8),29002,local,Female,1976
Lower Secondary (Class 6-8),29002,local,Male,2251
Non Formal Education,29002,local,Female,199
Non Formal Education,29002,local,Male,298
Others,29002,local,Female,7
Others,29002,local,Male,23
Post Graduate Equivalent and Above,29002,local,Female,19
Post Graduate Equivalent and Above,29002,local,Male,68
Primary Education (1-5 Class),29002,local,Female,4692
Primary Education (1-5 Class),29002,local,Male,5337
Secondary Level (Class 9-10),29002,local,Female,867
Secondary Level (Class 9-10),29002,local,Male,942
SLC and Equivalent,29002,local,Female,686
SLC and Equivalent,29002,local,Male,1027
Beginners,29004,local,Female,438
Beginners,29004,local,Male,427
Graduate and Equivalent,29004,local,Female,73
Graduate and Equivalent,29004,local,Male,234
Intermediate and Equivalent,29004,local,Female,442
Intermediate and Equivalent,29004,local,Male,630
Level not Stated,29004,local,Female,42
Level not Stated,29004,local,Male,56
Lower Secondary (Class 6-8),29004,local,Female,1976
Lower Secondary (Class 6-8),29004,local,Male,2251
Non Formal Education,29004,local,Female,199
Non Formal Education,29004,local,Male,298
Others,29004,local,Female,7
Others,29004,local,Male,23
Post Graduate Equivalent and Above,29004,local,Female,19
Post Graduate Equivalent and Above,29004,local,Male,68
Primary Education (1-5 Class),29004,local,Female,4692
Primary Education (1-5 Class),29004,local,Male,5337
Secondary Level (Class 9-10),29004,local,Female,867
Secondary Level (Class 9-10),29004,local,Male,942
SLC and Equivalent,29004,local,Female,686
SLC and Equivalent,29004,local,Male,1027
Beginners,65,district,Female,3749
Beginners,65,district,Male,4288
Graduate and Equivalent,65,district,Female,543
Graduate and Equivalent,65,district,Male,1224
Intermediate and Equivalent,65,district,Female,3075
Intermediate and Equivalent,65,district,Male,3577
Level not Stated,65,district,Female,304
Level not Stated,65,district,Male,388
Lower Secondary (Class 6-8),65,district,Female,14533
Lower Secondary (Class 6-8),65,district,Male,17097
Non Formal Education,65,district,Female,4405
Non Formal Education,65,district,Male,3974
Others,65,district,Female,44
Others,65,district,Male,54
Post Graduate Equivalent and Above,65,district,Female,80
Post Graduate Equivalent and Above,65,district,Male,481
Primary Education (1-5 Class),65,district,Female,35857
Primary Education (1-5 Class),65,district,Male,41051
Secondary Level (Class 9-10),65,district,Female,5472
Secondary Level (Class 9-10),65,district,Male,7458
SLC and Equivalent,65,district,Female,6346
SLC and Equivalent,65,district,Male,8495
Beginners,20008,local,Female,3749
Beginners,20008,local,Male,4288
Graduate and Equivalent,20008,local,Female,543
Graduate and Equivalent,20008,local,Male,1224
Intermediate and Equivalent,20008,local,Female,3075
Intermediate and Equivalent,20008,local,Male,3577
Level not Stated,20008,local,Female,304
Level not Stated,20008,local,Male,388
Lower Secondary (Class 6-8),20008,local,Female,14533
Lower Secondary (Class 6-8),20008,local,Male,17097
Non Formal Education,20008,local,Female,4405
Non Formal Education,20008,local,Male,3974
Others,20008,local,Female,44
Others,20008,local,Male,54
Post Graduate Equivalent and Above,20008,local,Female,80
Post Graduate Equivalent and Above,20008,local,Male,481
Primary Education (1-5 Class),20008,local,Female,35857
Primary Education (1-5 Class),20008,local,Male,41051
Secondary Level (Class 9-10),20008,local,Female,5472
Secondary Level (Class 9-10),20008,local,Male,7458
SLC and Equivalent,20008,local,Female,6346
SLC and Equivalent,20008,local,Male,8495
Beginners,20007,local,Female,3749
Beginners,20007,local,Male,4288
Graduate and Equivalent,20007,local,Female,543
Graduate and Equivalent,20007,local,Male,1224
Intermediate and Equivalent,20007,local,Female,3075
Intermediate and Equivalent,20007,local,Male,3577
Level not Stated,20007,local,Female,304
Level not Stated,20007,local,Male,388
Lower Secondary (Class 6-8),20007,local,Female,14533
Lower Secondary (Class 6-8),20007,local,Male,17097
Non Formal Education,20007,local,Female,4405
Non Formal Education,20007,local,Male,3974
Others,20007,local,Female,44
Others,20007,local,Male,54
Post Graduate Equivalent and Above,20007,local,Female,80
Post Graduate Equivalent and Above,20007,local,Male,481
Primary Education (1-5 Class),20007,local,Female,35857
Primary Education (1-5 Class),20007,local,Male,41051
Secondary Level (Class 9-10),20007,local,Female,5472
Secondary Level (Class 9-10),20007,local,Male,7458
SLC and Equivalent,20007,local,Female,6346
SLC and Equivalent,20007,local,Male,8495
Beginners,20004,local,Female,3749
Beginners,20004,local,Male,4288
Graduate and Equivalent,20004,local,Female,543
Graduate and Equivalent,20004,local,Male,1224
Intermediate and Equivalent,20004,local,Female,3075
Intermediate and Equivalent,20004,local,Male,3577
Level not Stated,20004,local,Female,304
Level not Stated,20004,local,Male,388
Lower Secondary (Class 6-8),20004,local,Female,14533
Lower Secondary (Class 6-8),20004,local,Male,17097
Non Formal Education,20004,local,Female,4405
Non Formal Education,20004,local,Male,3974
Others,20004,local,Female,44
Others,20004,local,Male,54
Post Graduate Equivalent and Above,20004,local,Female,80
