education level passed,geo_code,geo_level,sex,total
Secondary Level (Class 9-10),30001,local,Male,9394
SLC and Equivalent,30001,local,Female,6496
SLC and Equivalent,30001,local,Male,7806
Beginners,5,province,Female,61108
Beginners,5,province,Male,71176
Graduate and Equivalent,5,province,Female,15872
Graduate and Equivalent,5,province,Male,32535
Intermediate and Equivalent,5,province,Female,54489
Intermediate and Equivalent,5,province,Male,72669
Level not Stated,5,province,Female,4949
Level not Stated,5,province,Male,4910
Lower Secondary (Class 6-8),5,province,Female,273787
Lower Secondary (Class 6-8),5,province,Male,306394
Non Formal Education,5,province,Female,65758
Non Formal Education,5,province,Male,46479
Others,5,province,Female,1706
Others,5,province,Male,1493
Post Graduate Equivalent and Above,5,province,Female,2994
Post Graduate Equivalent and Above,5,province,Male,11083
Primary Education (1-5 Class),5,province,Female,556792
Primary Education (1-5 Class),5,province,Male,620192
Secondary Level (Class 9-10),5,province,Female,135948
Secondary Level (Class 9-10),5,province,Male,162250
SLC and Equivalent,5,province,Female,103758
SLC and Equivalent,5,province,Male,118922
Beginners,24,district,Female,4489
Beginners,24,district,Male,5314
Graduate and Equivalent,24,district,Female,572
Graduate and Equivalent,24,district,Male,1397
Intermediate and Equivalent,24,district,Female,2970
Intermediate and Equivalent,24,district,Male,3200
Level not Stated,24,district,Female,218
Level not Stated,24,district,Male,186
Lower Secondary (Class 6-8),24,district,Female,22145
Lower Secondary (Class 6-8),24,district,Male,17521
Non Formal Education,24,district,Female,6783
Non Formal Education,24,district,Male,5131
Others,24,district,Female,27
Others,24,district,Male,38
Post Graduate Equivalent and Above,24,district,Female,73
Post Graduate Equivalent and Above,24,district,Male,594
Primary Education (1-5 Class),24,district,Female,39375
Primary Education (1-5 Class),24,district,Male,37105
Secondary Level (Class 9-10),24,district,Female,11663
Secondary Level (Class 9-10),24,district,Male,9442
SLC and Equivalent,24,district,Female,9975
SLC and Equivalent,24,district,Male,8499
Beginners,46006,local,Female,4489
Beginners,46006,local,Male,5314
Graduate and Equivalent,46006,local,Female,572
Graduate and Equivalent,46006,local,Male,1397
Intermediate and Equivalent,46006,local,Female,2970
Intermediate and Equivalent,46006,local,Male,3200
Level not Stated,46006,local,Female,218
Level not Stated,46006,local,Male,186
Lower Secondary (Class 6-8),46006,local,Female,22145
Lower Secondary (Class 6-8),46006,local,Male,17521
Non Formal Education,46006,local,Female,6783
Non Formal Education,46006,local,Male,5131
Others,46006,local,Female,27
Others,46006,local,Male,38
Post Graduate Equivalent and Above,46006,local,Female,73
Post Graduate Equivalent and Above,46006,local,Male,594
Primary Education (1-5 Class),46006,local,Female,39375
Primary Education (1-5 Class),46006,local,Male,37105
Secondary Level (Class 9-10),46006,local,Female,11663
Secondary Level (Class 9-10),46006,local,Male,9442
SLC and Equivalent,46006,local,Female,9975
SLC and Equivalent,46006,local,Male,8499
Beginners,46001,local,Female,4489
Beginners,46001,local,Male,5314
Graduate and Equivalent,46001,local,Female,572
Graduate and Equivalent,46001,local,Male,1397
Intermediate and Equivalent,46001,local,Female,2970
Intermediate and Equivalent,46001,local,Male,3200
Level not Stated,46001,local,Female,218
Level not Stated,46001,local,Male,186
Lower Secondary (Class 6-8),46001,local,Female,22145
Lower Secondary (Class 6-8),46001,local,Male,17521
Non Formal Education,46001,local,Female,6783
Non Formal Education,46001,local,Male,5131
Others,46001,local,Female,27
Others,46001,local,Male,38
Post Graduate Equivalent and Above,46001,local,Female,73
Post Graduate Equivalent and Above,46001,local,Male,594
Primary Education (1-5 Class),46001,local,Female,39375
Primary Education (1-5 Class),46001,local,Male,37105
Secondary Level (Class 9-10),46001,local,Female,11663
Secondary Level (Class 9-10),46001,local,Male,9442
SLC and Equivalent,46001,local,Female,9975
SLC and Equivalent,46001,local,Male,8499
Beginners,46010,local,Female,4489
Beginners,46010,local,Male,5314
Graduate and Equivalent,46010,local,Female,572
Graduate and Equivalent,46010,local,Male,1397
Intermediate and Equivalent,46010,local,Female,2970
Intermediate and Equivalent,46010,local,Male,3200
Level not Stated,46010,local,Female,218
Level not Stated,46010,local,Male,186
Lower Secondary (Class 6-8),46010,local,Female,22145
Lower Secondary (Class 6-8),46010,local,Male,17521
Non Formal Education,46010,local,Female,6783
Non Formal Education,46010,local,Male,5131
Others,46010,local,Female,27
Others,46010,local,Male,38
Post Graduate Equivalent and Above,46010,local,Female,73
Post Graduate Equivalent and Above,46010,local,Male,594
Primary Education (1-5 Class),46010,local,Female,39375
Primary Education (1-5 Class),46010,local,Male,37105
Secondary Level (Class 9-10),46010,local,Female,11663
Secondary Level (Class 9-10),46010,local,Male,9442
SLC and Equivalent,46010,local,Female,9975
SLC and Equivalent,46010,local,Male,8499
Beginners,46008,local,Female,4489
Beginners,46008,local,Male,5314
Graduate and Equivalent,46008,local,Female,572
Graduate and Equivalent,46008,local,Male,1397
Intermediate and Equivalent,46008,local,Female,2970
Intermediate and Equivalent,46008,local,Male,3200
Level not Stated,46008,local,Female,218
Level not Stated,46008,local,Male,186
Lower Secondary (Class 6-8),46008,local,Female,22145
Lower Secondary (Class 6-8),46008,local,Male,17521
Non Formal Education,46008,local,Female,6783
Non Formal Education,46008,local,Male,5131
Others,46008,local,Female,27
Others,46008,local,Male,38
Post Graduate Equivalent and Above,46008,local,Female,73
Post Graduate Equivalent and Above,46008,local,Male,594
Primary Education (1-5 Class),46008,local,Female,39375
Primary Education (1-5 Class),46008,local,Male,37105
Secondary Level (Class 9-10),46008,local,Female,11663
Secondary Level (Class 9-10),46008,local,Male,9442
SLC and Equivalent,46008,local,Female,9975
SLC and Equivalent,46008,local,Male,8499
Beginners,46011,local,Female,4489
Beginners,46011,local,Male,5314
Graduate and Equivalent,46011,local,Female,572
Graduate and Equivalent,46011,local,Male,1397
Intermediate and Equivalent,46011,local,Female,2970
Intermediate and Equivalent,46011,local,Male,3200
Level not Stated,46011,local,Female,218
Level not Stated,46011,local,Male,186
Lower Secondary (Class 6-8),46011,local,Female,22145
Lower Secondary (Class 6-8),46011,local,Male,17521
Non Formal Education,46011,local,Female,6783
Non Formal Education,46011,local,Male,5131
Others,46011,local,Female,27
Others,46011,local,Male,38
Post Graduate Equivalent and Above,46011,local,Female,73
Post Graduate Equivalent and Above,46011,local,Male,594
Primary Education (1-5 Class),46011,local,Female,39375
Primary Education (1-5 Class),46011,local,Male,37105
Secondary Level (Class 9-10),46011,local,Female,11663
Secondary Level (Class 9-10),46011,local,Male,9442
SLC and Equivalent,46011,local,Female,9975
SLC and Equivalent,46011,local,Male,8499
Beginners,46012,local,Female,4489
Beginners,46012,local,Male,5314
Graduate and Equivalent,46012,local,Female,572
Graduate and Equivalent,46012,local,Male,1397
Intermediate and Equivalent,46012,local,Female,2970
Intermediate and Equivalent,46012,local,Male,3200
Level not Stated,46012,local,Female,218
Level not Stated,46012,local,Male,186
Lower Secondary (Class 6-8),46012,local,Female,22145
Lower Secondary (Class 6-8),46012,local,Male,17521
Non Formal Education,46012,local,Female,6783
Non Formal Education,46012,local,Male,5131
Others,46012,local,Female,27
Others,46012,local,Male,38
Post Graduate Equivalent and Above,46012,local,Female,73
Post Graduate Equivalent and Above,46012,local,Male,594
Primary Education (1-5 Class),46012,local,Female,39375
Primary Education (1-5 Class),46012,local,Male,37105
Secondary Level (Class 9-10),46012,local,Female,11663
Secondary Level (Class 9-10),46012,local,Male,9442
SLC and Equivalent,46012,local,Female,9975
SLC and Equivalent,46012,local,Male,8499
Beginners,46003,local,Female,4489
Beginners,46003,local,Male,5314
Graduate and Equivalent,46003,local,Female,572
Graduate and Equivalent,46003,local,Male,1397
Intermediate and Equivalent,46003,local,Female,2970
Intermediate and Equivalent,46003,local,Male,3200
Level not Stated,46003,local,Female,218
Level not Stated,46003,local,Male,186
Lower Secondary (Class 6-8),46003,local,Female,22145
Lower Secondary (Class 6-8),46003,local,Male,17521
Non Formal Education,46003,local,Female,6783
Non Formal Education,46003,local,Male,5131
Others,46003,local,Female,27
Others,46003,local,Male,38
Post Graduate Equivalent and Above,46003,local,Female,73
Post Graduate Equivalent and Above,46003,local,Male,594
Primary Education (1-5 Class),46003,local,Female,39375
Primary Education (1-5 Class),46003,local,Male,37105
Secondary Level (Class 9-10),46003,local,Female,11663
Secondary Level (Class 9-10),46003,local,Male,9442
SLC and Equivalent,46003,local,Female,9975
SLC and Equivalent,46003,local,Male,8499
Beginners,46002,local,Female,4489
Beginners,46002,local,Male,5314
Graduate and Equivalent,46002,local,Female,572
Graduate and Equivalent,46002,local,Male,1397
Intermediate and Equivalent,46002,local,Female,2970
Intermediate and Equivalent,46002,local,Male,3200
Level not Stated,46002,local,Female,218
Level not Stated,46002,local,Male,186
Lower Secondary (Class 6-8),46002,local,Female,22145
Lower Secondary (Class 6-8),46002,local,Male,17521
Non Formal Education,46002,local,Female,6783
Non Formal Education,46002,local,Male,5131
Others,46002,local,Female,27
Others,46002,local,Male,38
Post Graduate Equivalent and Above,46002,local,Female,73
Post Graduate Equivalent and Above,46002,local,Male,594
Primary Education (1-5 Class),46002,local,Female,39375
Primary Education (1-5 Class),46002,local,Male,37105
Secondary Level (Class 9-10),46002,local,Female,11663
Secondary Level (Class 9-10),46002,local,Male,9442
SLC and Equivalent,46002,local,Female,9975
SLC and Equivalent,46002,local,Male,8499
Beginners,46004,local,Female,4489
Beginners,46004,local,Male,5314
Graduate and Equivalent,46004,local,Female,572
Graduate and Equivalent,46004,local,Male,1397
Intermediate and Equivalent,46004,local,Female,2970
Intermediate and Equivalent,46004,local,Male,3200
Level not Stated,46004,local,Female,218
Level not Stated,46004,local,Male,186
Lower Secondary (Class 6-8),46004,local,Female,22145
Lower Secondary (Class 6-8),46004,local,Male,17521
Non Formal Education,46004,local,Female,6783
Non Formal Education,46004,local,Male,5131
Others,46004,local,Female,27
Others,46004,local,Male,38
Post Graduate Equivalent and Above,46004,local,Female,73
Post Graduate Equivalent and Above,46004,local,Male,594
Primary Education (1-5 Class),46004,local,Female,39375
Primary Education (1-5 Class),46004,local,Male,37105
Secondary Level (Class 9-10),46004,local,Female,11663
Secondary Level (Class 9-10),46004,local,Male,9442
SLC and Equivalent,46004,local,Female,9975
SLC and Equivalent,46004,local,Male,8499
Beginners,46007,local,Female,4489
Beginners,46007,local,Male,5314
Graduate and Equivalent,46007,local,Female,572
Graduate and Equivalent,46007,local,Male,1397
Intermediate and Equivalent,46007,local,Female,2970
Intermediate and Equivalent,46007,local,Male,3200
Level not Stated,46007,local,Female,218
Level not Stated,46007,local,Male,186
Lower Secondary (Class 6-8),46007,local,Female,22145
Lower Secondary (Class 6-8),46007,local,Male,17521
Non Formal Education,46007,local,Female,6783
Non Formal Education,46007,local,Male,5131
Others,46007,local,Female,27
Others,46007,local,Male,38
Post Graduate Equivalent and Above,46007,local,Female,73
Post Graduate Equivalent and Above,46007,local,Male,594
Primary Education (1-5 Class),46007,local,Female,39375
Primary Education (1-5 Class),46007,local,Male,37105
Secondary Level (Class 9-10),46007,local,Female,11663
Secondary Level (Class 9-10),46007,local,Male,9442
SLC and Equivalent,46007,local,Female,9975
SLC and Equivalent,46007,local,Male,8499
Beginners,46009,local,Female,4489
Beginners,46009,local,Male,5314
Graduate and Equivalent,46009,local,Female,572
Graduate and Equivalent,46009,local,Male,1397
Intermediate and Equivalent,46009,local,Female,2970
Intermediate and Equivalent,46009,local,Male,3200
Level not Stated,46009,local,Female,218
Level not Stated,46009,local,Male,186
Lower Secondary (Class 6-8),46009,local,Female,22145
Lower Secondary (Class 6-8),46009,local,Male,17521
Non Formal Education,46009,local,Female,6783
Non Formal Education,46009,local,Male,5131
Others,46009,local,Female,27
Others,46009,local,Male,38
Post Graduate Equivalent and Above,46009,local,Female,73
Post Graduate Equivalent and Above,46009,local,Male,594
Primary Education (1-5 Class),46009,local,Female,39375
Primary Education (1-5 Class),46009,local,Male,37105
Secondary Level (Class 9-10),46009,local,Female,11663
Secondary Level (Class 9-10),46009,local,Male,9442
SLC and Equivalent,46009,local,Female,9975
SLC and Equivalent,46009,local,Male,8499
Beginners,46005,local,Female,4489
Beginners,46005,local,Male,5314
Graduate and Equivalent,46005,local,Female,572
Graduate and Equivalent,46005,local,Male,1397
Intermediate and Equivalent,46005,local,Female,2970
Intermediate and Equivalent,46005,local,Male,3200
Level not Stated,46005,local,Female,218
Level not Stated,46005,local,Male,186
Lower Secondary (Class 6-8),46005,local,Female,22145
Lower Secondary (Class 6-8),46005,local,Male,17521
Non Formal Education,46005,local,Female,6783
Non Formal Education,46005,local,Male,5131
Others,46005,local,Female,27
Others,46005,local,Male,38
Post Graduate Equivalent and Above,46005,local,Female,73
Post Graduate Equivalent and Above,46005,local,Male,594
Primary Education (1-5 Class),46005,local,Female,39375
Primary Education (1-5 Class),46005,local,Male,37105
Secondary Level (Class 9-10),46005,local,Female,11663
Secondary Level (Class 9-10),46005,local,Male,9442
SLC and Equivalent,46005,local,Female,9975
SLC and Equivalent,46005,local,Male,8499
Beginners,59,district,Female,642
Beginners,59,district,Male,746
Graduate and Equivalent,59,district,Female,57
Graduate and Equivalent,59,district,Male,157
Intermediate and Equivalent,59,district,Female,394
Intermediate and Equivalent,59,district,Male,517
Level not Stated,59,district,Female,118
Level not Stated,59,district,Male,100
Lower Secondary (Class 6-8),59,district,Female,2285
Lower Secondary (Class 6-8),59,district,Male,2878
Non Formal Education,59,district,Female,567
Non Formal Education,59,district,Male,485
Others,59,district,Female,9
Others,59,district,Male,12
Post Graduate Equivalent and Above,59,district,Female,10
Post Graduate Equivalent and Above,59,district,Male,31
Primary Education (1-5 Class),59,district,Female,6365
Primary Education (1-5 Class),59,district,Male,7103
Secondary Level (Class 9-10),59,district,Female,886
Secondary Level (Class 9-10),59,district,Male,1355
SLC and Equivalent,59,district,Female,540
SLC and Equivalent,59,district,Male,880
Beginners,77001,local,Female,642
Beginners,77001,local,Male,746
Graduate and Equivalent,77001,local,Female,57
Graduate and Equivalent,77001,local,Male,157
Intermediate and Equivalent,77001,local,Female,394
Intermediate and Equivalent,77001,local,Male,517
Level not Stated,77001,local,Female,118
Level not Stated,77001,local,Male,100
Lower Secondary (Class 6-8),77001,local,Female,2285
Lower Secondary (Class 6-8),77001,local,Male,2878
Non Formal Education,77001,local,Female,567
Non Formal Education,77001,local,Male,485
Others,77001,local,Female,9
Others,77001,local,Male,12
Post Graduate Equivalent and Above,77001,local,Female,10
Post Graduate Equivalent and Above,77001,local,Male,31
Primary Education (1-5 Class),77001,local,Female,6365
Primary Education (1-5 Class),77001,local,Male,7103
Secondary Level (Class 9-10),77001,local,Female,886
Secondary Level (Class 9-10),77001,local,Male,1355
SLC and Equivalent,77001,local,Female,540
SLC and Equivalent,77001,local,Male,880
Beginners,77002,local,Female,642
Beginners,77002,local,Male,746
Graduate and Equivalent,77002,local,Female,57
Graduate and Equivalent,77002,local,Male,157
Intermediate and Equivalent,77002,local,Female,394
Intermediate and Equivalent,77002,local,Male,517
Level not Stated,77002,local,Female,118
Level not Stated,77002,local,Male,100
Lower Secondary (Class 6-8),77002,local,Female,2285
Lower Secondary (Class 6-8),77002,local,Male,2878
Non Formal Education,77002,local,Female,567
Non Formal Education,77002,local,Male,485
Others,77002,local,Female,9
Others,77002,local,Male,12
Post Graduate Equivalent and Above,77002,local,Female,10
Post Graduate Equivalent and Above,77002,local,Male,31
Primary Education (1-5 Class),77002,local,Female,6365
Primary Education (1-5 Class),77002,local,Male,7103
Secondary Level (Class 9-10),77002,local,Female,886
Secondary Level (Class 9-10),77002,local,Male,1355
SLC and Equivalent,77002,local,Female,540
SLC and Equivalent,77002,local,Male,880
Beginners,77003,local,Female,642
Beginners,77003,local,Male,746
Graduate and Equivalent,77003,local,Female,57
Graduate and Equivalent,77003,local,Male,157
Intermediate and Equivalent,77003,local,Female,394
Intermediate and Equivalent,77003,local,Male,517
Level not Stated,77003,local,Female,118
Level not Stated,77003,local,Male,100
Lower Secondary (Class 6-8),77003,local,Female,2285
Lower Secondary (Class 6-8),77003,local,Male,2878
Non Formal Education,77003,local,Female,567
Non Formal Education,77003,local,Male,485
Others,77003,local,Female,9
Others,77003,local,Male,12
Post Graduate Equivalent and Above,77003,local,Female,10
Post Graduate Equivalent and Above,77003,local,Male,31
Primary Education (1-5 Class),77003,local,Female,6365
Primary Education (1-5 Class),77003,local,Male,7103
Secondary Level (Class 9-10),77003,local,Female,886
Secondary Level (Class 9-10),77003,local,Male,1355
SLC and Equivalent,77003,local,Female,540
SLC and Equivalent,77003,local,Male,880
Beginners,54,district,Female,4453
Beginners,54,district,Male,4977
Graduate and Equivalent,54,district,Female,209
Graduate and Equivalent,54,district,Male,790
Intermediate and Equivalent,54,district,Female,1648
Intermediate and Equivalent,54,district,Male,2062
Level not Stated,54,district,Female,253
Level not Stated,54,district,Male,199
Lower Secondary (Class 6-8),54,district,Female,12762
Lower Secondary (Class 6-8),54,district,Male,11948
Non Formal Education,54,district,Female,6408
Non Formal Education,54,district,Male,3335
Others,54,district,Female,38
Others,54,district,Male,39
Post Graduate Equivalent and Above,54,district,Female,48
Post Graduate Equivalent and Above,54,district,Male,255
Primary Education (1-5 Class),54,district,Female,35083
Primary Education (1-5 Class),54,district,Male,35121
Secondary Level (Class 9-10),54,district,Female,4276
Secondary Level (Class 9-10),54,district,Male,4998
SLC and Equivalent,54,district,Female,3646
SLC and Equivalent,54,district,Male,4207
Beginners,52001,local,Female,4453
Beginners,52001,local,Male,4977
Graduate and Equivalent,52001,local,Female,209
Graduate and Equivalent,52001,local,Male,790
Intermediate and Equivalent,52001,local,Female,1648
Intermediate and Equivalent,52001,local,Male,2062
Level not Stated,52001,local,Female,253
Level not Stated,52001,local,Male,199
Lower Secondary (Class 6-8),52001,local,Female,12762
Lower Secondary (Class 6-8),52001,local,Male,11948
Non Formal Education,52001,local,Female,6408
Non Formal Education,52001,local,Male,3335
Others,52001,local,Female,38
Others,52001,local,Male,39
Post Graduate Equivalent and Above,52001,local,Female,48
Post Graduate Equivalent and Above,52001,local,Male,255
Primary Education (1-5 Class),52001,local,Female,35083
Primary Education (1-5 Class),52001,local,Male,35121
Secondary Level (Class 9-10),52001,local,Female,4276
Secondary Level (Class 9-10),52001,local,Male,4998
SLC and Equivalent,52001,local,Female,3646
SLC and Equivalent,52001,local,Male,4207
Beginners,52004,local,Female,4453
Beginners,52004,local,Male,4977
Graduate and Equivalent,52004,local,Female,209
Graduate and Equivalent,52004,local,Male,790
Intermediate and Equivalent,52004,local,Female,1648
Intermediate and Equivalent,52004,local,Male,2062
Level not Stated,52004,local,Female,253
Level not Stated,52004,local,Male,199
Lower Secondary (Class 6-8),52004,local,Female,12762
Lower Secondary (Class 6-8),52004,local,Male,11948
Non Formal Education,52004,local,Female,6408
Non Formal Education,52004,local,Male,3335
Others,52004,local,Female,38
Others,52004,local,Male,39
Post Graduate Equivalent and Above,52004,local,Female,48
Post Graduate Equivalent and Above,52004,local,Male,255
Primary Education (1-5 Class),52004,local,Female,35083
Primary Education (1-5 Class),52004,local,Male,35121
Secondary Level (Class 9-10),52004,local,Female,4276
Secondary Level (Class 9-10),52004,local,Male,4998
SLC and Equivalent,52004,local,Female,3646
SLC and Equivalent,52004,local,Male,4207
Beginners,52003,local,Female,4453
Beginners,52003,local,Male,4977
Graduate and Equivalent,52003,local,Female,209
Graduate and Equivalent,52003,local,Male,790
Intermediate and Equivalent,52003,local,Female,1648
Intermediate and Equivalent,52003,local,Male,2062
Level not Stated,52003,local,Female,253
Level not Stated,52003,local,Male,199
Lower Secondary (Class 6-8),52003,local,Female,12762
Lower Secondary (Class 6-8),52003,local,Male,11948
Non Formal Education,52003,local,Female,6408
Non Formal Education,52003,local,Male,3335
Others,52003,local,Female,38
Others,52003,local,Male,39
Post Graduate Equivalent and Above,52003,local,Female,48
Post Graduate Equivalent and Above,52003,local,Male,255
Primary Education (1-5 Class),52003,local,Female,35083
Primary Education (1-5 Class),52003,local,Male,35121
Secondary Level (Class 9-10),52003,local,Female,4276
Secondary Level (Class 9-10),52003,local,Male,4998
SLC and Equivalent,52003,local,Female,3646
SLC and Equivalent,52003,local,Male,4207
Beginners,52005,local,Female,4453
Beginners,52005,local,Male,4977
Graduate and Equivalent,52005,local,Female,209
Graduate and Equivalent,52005,local,Male,790
Intermediate and Equivalent,52005,local,Female,1648
Intermediate and Equivalent,52005,local,Male,2062
Level not Stated,52005,local,Female,253
Level not Stated,52005,local,Male,199
Lower Secondary (Class 6-8),52005,local,Female,12762
Lower Secondary (Class 6-8),52005,local,Male,11948
Non Formal Education,52005,local,Female,6408
Non Formal Education,52005,local,Male,3335
Others,52005,local,Female,38
Others,52005,local,Male,39
Post Graduate Equivalent and Above,52005,local,Female,48
Post Graduate Equivalent and Above,52005,local,Male,255
Primary Education (1-5 Class),52005,local,Female,35083
Primary Education (1-5 Class),52005,local,Male,35121
Secondary Level (Class 9-10),52005,local,Female,4276
Secondary Level (Class 9-10),52005,local,Male,4998
SLC and Equivalent,52005,local,Female,3646
SLC and Equivalent,52005,local,Male,4207
Beginners,52008,local,Female,4453
Beginners,52008,local,Male,4977
Graduate and Equivalent,52008,local,Female,209
Graduate and Equivalent,52008,local,Male,790
Intermediate and Equivalent,52008,local,Female,1648
Intermediate and Equivalent,52008,local,Male,2062
Level not Stated,52008,local,Female,253
Level not Stated,52008,local,Male,199
Lower Secondary (Class 6-8),52008,local,Female,12762
Lower Secondary (Class 6-8),52008,local,Male,11948
Non Formal Education,52008,local,Female,6408
Non Formal Education,52008,local,Male,3335
Others,52008,local,Female,38
Others,52008,local,Male,39
Post Graduate Equivalent and Above,52008,local,Female,48
Post Graduate Equivalent and Above,52008,local,Male,255
Primary Education (1-5 Class),52008,local,Female,35083
Primary Education (1-5 Class),52008,local,Male,35121
Secondary Level (Class 9-10),52008,local,Female,4276
Secondary Level (Class 9-10),52008,local,Male,4998
SLC and Equivalent,52008,local,Female,3646
SLC and Equivalent,52008,local,Male,4207
Beginners,52002,local,Female,4453
Beginners,52002,local,Male,4977
Graduate and Equivalent,52002,local,Female,209
Graduate and Equivalent,52002,local,Male,790
Intermediate and Equivalent,52002,local,Female,1648
Intermediate and Equivalent,52002,local,Male,2062
Level not Stated,52002,local,Female,253
Level not Stated,52002,local,Male,199
Lower Secondary (Class 6-8),52002,local,Female,12762
Lower Secondary (Class 6-8),52002,local,Male,11948
Non Formal Education,52002,local,Female,6408
Non Formal Education,52002,local,Male,3335
Others,52002,local,Female,38
Others,52002,local,Male,39
Post Graduate Equivalent and Above,52002,local,Female,48
Post Graduate Equivalent and Above,52002,local,Male,255
Primary Education (1-5 Class),52002,local,Female,35083
Primary Education (1-5 Class),52002,local,Male,35121
Secondary Level (Class 9-10),52002,local,Female,4276
Secondary Level (Class 9-10),52002,local,Male,4998
SLC and Equivalent,52002,local,Female,3646
SLC and Equivalent,52002,local,Male,4207
Beginners,52009,local,Female,4453
Beginners,52009,local,Male,4977
Graduate and Equivalent,52009,local,Female,209
Graduate and Equivalent,52009,local,Male,790
Intermediate and Equivalent,52009,local,Female,1648
Intermediate and Equivalent,52009,local,Male,2062
Level not Stated,52009,local,Female,253
Level not Stated,52009,local,Male,199
Lower Secondary (Class 6-8),52009,local,Female,12762
Lower Secondary (Class 6-8),52009,local,Male,11948
Non Formal Education,52009,local,Female,6408
Non Formal Education,52009,local,Male,3335
Others,52009,local,Female,38
Others,52009,local,Male,39
Post Graduate Equivalent and Above,52009,local,Female,48
Post Graduate Equivalent and Above,52009,local,Male,255
Primary Education (1-5 Class),52009,local,Female,35083
Primary Education (1-5 Class),52009,local,Male,35121
Secondary Level (Class 9-10),52009,local,Female,4276
Secondary Level (Class 9-10),52009,local,Male,4998
SLC and Equivalent,52009,local,Female,3646
SLC and Equivalent,52009,local,Male,4207
Beginners,52007,local,Female,4453
Beginners,52007,local,Male,4977
Graduate and Equivalent,52007,local,Female,209
Graduate and Equivalent,52007,local,Male,790
Intermediate and Equivalent,52007,local,Female,1648
Intermediate and Equivalent,52007,local,Male,2062
Level not Stated,52007,local,Female,253
Level not Stated,52007,local,Male,199
Lower Secondary (Class 6-8),52007,local,Female,12762
Lower Secondary (Class 6-8),52007,local,Male,11948
Non Formal Education,52007,local,Female,6408
Non Formal Education,52007,local,Male,3335
Others,52007,local,Female,38
Others,52007,local,Male,39
Post Graduate Equivalent and Above,52007,local,Female,48
Post Graduate Equivalent and Above,52007,local,Male,255
Primary Education (1-5 Class),52007,local,Female,35083
Primary Education (1-5 Class),52007,local,Male,35121
Secondary Level (Class 9-10),52007,local,Female,4276
Secondary Level (Class 9-10),52007,local,Male,4998
SLC and Equivalent,52007,local,Female,3646
SLC and Equivalent,52007,local,Male,4207
Beginners,52006,local,Female,4453
Beginners,52006,local,Male,4977
Graduate and Equivalent,52006,local,Female,209
Graduate and Equivalent,52006,local,Male,790
Intermediate and Equivalent,52006,local,Female,1648
Intermediate and Equivalent,52006,local,Male,2062
Level not Stated,52006,local,Female,253
Level not Stated,52006,local,Male,199
Lower Secondary (Class 6-8),52006,local,Female,12762
Lower Secondary (Class 6-8),52006,local,Male,11948
Non Formal Education,52006,local,Female,6408
Non Formal Education,52006,local,Male,3335
Others,52006,local,Female,38
Others,52006,local,Male,39
Post Graduate Equivalent and Above,52006,local,Female,48
Post Graduate Equivalent and Above,52006,local,Male,255
Primary Education (1-5 Class),52006,local,Female,35083
Primary Education (1-5 Class),52006,local,Male,35121
Secondary Level (Class 9-10),52006,local,Female,4276
Secondary Level (Class 9-10),52006,local,Male,4998
SLC and Equivalent,52006,local,Female,3646
SLC and Equivalent,52006,local,Male,4207
Beginners,60,district,Female,10380
Beginners,60,district,Male,12664
Graduate and Equivalent,60,district,Female,5912
Graduate and Equivalent,60,district,Male,10429
Intermediate and Equivalent,60,district,Female,17065
Intermediate and Equivalent,60,district,Male,21651
Level not Stated,60,district,Female,1370
Level not Stated,60,district,Male,1442
Lower Secondary (Class 6-8),60,district,Female,52450
Lower Secondary (Class 6-8),60,district,Male,68158
Non Formal Education,60,district,Female,8763
Non Formal Education,60,district,Male,6016
Others,60,district,Female,333
Others,60,district,Male,239
Post Graduate Equivalent and Above,60,district,Female,1153
Post Graduate Equivalent and Above,60,district,Male,3610
Primary Education (1-5 Class),60,district,Female,101190
Primary Education (1-5 Class),60,district,Male,117718
Secondary Level (Class 9-10),60,district,Female,31670
Secondary Level (Class 9-10),60,district,Male,40964
SLC and Equivalent,60,district,Female,22956
SLC and Equivalent,60,district,Male,27440
Beginners,49010,local,Female,10380
Beginners,49010,local,Male,12664
Graduate and Equivalent,49010,local,Female,5912
Graduate and Equivalent,49010,local,Male,10429
Intermediate and Equivalent,49010,local,Female,17065
Intermediate and Equivalent,49010,local,Male,21651
Level not Stated,49010,local,Female,1370
Level not Stated,49010,local,Male,1442
Lower Secondary (Class 6-8),49010,local,Female,52450
Lower Secondary (Class 6-8),49010,local,Male,68158
Non Formal Education,49010,local,Female,8763
Non Formal Education,49010,local,Male,6016
Others,49010,local,Female,333
Others,49010,local,Male,239
Post Graduate Equivalent and Above,49010,local,Female,1153
Post Graduate Equivalent and Above,49010,local,Male,3610
Primary Education (1-5 Class),49010,local,Female,101190
Primary Education (1-5 Class),49010,local,Male,117718
Secondary Level (Class 9-10),49010,local,Female,31670
Secondary Level (Class 9-10),49010,local,Male,40964
SLC and Equivalent,49010,local,Female,22956
SLC and Equivalent,49010,local,Male,27440
Beginners,49004,local,Female,10380
Beginners,49004,local,Male,12664
Graduate and Equivalent,49004,local,Female,5912
Graduate and Equivalent,49004,local,Male,10429
Intermediate and Equivalent,49004,local,Female,17065
Intermediate and Equivalent,49004,local,Male,21651
Level not Stated,49004,local,Female,1370
Level not Stated,49004,local,Male,1442
Lower Secondary (Class 6-8),49004,local,Female,52450
Lower Secondary (Class 6-8),49004,local,Male,68158
