Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Other Tenure Land,10,51002,local,2016
Owned Land Holdings,31379,51002,local,2016
Rented Land Holdings,208,51002,local,2016
Other Tenure Land,10,51003,local,2016
Owned Land Holdings,31379,51003,local,2016
Rented Land Holdings,208,51003,local,2016
Other Tenure Land,10,51005,local,2016
Owned Land Holdings,31379,51005,local,2016
Rented Land Holdings,208,51005,local,2016
Other Tenure Land,10,51001,local,2016
Owned Land Holdings,31379,51001,local,2016
Rented Land Holdings,208,51001,local,2016
Other Tenure Land,10,51006,local,2016
Owned Land Holdings,31379,51006,local,2016
Rented Land Holdings,208,51006,local,2016
Other Tenure Land,10,51004,local,2016
Owned Land Holdings,31379,51004,local,2016
Rented Land Holdings,208,51004,local,2016
Other Tenure Land,200,09,district,2016
Owned Land Holdings,31775,09,district,2016
Rented Land Holdings,15258,09,district,2016
Other Tenure Land,200,58007,local,2016
Owned Land Holdings,31775,58007,local,2016
Rented Land Holdings,15258,58007,local,2016
Other Tenure Land,200,58001,local,2016
Owned Land Holdings,31775,58001,local,2016
Rented Land Holdings,15258,58001,local,2016
Other Tenure Land,200,58008,local,2016
Owned Land Holdings,31775,58008,local,2016
Rented Land Holdings,15258,58008,local,2016
Other Tenure Land,200,58004,local,2016
Owned Land Holdings,31775,58004,local,2016
Rented Land Holdings,15258,58004,local,2016
Other Tenure Land,200,58002,local,2016
Owned Land Holdings,31775,58002,local,2016
Rented Land Holdings,15258,58002,local,2016
Other Tenure Land,200,58005,local,2016
Owned Land Holdings,31775,58005,local,2016
Rented Land Holdings,15258,58005,local,2016
Other Tenure Land,200,58006,local,2016
Owned Land Holdings,31775,58006,local,2016
Rented Land Holdings,15258,58006,local,2016
Other Tenure Land,200,58003,local,2016
Owned Land Holdings,31775,58003,local,2016
Rented Land Holdings,15258,58003,local,2016
Other Tenure Land,480,33,district,2016
Owned Land Holdings,57567,33,district,2016
Rented Land Holdings,6531,33,district,2016
Other Tenure Land,480,50009,local,2016
Owned Land Holdings,57567,50009,local,2016
Rented Land Holdings,6531,50009,local,2016
Other Tenure Land,480,50001,local,2016
Owned Land Holdings,57567,50001,local,2016
Rented Land Holdings,6531,50001,local,2016
Other Tenure Land,480,50002,local,2016
Owned Land Holdings,57567,50002,local,2016
Rented Land Holdings,6531,50002,local,2016
Other Tenure Land,480,50007,local,2016
Owned Land Holdings,57567,50007,local,2016
Rented Land Holdings,6531,50007,local,2016
Other Tenure Land,480,50010,local,2016
Owned Land Holdings,57567,50010,local,2016
Rented Land Holdings,6531,50010,local,2016
Other Tenure Land,480,50005,local,2016
Owned Land Holdings,57567,50005,local,2016
Rented Land Holdings,6531,50005,local,2016
Other Tenure Land,480,50003,local,2016
Owned Land Holdings,57567,50003,local,2016
Rented Land Holdings,6531,50003,local,2016
Other Tenure Land,480,50004,local,2016
Owned Land Holdings,57567,50004,local,2016
Rented Land Holdings,6531,50004,local,2016
Other Tenure Land,480,50008,local,2016
Owned Land Holdings,57567,50008,local,2016
Rented Land Holdings,6531,50008,local,2016
Other Tenure Land,480,50006,local,2016
Owned Land Holdings,57567,50006,local,2016
Rented Land Holdings,6531,50006,local,2016
Other Tenure Land,690,4,province,2016
Owned Land Holdings,188702,4,province,2016
Rented Land Holdings,20406,4,province,2016
Other Tenure Land,69,23,district,2016
Owned Land Holdings,29315,23,district,2016
Rented Land Holdings,2110,23,district,2016
Other Tenure Land,69,36011,local,2016
Owned Land Holdings,29315,36011,local,2016
Rented Land Holdings,2110,36011,local,2016
Other Tenure Land,69,36008,local,2016
Owned Land Holdings,29315,36008,local,2016
Rented Land Holdings,2110,36008,local,2016
Other Tenure Land,69,36001,local,2016
Owned Land Holdings,29315,36001,local,2016
Rented Land Holdings,2110,36001,local,2016
Other Tenure Land,69,36003,local,2016
Owned Land Holdings,29315,36003,local,2016
Rented Land Holdings,2110,36003,local,2016
Other Tenure Land,69,36006,local,2016
Owned Land Holdings,29315,36006,local,2016
Rented Land Holdings,2110,36006,local,2016
Other Tenure Land,69,36010,local,2016
Owned Land Holdings,29315,36010,local,2016
Rented Land Holdings,2110,36010,local,2016
Other Tenure Land,69,36002,local,2016
Owned Land Holdings,29315,36002,local,2016
Rented Land Holdings,2110,36002,local,2016
Other Tenure Land,69,36007,local,2016
Owned Land Holdings,29315,36007,local,2016
Rented Land Holdings,2110,36007,local,2016
Other Tenure Land,69,36004,local,2016
Owned Land Holdings,29315,36004,local,2016
Rented Land Holdings,2110,36004,local,2016
Other Tenure Land,69,36005,local,2016
Owned Land Holdings,29315,36005,local,2016
Rented Land Holdings,2110,36005,local,2016
Other Tenure Land,69,36009,local,2016
Owned Land Holdings,29315,36009,local,2016
Rented Land Holdings,2110,36009,local,2016
Other Tenure Land,31,03,district,2016
Owned Land Holdings,29816,03,district,2016
Rented Land Holdings,839,03,district,2016
Other Tenure Land,31,45008,local,2016
Owned Land Holdings,29816,45008,local,2016
Rented Land Holdings,839,45008,local,2016
Other Tenure Land,31,45007,local,2016
Owned Land Holdings,29816,45007,local,2016
Rented Land Holdings,839,45007,local,2016
Other Tenure Land,31,45005,local,2016
Owned Land Holdings,29816,45005,local,2016
Rented Land Holdings,839,45005,local,2016
Other Tenure Land,31,45001,local,2016
Owned Land Holdings,29816,45001,local,2016
Rented Land Holdings,839,45001,local,2016
Other Tenure Land,31,45002,local,2016
Owned Land Holdings,29816,45002,local,2016
Rented Land Holdings,839,45002,local,2016
Other Tenure Land,31,45003,local,2016
Owned Land Holdings,29816,45003,local,2016
Rented Land Holdings,839,45003,local,2016
Other Tenure Land,31,45009,local,2016
Owned Land Holdings,29816,45009,local,2016
Rented Land Holdings,839,45009,local,2016
Other Tenure Land,31,45004,local,2016
Owned Land Holdings,29816,45004,local,2016
Rented Land Holdings,839,45004,local,2016
Other Tenure Land,31,45010,local,2016
Owned Land Holdings,29816,45010,local,2016
Rented Land Holdings,839,45010,local,2016
Other Tenure Land,31,45006,local,2016
Owned Land Holdings,29816,45006,local,2016
Rented Land Holdings,839,45006,local,2016
Other Tenure Land,92,71,district,2016
Owned Land Holdings,26977,71,district,2016
Rented Land Holdings,2381,71,district,2016
Other Tenure Land,92,39008,local,2016
Owned Land Holdings,26977,39008,local,2016
Rented Land Holdings,2381,39008,local,2016
Other Tenure Land,92,39005,local,2016
Owned Land Holdings,26977,39005,local,2016
Rented Land Holdings,2381,39005,local,2016
Other Tenure Land,92,39009,local,2016
Owned Land Holdings,26977,39009,local,2016
Rented Land Holdings,2381,39009,local,2016
Other Tenure Land,92,39001,local,2016
Owned Land Holdings,26977,39001,local,2016
Rented Land Holdings,2381,39001,local,2016
Other Tenure Land,92,39004,local,2016
Owned Land Holdings,26977,39004,local,2016
Rented Land Holdings,2381,39004,local,2016
Other Tenure Land,92,39003,local,2016
Owned Land Holdings,26977,39003,local,2016
Rented Land Holdings,2381,39003,local,2016
Other Tenure Land,92,39011,local,2016
Owned Land Holdings,26977,39011,local,2016
Rented Land Holdings,2381,39011,local,2016
Other Tenure Land,92,39006,local,2016
Owned Land Holdings,26977,39006,local,2016
Rented Land Holdings,2381,39006,local,2016
Other Tenure Land,92,39002,local,2016
Owned Land Holdings,26977,39002,local,2016
Rented Land Holdings,2381,39002,local,2016
Other Tenure Land,92,39010,local,2016
Owned Land Holdings,26977,39010,local,2016
Rented Land Holdings,2381,39010,local,2016
Other Tenure Land,92,39007,local,2016
Owned Land Holdings,26977,39007,local,2016
Rented Land Holdings,2381,39007,local,2016
Other Tenure Land,312,47,district,2016
Owned Land Holdings,16520,47,district,2016
Rented Land Holdings,4802,47,district,2016
Other Tenure Land,312,76004,local,2016
Owned Land Holdings,16520,76004,local,2016
Rented Land Holdings,4802,76004,local,2016
Other Tenure Land,312,76002,local,2016
Owned Land Holdings,16520,76002,local,2016
Rented Land Holdings,4802,76002,local,2016
Other Tenure Land,312,76007,local,2016
Owned Land Holdings,16520,76007,local,2016
Rented Land Holdings,4802,76007,local,2016
Other Tenure Land,312,76008,local,2016
Owned Land Holdings,16520,76008,local,2016
Rented Land Holdings,4802,76008,local,2016
Other Tenure Land,312,76001,local,2016
Owned Land Holdings,16520,76001,local,2016
Rented Land Holdings,4802,76001,local,2016
Other Tenure Land,312,76005,local,2016
Owned Land Holdings,16520,76005,local,2016
Rented Land Holdings,4802,76005,local,2016
Other Tenure Land,312,76006,local,2016
Owned Land Holdings,16520,76006,local,2016
Rented Land Holdings,4802,76006,local,2016
Other Tenure Land,312,76003,local,2016
Owned Land Holdings,16520,76003,local,2016
Rented Land Holdings,4802,76003,local,2016
Other Tenure Land,16,46,district,2016
Owned Land Holdings,11433,46,district,2016
Rented Land Holdings,909,46,district,2016
Other Tenure Land,16,43003,local,2016
Owned Land Holdings,11433,43003,local,2016
Rented Land Holdings,909,43003,local,2016
Other Tenure Land,16,43002,local,2016
Owned Land Holdings,11433,43002,local,2016
Rented Land Holdings,909,43002,local,2016
Other Tenure Land,16,43004,local,2016
Owned Land Holdings,11433,43004,local,2016
Rented Land Holdings,909,43004,local,2016
Other Tenure Land,16,43001,local,2016
Owned Land Holdings,11433,43001,local,2016
Rented Land Holdings,909,43001,local,2016
Other Tenure Land,16,43005,local,2016
Owned Land Holdings,11433,43005,local,2016
Rented Land Holdings,909,43005,local,2016
Other Tenure Land,16,43006,local,2016
Owned Land Holdings,11433,43006,local,2016
Rented Land Holdings,909,43006,local,2016
Other Tenure Land,18,39,district,2016
Owned Land Holdings,14947,39,district,2016
Rented Land Holdings,2300,39,district,2016
Other Tenure Land,18,37005,local,2016
Owned Land Holdings,14947,37005,local,2016
Rented Land Holdings,2300,37005,local,2016
Other Tenure Land,18,37007,local,2016
Owned Land Holdings,14947,37007,local,2016
Rented Land Holdings,2300,37007,local,2016
Other Tenure Land,18,37001,local,2016
Owned Land Holdings,14947,37001,local,2016
Rented Land Holdings,2300,37001,local,2016
Other Tenure Land,18,37006,local,2016
Owned Land Holdings,14947,37006,local,2016
Rented Land Holdings,2300,37006,local,2016
Other Tenure Land,18,37008,local,2016
Owned Land Holdings,14947,37008,local,2016
Rented Land Holdings,2300,37008,local,2016
Other Tenure Land,18,37004,local,2016
Owned Land Holdings,14947,37004,local,2016
Rented Land Holdings,2300,37004,local,2016
Other Tenure Land,18,37003,local,2016
Owned Land Holdings,14947,37003,local,2016
Rented Land Holdings,2300,37003,local,2016
Other Tenure Land,18,37002,local,2016
Owned Land Holdings,14947,37002,local,2016
Rented Land Holdings,2300,37002,local,2016
Other Tenure Land,114,34,district,2016
Owned Land Holdings,19306,34,district,2016
Rented Land Holdings,4019,34,district,2016
Other Tenure Land,114,40005,local,2016
Owned Land Holdings,19306,40005,local,2016
Rented Land Holdings,4019,40005,local,2016
Other Tenure Land,114,40001,local,2016
Owned Land Holdings,19306,40001,local,2016
Rented Land Holdings,4019,40001,local,2016
Other Tenure Land,114,40003,local,2016
Owned Land Holdings,19306,40003,local,2016
Rented Land Holdings,4019,40003,local,2016
Other Tenure Land,114,40002,local,2016
Owned Land Holdings,19306,40002,local,2016
Rented Land Holdings,4019,40002,local,2016
Other Tenure Land,114,40004,local,2016
Owned Land Holdings,19306,40004,local,2016
Rented Land Holdings,4019,40004,local,2016
Other Tenure Land,1,42,district,2016
Owned Land Holdings,420,42,district,2016
Rented Land Holdings,53,42,district,2016
Other Tenure Land,1,41003,local,2016
Owned Land Holdings,420,41003,local,2016
Rented Land Holdings,53,41003,local,2016
Other Tenure Land,1,41001,local,2016
Owned Land Holdings,420,41001,local,2016
Rented Land Holdings,53,41001,local,2016
Other Tenure Land,1,41004,local,2016
Owned Land Holdings,420,41004,local,2016
Rented Land Holdings,53,41004,local,2016
Other Tenure Land,1,41002,local,2016
Owned Land Holdings,420,41002,local,2016
Rented Land Holdings,53,41002,local,2016
Other Tenure Land,24,72,district,2016
Owned Land Holdings,26975,72,district,2016
Rented Land Holdings,2023,72,district,2016
Other Tenure Land,24,38006,local,2016
Owned Land Holdings,26975,38006,local,2016
Rented Land Holdings,2023,38006,local,2016
Other Tenure Land,24,38009,local,2016
Owned Land Holdings,26975,38009,local,2016
Rented Land Holdings,2023,38009,local,2016
Other Tenure Land,24,38001,local,2016
Owned Land Holdings,26975,38001,local,2016
Rented Land Holdings,2023,38001,local,2016
Other Tenure Land,24,38004,local,2016
Owned Land Holdings,26975,38004,local,2016
Rented Land Holdings,2023,38004,local,2016
Other Tenure Land,24,38003,local,2016
Owned Land Holdings,26975,38003,local,2016
Rented Land Holdings,2023,38003,local,2016
Other Tenure Land,24,38002,local,2016
Owned Land Holdings,26975,38002,local,2016
Rented Land Holdings,2023,38002,local,2016
Other Tenure Land,24,38007,local,2016
Owned Land Holdings,26975,38007,local,2016
Rented Land Holdings,2023,38007,local,2016
Other Tenure Land,24,38010,local,2016
Owned Land Holdings,26975,38010,local,2016
Rented Land Holdings,2023,38010,local,2016
Other Tenure Land,24,38005,local,2016
Owned Land Holdings,26975,38005,local,2016
Rented Land Holdings,2023,38005,local,2016
Other Tenure Land,24,38008,local,2016
Owned Land Holdings,26975,38008,local,2016
Rented Land Holdings,2023,38008,local,2016
Other Tenure Land,11,45,district,2016
Owned Land Holdings,1202,45,district,2016
Rented Land Holdings,161,45,district,2016
Other Tenure Land,11,42001,local,2016
Owned Land Holdings,1202,42001,local,2016
Rented Land Holdings,161,42001,local,2016
Other Tenure Land,11,42004,local,2016
Owned Land Holdings,1202,42004,local,2016
Rented Land Holdings,161,42004,local,2016
Other Tenure Land,11,42005,local,2016
Owned Land Holdings,1202,42005,local,2016
Rented Land Holdings,161,42005,local,2016
Other Tenure Land,11,42002,local,2016
Owned Land Holdings,1202,42002,local,2016
Rented Land Holdings,161,42002,local,2016
Other Tenure Land,11,42003,local,2016
Owned Land Holdings,1202,42003,local,2016
Rented Land Holdings,161,42003,local,2016
Other Tenure Land,2,52,district,2016
Owned Land Holdings,11790,52,district,2016
Rented Land Holdings,808,52,district,2016
Other Tenure Land,2,44004,local,2016
Owned Land Holdings,11790,44004,local,2016
Rented Land Holdings,808,44004,local,2016
Other Tenure Land,2,44006,local,2016
Owned Land Holdings,11790,44006,local,2016
Rented Land Holdings,808,44006,local,2016
Other Tenure Land,2,44002,local,2016
Owned Land Holdings,11790,44002,local,2016
Rented Land Holdings,808,44002,local,2016
Other Tenure Land,2,44007,local,2016
Owned Land Holdings,11790,44007,local,2016
Rented Land Holdings,808,44007,local,2016
Other Tenure Land,2,44003,local,2016
Owned Land Holdings,11790,44003,local,2016
Rented Land Holdings,808,44003,local,2016
Other Tenure Land,2,44001,local,2016
Owned Land Holdings,11790,44001,local,2016
Rented Land Holdings,808,44001,local,2016
Other Tenure Land,2,44005,local,2016
Owned Land Holdings,11790,44005,local,2016
Rented Land Holdings,808,44005,local,2016
Other Tenure Land,977,2,province,2016
Owned Land Holdings,494211,2,province,2016
Rented Land Holdings,46080,2,province,2016
Other Tenure Land,170,64,district,2016
Owned Land Holdings,73581,64,district,2016
Rented Land Holdings,6927,64,district,2016
Other Tenure Land,170,19020,local,2016
Owned Land Holdings,73581,19020,local,2016
Rented Land Holdings,6927,19020,local,2016
Other Tenure Land,170,19005,local,2016
Owned Land Holdings,73581,19005,local,2016
Rented Land Holdings,6927,19005,local,2016
Other Tenure Land,170,19008,local,2016
Owned Land Holdings,73581,19008,local,2016
Rented Land Holdings,6927,19008,local,2016
Other Tenure Land,170,19016,local,2016
Owned Land Holdings,73581,19016,local,2016
Rented Land Holdings,6927,19016,local,2016
Other Tenure Land,170,19012,local,2016
Owned Land Holdings,73581,19012,local,2016
Rented Land Holdings,6927,19012,local,2016
Other Tenure Land,170,19009,local,2016
Owned Land Holdings,73581,19009,local,2016
Rented Land Holdings,6927,19009,local,2016
Other Tenure Land,170,19010,local,2016
Owned Land Holdings,73581,19010,local,2016
Rented Land Holdings,6927,19010,local,2016
Other Tenure Land,170,19013,local,2016
Owned Land Holdings,73581,19013,local,2016
Rented Land Holdings,6927,19013,local,2016
Other Tenure Land,170,19007,local,2016
Owned Land Holdings,73581,19007,local,2016
Rented Land Holdings,6927,19007,local,2016
Other Tenure Land,170,19017,local,2016
Owned Land Holdings,73581,19017,local,2016
Rented Land Holdings,6927,19017,local,2016
Other Tenure Land,170,19018,local,2016
Owned Land Holdings,73581,19018,local,2016
Rented Land Holdings,6927,19018,local,2016
Other Tenure Land,170,19011,local,2016
Owned Land Holdings,73581,19011,local,2016
Rented Land Holdings,6927,19011,local,2016
Other Tenure Land,170,19001,local,2016
Owned Land Holdings,73581,19001,local,2016
Rented Land Holdings,6927,19001,local,2016
Other Tenure Land,170,19014,local,2016
Owned Land Holdings,73581,19014,local,2016
Rented Land Holdings,6927,19014,local,2016
Other Tenure Land,170,19015,local,2016
Owned Land Holdings,73581,19015,local,2016
Rented Land Holdings,6927,19015,local,2016
Other Tenure Land,170,19003,local,2016
Owned Land Holdings,73581,19003,local,2016
Rented Land Holdings,6927,19003,local,2016
Other Tenure Land,170,19004,local,2016
Owned Land Holdings,73581,19004,local,2016
Rented Land Holdings,6927,19004,local,2016
Other Tenure Land,170,19019,local,2016
Owned Land Holdings,73581,19019,local,2016
Rented Land Holdings,6927,19019,local,2016
Other Tenure Land,170,19006,local,2016
Owned Land Holdings,73581,19006,local,2016
Rented Land Holdings,6927,19006,local,2016
Other Tenure Land,170,19002,local,2016
Owned Land Holdings,73581,19002,local,2016
Rented Land Holdings,6927,19002,local,2016
Other Tenure Land,102,67,district,2016
Owned Land Holdings,72585,67,district,2016
Rented Land Holdings,6110,67,district,2016
Other Tenure Land,102,16011,local,2016
Owned Land Holdings,72585,16011,local,2016
Rented Land Holdings,6110,16011,local,2016
Other Tenure Land,102,16007,local,2016
Owned Land Holdings,72585,16007,local,2016
Rented Land Holdings,6110,16007,local,2016
Other Tenure Land,102,16015,local,2016
Owned Land Holdings,72585,16015,local,2016
Rented Land Holdings,6110,16015,local,2016
Other Tenure Land,102,16010,local,2016
Owned Land Holdings,72585,16010,local,2016
Rented Land Holdings,6110,16010,local,2016
Other Tenure Land,102,16008,local,2016
Owned Land Holdings,72585,16008,local,2016
Rented Land Holdings,6110,16008,local,2016
Other Tenure Land,102,16009,local,2016
Owned Land Holdings,72585,16009,local,2016
Rented Land Holdings,6110,16009,local,2016
Other Tenure Land,102,16014,local,2016
Owned Land Holdings,72585,16014,local,2016
Rented Land Holdings,6110,16014,local,2016
Other Tenure Land,102,16003,local,2016
Owned Land Holdings,72585,16003,local,2016
Rented Land Holdings,6110,16003,local,2016
Other Tenure Land,102,16004,local,2016
Owned Land Holdings,72585,16004,local,2016
Rented Land Holdings,6110,16004,local,2016
Other Tenure Land,102,16005,local,2016
Owned Land Holdings,72585,16005,local,2016
Rented Land Holdings,6110,16005,local,2016
Other Tenure Land,102,16001,local,2016
Owned Land Holdings,72585,16001,local,2016
Rented Land Holdings,6110,16001,local,2016
Other Tenure Land,102,16006,local,2016
Owned Land Holdings,72585,16006,local,2016
Rented Land Holdings,6110,16006,local,2016
Other Tenure Land,102,16012,local,2016
Owned Land Holdings,72585,16012,local,2016
Rented Land Holdings,6110,16012,local,2016
Other Tenure Land,102,16013,local,2016
Owned Land Holdings,72585,16013,local,2016
Rented Land Holdings,6110,16013,local,2016
Other Tenure Land,102,16016,local,2016
Owned Land Holdings,72585,16016,local,2016
Rented Land Holdings,6110,16016,local,2016
Other Tenure Land,102,16002,local,2016
Owned Land Holdings,72585,16002,local,2016
Rented Land Holdings,6110,16002,local,2016
Other Tenure Land,102,16017,local,2016
Owned Land Holdings,72585,16017,local,2016
Rented Land Holdings,6110,16017,local,2016
Other Tenure Land,29,40,district,2016
Owned Land Holdings,62239,40,district,2016
Rented Land Holdings,2710,40,district,2016
Other Tenure Land,29,18012,local,2016
Owned Land Holdings,62239,18012,local,2016
Rented Land Holdings,2710,18012,local,2016
Other Tenure Land,29,18002,local,2016
Owned Land Holdings,62239,18002,local,2016
Rented Land Holdings,2710,18002,local,2016
Other Tenure Land,29,18014,local,2016
Owned Land Holdings,62239,18014,local,2016
Rented Land Holdings,2710,18014,local,2016
Other Tenure Land,29,18013,local,2016
Owned Land Holdings,62239,18013,local,2016
Rented Land Holdings,2710,18013,local,2016
Other Tenure Land,29,18003,local,2016
Owned Land Holdings,62239,18003,local,2016
Rented Land Holdings,2710,18003,local,2016
Other Tenure Land,29,18007,local,2016
Owned Land Holdings,62239,18007,local,2016
Rented Land Holdings,2710,18007,local,2016
Other Tenure Land,29,18005,local,2016
Owned Land Holdings,62239,18005,local,2016
Rented Land Holdings,2710,18005,local,2016
Other Tenure Land,29,18008,local,2016
Owned Land Holdings,62239,18008,local,2016
Rented Land Holdings,2710,18008,local,2016
Other Tenure Land,29,18009,local,2016
Owned Land Holdings,62239,18009,local,2016
Rented Land Holdings,2710,18009,local,2016
Other Tenure Land,29,18004,local,2016
Owned Land Holdings,62239,18004,local,2016
Rented Land Holdings,2710,18004,local,2016
Other Tenure Land,29,18006,local,2016
Owned Land Holdings,62239,18006,local,2016
Rented Land Holdings,2710,18006,local,2016
Other Tenure Land,29,18011,local,2016
Owned Land Holdings,62239,18011,local,2016
Rented Land Holdings,2710,18011,local,2016
Other Tenure Land,29,18015,local,2016
Owned Land Holdings,62239,18015,local,2016
Rented Land Holdings,2710,18015,local,2016
Other Tenure Land,29,18010,local,2016
Owned Land Holdings,62239,18010,local,2016
Rented Land Holdings,2710,18010,local,2016
Other Tenure Land,29,18001,local,2016
Owned Land Holdings,62239,18001,local,2016
Rented Land Holdings,2710,18001,local,2016
Other Tenure Land,26,53,district,2016
Owned Land Holdings,40923,53,district,2016
Rented Land Holdings,7949,53,district,2016
Other Tenure Land,26,34008,local,2016
Owned Land Holdings,40923,34008,local,2016
Rented Land Holdings,7949,34008,local,2016
Other Tenure Land,26,34006,local,2016
Owned Land Holdings,40923,34006,local,2016
Rented Land Holdings,7949,34006,local,2016
Other Tenure Land,26,34005,local,2016
Owned Land Holdings,40923,34005,local,2016
Rented Land Holdings,7949,34005,local,2016
Other Tenure Land,26,34007,local,2016
Owned Land Holdings,40923,34007,local,2016
Rented Land Holdings,7949,34007,local,2016
Other Tenure Land,26,34003,local,2016
Owned Land Holdings,40923,34003,local,2016
Rented Land Holdings,7949,34003,local,2016
Other Tenure Land,26,34011,local,2016
Owned Land Holdings,40923,34011,local,2016
Rented Land Holdings,7949,34011,local,2016
Other Tenure Land,26,34012,local,2016
Owned Land Holdings,40923,34012,local,2016
Rented Land Holdings,7949,34012,local,2016
Other Tenure Land,26,34002,local,2016
Owned Land Holdings,40923,34002,local,2016
Rented Land Holdings,7949,34002,local,2016
Other Tenure Land,26,34014,local,2016
Owned Land Holdings,40923,34014,local,2016
Rented Land Holdings,7949,34014,local,2016
Other Tenure Land,26,34004,local,2016
Owned Land Holdings,40923,34004,local,2016
Rented Land Holdings,7949,34004,local,2016
Other Tenure Land,26,34001,local,2016
Owned Land Holdings,40923,34001,local,2016
Rented Land Holdings,7949,34001,local,2016
Other Tenure Land,26,34010,local,2016
Owned Land Holdings,40923,34010,local,2016
Rented Land Holdings,7949,34010,local,2016
Other Tenure Land,26,34013,local,2016
Owned Land Holdings,40923,34013,local,2016
Rented Land Holdings,7949,34013,local,2016
Other Tenure Land,26,34009,local,2016
Owned Land Holdings,40923,34009,local,2016
Rented Land Holdings,7949,34009,local,2016
Other Tenure Land,161,63,district,2016
Owned Land Holdings,69003,63,district,2016
Rented Land Holdings,4744,63,district,2016
Other Tenure Land,161,15002,local,2016
Owned Land Holdings,69003,15002,local,2016
Rented Land Holdings,4744,15002,local,2016
Other Tenure Land,161,15005,local,2016
Owned Land Holdings,69003,15005,local,2016
Rented Land Holdings,4744,15005,local,2016
Other Tenure Land,161,15007,local,2016
Owned Land Holdings,69003,15007,local,2016
Rented Land Holdings,4744,15007,local,2016
Other Tenure Land,161,15010,local,2016
Owned Land Holdings,69003,15010,local,2016
Rented Land Holdings,4744,15010,local,2016
Other Tenure Land,161,15004,local,2016
Owned Land Holdings,69003,15004,local,2016
Rented Land Holdings,4744,15004,local,2016
Other Tenure Land,161,15008,local,2016
Owned Land Holdings,69003,15008,local,2016
Rented Land Holdings,4744,15008,local,2016
Other Tenure Land,161,15003,local,2016
Owned Land Holdings,69003,15003,local,2016
Rented Land Holdings,4744,15003,local,2016
Other Tenure Land,161,15018,local,2016
Owned Land Holdings,69003,15018,local,2016
Rented Land Holdings,4744,15018,local,2016
Other Tenure Land,161,15012,local,2016
Owned Land Holdings,69003,15012,local,2016
Rented Land Holdings,4744,15012,local,2016
Other Tenure Land,161,15001,local,2016
Owned Land Holdings,69003,15001,local,2016
Rented Land Holdings,4744,15001,local,2016
Other Tenure Land,161,15016,local,2016
Owned Land Holdings,69003,15016,local,2016
Rented Land Holdings,4744,15016,local,2016
Other Tenure Land,161,15013,local,2016
Owned Land Holdings,69003,15013,local,2016
Rented Land Holdings,4744,15013,local,2016
Other Tenure Land,161,15017,local,2016
Owned Land Holdings,69003,15017,local,2016
Rented Land Holdings,4744,15017,local,2016
Other Tenure Land,161,15015,local,2016
Owned Land Holdings,69003,15015,local,2016
Rented Land Holdings,4744,15015,local,2016
Other Tenure Land,161,15014,local,2016
Owned Land Holdings,69003,15014,local,2016
Rented Land Holdings,4744,15014,local,2016
Other Tenure Land,161,15011,local,2016
Owned Land Holdings,69003,15011,local,2016
Rented Land Holdings,4744,15011,local,2016
Other Tenure Land,161,15009,local,2016
Owned Land Holdings,69003,15009,local,2016
Rented Land Holdings,4744,15009,local,2016
Other Tenure Land,161,15006,local,2016
Owned Land Holdings,69003,15006,local,2016
Rented Land Holdings,4744,15006,local,2016
Other Tenure Land,73,57,district,2016
Owned Land Holdings,59500,57,district,2016
Rented Land Holdings,5262,57,district,2016
Other Tenure Land,73,32002,local,2016
Owned Land Holdings,59500,32002,local,2016
Rented Land Holdings,5262,32002,local,2016
Other Tenure Land,73,32001,local,2016
Owned Land Holdings,59500,32001,local,2016
Rented Land Holdings,5262,32001,local,2016
Other Tenure Land,73,32005,local,2016
Owned Land Holdings,59500,32005,local,2016
Rented Land Holdings,5262,32005,local,2016
Other Tenure Land,73,32003,local,2016
Owned Land Holdings,59500,32003,local,2016
Rented Land Holdings,5262,32003,local,2016
Other Tenure Land,73,32010,local,2016
Owned Land Holdings,59500,32010,local,2016
Rented Land Holdings,5262,32010,local,2016
Other Tenure Land,73,32015,local,2016
Owned Land Holdings,59500,32015,local,2016
Rented Land Holdings,5262,32015,local,2016
Other Tenure Land,73,32011,local,2016
Owned Land Holdings,59500,32011,local,2016
Rented Land Holdings,5262,32011,local,2016
Other Tenure Land,73,32006,local,2016
Owned Land Holdings,59500,32006,local,2016
Rented Land Holdings,5262,32006,local,2016
Other Tenure Land,73,32016,local,2016
Owned Land Holdings,59500,32016,local,2016
Rented Land Holdings,5262,32016,local,2016
Other Tenure Land,73,32017,local,2016
Owned Land Holdings,59500,32017,local,2016
Rented Land Holdings,5262,32017,local,2016
Other Tenure Land,73,32018,local,2016
Owned Land Holdings,59500,32018,local,2016
Rented Land Holdings,5262,32018,local,2016
Other Tenure Land,73,32007,local,2016
Owned Land Holdings,59500,32007,local,2016
Rented Land Holdings,5262,32007,local,2016
Other Tenure Land,73,32014,local,2016
Owned Land Holdings,59500,32014,local,2016
Rented Land Holdings,5262,32014,local,2016
Other Tenure Land,73,32004,local,2016
Owned Land Holdings,59500,32004,local,2016
Rented Land Holdings,5262,32004,local,2016
Other Tenure Land,73,32009,local,2016
Owned Land Holdings,59500,32009,local,2016
Rented Land Holdings,5262,32009,local,2016
Other Tenure Land,73,32012,local,2016
Owned Land Holdings,59500,32012,local,2016
Rented Land Holdings,5262,32012,local,2016
Other Tenure Land,73,32013,local,2016
Owned Land Holdings,59500,32013,local,2016
