Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Owned Land Holdings,8418,25004,local,2016
Rented Land Holdings,569,25004,local,2016
Other Tenure Land,37,10,district,2016
Owned Land Holdings,4567,10,district,2016
Rented Land Holdings,1078,10,district,2016
Other Tenure Land,37,26004,local,2016
Owned Land Holdings,4567,26004,local,2016
Rented Land Holdings,1078,26004,local,2016
Other Tenure Land,37,26002,local,2016
Owned Land Holdings,4567,26002,local,2016
Rented Land Holdings,1078,26002,local,2016
Other Tenure Land,37,26003,local,2016
Owned Land Holdings,4567,26003,local,2016
Rented Land Holdings,1078,26003,local,2016
Other Tenure Land,37,26001,local,2016
Owned Land Holdings,4567,26001,local,2016
Rented Land Holdings,1078,26001,local,2016
Other Tenure Land,31,20,district,2016
Owned Land Holdings,24600,20,district,2016
Rented Land Holdings,2214,20,district,2016
Other Tenure Land,31,22003,local,2016
Owned Land Holdings,24600,22003,local,2016
Rented Land Holdings,2214,22003,local,2016
Other Tenure Land,31,22008,local,2016
Owned Land Holdings,24600,22008,local,2016
Rented Land Holdings,2214,22008,local,2016
Other Tenure Land,31,22009,local,2016
Owned Land Holdings,24600,22009,local,2016
Rented Land Holdings,2214,22009,local,2016
Other Tenure Land,31,22002,local,2016
Owned Land Holdings,24600,22002,local,2016
Rented Land Holdings,2214,22002,local,2016
Other Tenure Land,31,22004,local,2016
Owned Land Holdings,24600,22004,local,2016
Rented Land Holdings,2214,22004,local,2016
Other Tenure Land,31,22006,local,2016
Owned Land Holdings,24600,22006,local,2016
Rented Land Holdings,2214,22006,local,2016
Other Tenure Land,31,22005,local,2016
Owned Land Holdings,24600,22005,local,2016
Rented Land Holdings,2214,22005,local,2016
Other Tenure Land,31,22007,local,2016
Owned Land Holdings,24600,22007,local,2016
Rented Land Holdings,2214,22007,local,2016
Other Tenure Land,31,22001,local,2016
Owned Land Holdings,24600,22001,local,2016
Rented Land Holdings,2214,22001,local,2016
Other Tenure Land,164,41,district,2016
Owned Land Holdings,30230,41,district,2016
Rented Land Holdings,1409,41,district,2016
Other Tenure Land,164,31010,local,2016
Owned Land Holdings,30230,31010,local,2016
Rented Land Holdings,1409,31010,local,2016
Other Tenure Land,164,31006,local,2016
Owned Land Holdings,30230,31006,local,2016
Rented Land Holdings,1409,31006,local,2016
Other Tenure Land,164,31003,local,2016
Owned Land Holdings,30230,31003,local,2016
Rented Land Holdings,1409,31003,local,2016
Other Tenure Land,164,31001,local,2016
Owned Land Holdings,30230,31001,local,2016
Rented Land Holdings,1409,31001,local,2016
Other Tenure Land,164,31005,local,2016
Owned Land Holdings,30230,31005,local,2016
Rented Land Holdings,1409,31005,local,2016
Other Tenure Land,164,31002,local,2016
Owned Land Holdings,30230,31002,local,2016
Rented Land Holdings,1409,31002,local,2016
Other Tenure Land,164,31008,local,2016
Owned Land Holdings,30230,31008,local,2016
Rented Land Holdings,1409,31008,local,2016
Other Tenure Land,164,31009,local,2016
Owned Land Holdings,30230,31009,local,2016
Rented Land Holdings,1409,31009,local,2016
Other Tenure Land,164,31007,local,2016
Owned Land Holdings,30230,31007,local,2016
Rented Land Holdings,1409,31007,local,2016
Other Tenure Land,164,31004,local,2016
Owned Land Holdings,30230,31004,local,2016
Rented Land Holdings,1409,31004,local,2016
Other Tenure Land,530,36,district,2016
Owned Land Holdings,36791,36,district,2016
Rented Land Holdings,2386,36,district,2016
Other Tenure Land,530,24001,local,2016
Owned Land Holdings,36791,24001,local,2016
Rented Land Holdings,2386,24001,local,2016
Other Tenure Land,530,24011,local,2016
Owned Land Holdings,36791,24011,local,2016
Rented Land Holdings,2386,24011,local,2016
Other Tenure Land,530,24007,local,2016
Owned Land Holdings,36791,24007,local,2016
Rented Land Holdings,2386,24007,local,2016
Other Tenure Land,530,24010,local,2016
Owned Land Holdings,36791,24010,local,2016
Rented Land Holdings,2386,24010,local,2016
Other Tenure Land,530,24008,local,2016
Owned Land Holdings,36791,24008,local,2016
Rented Land Holdings,2386,24008,local,2016
Other Tenure Land,530,24002,local,2016
Owned Land Holdings,36791,24002,local,2016
Rented Land Holdings,2386,24002,local,2016
Other Tenure Land,530,24012,local,2016
Owned Land Holdings,36791,24012,local,2016
Rented Land Holdings,2386,24012,local,2016
Other Tenure Land,530,24005,local,2016
Owned Land Holdings,36791,24005,local,2016
Rented Land Holdings,2386,24005,local,2016
Other Tenure Land,530,24006,local,2016
Owned Land Holdings,36791,24006,local,2016
Rented Land Holdings,2386,24006,local,2016
Other Tenure Land,530,24009,local,2016
Owned Land Holdings,36791,24009,local,2016
Rented Land Holdings,2386,24009,local,2016
Other Tenure Land,530,24004,local,2016
Owned Land Holdings,36791,24004,local,2016
Rented Land Holdings,2386,24004,local,2016
Other Tenure Land,530,24013,local,2016
Owned Land Holdings,36791,24013,local,2016
Rented Land Holdings,2386,24013,local,2016
Other Tenure Land,530,24003,local,2016
Owned Land Holdings,36791,24003,local,2016
Rented Land Holdings,2386,24003,local,2016
Other Tenure Land,49,35,district,2016
Owned Land Holdings,8655,35,district,2016
Rented Land Holdings,892,35,district,2016
Other Tenure Land,49,27006,local,2016
Owned Land Holdings,8655,27006,local,2016
Rented Land Holdings,892,27006,local,2016
Other Tenure Land,49,27002,local,2016
Owned Land Holdings,8655,27002,local,2016
Rented Land Holdings,892,27002,local,2016
Other Tenure Land,49,27005,local,2016
Owned Land Holdings,8655,27005,local,2016
Rented Land Holdings,892,27005,local,2016
Other Tenure Land,49,27001,local,2016
Owned Land Holdings,8655,27001,local,2016
Rented Land Holdings,892,27001,local,2016
Other Tenure Land,49,27004,local,2016
Owned Land Holdings,8655,27004,local,2016
Rented Land Holdings,892,27004,local,2016
Other Tenure Land,49,27003,local,2016
Owned Land Holdings,8655,27003,local,2016
Rented Land Holdings,892,27003,local,2016
Other Tenure Land,49,27008,local,2016
Owned Land Holdings,8655,27008,local,2016
Rented Land Holdings,892,27008,local,2016
Other Tenure Land,49,27009,local,2016
Owned Land Holdings,8655,27009,local,2016
Rented Land Holdings,892,27009,local,2016
Other Tenure Land,49,27007,local,2016
Owned Land Holdings,8655,27007,local,2016
Rented Land Holdings,892,27007,local,2016
Other Tenure Land,49,27010,local,2016
Owned Land Holdings,8655,27010,local,2016
Rented Land Holdings,892,27010,local,2016
Other Tenure Land,49,27011,local,2016
Owned Land Holdings,8655,27011,local,2016
Rented Land Holdings,892,27011,local,2016
Other Tenure Land,38,55,district,2016
Owned Land Holdings,29704,55,district,2016
Rented Land Holdings,630,55,district,2016
Other Tenure Land,38,21008,local,2016
Owned Land Holdings,29704,21008,local,2016
Rented Land Holdings,630,21008,local,2016
Other Tenure Land,38,21005,local,2016
Owned Land Holdings,29704,21005,local,2016
Rented Land Holdings,630,21005,local,2016
Other Tenure Land,38,21001,local,2016
Owned Land Holdings,29704,21001,local,2016
Rented Land Holdings,630,21001,local,2016
Other Tenure Land,38,21002,local,2016
Owned Land Holdings,29704,21002,local,2016
Rented Land Holdings,630,21002,local,2016
Other Tenure Land,38,21007,local,2016
Owned Land Holdings,29704,21007,local,2016
Rented Land Holdings,630,21007,local,2016
Other Tenure Land,38,21004,local,2016
Owned Land Holdings,29704,21004,local,2016
Rented Land Holdings,630,21004,local,2016
Other Tenure Land,38,21003,local,2016
Owned Land Holdings,29704,21003,local,2016
Rented Land Holdings,630,21003,local,2016
Other Tenure Land,38,21006,local,2016
Owned Land Holdings,29704,21006,local,2016
Rented Land Holdings,630,21006,local,2016
Other Tenure Land,10,48,district,2016
Owned Land Holdings,32168,48,district,2016
Rented Land Holdings,819,48,district,2016
Other Tenure Land,10,28009,local,2016
Owned Land Holdings,32168,28009,local,2016
Rented Land Holdings,819,28009,local,2016
Other Tenure Land,10,28002,local,2016
Owned Land Holdings,32168,28002,local,2016
Rented Land Holdings,819,28002,local,2016
Other Tenure Land,10,28008,local,2016
Owned Land Holdings,32168,28008,local,2016
Rented Land Holdings,819,28008,local,2016
Other Tenure Land,10,28006,local,2016
Owned Land Holdings,32168,28006,local,2016
Rented Land Holdings,819,28006,local,2016
Other Tenure Land,10,28011,local,2016
Owned Land Holdings,32168,28011,local,2016
Rented Land Holdings,819,28011,local,2016
Other Tenure Land,10,28012,local,2016
Owned Land Holdings,32168,28012,local,2016
Rented Land Holdings,819,28012,local,2016
Other Tenure Land,10,28003,local,2016
Owned Land Holdings,32168,28003,local,2016
Rented Land Holdings,819,28003,local,2016
Other Tenure Land,10,28005,local,2016
Owned Land Holdings,32168,28005,local,2016
Rented Land Holdings,819,28005,local,2016
Other Tenure Land,10,28010,local,2016
Owned Land Holdings,32168,28010,local,2016
Rented Land Holdings,819,28010,local,2016
Other Tenure Land,10,28007,local,2016
Owned Land Holdings,32168,28007,local,2016
Rented Land Holdings,819,28007,local,2016
Other Tenure Land,10,28001,local,2016
Owned Land Holdings,32168,28001,local,2016
Rented Land Holdings,819,28001,local,2016
Other Tenure Land,10,28004,local,2016
Owned Land Holdings,32168,28004,local,2016
Rented Land Holdings,819,28004,local,2016
Other Tenure Land,34,17,district,2016
Owned Land Holdings,34541,17,district,2016
Rented Land Holdings,822,17,district,2016
Other Tenure Land,34,30010,local,2016
Owned Land Holdings,34541,30010,local,2016
Rented Land Holdings,822,30010,local,2016
Other Tenure Land,34,30007,local,2016
Owned Land Holdings,34541,30007,local,2016
Rented Land Holdings,822,30007,local,2016
Other Tenure Land,34,30004,local,2016
Owned Land Holdings,34541,30004,local,2016
Rented Land Holdings,822,30004,local,2016
Other Tenure Land,34,30009,local,2016
Owned Land Holdings,34541,30009,local,2016
Rented Land Holdings,822,30009,local,2016
Other Tenure Land,34,30011,local,2016
Owned Land Holdings,34541,30011,local,2016
Rented Land Holdings,822,30011,local,2016
Other Tenure Land,34,30005,local,2016
Owned Land Holdings,34541,30005,local,2016
Rented Land Holdings,822,30005,local,2016
Other Tenure Land,34,30008,local,2016
Owned Land Holdings,34541,30008,local,2016
Rented Land Holdings,822,30008,local,2016
Other Tenure Land,34,30003,local,2016
Owned Land Holdings,34541,30003,local,2016
