lighting fuel,total,geo_code,geo_level
Electricity,132073,49004,local
Kerosene,29451,49004,local
Not Sated about Light,1252,49004,local
Others Type of Light,322,49004,local
Solar,388,49004,local
Bio-Gas,349,49012,local
Electricity,132073,49012,local
Kerosene,29451,49012,local
Not Sated about Light,1252,49012,local
Others Type of Light,322,49012,local
Solar,388,49012,local
Bio-Gas,349,49001,local
Electricity,132073,49001,local
Kerosene,29451,49001,local
Not Sated about Light,1252,49001,local
Others Type of Light,322,49001,local
Solar,388,49001,local
Bio-Gas,349,49015,local
Electricity,132073,49015,local
Kerosene,29451,49015,local
Not Sated about Light,1252,49015,local
Others Type of Light,322,49015,local
Solar,388,49015,local
Bio-Gas,349,49009,local
Electricity,132073,49009,local
Kerosene,29451,49009,local
Not Sated about Light,1252,49009,local
Others Type of Light,322,49009,local
Solar,388,49009,local
Bio-Gas,349,49011,local
Electricity,132073,49011,local
Kerosene,29451,49011,local
Not Sated about Light,1252,49011,local
Others Type of Light,322,49011,local
Solar,388,49011,local
Bio-Gas,349,49016,local
Electricity,132073,49016,local
Kerosene,29451,49016,local
Not Sated about Light,1252,49016,local
Others Type of Light,322,49016,local
Solar,388,49016,local
Bio-Gas,349,49014,local
Electricity,132073,49014,local
Kerosene,29451,49014,local
Not Sated about Light,1252,49014,local
Others Type of Light,322,49014,local
Solar,388,49014,local
Bio-Gas,349,49008,local
Electricity,132073,49008,local
Kerosene,29451,49008,local
Not Sated about Light,1252,49008,local
Others Type of Light,322,49008,local
Solar,388,49008,local
Bio-Gas,349,49003,local
Electricity,132073,49003,local
Kerosene,29451,49003,local
Not Sated about Light,1252,49003,local
Others Type of Light,322,49003,local
Solar,388,49003,local
Bio-Gas,349,49006,local
Electricity,132073,49006,local
Kerosene,29451,49006,local
Not Sated about Light,1252,49006,local
Others Type of Light,322,49006,local
Solar,388,49006,local
Bio-Gas,349,49005,local
Electricity,132073,49005,local
Kerosene,29451,49005,local
Not Sated about Light,1252,49005,local
Others Type of Light,322,49005,local
Solar,388,49005,local
Bio-Gas,349,49007,local
Electricity,132073,49007,local
Kerosene,29451,49007,local
Not Sated about Light,1252,49007,local
Others Type of Light,322,49007,local
Solar,388,49007,local
Bio-Gas,349,49002,local
Electricity,132073,49002,local
Kerosene,29451,49002,local
Not Sated about Light,1252,49002,local
Others Type of Light,322,49002,local
Solar,388,49002,local
Bio-Gas,349,49013,local
Electricity,132073,49013,local
Kerosene,29451,49013,local
Not Sated about Light,1252,49013,local
Others Type of Light,322,49013,local
Solar,388,49013,local
Bio-Gas,104,76,district
Electricity,51658,76,district
Kerosene,9214,76,district
Not Sated about Light,414,76,district
Others Type of Light,146,76,district
Solar,309,76,district
Bio-Gas,104,48004,local
Electricity,51658,48004,local
Kerosene,9214,48004,local
Not Sated about Light,414,48004,local
Others Type of Light,146,48004,local
Solar,309,48004,local
Bio-Gas,104,48002,local
Electricity,51658,48002,local
Kerosene,9214,48002,local
Not Sated about Light,414,48002,local
Others Type of Light,146,48002,local
Solar,309,48002,local
Bio-Gas,104,48005,local
Electricity,51658,48005,local
Kerosene,9214,48005,local
Not Sated about Light,414,48005,local
Others Type of Light,146,48005,local
Solar,309,48005,local
Bio-Gas,104,48001,local
Electricity,51658,48001,local
Kerosene,9214,48001,local
Not Sated about Light,414,48001,local
Others Type of Light,146,48001,local
Solar,309,48001,local
Bio-Gas,104,48006,local
Electricity,51658,48006,local
Kerosene,9214,48006,local
Not Sated about Light,414,48006,local
Others Type of Light,146,48006,local
Solar,309,48006,local
Bio-Gas,104,48007,local
Electricity,51658,48007,local
Kerosene,9214,48007,local
Not Sated about Light,414,48007,local
Others Type of Light,146,48007,local
Solar,309,48007,local
Bio-Gas,104,48003,local
Electricity,51658,48003,local
Kerosene,9214,48003,local
Not Sated about Light,414,48003,local
Others Type of Light,146,48003,local
Solar,309,48003,local
Bio-Gas,257,07,district
Electricity,65099,07,district
Kerosene,21030,07,district
Not Sated about Light,546,07,district
Others Type of Light,4594,07,district
Solar,3167,07,district
Bio-Gas,257,57002,local
Electricity,65099,57002,local
Kerosene,21030,57002,local
Not Sated about Light,546,57002,local
Others Type of Light,4594,57002,local
Solar,3167,57002,local
Bio-Gas,257,57006,local
Electricity,65099,57006,local
Kerosene,21030,57006,local
Not Sated about Light,546,57006,local
Others Type of Light,4594,57006,local
Solar,3167,57006,local
Bio-Gas,257,57008,local
Electricity,65099,57008,local
Kerosene,21030,57008,local
Not Sated about Light,546,57008,local
Others Type of Light,4594,57008,local
Solar,3167,57008,local
Bio-Gas,257,57001,local
Electricity,65099,57001,local
Kerosene,21030,57001,local
Not Sated about Light,546,57001,local
Others Type of Light,4594,57001,local
Solar,3167,57001,local
Bio-Gas,257,57004,local
Electricity,65099,57004,local
Kerosene,21030,57004,local
Not Sated about Light,546,57004,local
Others Type of Light,4594,57004,local
Solar,3167,57004,local
Bio-Gas,257,57005,local
Electricity,65099,57005,local
Kerosene,21030,57005,local
Not Sated about Light,546,57005,local
Others Type of Light,4594,57005,local
Solar,3167,57005,local
Bio-Gas,257,57007,local
Electricity,65099,57007,local
Kerosene,21030,57007,local
Not Sated about Light,546,57007,local
Others Type of Light,4594,57007,local
Solar,3167,57007,local
Bio-Gas,257,57003,local
Electricity,65099,57003,local
Kerosene,21030,57003,local
Not Sated about Light,546,57003,local
Others Type of Light,4594,57003,local
Solar,3167,57003,local
Bio-Gas,120,50,district
Electricity,43249,50,district
Kerosene,9065,50,district
Not Sated about Light,177,50,district
Others Type of Light,2112,50,district
Solar,4537,50,district
Bio-Gas,120,47007,local
Electricity,43249,47007,local
Kerosene,9065,47007,local
Not Sated about Light,177,47007,local
Others Type of Light,2112,47007,local
Solar,4537,47007,local
Bio-Gas,120,47005,local
Electricity,43249,47005,local
Kerosene,9065,47005,local
Not Sated about Light,177,47005,local
Others Type of Light,2112,47005,local
Solar,4537,47005,local
Bio-Gas,120,47010,local
Electricity,43249,47010,local
Kerosene,9065,47010,local
Not Sated about Light,177,47010,local
Others Type of Light,2112,47010,local
Solar,4537,47010,local
Bio-Gas,120,47003,local
Electricity,43249,47003,local
Kerosene,9065,47003,local
Not Sated about Light,177,47003,local
Others Type of Light,2112,47003,local
Solar,4537,47003,local
Bio-Gas,120,47008,local
Electricity,43249,47008,local
Kerosene,9065,47008,local
Not Sated about Light,177,47008,local
Others Type of Light,2112,47008,local
Solar,4537,47008,local
Bio-Gas,120,47006,local
Electricity,43249,47006,local
Kerosene,9065,47006,local
Not Sated about Light,177,47006,local
Others Type of Light,2112,47006,local
Solar,4537,47006,local
Bio-Gas,120,47001,local
Electricity,43249,47001,local
Kerosene,9065,47001,local
Not Sated about Light,177,47001,local
Others Type of Light,2112,47001,local
Solar,4537,47001,local
Bio-Gas,120,47009,local
Electricity,43249,47009,local
Kerosene,9065,47009,local
Not Sated about Light,177,47009,local
Others Type of Light,2112,47009,local
Solar,4537,47009,local
Bio-Gas,120,47002,local
Electricity,43249,47002,local
Kerosene,9065,47002,local
Not Sated about Light,177,47002,local
Others Type of Light,2112,47002,local
Solar,4537,47002,local
Bio-Gas,120,47004,local
Electricity,43249,47004,local
Kerosene,9065,47004,local
Not Sated about Light,177,47004,local
Others Type of Light,2112,47004,local
Solar,4537,47004,local
Bio-Gas,107,58,district
Electricity,9395,58,district
Kerosene,2180,58,district
Not Sated about Light,179,58,district
Others Type of Light,11127,58,district
Solar,20747,58,district
Bio-Gas,107,53008,local
Electricity,9395,53008,local
Kerosene,2180,53008,local
Not Sated about Light,179,53008,local
Others Type of Light,11127,53008,local
Solar,20747,53008,local
Bio-Gas,107,53001,local
Electricity,9395,53001,local
Kerosene,2180,53001,local
Not Sated about Light,179,53001,local
Others Type of Light,11127,53001,local
Solar,20747,53001,local
Bio-Gas,107,53003,local
Electricity,9395,53003,local
Kerosene,2180,53003,local
Not Sated about Light,179,53003,local
Others Type of Light,11127,53003,local
Solar,20747,53003,local
Bio-Gas,107,53004,local
Electricity,9395,53004,local
Kerosene,2180,53004,local
Not Sated about Light,179,53004,local
Others Type of Light,11127,53004,local
Solar,20747,53004,local
Bio-Gas,107,53010,local
Electricity,9395,53010,local
Kerosene,2180,53010,local
Not Sated about Light,179,53010,local
Others Type of Light,11127,53010,local
Solar,20747,53010,local
Bio-Gas,107,53006,local
Electricity,9395,53006,local
Kerosene,2180,53006,local
Not Sated about Light,179,53006,local
Others Type of Light,11127,53006,local
Solar,20747,53006,local
Bio-Gas,107,53009,local
Electricity,9395,53009,local
Kerosene,2180,53009,local
Not Sated about Light,179,53009,local
Others Type of Light,11127,53009,local
Solar,20747,53009,local
Bio-Gas,107,53005,local
Electricity,9395,53005,local
Kerosene,2180,53005,local
Not Sated about Light,179,53005,local
Others Type of Light,11127,53005,local
Solar,20747,53005,local
Bio-Gas,107,53002,local
Electricity,9395,53002,local
Kerosene,2180,53002,local
Not Sated about Light,179,53002,local
Others Type of Light,11127,53002,local
Solar,20747,53002,local
Bio-Gas,107,53007,local
Electricity,9395,53007,local
Kerosene,2180,53007,local
Not Sated about Light,179,53007,local
Others Type of Light,11127,53007,local
Solar,20747,53007,local
Bio-Gas,313,15,district
Electricity,75181,15,district
Kerosene,26023,15,district
Not Sated about Light,569,15,district
Others Type of Light,9394,15,district
Solar,4867,15,district
Bio-Gas,313,56005,local
Electricity,75181,56005,local
Kerosene,26023,56005,local
Not Sated about Light,569,56005,local
Others Type of Light,9394,56005,local
Solar,4867,56005,local
Bio-Gas,313,56010,local
Electricity,75181,56010,local
Kerosene,26023,56010,local
Not Sated about Light,569,56010,local
Others Type of Light,9394,56010,local
Solar,4867,56010,local
Bio-Gas,313,56003,local
Electricity,75181,56003,local
Kerosene,26023,56003,local
Not Sated about Light,569,56003,local
Others Type of Light,9394,56003,local
Solar,4867,56003,local
Bio-Gas,313,56007,local
Electricity,75181,56007,local
Kerosene,26023,56007,local
Not Sated about Light,569,56007,local
Others Type of Light,9394,56007,local
Solar,4867,56007,local
Bio-Gas,313,56006,local
Electricity,75181,56006,local
Kerosene,26023,56006,local
Not Sated about Light,569,56006,local
Others Type of Light,9394,56006,local
Solar,4867,56006,local
Bio-Gas,313,56009,local
Electricity,75181,56009,local
Kerosene,26023,56009,local
Not Sated about Light,569,56009,local
Others Type of Light,9394,56009,local
Solar,4867,56009,local
Bio-Gas,313,56001,local
Electricity,75181,56001,local
Kerosene,26023,56001,local
Not Sated about Light,569,56001,local
Others Type of Light,9394,56001,local
Solar,4867,56001,local
Bio-Gas,313,56008,local
Electricity,75181,56008,local
Kerosene,26023,56008,local
Not Sated about Light,569,56008,local
Others Type of Light,9394,56008,local
Solar,4867,56008,local
Bio-Gas,313,56002,local
Electricity,75181,56002,local
Kerosene,26023,56002,local
Not Sated about Light,569,56002,local
Others Type of Light,9394,56002,local
Solar,4867,56002,local
Bio-Gas,313,56004,local
Electricity,75181,56004,local
Kerosene,26023,56004,local
Not Sated about Light,569,56004,local
Others Type of Light,9394,56004,local
Solar,4867,56004,local
Bio-Gas,123,02,district
Electricity,27823,02,district
Kerosene,10488,02,district
Not Sated about Light,158,02,district
Others Type of Light,2595,02,district
Solar,5639,02,district
Bio-Gas,123,51002,local
Electricity,27823,51002,local
Kerosene,10488,51002,local
Not Sated about Light,158,51002,local
Others Type of Light,2595,51002,local
Solar,5639,51002,local
Bio-Gas,123,51003,local
Electricity,27823,51003,local
Kerosene,10488,51003,local
Not Sated about Light,158,51003,local
Others Type of Light,2595,51003,local
Solar,5639,51003,local
Bio-Gas,123,51005,local
Electricity,27823,51005,local
Kerosene,10488,51005,local
Not Sated about Light,158,51005,local
Others Type of Light,2595,51005,local
Solar,5639,51005,local
Bio-Gas,123,51001,local
Electricity,27823,51001,local
Kerosene,10488,51001,local
Not Sated about Light,158,51001,local
Others Type of Light,2595,51001,local
Solar,5639,51001,local
Bio-Gas,123,51006,local
Electricity,27823,51006,local
Kerosene,10488,51006,local
Not Sated about Light,158,51006,local
Others Type of Light,2595,51006,local
Solar,5639,51006,local
Bio-Gas,123,51004,local
Electricity,27823,51004,local
Kerosene,10488,51004,local
Not Sated about Light,158,51004,local
Others Type of Light,2595,51004,local
Solar,5639,51004,local
Bio-Gas,213,09,district
Electricity,52035,09,district
Kerosene,18869,09,district
Not Sated about Light,179,09,district
Others Type of Light,9427,09,district
Solar,2424,09,district
Bio-Gas,213,58007,local
Electricity,52035,58007,local
Kerosene,18869,58007,local
Not Sated about Light,179,58007,local
Others Type of Light,9427,58007,local
Solar,2424,58007,local
Bio-Gas,213,58001,local
Electricity,52035,58001,local
Kerosene,18869,58001,local
Not Sated about Light,179,58001,local
Others Type of Light,9427,58001,local
Solar,2424,58001,local
Bio-Gas,213,58008,local
Electricity,52035,58008,local
Kerosene,18869,58008,local
Not Sated about Light,179,58008,local
Others Type of Light,9427,58008,local
Solar,2424,58008,local
Bio-Gas,213,58004,local
Electricity,52035,58004,local
Kerosene,18869,58004,local
Not Sated about Light,179,58004,local
Others Type of Light,9427,58004,local
Solar,2424,58004,local
Bio-Gas,213,58002,local
Electricity,52035,58002,local
Kerosene,18869,58002,local
Not Sated about Light,179,58002,local
Others Type of Light,9427,58002,local
Solar,2424,58002,local
Bio-Gas,213,58005,local
Electricity,52035,58005,local
Kerosene,18869,58005,local
Not Sated about Light,179,58005,local
Others Type of Light,9427,58005,local
Solar,2424,58005,local
Bio-Gas,213,58006,local
Electricity,52035,58006,local
Kerosene,18869,58006,local
Not Sated about Light,179,58006,local
Others Type of Light,9427,58006,local
Solar,2424,58006,local
Bio-Gas,213,58003,local
Electricity,52035,58003,local
Kerosene,18869,58003,local
Not Sated about Light,179,58003,local
Others Type of Light,9427,58003,local
Solar,2424,58003,local
Bio-Gas,269,33,district
Electricity,58162,33,district
Kerosene,30901,33,district
Not Sated about Light,786,33,district
Others Type of Light,732,33,district
Solar,414,33,district
Bio-Gas,269,50009,local
Electricity,58162,50009,local
Kerosene,30901,50009,local
Not Sated about Light,786,50009,local
Others Type of Light,732,50009,local
Solar,414,50009,local
Bio-Gas,269,50001,local
Electricity,58162,50001,local
Kerosene,30901,50001,local
Not Sated about Light,786,50001,local
Others Type of Light,732,50001,local
Solar,414,50001,local
Bio-Gas,269,50002,local
Electricity,58162,50002,local
Kerosene,30901,50002,local
Not Sated about Light,786,50002,local
Others Type of Light,732,50002,local
Solar,414,50002,local
Bio-Gas,269,50007,local
Electricity,58162,50007,local
Kerosene,30901,50007,local
Not Sated about Light,786,50007,local
Others Type of Light,732,50007,local
Solar,414,50007,local
Bio-Gas,269,50010,local
Electricity,58162,50010,local
Kerosene,30901,50010,local
Not Sated about Light,786,50010,local
Others Type of Light,732,50010,local
Solar,414,50010,local
Bio-Gas,269,50005,local
Electricity,58162,50005,local
Kerosene,30901,50005,local
Not Sated about Light,786,50005,local
Others Type of Light,732,50005,local
Solar,414,50005,local
Bio-Gas,269,50003,local
Electricity,58162,50003,local
Kerosene,30901,50003,local
Not Sated about Light,786,50003,local
Others Type of Light,732,50003,local
Solar,414,50003,local
Bio-Gas,269,50004,local
Electricity,58162,50004,local
Kerosene,30901,50004,local
Not Sated about Light,786,50004,local
Others Type of Light,732,50004,local
Solar,414,50004,local
Bio-Gas,269,50008,local
Electricity,58162,50008,local
Kerosene,30901,50008,local
Not Sated about Light,786,50008,local
Others Type of Light,732,50008,local
Solar,414,50008,local
Bio-Gas,269,50006,local
Electricity,58162,50006,local
Kerosene,30901,50006,local
Not Sated about Light,786,50006,local
Others Type of Light,732,50006,local
Solar,414,50006,local
Bio-Gas,1233,4,province
Electricity,476841,4,province
Kerosene,57404,4,province
Not Sated about Light,2313,4,province
Others Type of Light,10767,4,province
Solar,29124,4,province
Bio-Gas,113,23,district
Electricity,50788,23,district
Kerosene,11131,23,district
Not Sated about Light,261,23,district
Others Type of Light,1275,23,district
Solar,2890,23,district
Bio-Gas,113,36011,local
Electricity,50788,36011,local
Kerosene,11131,36011,local
Not Sated about Light,261,36011,local
Others Type of Light,1275,36011,local
Solar,2890,36011,local
Bio-Gas,113,36008,local
Electricity,50788,36008,local
Kerosene,11131,36008,local
Not Sated about Light,261,36008,local
Others Type of Light,1275,36008,local
Solar,2890,36008,local
Bio-Gas,113,36001,local
Electricity,50788,36001,local
Kerosene,11131,36001,local
Not Sated about Light,261,36001,local
Others Type of Light,1275,36001,local
Solar,2890,36001,local
Bio-Gas,113,36003,local
Electricity,50788,36003,local
Kerosene,11131,36003,local
Not Sated about Light,261,36003,local
Others Type of Light,1275,36003,local
Solar,2890,36003,local
Bio-Gas,113,36006,local
Electricity,50788,36006,local
Kerosene,11131,36006,local
Not Sated about Light,261,36006,local
Others Type of Light,1275,36006,local
Solar,2890,36006,local
Bio-Gas,113,36010,local
Electricity,50788,36010,local
Kerosene,11131,36010,local
Not Sated about Light,261,36010,local
Others Type of Light,1275,36010,local
Solar,2890,36010,local
Bio-Gas,113,36002,local
Electricity,50788,36002,local
Kerosene,11131,36002,local
Not Sated about Light,261,36002,local
Others Type of Light,1275,36002,local
Solar,2890,36002,local
Bio-Gas,113,36007,local
Electricity,50788,36007,local
Kerosene,11131,36007,local
Not Sated about Light,261,36007,local
Others Type of Light,1275,36007,local
Solar,2890,36007,local
Bio-Gas,113,36004,local
Electricity,50788,36004,local
Kerosene,11131,36004,local
Not Sated about Light,261,36004,local
Others Type of Light,1275,36004,local
Solar,2890,36004,local
Bio-Gas,113,36005,local
Electricity,50788,36005,local
Kerosene,11131,36005,local
Not Sated about Light,261,36005,local
Others Type of Light,1275,36005,local
Solar,2890,36005,local
Bio-Gas,113,36009,local
Electricity,50788,36009,local
Kerosene,11131,36009,local
Not Sated about Light,261,36009,local
Others Type of Light,1275,36009,local
Solar,2890,36009,local
Bio-Gas,121,03,district
Electricity,50242,03,district
Kerosene,7194,03,district
Not Sated about Light,297,03,district
Others Type of Light,1375,03,district
Solar,2253,03,district
Bio-Gas,121,45008,local
Electricity,50242,45008,local
Kerosene,7194,45008,local
Not Sated about Light,297,45008,local
Others Type of Light,1375,45008,local
Solar,2253,45008,local
Bio-Gas,121,45007,local
Electricity,50242,45007,local
Kerosene,7194,45007,local
Not Sated about Light,297,45007,local
Others Type of Light,1375,45007,local
Solar,2253,45007,local
Bio-Gas,121,45005,local
Electricity,50242,45005,local
Kerosene,7194,45005,local
Not Sated about Light,297,45005,local
Others Type of Light,1375,45005,local
Solar,2253,45005,local
Bio-Gas,121,45001,local
Electricity,50242,45001,local
Kerosene,7194,45001,local
Not Sated about Light,297,45001,local
Others Type of Light,1375,45001,local
Solar,2253,45001,local
Bio-Gas,121,45002,local
Electricity,50242,45002,local
Kerosene,7194,45002,local
Not Sated about Light,297,45002,local
Others Type of Light,1375,45002,local
Solar,2253,45002,local
Bio-Gas,121,45003,local
Electricity,50242,45003,local
Kerosene,7194,45003,local
Not Sated about Light,297,45003,local
Others Type of Light,1375,45003,local
Solar,2253,45003,local
Bio-Gas,121,45009,local
Electricity,50242,45009,local
Kerosene,7194,45009,local
Not Sated about Light,297,45009,local
Others Type of Light,1375,45009,local
Solar,2253,45009,local
Bio-Gas,121,45004,local
Electricity,50242,45004,local
Kerosene,7194,45004,local
Not Sated about Light,297,45004,local
Others Type of Light,1375,45004,local
Solar,2253,45004,local
Bio-Gas,121,45010,local
Electricity,50242,45010,local
Kerosene,7194,45010,local
Not Sated about Light,297,45010,local
Others Type of Light,1375,45010,local
Solar,2253,45010,local
Bio-Gas,121,45006,local
Electricity,50242,45006,local
Kerosene,7194,45006,local
Not Sated about Light,297,45006,local
Others Type of Light,1375,45006,local
Solar,2253,45006,local
Bio-Gas,172,71,district
Electricity,59576,71,district
Kerosene,6343,71,district
Not Sated about Light,176,71,district
Others Type of Light,535,71,district
Solar,2054,71,district
Bio-Gas,172,39008,local
Electricity,59576,39008,local
Kerosene,6343,39008,local
Not Sated about Light,176,39008,local
Others Type of Light,535,39008,local
Solar,2054,39008,local
Bio-Gas,172,39005,local
Electricity,59576,39005,local
Kerosene,6343,39005,local
Not Sated about Light,176,39005,local
Others Type of Light,535,39005,local
Solar,2054,39005,local
Bio-Gas,172,39009,local
Electricity,59576,39009,local
Kerosene,6343,39009,local
Not Sated about Light,176,39009,local
Others Type of Light,535,39009,local
Solar,2054,39009,local
Bio-Gas,172,39001,local
Electricity,59576,39001,local
Kerosene,6343,39001,local
Not Sated about Light,176,39001,local
Others Type of Light,535,39001,local
Solar,2054,39001,local
Bio-Gas,172,39004,local
Electricity,59576,39004,local
Kerosene,6343,39004,local
Not Sated about Light,176,39004,local
Others Type of Light,535,39004,local
Solar,2054,39004,local
Bio-Gas,172,39003,local
Electricity,59576,39003,local
Kerosene,6343,39003,local
Not Sated about Light,176,39003,local
Others Type of Light,535,39003,local
Solar,2054,39003,local
Bio-Gas,172,39011,local
Electricity,59576,39011,local
Kerosene,6343,39011,local
Not Sated about Light,176,39011,local
Others Type of Light,535,39011,local
Solar,2054,39011,local
Bio-Gas,172,39006,local
Electricity,59576,39006,local
Kerosene,6343,39006,local
Not Sated about Light,176,39006,local
Others Type of Light,535,39006,local
Solar,2054,39006,local
Bio-Gas,172,39002,local
Electricity,59576,39002,local
Kerosene,6343,39002,local
Not Sated about Light,176,39002,local
Others Type of Light,535,39002,local
Solar,2054,39002,local
Bio-Gas,172,39010,local
Electricity,59576,39010,local
Kerosene,6343,39010,local
Not Sated about Light,176,39010,local
Others Type of Light,535,39010,local
Solar,2054,39010,local
Bio-Gas,172,39007,local
Electricity,59576,39007,local
Kerosene,6343,39007,local
Not Sated about Light,176,39007,local
Others Type of Light,535,39007,local
Solar,2054,39007,local
Bio-Gas,143,47,district
Electricity,52544,47,district
Kerosene,6083,47,district
Not Sated about Light,345,47,district
Others Type of Light,2698,47,district
Solar,5102,47,district
Bio-Gas,143,76004,local
Electricity,52544,76004,local
Kerosene,6083,76004,local
Not Sated about Light,345,76004,local
Others Type of Light,2698,76004,local
Solar,5102,76004,local
Bio-Gas,143,76002,local
Electricity,52544,76002,local
Kerosene,6083,76002,local
Not Sated about Light,345,76002,local
Others Type of Light,2698,76002,local
Solar,5102,76002,local
Bio-Gas,143,76007,local
Electricity,52544,76007,local
Kerosene,6083,76007,local
Not Sated about Light,345,76007,local
Others Type of Light,2698,76007,local
Solar,5102,76007,local
Bio-Gas,143,76008,local
Electricity,52544,76008,local
Kerosene,6083,76008,local
Not Sated about Light,345,76008,local
Others Type of Light,2698,76008,local
Solar,5102,76008,local
Bio-Gas,143,76001,local
Electricity,52544,76001,local
Kerosene,6083,76001,local
Not Sated about Light,345,76001,local
Others Type of Light,2698,76001,local
Solar,5102,76001,local
Bio-Gas,143,76005,local
Electricity,52544,76005,local
Kerosene,6083,76005,local
Not Sated about Light,345,76005,local
Others Type of Light,2698,76005,local
Solar,5102,76005,local
Bio-Gas,143,76006,local
Electricity,52544,76006,local
Kerosene,6083,76006,local
Not Sated about Light,345,76006,local
Others Type of Light,2698,76006,local
Solar,5102,76006,local
Bio-Gas,143,76003,local
Electricity,52544,76003,local
Kerosene,6083,76003,local
Not Sated about Light,345,76003,local
Others Type of Light,2698,76003,local
Solar,5102,76003,local
Bio-Gas,46,46,district
Electricity,19028,46,district
Kerosene,3701,46,district
Not Sated about Light,73,46,district
Others Type of Light,1744,46,district
Solar,3135,46,district
Bio-Gas,46,43003,local
Electricity,19028,43003,local
Kerosene,3701,43003,local
Not Sated about Light,73,43003,local
Others Type of Light,1744,43003,local
Solar,3135,43003,local
Bio-Gas,46,43002,local
Electricity,19028,43002,local
Kerosene,3701,43002,local
Not Sated about Light,73,43002,local
Others Type of Light,1744,43002,local
Solar,3135,43002,local
Bio-Gas,46,43004,local
Electricity,19028,43004,local
Kerosene,3701,43004,local
Not Sated about Light,73,43004,local
Others Type of Light,1744,43004,local
Solar,3135,43004,local
Bio-Gas,46,43001,local
Electricity,19028,43001,local
Kerosene,3701,43001,local
Not Sated about Light,73,43001,local
Others Type of Light,1744,43001,local
Solar,3135,43001,local
Bio-Gas,46,43005,local
Electricity,19028,43005,local
Kerosene,3701,43005,local
Not Sated about Light,73,43005,local
Others Type of Light,1744,43005,local
Solar,3135,43005,local
Bio-Gas,46,43006,local
Electricity,19028,43006,local
Kerosene,3701,43006,local
Not Sated about Light,73,43006,local
Others Type of Light,1744,43006,local
Solar,3135,43006,local
Bio-Gas,110,39,district
Electricity,32302,39,district
Kerosene,6155,39,district
Not Sated about Light,150,39,district
Others Type of Light,539,39,district
Solar,2792,39,district
Bio-Gas,110,37005,local
Electricity,32302,37005,local
Kerosene,6155,37005,local
Not Sated about Light,150,37005,local
Others Type of Light,539,37005,local
Solar,2792,37005,local
Bio-Gas,110,37007,local
Electricity,32302,37007,local
Kerosene,6155,37007,local
Not Sated about Light,150,37007,local
Others Type of Light,539,37007,local
Solar,2792,37007,local
Bio-Gas,110,37001,local
Electricity,32302,37001,local
Kerosene,6155,37001,local
Not Sated about Light,150,37001,local
Others Type of Light,539,37001,local
Solar,2792,37001,local
Bio-Gas,110,37006,local
Electricity,32302,37006,local
Kerosene,6155,37006,local
Not Sated about Light,150,37006,local
Others Type of Light,539,37006,local
Solar,2792,37006,local
Bio-Gas,110,37008,local
Electricity,32302,37008,local
Kerosene,6155,37008,local
Not Sated about Light,150,37008,local
Others Type of Light,539,37008,local
Solar,2792,37008,local
Bio-Gas,110,37004,local
Electricity,32302,37004,local
Kerosene,6155,37004,local
Not Sated about Light,150,37004,local
Others Type of Light,539,37004,local
Solar,2792,37004,local
Bio-Gas,110,37003,local
Electricity,32302,37003,local
Kerosene,6155,37003,local
Not Sated about Light,150,37003,local
Others Type of Light,539,37003,local
Solar,2792,37003,local
Bio-Gas,110,37002,local
Electricity,32302,37002,local
Kerosene,6155,37002,local
Not Sated about Light,150,37002,local
Others Type of Light,539,37002,local
Solar,2792,37002,local
Bio-Gas,249,34,district
Electricity,119757,34,district
Kerosene,3694,34,district
Not Sated about Light,460,34,district
Others Type of Light,370,34,district
Solar,929,34,district
Bio-Gas,249,40005,local
Electricity,119757,40005,local
Kerosene,3694,40005,local
Not Sated about Light,460,40005,local
Others Type of Light,370,40005,local
Solar,929,40005,local
Bio-Gas,249,40001,local
Electricity,119757,40001,local
Kerosene,3694,40001,local
Not Sated about Light,460,40001,local
Others Type of Light,370,40001,local
Solar,929,40001,local
Bio-Gas,249,40003,local
Electricity,119757,40003,local
Kerosene,3694,40003,local
Not Sated about Light,460,40003,local
Others Type of Light,370,40003,local
Solar,929,40003,local
Bio-Gas,249,40002,local
Electricity,119757,40002,local
Kerosene,3694,40002,local
Not Sated about Light,460,40002,local
Others Type of Light,370,40002,local
Solar,929,40002,local
Bio-Gas,249,40004,local
Electricity,119757,40004,local
Kerosene,3694,40004,local
Not Sated about Light,460,40004,local
Others Type of Light,370,40004,local
Solar,929,40004,local
Bio-Gas,0,42,district
Electricity,1287,42,district
Kerosene,24,42,district
Not Sated about Light,5,42,district
Others Type of Light,8,42,district
Solar,124,42,district
Bio-Gas,0,41003,local
Electricity,1287,41003,local
Kerosene,24,41003,local
Not Sated about Light,5,41003,local
Others Type of Light,8,41003,local
Solar,124,41003,local
Bio-Gas,0,41001,local
Electricity,1287,41001,local
Kerosene,24,41001,local
Not Sated about Light,5,41001,local
Others Type of Light,8,41001,local
Solar,124,41001,local
Bio-Gas,0,41004,local
Electricity,1287,41004,local
Kerosene,24,41004,local
Not Sated about Light,5,41004,local
Others Type of Light,8,41004,local
Solar,124,41004,local
Bio-Gas,0,41002,local
Electricity,1287,41002,local
Kerosene,24,41002,local
Not Sated about Light,5,41002,local
Others Type of Light,8,41002,local
Solar,124,41002,local
Bio-Gas,213,72,district
Electricity,60350,72,district
Kerosene,7879,72,district
Not Sated about Light,439,72,district
Others Type of Light,1991,72,district
Solar,7414,72,district
