lighting fuel,total,geo_code,geo_level
Bio-Gas,333,35006,local
Electricity,113728,35006,local
Kerosene,7211,35006,local
Not Sated about Light,539,35006,local
Others Type of Light,3066,35006,local
Solar,7468,35006,local
Bio-Gas,333,35004,local
Electricity,113728,35004,local
Kerosene,7211,35004,local
Not Sated about Light,539,35004,local
Others Type of Light,3066,35004,local
Solar,7468,35004,local
Bio-Gas,333,35007,local
Electricity,113728,35007,local
Kerosene,7211,35007,local
Not Sated about Light,539,35007,local
Others Type of Light,3066,35007,local
Solar,7468,35007,local
Bio-Gas,333,35003,local
Electricity,113728,35003,local
Kerosene,7211,35003,local
Not Sated about Light,539,35003,local
Others Type of Light,3066,35003,local
Solar,7468,35003,local
Bio-Gas,333,35001,local
Electricity,113728,35001,local
Kerosene,7211,35001,local
Not Sated about Light,539,35001,local
Others Type of Light,3066,35001,local
Solar,7468,35001,local
Bio-Gas,333,35005,local
Electricity,113728,35005,local
Kerosene,7211,35005,local
Not Sated about Light,539,35005,local
Others Type of Light,3066,35005,local
Solar,7468,35005,local
Bio-Gas,338,38,district
Electricity,105766,38,district
Kerosene,1906,38,district
Not Sated about Light,1092,38,district
Others Type of Light,172,38,district
Solar,231,38,district
Bio-Gas,338,25005,local
Electricity,105766,25005,local
Kerosene,1906,25005,local
Not Sated about Light,1092,25005,local
Others Type of Light,172,25005,local
Solar,231,25005,local
Bio-Gas,338,25002,local
Electricity,105766,25002,local
Kerosene,1906,25002,local
Not Sated about Light,1092,25002,local
Others Type of Light,172,25002,local
Solar,231,25002,local
Bio-Gas,338,25001,local
Electricity,105766,25001,local
Kerosene,1906,25001,local
Not Sated about Light,1092,25001,local
Others Type of Light,172,25001,local
Solar,231,25001,local
Bio-Gas,338,25003,local
Electricity,105766,25003,local
Kerosene,1906,25003,local
Not Sated about Light,1092,25003,local
Others Type of Light,172,25003,local
Solar,231,25003,local
Bio-Gas,338,25006,local
Electricity,105766,25006,local
Kerosene,1906,25006,local
Not Sated about Light,1092,25006,local
Others Type of Light,172,25006,local
Solar,231,25006,local
Bio-Gas,338,25004,local
Electricity,105766,25004,local
Kerosene,1906,25004,local
Not Sated about Light,1092,25004,local
Others Type of Light,172,25004,local
Solar,231,25004,local
Bio-Gas,251,10,district
Electricity,67037,10,district
Kerosene,670,10,district
Not Sated about Light,437,10,district
Others Type of Light,113,10,district
Solar,49,10,district
Bio-Gas,251,26004,local
Electricity,67037,26004,local
Kerosene,670,26004,local
Not Sated about Light,437,26004,local
Others Type of Light,113,26004,local
Solar,49,26004,local
Bio-Gas,251,26002,local
Electricity,67037,26002,local
Kerosene,670,26002,local
Not Sated about Light,437,26002,local
Others Type of Light,113,26002,local
Solar,49,26002,local
Bio-Gas,251,26003,local
Electricity,67037,26003,local
Kerosene,670,26003,local
Not Sated about Light,437,26003,local
Others Type of Light,113,26003,local
Solar,49,26003,local
Bio-Gas,251,26001,local
Electricity,67037,26001,local
Kerosene,670,26001,local
Not Sated about Light,437,26001,local
Others Type of Light,113,26001,local
Solar,49,26001,local
Bio-Gas,5,20,district
Electricity,37349,20,district
Kerosene,5775,20,district
Not Sated about Light,141,20,district
Others Type of Light,1026,20,district
Solar,1362,20,district
Bio-Gas,5,22003,local
Electricity,37349,22003,local
Kerosene,5775,22003,local
Not Sated about Light,141,22003,local
Others Type of Light,1026,22003,local
Solar,1362,22003,local
Bio-Gas,5,22008,local
Electricity,37349,22008,local
Kerosene,5775,22008,local
Not Sated about Light,141,22008,local
Others Type of Light,1026,22008,local
Solar,1362,22008,local
Bio-Gas,5,22009,local
Electricity,37349,22009,local
Kerosene,5775,22009,local
Not Sated about Light,141,22009,local
Others Type of Light,1026,22009,local
Solar,1362,22009,local
Bio-Gas,5,22002,local
Electricity,37349,22002,local
Kerosene,5775,22002,local
Not Sated about Light,141,22002,local
Others Type of Light,1026,22002,local
Solar,1362,22002,local
Bio-Gas,5,22004,local
Electricity,37349,22004,local
Kerosene,5775,22004,local
Not Sated about Light,141,22004,local
Others Type of Light,1026,22004,local
Solar,1362,22004,local
Bio-Gas,5,22006,local
Electricity,37349,22006,local
Kerosene,5775,22006,local
Not Sated about Light,141,22006,local
Others Type of Light,1026,22006,local
Solar,1362,22006,local
Bio-Gas,5,22005,local
Electricity,37349,22005,local
Kerosene,5775,22005,local
Not Sated about Light,141,22005,local
Others Type of Light,1026,22005,local
Solar,1362,22005,local
Bio-Gas,5,22007,local
Electricity,37349,22007,local
Kerosene,5775,22007,local
Not Sated about Light,141,22007,local
Others Type of Light,1026,22007,local
Solar,1362,22007,local
