geo_code,geo_level,literacy,sex,total,geo_version
66,district,Literate,Female,71160,2016
66,district,Literate,Male,84373,2016
66,district,Not Read/Write,Female,62167,2016
66,district,Not Read/Write,Male,36733,2016
66,district,Not Stated,Female,132,2016
66,district,Not Stated,Male,77,2016
66,district,Read Only,Female,3961,2016
66,district,Read Only,Male,3673,2016
23011,local,Literate,Female,4845,2016
23011,local,Literate,Male,5163,2016
23011,local,Not Read/Write,Female,3480,2016
23011,local,Not Read/Write,Male,1798,2016
23011,local,Not Stated,Female,8,2016
23011,local,Not Stated,Male,4,2016
23011,local,Read Only,Female,393,2016
23011,local,Read Only,Male,272,2016
23008,local,Literate,Female,4401,2016
23008,local,Literate,Male,5011,2016
23008,local,Not Read/Write,Female,2949,2016
23008,local,Not Read/Write,Male,1429,2016
23008,local,Not Stated,Female,5,2016
23008,local,Not Stated,Male,2,2016
23008,local,Read Only,Female,227,2016
23008,local,Read Only,Male,174,2016
23007,local,Literate,Female,3771,2016
23007,local,Literate,Male,4926,2016
23007,local,Not Read/Write,Female,4731,2016
23007,local,Not Read/Write,Male,3454,2016
23007,local,Not Stated,Female,7,2016
23007,local,Not Stated,Male,6,2016
23007,local,Read Only,Female,279,2016
23007,local,Read Only,Male,250,2016
23006,local,Literate,Female,6987,2016
23006,local,Literate,Male,8188,2016
23006,local,Not Read/Write,Female,6561,2016
23006,local,Not Read/Write,Male,3528,2016
23006,local,Not Stated,Female,4,2016
23006,local,Not Stated,Male,5,2016
23006,local,Read Only,Female,329,2016
23006,local,Read Only,Male,351,2016
23004,local,Literate,Female,13006,2016
23004,local,Literate,Male,13903,2016
23004,local,Not Read/Write,Female,9557,2016
23004,local,Not Read/Write,Male,4810,2016
23004,local,Not Stated,Female,24,2016
23004,local,Not Stated,Male,7,2016
23004,local,Read Only,Female,672,2016
23004,local,Read Only,Male,577,2016
23003,local,Literate,Female,3729,2016
23003,local,Literate,Male,5335,2016
23003,local,Not Read/Write,Female,3638,2016
23003,local,Not Read/Write,Male,2248,2016
23003,local,Not Stated,Female,3,2016
23003,local,Not Stated,Male,2,2016
23003,local,Read Only,Female,136,2016
23003,local,Read Only,Male,155,2016
23005,local,Literate,Female,3944,2016
23005,local,Literate,Male,4654,2016
23005,local,Not Read/Write,Female,4072,2016
23005,local,Not Read/Write,Male,2791,2016
23005,local,Not Stated,Female,8,2016
23005,local,Not Stated,Male,3,2016
23005,local,Read Only,Female,379,2016
23005,local,Read Only,Male,426,2016
23001,local,Literate,Female,5346,2016
23001,local,Literate,Male,6172,2016
23001,local,Not Read/Write,Female,3642,2016
23001,local,Not Read/Write,Male,1946,2016
23001,local,Not Stated,Female,8,2016
23001,local,Not Stated,Male,4,2016
23001,local,Read Only,Female,178,2016
23001,local,Read Only,Male,146,2016
23009,local,Literate,Female,11100,2016
23009,local,Literate,Male,13710,2016
23009,local,Not Read/Write,Female,10062,2016
23009,local,Not Read/Write,Male,5635,2016
23009,local,Not Stated,Female,27,2016
23009,local,Not Stated,Male,12,2016
23009,local,Read Only,Female,546,2016
23009,local,Read Only,Male,497,2016
23012,local,Literate,Female,3471,2016
23012,local,Literate,Male,3768,2016
23012,local,Not Read/Write,Female,2822,2016
23012,local,Not Read/Write,Male,1761,2016
23012,local,Not Stated,Female,4,2016
23012,local,Not Stated,Male,4,2016
23012,local,Read Only,Female,144,2016
23012,local,Read Only,Male,152,2016
23002,local,Literate,Female,6926,2016
23002,local,Literate,Male,8378,2016
23002,local,Not Read/Write,Female,5294,2016
23002,local,Not Read/Write,Male,3141,2016
23002,local,Not Stated,Female,14,2016
23002,local,Not Stated,Male,8,2016
23002,local,Read Only,Female,347,2016
23002,local,Read Only,Male,278,2016
23010,local,Literate,Female,3634,2016
23010,local,Literate,Male,5165,2016
23010,local,Not Read/Write,Female,5359,2016
23010,local,Not Read/Write,Male,4192,2016
23010,local,Not Stated,Female,20,2016
23010,local,Not Stated,Male,20,2016
23010,local,Read Only,Female,331,2016
23010,local,Read Only,Male,395,2016
12,district,Literate,Female,196576,2016
12,district,Literate,Male,207166,2016
12,district,Not Read/Write,Female,76388,2016
12,district,Not Read/Write,Male,36109,2016
12,district,Not Stated,Female,178,2016
12,district,Not Stated,Male,113,2016
12,district,Read Only,Female,5619,2016
12,district,Read Only,Male,4889,2016
35002,local,Literate,Female,6344,2016
35002,local,Literate,Male,7759,2016
35002,local,Not Read/Write,Female,4220,2016
35002,local,Not Read/Write,Male,2824,2016
35002,local,Not Stated,Female,11,2016
35002,local,Not Stated,Male,9,2016
35002,local,Read Only,Female,578,2016
35002,local,Read Only,Male,525,2016
35006,local,Literate,Female,17876,2016
35006,local,Literate,Male,19101,2016
35006,local,Not Read/Write,Female,9126,2016
35006,local,Not Read/Write,Male,5031,2016
35006,local,Not Stated,Female,15,2016
35006,local,Not Stated,Male,15,2016
35006,local,Read Only,Female,781,2016
35006,local,Read Only,Male,829,2016
35004,local,Literate,Female,19172,2016
35004,local,Literate,Male,19708,2016
35004,local,Not Read/Write,Female,8558,2016
35004,local,Not Read/Write,Male,3995,2016
35004,local,Not Stated,Female,26,2016
35004,local,Not Stated,Male,9,2016
35004,local,Read Only,Female,519,2016
35004,local,Read Only,Male,375,2016
35007,local,Literate,Female,24408,2016
35007,local,Literate,Male,26067,2016
35007,local,Not Read/Write,Female,9539,2016
35007,local,Not Read/Write,Male,4313,2016
35007,local,Not Stated,Female,32,2016
35007,local,Not Stated,Male,20,2016
35007,local,Read Only,Female,547,2016
35007,local,Read Only,Male,454,2016
35003,local,Literate,Female,12691,2016
35003,local,Literate,Male,13989,2016
35003,local,Not Read/Write,Female,7209,2016
35003,local,Not Read/Write,Male,3804,2016
35003,local,Not Stated,Female,11,2016
35003,local,Not Stated,Male,4,2016
35003,local,Read Only,Female,495,2016
35003,local,Read Only,Male,527,2016
35001,local,Literate,Female,103880,2016
35001,local,Literate,Male,108773,2016
35001,local,Not Read/Write,Female,31207,2016
35001,local,Not Read/Write,Male,13070,2016
35001,local,Not Stated,Female,66,2016
35001,local,Not Stated,Male,40,2016
35001,local,Read Only,Female,2249,2016
35001,local,Read Only,Male,1820,2016
35005,local,Literate,Female,12205,2016
35005,local,Literate,Male,11769,2016
35005,local,Not Read/Write,Female,6529,2016
35005,local,Not Read/Write,Male,3072,2016
35005,local,Not Stated,Female,17,2016
35005,local,Not Stated,Male,16,2016
35005,local,Read Only,Female,450,2016
35005,local,Read Only,Male,359,2016
38,district,Literate,Female,158434,2016
38,district,Literate,Male,193817,2016
38,district,Not Read/Write,Female,49847,2016
38,district,Not Read/Write,Male,18410,2016
38,district,Not Stated,Female,185,2016
38,district,Not Stated,Male,97,2016
38,district,Read Only,Female,4322,2016
38,district,Read Only,Male,3168,2016
25005,local,Literate,Female,21405,2016
25005,local,Literate,Male,26252,2016
25005,local,Not Read/Write,Female,7028,2016
25005,local,Not Read/Write,Male,2145,2016
25005,local,Not Stated,Female,59,2016
25005,local,Not Stated,Male,26,2016
25005,local,Read Only,Female,660,2016
25005,local,Read Only,Male,447,2016
25002,local,Literate,Female,24375,2016
25002,local,Literate,Male,30374,2016
25002,local,Not Read/Write,Female,12372,2016
25002,local,Not Read/Write,Male,4644,2016
25002,local,Not Stated,Female,34,2016
25002,local,Not Stated,Male,22,2016
25002,local,Read Only,Female,662,2016
25002,local,Read Only,Male,508,2016
25001,local,Literate,Female,3587,2016
25001,local,Literate,Male,4576,2016
25001,local,Not Read/Write,Female,2249,2016
