home ownership,total,geo_code,geo_level,geo_version
Rental House,49,53002,local,2016
Institutional House,7,53007,local,2016
Other Type of House,2,53007,local,2016
Owned House,2940,53007,local,2016
Rental House,67,53007,local,2016
Institutional House,418,15,district,2016
Other Type of House,1443,15,district,2016
Owned House,103762,15,district,2016
Rental House,10724,15,district,2016
Institutional House,256,56005,local,2016
Other Type of House,499,56005,local,2016
Owned House,28954,56005,local,2016
Rental House,5710,56005,local,2016
Institutional House,100,56010,local,2016
Other Type of House,213,56010,local,2016
Owned House,27598,56010,local,2016
Rental House,3332,56010,local,2016
Institutional House,0,56003,local,2016
Other Type of House,382,56003,local,2016
Owned House,4032,56003,local,2016
Rental House,41,56003,local,2016
Institutional House,3,56007,local,2016
Other Type of House,8,56007,local,2016
Owned House,4419,56007,local,2016
Rental House,43,56007,local,2016
Institutional House,20,56006,local,2016
Other Type of House,63,56006,local,2016
Owned House,8604,56006,local,2016
Rental House,745,56006,local,2016
Institutional House,2,56009,local,2016
Other Type of House,107,56009,local,2016
Owned House,5154,56009,local,2016
Rental House,65,56009,local,2016
Institutional House,10,56001,local,2016
Other Type of House,38,56001,local,2016
Owned House,5738,56001,local,2016
Rental House,159,56001,local,2016
Institutional House,10,56008,local,2016
Other Type of House,16,56008,local,2016
Owned House,7595,56008,local,2016
Rental House,434,56008,local,2016
Institutional House,4,56002,local,2016
Other Type of House,46,56002,local,2016
Owned House,4591,56002,local,2016
Rental House,89,56002,local,2016
Institutional House,13,56004,local,2016
Other Type of House,71,56004,local,2016
Owned House,7077,56004,local,2016
Rental House,106,56004,local,2016
Institutional House,160,02,district,2016
Other Type of House,259,02,district,2016
Owned House,43895,02,district,2016
Rental House,2512,02,district,2016
Institutional House,5,51002,local,2016
Other Type of House,38,51002,local,2016
Owned House,6140,51002,local,2016
Rental House,158,51002,local,2016
Institutional House,5,51003,local,2016
Other Type of House,24,51003,local,2016
Owned House,6675,51003,local,2016
Rental House,120,51003,local,2016
Institutional House,119,51005,local,2016
Other Type of House,66,51005,local,2016
Owned House,8643,51005,local,2016
Rental House,1753,51005,local,2016
Institutional House,4,51001,local,2016
Other Type of House,20,51001,local,2016
Owned House,7632,51001,local,2016
Rental House,71,51001,local,2016
Institutional House,22,51006,local,2016
Other Type of House,61,51006,local,2016
Owned House,8846,51006,local,2016
Rental House,272,51006,local,2016
Institutional House,5,51004,local,2016
Other Type of House,50,51004,local,2016
Owned House,5959,51004,local,2016
Rental House,138,51004,local,2016
Institutional House,238,09,district,2016
Other Type of House,761,09,district,2016
Owned House,80076,09,district,2016
Rental House,2072,09,district,2016
Institutional House,31,58007,local,2016
Other Type of House,170,58007,local,2016
Owned House,10532,58007,local,2016
Rental House,183,58007,local,2016
Institutional House,13,58001,local,2016
Other Type of House,129,58001,local,2016
Owned House,10030,58001,local,2016
Rental House,161,58001,local,2016
Institutional House,24,58008,local,2016
Other Type of House,52,58008,local,2016
Owned House,8359,58008,local,2016
Rental House,217,58008,local,2016
Institutional House,9,58004,local,2016
Other Type of House,16,58004,local,2016
Owned House,6085,58004,local,2016
Rental House,25,58004,local,2016
Institutional House,15,58002,local,2016
Other Type of House,118,58002,local,2016
Owned House,10736,58002,local,2016
Rental House,341,58002,local,2016
Institutional House,86,58005,local,2016
Other Type of House,113,58005,local,2016
Owned House,12093,58005,local,2016
Rental House,772,58005,local,2016
Institutional House,19,58006,local,2016
Other Type of House,99,58006,local,2016
Owned House,9211,58006,local,2016
Rental House,240,58006,local,2016
Institutional House,41,58003,local,2016
Other Type of House,64,58003,local,2016
Owned House,13030,58003,local,2016
Rental House,133,58003,local,2016
Institutional House,179,33,district,2016
Other Type of House,424,33,district,2016
Owned House,87462,33,district,2016
Rental House,3199,33,district,2016
Institutional House,3,50009,local,2016
Other Type of House,31,50009,local,2016
Owned House,6283,50009,local,2016
Rental House,29,50009,local,2016
Institutional House,25,50001,local,2016
Other Type of House,92,50001,local,2016
Owned House,14888,50001,local,2016
Rental House,960,50001,local,2016
Institutional House,2,50002,local,2016
Other Type of House,15,50002,local,2016
Owned House,5623,50002,local,2016
Rental House,30,50002,local,2016
Institutional House,1,50007,local,2016
Other Type of House,7,50007,local,2016
Owned House,6422,50007,local,2016
Rental House,77,50007,local,2016
Institutional House,2,50010,local,2016
Other Type of House,9,50010,local,2016
Owned House,5381,50010,local,2016
Rental House,21,50010,local,2016
Institutional House,7,50005,local,2016
Other Type of House,34,50005,local,2016
Owned House,8165,50005,local,2016
Rental House,315,50005,local,2016
Institutional House,18,50003,local,2016
Other Type of House,82,50003,local,2016
Owned House,10919,50003,local,2016
Rental House,502,50003,local,2016
Institutional House,81,50004,local,2016
Other Type of House,83,50004,local,2016
Owned House,11249,50004,local,2016
Rental House,681,50004,local,2016
Institutional House,37,50008,local,2016
Other Type of House,63,50008,local,2016
Owned House,10606,50008,local,2016
Rental House,544,50008,local,2016
Institutional House,3,50006,local,2016
Other Type of House,8,50006,local,2016
Owned House,7926,50006,local,2016
Rental House,40,50006,local,2016
Institutional House,4083,4,province,2016
Other Type of House,9965,4,province,2016
Owned House,472211,4,province,2016
Rental House,91423,4,province,2016
Institutional House,257,23,district,2016
Other Type of House,669,23,district,2016
Owned House,60591,23,district,2016
Rental House,4941,23,district,2016
Institutional House,5,36011,local,2016
Other Type of House,61,36011,local,2016
Owned House,5673,36011,local,2016
Rental House,90,36011,local,2016
Institutional House,17,36008,local,2016
Other Type of House,148,36008,local,2016
Owned House,9415,36008,local,2016
Rental House,344,36008,local,2016
Institutional House,15,36001,local,2016
Other Type of House,40,36001,local,2016
Owned House,5091,36001,local,2016
Rental House,468,36001,local,2016
Institutional House,6,36003,local,2016
Other Type of House,49,36003,local,2016
Owned House,5262,36003,local,2016
Rental House,121,36003,local,2016
Institutional House,8,36006,local,2016
Other Type of House,21,36006,local,2016
Owned House,5136,36006,local,2016
Rental House,88,36006,local,2016
Institutional House,6,36010,local,2016
Other Type of House,59,36010,local,2016
Owned House,5679,36010,local,2016
Rental House,152,36010,local,2016
Institutional House,2,36002,local,2016
Other Type of House,44,36002,local,2016
Owned House,3409,36002,local,2016
Rental House,163,36002,local,2016
Institutional House,164,36007,local,2016
Other Type of House,173,36007,local,2016
Owned House,9701,36007,local,2016
Rental House,3089,36007,local,2016
Institutional House,21,36004,local,2016
Other Type of House,24,36004,local,2016
Owned House,1832,36004,local,2016
Rental House,72,36004,local,2016
Institutional House,4,36005,local,2016
Other Type of House,19,36005,local,2016
Owned House,3048,36005,local,2016
Rental House,57,36005,local,2016
Institutional House,9,36009,local,2016
Other Type of House,31,36009,local,2016
Owned House,6345,36009,local,2016
Rental House,297,36009,local,2016
Institutional House,151,03,district,2016
Other Type of House,835,03,district,2016
Owned House,54549,03,district,2016
Rental House,5947,03,district,2016
Institutional House,2,45008,local,2016
Other Type of House,33,45008,local,2016
Owned House,4744,45008,local,2016
Rental House,114,45008,local,2016
Institutional House,8,45007,local,2016
Other Type of House,47,45007,local,2016
Owned House,5869,45007,local,2016
Rental House,204,45007,local,2016
Institutional House,10,45005,local,2016
Other Type of House,249,45005,local,2016
Owned House,6874,45005,local,2016
Rental House,578,45005,local,2016
Institutional House,9,45001,local,2016
Other Type of House,91,45001,local,2016
Owned House,5818,45001,local,2016
Rental House,310,45001,local,2016
Institutional House,108,45002,local,2016
Other Type of House,127,45002,local,2016
Owned House,11255,45002,local,2016
Rental House,3692,45002,local,2016
Institutional House,2,45003,local,2016
Other Type of House,33,45003,local,2016
Owned House,3070,45003,local,2016
Rental House,135,45003,local,2016
Institutional House,3,45009,local,2016
Other Type of House,54,45009,local,2016
Owned House,2327,45009,local,2016
Rental House,38,45009,local,2016
Institutional House,2,45004,local,2016
Other Type of House,47,45004,local,2016
Owned House,5104,45004,local,2016
Rental House,553,45004,local,2016
Institutional House,1,45010,local,2016
Other Type of House,45,45010,local,2016
Owned House,2362,45010,local,2016
Rental House,87,45010,local,2016
Institutional House,6,45006,local,2016
Other Type of House,109,45006,local,2016
Owned House,7126,45006,local,2016
Rental House,236,45006,local,2016
Institutional House,262,71,district,2016
Other Type of House,815,71,district,2016
Owned House,61462,71,district,2016
Rental House,6317,71,district,2016
Institutional House,85,39008,local,2016
Other Type of House,40,39008,local,2016
Owned House,4592,39008,local,2016
Rental House,255,39008,local,2016
Institutional House,32,39005,local,2016
Other Type of House,80,39005,local,2016
Owned House,5615,39005,local,2016
Rental House,207,39005,local,2016
Institutional House,4,39009,local,2016
Other Type of House,97,39009,local,2016
Owned House,2970,39009,local,2016
Rental House,183,39009,local,2016
Institutional House,7,39001,local,2016
Other Type of House,92,39001,local,2016
Owned House,3863,39001,local,2016
Rental House,163,39001,local,2016
Institutional House,4,39004,local,2016
Other Type of House,51,39004,local,2016
Owned House,4125,39004,local,2016
Rental House,125,39004,local,2016
Institutional House,9,39003,local,2016
Other Type of House,61,39003,local,2016
Owned House,5536,39003,local,2016
Rental House,477,39003,local,2016
Institutional House,23,39011,local,2016
Other Type of House,87,39011,local,2016
Owned House,10072,39011,local,2016
Rental House,2000,39011,local,2016
Institutional House,24,39006,local,2016
Other Type of House,86,39006,local,2016
Owned House,7358,39006,local,2016
Rental House,807,39006,local,2016
Institutional House,5,39002,local,2016
Other Type of House,53,39002,local,2016
Owned House,3736,39002,local,2016
Rental House,144,39002,local,2016
Institutional House,65,39010,local,2016
Other Type of House,125,39010,local,2016
Owned House,9807,39010,local,2016
Rental House,1885,39010,local,2016
Institutional House,4,39007,local,2016
Other Type of House,43,39007,local,2016
Owned House,3788,39007,local,2016
Rental House,71,39007,local,2016
Institutional House,378,47,district,2016
Other Type of House,676,47,district,2016
Owned House,59345,47,district,2016
Rental House,6516,47,district,2016
Institutional House,56,76004,local,2016
Other Type of House,65,76004,local,2016
Owned House,8235,76004,local,2016
Rental House,900,76004,local,2016
Institutional House,11,76002,local,2016
Other Type of House,6,76002,local,2016
Owned House,3413,76002,local,2016
Rental House,57,76002,local,2016
Institutional House,67,76007,local,2016
Other Type of House,196,76007,local,2016
Owned House,12318,76007,local,2016
Rental House,1523,76007,local,2016
Institutional House,20,76008,local,2016
Other Type of House,82,76008,local,2016
Owned House,11115,76008,local,2016
Rental House,726,76008,local,2016
Institutional House,43,76001,local,2016
Other Type of House,149,76001,local,2016
Owned House,6374,76001,local,2016
Rental House,350,76001,local,2016
Institutional House,166,76005,local,2016
Other Type of House,76,76005,local,2016
Owned House,10605,76005,local,2016
Rental House,2776,76005,local,2016
Institutional House,8,76006,local,2016
Other Type of House,67,76006,local,2016
Owned House,4382,76006,local,2016
Rental House,131,76006,local,2016
Institutional House,7,76003,local,2016
Other Type of House,35,76003,local,2016
Owned House,2903,76003,local,2016
Rental House,53,76003,local,2016
Institutional House,244,46,district,2016
Other Type of House,1101,46,district,2016
Owned House,23310,46,district,2016
Rental House,3072,46,district,2016
Institutional House,10,43003,local,2016
Other Type of House,192,43003,local,2016
Owned House,2963,43003,local,2016
Rental House,64,43003,local,2016
Institutional House,158,43002,local,2016
Other Type of House,239,43002,local,2016
Owned House,6195,43002,local,2016
Rental House,2060,43002,local,2016
Institutional House,12,43004,local,2016
Other Type of House,141,43004,local,2016
Owned House,3733,43004,local,2016
Rental House,337,43004,local,2016
Institutional House,39,43001,local,2016
Other Type of House,183,43001,local,2016
Owned House,3177,43001,local,2016
Rental House,301,43001,local,2016
Institutional House,9,43005,local,2016
Other Type of House,183,43005,local,2016
Owned House,3494,43005,local,2016
Rental House,139,43005,local,2016
Institutional House,16,43006,local,2016
Other Type of House,163,43006,local,2016
Owned House,3748,43006,local,2016
Rental House,171,43006,local,2016
Institutional House,243,39,district,2016
Other Type of House,607,39,district,2016
Owned House,35760,39,district,2016
Rental House,5438,39,district,2016
Institutional House,19,37005,local,2016
Other Type of House,120,37005,local,2016
Owned House,5193,37005,local,2016
Rental House,556,37005,local,2016
Institutional House,14,37007,local,2016
Other Type of House,43,37007,local,2016
Owned House,4516,37007,local,2016
Rental House,178,37007,local,2016
Institutional House,72,37001,local,2016
Other Type of House,113,37001,local,2016
Owned House,7465,37001,local,2016
Rental House,2772,37001,local,2016
Institutional House,13,37006,local,2016
Other Type of House,62,37006,local,2016
Owned House,4020,37006,local,2016
Rental House,314,37006,local,2016
Institutional House,91,37008,local,2016
Other Type of House,105,37008,local,2016
Owned House,5725,37008,local,2016
Rental House,1278,37008,local,2016
Institutional House,11,37004,local,2016
Other Type of House,86,37004,local,2016
Owned House,2243,37004,local,2016
Rental House,112,37004,local,2016
Institutional House,7,37003,local,2016
Other Type of House,24,37003,local,2016
Owned House,2502,37003,local,2016
Rental House,57,37003,local,2016
Institutional House,16,37002,local,2016
Other Type of House,54,37002,local,2016
Owned House,4096,37002,local,2016
Rental House,171,37002,local,2016
Institutional House,1656,34,district,2016
Other Type of House,3012,34,district,2016
Owned House,76599,34,district,2016
Rental House,44192,34,district,2016
Institutional House,6,40005,local,2016
Other Type of House,134,40005,local,2016
Owned House,3539,40005,local,2016
Rental House,101,40005,local,2016
Institutional House,42,40001,local,2016
Other Type of House,240,40001,local,2016
Owned House,5078,40001,local,2016
Rental House,669,40001,local,2016
Institutional House,12,40003,local,2016
Other Type of House,292,40003,local,2016
Owned House,4135,40003,local,2016
Rental House,69,40003,local,2016
Institutional House,5,40002,local,2016
Other Type of House,225,40002,local,2016
Owned House,4920,40002,local,2016
Rental House,362,40002,local,2016
Institutional House,1591,40004,local,2016
Other Type of House,2121,40004,local,2016
Owned House,58927,40004,local,2016
Rental House,42991,40004,local,2016
Institutional House,36,42,district,2016
Other Type of House,179,42,district,2016
Owned House,904,42,district,2016
Rental House,329,42,district,2016
Institutional House,5,41003,local,2016
Other Type of House,12,41003,local,2016
Owned House,324,41003,local,2016
Rental House,113,41003,local,2016
Institutional House,15,41001,local,2016
Other Type of House,2,41001,local,2016
Owned House,124,41001,local,2016
Rental House,138,41001,local,2016
Institutional House,13,41004,local,2016
Other Type of House,165,41004,local,2016
Owned House,341,41004,local,2016
Rental House,74,41004,local,2016
Institutional House,3,41002,local,2016
Other Type of House,0,41002,local,2016
Owned House,115,41002,local,2016
Rental House,4,41002,local,2016
Institutional House,488,72,district,2016
Other Type of House,1131,72,district,2016
Owned House,66323,72,district,2016
Rental House,10344,72,district,2016
Institutional House,112,38006,local,2016
Other Type of House,72,38006,local,2016
Owned House,3120,38006,local,2016
Rental House,131,38006,local,2016
Institutional House,1,38009,local,2016
Other Type of House,53,38009,local,2016
Owned House,5037,38009,local,2016
Rental House,124,38009,local,2016
Institutional House,63,38001,local,2016
Other Type of House,56,38001,local,2016
Owned House,3662,38001,local,2016
Rental House,1130,38001,local,2016
Institutional House,22,38004,local,2016
Other Type of House,37,38004,local,2016
Owned House,6715,38004,local,2016
Rental House,714,38004,local,2016
Institutional House,23,38003,local,2016
Other Type of House,165,38003,local,2016
Owned House,11097,38003,local,2016
Rental House,810,38003,local,2016
Institutional House,36,38002,local,2016
Other Type of House,78,38002,local,2016
Owned House,4075,38002,local,2016
Rental House,664,38002,local,2016
Institutional House,1,38007,local,2016
Other Type of House,34,38007,local,2016
Owned House,4012,38007,local,2016
Rental House,90,38007,local,2016
Institutional House,32,38010,local,2016
Other Type of House,257,38010,local,2016
Owned House,9838,38010,local,2016
Rental House,2058,38010,local,2016
Institutional House,161,38005,local,2016
Other Type of House,259,38005,local,2016
Owned House,13723,38005,local,2016
Rental House,4196,38005,local,2016
Institutional House,37,38008,local,2016
Other Type of House,120,38008,local,2016
Owned House,5044,38008,local,2016
Rental House,427,38008,local,2016
Institutional House,182,45,district,2016
Other Type of House,139,45,district,2016
Owned House,2278,45,district,2016
Rental House,706,45,district,2016
Institutional House,15,42001,local,2016
Other Type of House,76,42001,local,2016
Owned House,490,42001,local,2016
Rental House,144,42001,local,2016
Institutional House,9,42004,local,2016
Other Type of House,2,42004,local,2016
Owned House,508,42004,local,2016
Rental House,13,42004,local,2016
Institutional House,51,42005,local,2016
Other Type of House,46,42005,local,2016
Owned House,460,42005,local,2016
Rental House,213,42005,local,2016
Institutional House,9,42002,local,2016
Other Type of House,5,42002,local,2016
Owned House,368,42002,local,2016
Rental House,22,42002,local,2016
Institutional House,98,42003,local,2016
Other Type of House,10,42003,local,2016
Owned House,452,42003,local,2016
Rental House,314,42003,local,2016
Institutional House,186,52,district,2016
Other Type of House,801,52,district,2016
Owned House,31090,52,district,2016
Rental House,3621,52,district,2016
Institutional House,4,44004,local,2016
Other Type of House,88,44004,local,2016
Owned House,2109,44004,local,2016
Rental House,28,44004,local,2016
Institutional House,4,44006,local,2016
Other Type of House,22,44006,local,2016
Owned House,3040,44006,local,2016
Rental House,228,44006,local,2016
Institutional House,22,44002,local,2016
Other Type of House,101,44002,local,2016
Owned House,4737,44002,local,2016
Rental House,701,44002,local,2016
Institutional House,2,44007,local,2016
Other Type of House,133,44007,local,2016
Owned House,5535,44007,local,2016
Rental House,213,44007,local,2016
Institutional House,98,44003,local,2016
Other Type of House,220,44003,local,2016
Owned House,7974,44003,local,2016
Rental House,2019,44003,local,2016
Institutional House,2,44001,local,2016
Other Type of House,55,44001,local,2016
Owned House,2785,44001,local,2016
Rental House,99,44001,local,2016
Institutional House,54,44005,local,2016
Other Type of House,182,44005,local,2016
Owned House,4910,44005,local,2016
Rental House,333,44005,local,2016
Institutional House,3284,2,province,2016
Other Type of House,6464,2,province,2016
Owned House,896369,2,province,2016
Rental House,25970,2,province,2016
Institutional House,260,64,district,2016
Other Type of House,744,64,district,2016
Owned House,129240,64,district,2016
Rental House,2559,64,district,2016
Institutional House,1,19020,local,2016
Other Type of House,4,19020,local,2016
Owned House,4470,19020,local,2016
Rental House,10,19020,local,2016
Institutional House,0,19005,local,2016
Other Type of House,12,19005,local,2016
Owned House,3988,19005,local,2016
Rental House,8,19005,local,2016
Institutional House,5,19008,local,2016
Other Type of House,21,19008,local,2016
Owned House,5507,19008,local,2016
Rental House,7,19008,local,2016
Institutional House,2,19016,local,2016
Other Type of House,7,19016,local,2016
Owned House,4050,19016,local,2016
Rental House,14,19016,local,2016
Institutional House,4,19012,local,2016
Other Type of House,8,19012,local,2016
Owned House,5878,19012,local,2016
Rental House,14,19012,local,2016
Institutional House,2,19009,local,2016
Other Type of House,5,19009,local,2016
Owned House,3955,19009,local,2016
Rental House,2,19009,local,2016
Institutional House,4,19010,local,2016
Other Type of House,85,19010,local,2016
Owned House,7792,19010,local,2016
Rental House,21,19010,local,2016
Institutional House,50,19013,local,2016
Other Type of House,91,19013,local,2016
Owned House,8050,19013,local,2016
Rental House,410,19013,local,2016
Institutional House,2,19007,local,2016
Other Type of House,13,19007,local,2016
Owned House,4388,19007,local,2016
Rental House,6,19007,local,2016
Institutional House,93,19017,local,2016
Other Type of House,129,19017,local,2016
Owned House,11130,19017,local,2016
Rental House,886,19017,local,2016
Institutional House,15,19018,local,2016
Other Type of House,32,19018,local,2016
Owned House,7318,19018,local,2016
Rental House,547,19018,local,2016
Institutional House,2,19011,local,2016
Other Type of House,55,19011,local,2016
Owned House,6406,19011,local,2016
Rental House,54,19011,local,2016
Institutional House,28,19001,local,2016
Other Type of House,101,19001,local,2016
Owned House,7733,19001,local,2016
Rental House,122,19001,local,2016
Institutional House,23,19014,local,2016
Other Type of House,66,19014,local,2016
Owned House,10816,19014,local,2016
Rental House,168,19014,local,2016
Institutional House,2,19015,local,2016
Other Type of House,40,19015,local,2016
Owned House,6808,19015,local,2016
Rental House,21,19015,local,2016
Institutional House,14,19003,local,2016
Other Type of House,59,19003,local,2016
Owned House,11554,19003,local,2016
Rental House,226,19003,local,2016
Institutional House,2,19004,local,2016
Other Type of House,8,19004,local,2016
Owned House,3688,19004,local,2016
Rental House,1,19004,local,2016
Institutional House,3,19019,local,2016
Other Type of House,2,19019,local,2016
Owned House,3325,19019,local,2016
Rental House,12,19019,local,2016
Institutional House,3,19006,local,2016
Other Type of House,2,19006,local,2016
Owned House,4720,19006,local,2016
Rental House,10,19006,local,2016
Institutional House,5,19002,local,2016
Other Type of House,4,19002,local,2016
Owned House,7664,19002,local,2016
Rental House,20,19002,local,2016
Institutional House,496,67,district,2016
Other Type of House,1147,67,district,2016
Owned House,113960,67,district,2016
Rental House,2326,67,district,2016
Institutional House,3,16011,local,2016
Other Type of House,29,16011,local,2016
Owned House,4791,16011,local,2016
Rental House,7,16011,local,2016
Institutional House,5,16007,local,2016
Other Type of House,114,16007,local,2016
Owned House,9584,16007,local,2016
Rental House,407,16007,local,2016
Institutional House,3,16015,local,2016
Other Type of House,11,16015,local,2016
Owned House,3368,16015,local,2016
Rental House,6,16015,local,2016
Institutional House,103,16010,local,2016
Other Type of House,210,16010,local,2016
Owned House,15936,16010,local,2016
Rental House,933,16010,local,2016
Institutional House,97,16008,local,2016
Other Type of House,82,16008,local,2016
Owned House,9201,16008,local,2016
Rental House,11,16008,local,2016
Institutional House,21,16009,local,2016
Other Type of House,26,16009,local,2016
Owned House,5971,16009,local,2016
Rental House,70,16009,local,2016
Institutional House,5,16014,local,2016
Other Type of House,44,16014,local,2016
Owned House,3222,16014,local,2016
Rental House,9,16014,local,2016
Institutional House,26,16003,local,2016
Other Type of House,49,16003,local,2016
Owned House,4163,16003,local,2016
Rental House,26,16003,local,2016
Institutional House,1,16004,local,2016
Other Type of House,60,16004,local,2016
Owned House,3557,16004,local,2016
Rental House,43,16004,local,2016
Institutional House,3,16005,local,2016
Other Type of House,43,16005,local,2016
Owned House,3403,16005,local,2016
Rental House,20,16005,local,2016
Institutional House,9,16001,local,2016
Other Type of House,12,16001,local,2016
Owned House,4020,16001,local,2016
Rental House,6,16001,local,2016
Institutional House,15,16006,local,2016
Other Type of House,40,16006,local,2016
Owned House,8656,16006,local,2016
Rental House,46,16006,local,2016
Institutional House,29,16012,local,2016
Other Type of House,89,16012,local,2016
Owned House,8935,16012,local,2016
Rental House,280,16012,local,2016
Institutional House,1,16013,local,2016
Other Type of House,147,16013,local,2016
Owned House,3482,16013,local,2016
Rental House,43,16013,local,2016
Institutional House,160,16016,local,2016
Other Type of House,132,16016,local,2016
Owned House,14814,16016,local,2016
Rental House,371,16016,local,2016
Institutional House,7,16002,local,2016
Other Type of House,38,16002,local,2016
Owned House,4193,16002,local,2016
Rental House,7,16002,local,2016
Institutional House,8,16017,local,2016
Other Type of House,21,16017,local,2016
Owned House,6664,16017,local,2016
Rental House,41,16017,local,2016
Institutional House,216,40,district,2016
Other Type of House,439,40,district,2016
Owned House,109298,40,district,2016
Rental House,1345,40,district,2016
Institutional House,1,18012,local,2016
Other Type of House,16,18012,local,2016
Owned House,6467,18012,local,2016
Rental House,6,18012,local,2016
Institutional House,27,18002,local,2016
Other Type of House,6,18002,local,2016
Owned House,7595,18002,local,2016
Rental House,33,18002,local,2016
Institutional House,3,18014,local,2016
Other Type of House,8,18014,local,2016
Owned House,5358,18014,local,2016
Rental House,13,18014,local,2016
Institutional House,9,18013,local,2016
Other Type of House,4,18013,local,2016
Owned House,5196,18013,local,2016
Rental House,48,18013,local,2016
Institutional House,11,18003,local,2016
Other Type of House,56,18003,local,2016
Owned House,12517,18003,local,2016
Rental House,529,18003,local,2016
Institutional House,42,18007,local,2016
Other Type of House,14,18007,local,2016
Owned House,9595,18007,local,2016
Rental House,383,18007,local,2016
Institutional House,1,18005,local,2016
Other Type of House,13,18005,local,2016
Owned House,4788,18005,local,2016
Rental House,7,18005,local,2016
Institutional House,1,18008,local,2016
Other Type of House,13,18008,local,2016
Owned House,7282,18008,local,2016
Rental House,21,18008,local,2016
Institutional House,2,18009,local,2016
Other Type of House,17,18009,local,2016
Owned House,4833,18009,local,2016
Rental House,9,18009,local,2016
Institutional House,22,18004,local,2016
Other Type of House,13,18004,local,2016
Owned House,8511,18004,local,2016
Rental House,14,18004,local,2016
Institutional House,67,18006,local,2016
Other Type of House,215,18006,local,2016
Owned House,11432,18006,local,2016
Rental House,179,18006,local,2016
Institutional House,11,18011,local,2016
Other Type of House,16,18011,local,2016
Owned House,5191,18011,local,2016
Rental House,8,18011,local,2016
Institutional House,11,18015,local,2016
Other Type of House,19,18015,local,2016
Owned House,6288,18015,local,2016
Rental House,23,18015,local,2016
Institutional House,7,18010,local,2016
Other Type of House,9,18010,local,2016
Owned House,8479,18010,local,2016
Rental House,37,18010,local,2016
Institutional House,1,18001,local,2016
Other Type of House,20,18001,local,2016
Owned House,5766,18001,local,2016
Rental House,35,18001,local,2016
Institutional House,650,53,district,2016
Other Type of House,460,53,district,2016
Owned House,86655,53,district,2016
Rental House,7751,53,district,2016
Institutional House,3,34008,local,2016
Other Type of House,0,34008,local,2016
Owned House,3030,34008,local,2016
Rental House,9,34008,local,2016
Institutional House,1,34006,local,2016
Other Type of House,9,34006,local,2016
Owned House,4938,34006,local,2016
Rental House,5,34006,local,2016
Institutional House,0,34005,local,2016
Other Type of House,7,34005,local,2016
Owned House,2961,34005,local,2016
Rental House,7,34005,local,2016
Institutional House,10,34007,local,2016
Other Type of House,50,34007,local,2016
Owned House,4046,34007,local,2016
Rental House,11,34007,local,2016
Institutional House,597,34003,local,2016
Other Type of House,181,34003,local,2016
Owned House,30980,34003,local,2016
Rental House,7528,34003,local,2016
Institutional House,3,34011,local,2016
Other Type of House,31,34011,local,2016
Owned House,3956,34011,local,2016
Rental House,12,34011,local,2016
Institutional House,3,34012,local,2016
Other Type of House,22,34012,local,2016
Owned House,4838,34012,local,2016
Rental House,12,34012,local,2016
Institutional House,4,34002,local,2016
Other Type of House,10,34002,local,2016
Owned House,3554,34002,local,2016
Rental House,8,34002,local,2016
Institutional House,7,34014,local,2016
Other Type of House,53,34014,local,2016
Owned House,4152,34014,local,2016
Rental House,35,34014,local,2016
Institutional House,2,34004,local,2016
Other Type of House,7,34004,local,2016
Owned House,3951,34004,local,2016
Rental House,23,34004,local,2016
Institutional House,2,34001,local,2016
Other Type of House,1,34001,local,2016
Owned House,5673,34001,local,2016
Rental House,5,34001,local,2016
Institutional House,10,34010,local,2016
Other Type of House,43,34010,local,2016
Owned House,6305,34010,local,2016
Rental House,54,34010,local,2016
Institutional House,8,34013,local,2016
Other Type of House,44,34013,local,2016
Owned House,5248,34013,local,2016
Rental House,29,34013,local,2016
Institutional House,0,34009,local,2016
Other Type of House,2,34009,local,2016
Owned House,3023,34009,local,2016
Rental House,13,34009,local,2016
Institutional House,364,63,district,2016
Other Type of House,1595,63,district,2016
Owned House,116451,63,district,2016
Rental House,2654,63,district,2016
Institutional House,3,15002,local,2016
Other Type of House,39,15002,local,2016
Owned House,3925,15002,local,2016
Rental House,9,15002,local,2016
Institutional House,52,15005,local,2016
Other Type of House,188,15005,local,2016
Owned House,7753,15005,local,2016
Rental House,29,15005,local,2016
Institutional House,6,15007,local,2016
Other Type of House,55,15007,local,2016
Owned House,8043,15007,local,2016
Rental House,45,15007,local,2016
Institutional House,22,15010,local,2016
Other Type of House,18,15010,local,2016
Owned House,8426,15010,local,2016
Rental House,149,15010,local,2016
Institutional House,16,15004,local,2016
Other Type of House,42,15004,local,2016
Owned House,4303,15004,local,2016
Rental House,9,15004,local,2016
Institutional House,14,15008,local,2016
Other Type of House,73,15008,local,2016
Owned House,7963,15008,local,2016
Rental House,102,15008,local,2016
Institutional House,4,15003,local,2016
Other Type of House,124,15003,local,2016
Owned House,5092,15003,local,2016
Rental House,22,15003,local,2016
Institutional House,3,15018,local,2016
Other Type of House,37,15018,local,2016
Owned House,4031,15018,local,2016
Rental House,7,15018,local,2016
Institutional House,173,15012,local,2016
Other Type of House,209,15012,local,2016
Owned House,11427,15012,local,2016
Rental House,1541,15012,local,2016
Institutional House,2,15001,local,2016
Other Type of House,13,15001,local,2016
Owned House,5358,15001,local,2016
Rental House,49,15001,local,2016
Institutional House,19,15016,local,2016
Other Type of House,141,15016,local,2016
Owned House,8441,15016,local,2016
