home ownership,total,geo_code,geo_level,geo_version
Other Type of House,11,25003,local,2016
Owned House,1945,25003,local,2016
Rental House,44,25003,local,2016
Institutional House,7,25006,local,2016
Other Type of House,28,25006,local,2016
Owned House,1800,25006,local,2016
Rental House,107,25006,local,2016
Institutional House,845,25004,local,2016
Other Type of House,770,25004,local,2016
Owned House,32441,25004,local,2016
Rental House,36200,25004,local,2016
Institutional House,372,10,district,2016
Other Type of House,848,10,district,2016
Owned House,44988,10,district,2016
Rental House,22349,10,district,2016
Institutional House,56,26004,local,2016
Other Type of House,143,26004,local,2016
Owned House,12476,26004,local,2016
Rental House,5771,26004,local,2016
Institutional House,25,26002,local,2016
Other Type of House,127,26002,local,2016
Owned House,10692,26002,local,2016
Rental House,1326,26002,local,2016
Institutional House,140,26003,local,2016
Other Type of House,455,26003,local,2016
Owned House,10024,26003,local,2016
Rental House,9683,26003,local,2016
Institutional House,151,26001,local,2016
Other Type of House,123,26001,local,2016
Owned House,11796,26001,local,2016
Rental House,5569,26001,local,2016
Institutional House,315,20,district,2016
Other Type of House,366,20,district,2016
Owned House,42742,20,district,2016
Rental House,2235,20,district,2016
Institutional House,17,22003,local,2016
Other Type of House,33,22003,local,2016
Owned House,4172,22003,local,2016
Rental House,196,22003,local,2016
Institutional House,3,22008,local,2016
Other Type of House,21,22008,local,2016
Owned House,4857,22008,local,2016
Rental House,77,22008,local,2016
Institutional House,85,22009,local,2016
Other Type of House,17,22009,local,2016
Owned House,4154,22009,local,2016
Rental House,89,22009,local,2016
Institutional House,54,22002,local,2016
Other Type of House,51,22002,local,2016
Owned House,7285,22002,local,2016
Rental House,1249,22002,local,2016
Institutional House,7,22004,local,2016
Other Type of House,36,22004,local,2016
Owned House,3924,22004,local,2016
Rental House,100,22004,local,2016
Institutional House,26,22006,local,2016
Other Type of House,45,22006,local,2016
Owned House,5263,22006,local,2016
Rental House,123,22006,local,2016
Institutional House,110,22005,local,2016
Other Type of House,19,22005,local,2016
Owned House,3476,22005,local,2016
Rental House,249,22005,local,2016
Institutional House,1,22007,local,2016
Other Type of House,79,22007,local,2016
Owned House,4710,22007,local,2016
Rental House,51,22007,local,2016
Institutional House,12,22001,local,2016
Other Type of House,65,22001,local,2016
Owned House,4901,22001,local,2016
Rental House,101,22001,local,2016
Institutional House,1109,41,district,2016
Other Type of House,1220,41,district,2016
Owned House,75155,41,district,2016
Rental House,8561,41,district,2016
Institutional House,59,31010,local,2016
Other Type of House,50,31010,local,2016
Owned House,8349,31010,local,2016
Rental House,470,31010,local,2016
Institutional House,36,31006,local,2016
Other Type of House,85,31006,local,2016
Owned House,4061,31006,local,2016
Rental House,81,31006,local,2016
Institutional House,218,31003,local,2016
Other Type of House,50,31003,local,2016
Owned House,4353,31003,local,2016
Rental House,189,31003,local,2016
